銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,754.0,754.0,755.0,764.0,764.0,764.0,764.0,763.0,763.0,764.0,764.0,765.0,765.0,0.96%,10.0,0.96%,10.0,0.96%,10.0,0.97%,9.0,0.97%,9.0,0.96%,9.0,0.96%,9.0,0.96%,9.0,0.95%,9.0,0.95%,9.0,0.95%,9.0,0.95%,9.0,0.94%,8.0
臺灣土地銀行,680.0,680.0,675.0,675.0,675.0,675.0,675.0,672.0,670.0,670.0,669.0,672.0,672.0,0.87%,12.0,0.87%,12.0,0.86%,12.0,0.86%,12.0,0.85%,12.0,0.85%,12.0,0.85%,12.0,0.84%,12.0,0.84%,11.0,0.84%,11.0,0.83%,11.0,0.83%,11.0,0.83%,11.0
合作金庫銀行,1176.0,1176.0,1176.0,1177.0,1177.0,1177.0,1181.0,1184.0,1183.0,1186.0,1185.0,1185.0,1187.0,1.50%,6.0,1.50%,6.0,1.50%,6.0,1.50%,6.0,1.49%,6.0,1.48%,6.0,1.48%,7.0,1.48%,7.0,1.48%,7.0,1.48%,7.0,1.47%,7.0,1.47%,7.0,1.46%,7.0
第一商業銀行,537.0,537.0,539.0,539.0,540.0,540.0,541.0,541.0,542.0,543.0,542.0,541.0,541.0,0.69%,16.0,0.69%,16.0,0.69%,16.0,0.68%,16.0,0.68%,16.0,0.68%,16.0,0.68%,16.0,0.68%,16.0,0.68%,16.0,0.68%,16.0,0.67%,16.0,0.67%,16.0,0.67%,16.0
華南商業銀行,687.0,687.0,688.0,683.0,683.0,686.0,686.0,686.0,685.0,684.0,685.0,686.0,686.0,0.88%,11.0,0.88%,11.0,0.88%,11.0,0.87%,11.0,0.87%,11.0,0.87%,11.0,0.86%,11.0,0.86%,11.0,0.86%,10.0,0.85%,10.0,0.85%,10.0,0.85%,10.0,0.85%,10.0
彰化商業銀行,645.0,644.0,644.0,644.0,643.0,642.0,642.0,640.0,641.0,641.0,641.0,640.0,641.0,0.83%,13.0,0.82%,13.0,0.82%,13.0,0.82%,13.0,0.81%,13.0,0.81%,13.0,0.81%,13.0,0.80%,13.0,0.80%,13.0,0.80%,13.0,0.80%,12.0,0.79%,12.0,0.79%,12.0
上海商業儲蓄銀行,283.0,283.0,283.0,274.0,274.0,274.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.35%,20.0,0.35%,20.0,0.35%,20.0,0.35%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0
台北富邦商業銀行,560.0,564.0,569.0,570.0,568.0,570.0,571.0,569.0,567.0,568.0,568.0,572.0,574.0,0.72%,15.0,0.72%,15.0,0.72%,14.0,0.72%,14.0,0.72%,14.0,0.72%,14.0,0.72%,14.0,0.71%,15.0,0.71%,15.0,0.71%,15.0,0.71%,15.0,0.71%,14.0,0.71%,13.5
國泰世華商業銀行,4706.0,4727.0,4735.0,4751.0,4760.0,4776.0,4792.0,4805.0,4906.0,4926.0,4983.0,5035.0,5044.0,6.02%,4.0,6.04%,4.0,6.03%,4.0,6.03%,4.0,6.03%,4.0,6.02%,4.0,6.02%,4.0,6.02%,4.0,6.13%,4.0,6.14%,4.0,6.19%,4.0,6.25%,4.0,6.22%,4.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄銀行,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.12%,27.0
兆豐國際商業銀行,566.0,566.0,566.0,566.0,566.0,568.0,568.0,570.0,569.0,570.0,569.0,569.0,569.0,0.72%,14.0,0.72%,14.0,0.72%,15.0,0.72%,15.0,0.72%,15.0,0.72%,15.0,0.71%,15.0,0.71%,14.0,0.71%,14.0,0.71%,14.0,0.71%,14.0,0.71%,15.0,0.70%,15.0
花旗(台灣)商業銀行,66.0,66.0,66.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.08%,30.5,0.08%,30.5,0.08%,30.5,0.09%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0
王道商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
臺灣中小企業銀行,420.0,420.0,421.0,421.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,0.54%,19.0,0.54%,19.0,0.54%,19.0,0.53%,19.0,0.53%,19.0,0.53%,19.0,0.53%,19.0,0.53%,19.0,0.53%,19.0,0.52%,19.0,0.52%,19.0,0.52%,19.0,0.52%,19.0
渣打國際商業銀行,166.0,166.0,166.0,166.0,166.0,166.0,166.0,165.0,162.0,162.0,162.0,163.0,163.0,0.21%,22.0,0.21%,22.0,0.21%,22.0,0.21%,22.0,0.21%,22.0,0.21%,22.0,0.21%,22.0,0.21%,22.0,0.20%,22.0,0.20%,22.0,0.20%,22.0,0.20%,22.0,0.20%,22.0
台中商業銀行,207.0,207.0,207.0,207.0,207.0,206.0,206.0,206.0,206.0,203.0,203.0,202.0,202.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.25%,21.0,0.25%,21.0,0.25%,21.0,0.25%,21.0
京城商業銀行,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0,0.10%,29.0
匯豐(台灣)商業銀行,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0
瑞興商業銀行,40.0,40.0,40.0,40.0,40.0,40.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0
華泰商業銀行,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0
臺灣新光商業銀行,482.0,480.0,483.0,488.0,488.0,488.0,488.0,490.0,488.0,490.0,491.0,492.0,494.0,0.62%,18.0,0.61%,18.0,0.62%,18.0,0.62%,18.0,0.62%,18.0,0.62%,18.0,0.61%,18.0,0.61%,18.0,0.61%,18.0,0.61%,18.0,0.61%,18.0,0.61%,18.0,0.61%,18.0
陽信商業銀行,132.0,132.0,132.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,0.17%,24.0,0.17%,24.0,0.17%,24.0,0.17%,24.0,0.17%,24.0,0.17%,24.0,0.16%,24.0,0.16%,24.0,0.16%,24.0,0.16%,24.0,0.16%,24.0,0.16%,24.0,0.16%,24.0
板信商業銀行,128.0,128.0,128.0,129.0,129.0,129.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,0.16%,26.0,0.16%,26.0,0.16%,26.0,0.16%,25.5,0.16%,25.0,0.16%,25.0,0.16%,25.0,0.16%,25.0,0.16%,25.0,0.16%,25.0,0.16%,25.0,0.16%,25.0,0.16%,25.0
三信商業銀行,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,0.08%,30.5,0.08%,30.5,0.08%,30.5,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0
聯邦商業銀行,874.0,874.0,874.0,869.0,870.0,869.0,868.0,866.0,867.0,866.0,869.0,867.0,753.0,1.12%,8.0,1.12%,8.0,1.11%,8.0,1.10%,8.0,1.10%,8.0,1.10%,8.0,1.09%,8.0,1.09%,8.0,1.08%,8.0,1.08%,8.0,1.08%,8.0,1.08%,8.0,0.93%,9.0
遠東國際商業銀行,153.0,153.0,153.0,153.0,152.0,152.0,151.0,151.0,151.0,152.0,152.0,152.0,154.0,0.20%,23.0,0.20%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0,0.19%,23.0
元大商業銀行,499.0,501.0,502.0,503.0,502.0,501.0,502.0,500.0,501.0,502.0,505.0,504.0,505.0,0.64%,17.0,0.64%,17.0,0.64%,17.0,0.64%,17.0,0.64%,17.0,0.63%,17.0,0.63%,17.0,0.63%,17.0,0.63%,17.0,0.63%,17.0,0.63%,17.0,0.63%,17.0,0.62%,17.0
永豐商業銀行,778.0,767.0,760.0,740.0,735.0,735.0,732.0,725.0,642.0,644.0,599.0,574.0,574.0,1.00%,9.0,0.98%,9.0,0.97%,9.0,0.94%,10.0,0.93%,10.0,0.93%,10.0,0.92%,10.0,0.91%,10.0,0.80%,12.0,0.80%,12.0,0.74%,13.0,0.71%,13.0,0.71%,13.5
玉山商業銀行,981.0,982.0,1036.0,1073.0,1115.0,1157.0,1196.0,1217.0,1224.0,1235.0,1239.0,1247.0,1259.0,1.26%,7.0,1.25%,7.0,1.32%,7.0,1.36%,7.0,1.41%,7.0,1.46%,7.0,1.50%,6.0,1.53%,6.0,1.53%,6.0,1.54%,6.0,1.54%,6.0,1.55%,6.0,1.55%,6.0
凱基商業銀行,131.0,129.0,129.0,129.0,127.0,127.0,127.0,124.0,124.0,124.0,124.0,125.0,125.0,0.17%,25.0,0.16%,25.0,0.16%,25.0,0.16%,25.5,0.16%,26.0,0.16%,26.0,0.16%,26.0,0.16%,26.0,0.16%,26.0,0.15%,26.0,0.15%,26.0,0.16%,26.0,0.15%,26.0
星展(台灣)商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
台新國際商業銀行,3725.0,3725.0,3723.0,3745.0,3759.0,3777.0,3797.0,3817.0,3854.0,3870.0,3892.0,3906.0,4036.0,4.77%,5.0,4.76%,5.0,4.74%,5.0,4.76%,5.0,4.76%,5.0,4.76%,5.0,4.77%,5.0,4.78%,5.0,4.82%,5.0,4.83%,5.0,4.84%,5.0,4.85%,5.0,4.98%,5.0
日盛國際商業銀行,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0,0.11%,28.0
安泰商業銀行,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0,0.08%,33.0
中國信託商業銀行,6554.0,6589.0,6594.0,6616.0,6636.0,6665.0,6693.0,6717.0,6730.0,6745.0,6789.0,6787.0,6886.0,8.39%,3.0,8.42%,3.0,8.40%,3.0,8.40%,3.0,8.41%,3.0,8.41%,3.0,8.41%,3.0,8.42%,3.0,8.41%,3.0,8.41%,3.0,8.44%,3.0,8.42%,3.0,8.50%,3.0
將來商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
連線商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
