,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦商業銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)商業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)商業銀行,台新國際商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,將來商業銀行,連線商業銀行,樂天國際商業銀行,中央信託局,中國農民銀行,交通銀行,澳盛(台灣)商業銀行,中華開發工業銀行,第七商業銀行,中華商業銀行,大眾商業銀行,慶豐商業銀行,臺北國際商業銀行,高雄區中小企業銀行,花蓮區中小企業銀行,臺東區中小企業銀行,臺灣銀行-排名,臺灣銀行-市佔率,臺灣土地銀行-排名,臺灣土地銀行-市佔率,合作金庫銀行-排名,合作金庫銀行-市佔率,第一商業銀行-排名,第一商業銀行-市佔率,華南商業銀行-排名,華南商業銀行-市佔率,彰化商業銀行-排名,彰化商業銀行-市佔率,上海商業儲蓄銀行-排名,上海商業儲蓄銀行-市佔率,台北富邦商業銀行-排名,台北富邦商業銀行-市佔率,國泰世華商業銀行-排名,國泰世華商業銀行-市佔率,中國輸出入銀行-排名,中國輸出入銀行-市佔率,高雄銀行-排名,高雄銀行-市佔率,兆豐國際商業銀行-排名,兆豐國際商業銀行-市佔率,花旗(台灣)商業銀行-排名,花旗(台灣)商業銀行-市佔率,王道商業銀行-排名,王道商業銀行-市佔率,臺灣中小企業銀行-排名,臺灣中小企業銀行-市佔率,渣打國際商業銀行-排名,渣打國際商業銀行-市佔率,台中商業銀行-排名,台中商業銀行-市佔率,京城商業銀行-排名,京城商業銀行-市佔率,匯豐(台灣)商業銀行-排名,匯豐(台灣)商業銀行-市佔率,瑞興商業銀行-排名,瑞興商業銀行-市佔率,華泰商業銀行-排名,華泰商業銀行-市佔率,臺灣新光商業銀行-排名,臺灣新光商業銀行-市佔率,陽信商業銀行-排名,陽信商業銀行-市佔率,板信商業銀行-排名,板信商業銀行-市佔率,三信商業銀行-排名,三信商業銀行-市佔率,聯邦商業銀行-排名,聯邦商業銀行-市佔率,遠東國際商業銀行-排名,遠東國際商業銀行-市佔率,元大商業銀行-排名,元大商業銀行-市佔率,永豐商業銀行-排名,永豐商業銀行-市佔率,玉山商業銀行-排名,玉山商業銀行-市佔率,凱基商業銀行-排名,凱基商業銀行-市佔率,星展(台灣)商業銀行-排名,星展(台灣)商業銀行-市佔率,台新國際商業銀行-排名,台新國際商業銀行-市佔率,日盛國際商業銀行-排名,日盛國際商業銀行-市佔率,安泰商業銀行-排名,安泰商業銀行-市佔率,中國信託商業銀行-排名,中國信託商業銀行-市佔率,將來商業銀行-排名,將來商業銀行-市佔率,連線商業銀行-排名,連線商業銀行-市佔率,樂天國際商業銀行-排名,樂天國際商業銀行-市佔率,中央信託局-排名,中央信託局-市佔率,中國農民銀行-排名,中國農民銀行-市佔率,交通銀行-排名,交通銀行-市佔率,澳盛(台灣)商業銀行-排名,澳盛(台灣)商業銀行-市佔率,中華開發工業銀行-排名,中華開發工業銀行-市佔率,第七商業銀行-排名,第七商業銀行-市佔率,中華商業銀行-排名,中華商業銀行-市佔率,大眾商業銀行-排名,大眾商業銀行-市佔率,慶豐商業銀行-排名,慶豐商業銀行-市佔率,臺北國際商業銀行-排名,臺北國際商業銀行-市佔率,高雄區中小企業銀行-排名,高雄區中小企業銀行-市佔率,花蓮區中小企業銀行-排名,花蓮區中小企業銀行-市佔率,臺東區中小企業銀行-排名,臺東區中小企業銀行-市佔率
2017年1月,695.0,810.0,1191.0,451.0,716.0,658.0,260.0,556.0,2108.0,,94.0,532.0,113.0,,429.0,216.0,207.0,81.0,49.0,60.0,89.0,630.0,140.0,129.0,65.0,904.0,149.0,358.0,835.0,675.0,170.0,66.0,3094.0,112.0,78.0,5511.0,,,,,,,11.0,,,,,137.0,,,,,9.0,0.031055900621118012,7.0,0.0361946467670584,4.0,0.05321953617230439,15.0,0.02015282184190536,8.0,0.03199428035211582,11.0,0.029402564904598062,18.0,0.011618034764734796,13.0,0.024844720496894408,3.0,0.09419545109254211,,,28.0,0.00420036641494258,14.0,0.0237722865186112,26.0,0.005049376647750123,,,16.0,0.019169757361812412,19.0,0.009651905804548907,20.0,0.009249743062692703,30.0,0.0036194646767058404,35.0,0.002189552705661558,34.0,0.00268108494570803,29.0,0.0039769426694669105,12.0,0.028151391929934315,23.0,0.006255864873318737,25.0,0.005764332633272264,33.0,0.002904508691183699,5.0,0.040395013182000984,22.0,0.006658027615174941,17.0,0.01599714017605791,6.0,0.03731176549443675,10.0,0.030162205639215334,21.0,0.007596407346172751,32.0,0.002949193440278833,2.0,0.13825461370034406,27.0,0.005004691898654989,31.0,0.003485410429420439,1.0,0.24625765226328253,,,,,,,,,,,,,36.0,0.0004915322400464721,,,,,,,,,24.0,0.006121810626033335,,,,,,,,
2017年2月,695.0,805.0,1192.0,443.0,714.0,659.0,260.0,555.0,2122.0,,93.0,531.0,113.0,,429.0,217.0,207.0,79.0,49.0,60.0,89.0,629.0,132.0,129.0,65.0,910.0,149.0,360.0,830.0,674.0,170.0,66.0,3099.0,112.0,77.0,5520.0,,,,,,,11.0,,,,,137.0,,,,,9.0,0.031051738003753014,7.0,0.03596640157269234,4.0,0.053257081583415244,15.0,0.019792690554910196,8.0,0.03190063443838799,11.0,0.029443302653918327,18.0,0.011616477526583862,13.0,0.024796711643284782,3.0,0.09480832812081137,,,28.0,0.004155124653739612,14.0,0.023724421410061657,26.0,0.005048699848092217,,,16.0,0.019167187918863373,19.0,0.009695290858725761,20.0,0.009248503261549459,30.0,0.0035296220176927887,35.0,0.0021892592261638817,34.0,0.0026807255830578144,29.0,0.003976409614869092,12.0,0.02810293986238942,24.0,0.005897596282727191,25.0,0.005763560003574301,33.0,0.0029041193816459654,5.0,0.04065767134304352,22.0,0.0066571351979269056,17.0,0.016084353498346887,6.0,0.0370833705656331,10.0,0.03011348404968278,21.0,0.007595389151997141,32.0,0.0029487981413635956,2.0,0.1384594763649361,27.0,0.005004021088374587,31.0,0.0034402644982575283,1.0,0.24662675364131892,,,,,,,,,,,,,36.0,0.0004914663568939327,,,,,,,,,23.0,0.006120990081315343,,,,,,,,
2017年3月,695.0,804.0,1191.0,436.0,715.0,659.0,260.0,554.0,2152.0,,92.0,532.0,113.0,,429.0,216.0,208.0,79.0,49.0,60.0,87.0,631.0,132.0,129.0,65.0,924.0,149.0,360.0,831.0,680.0,168.0,66.0,3099.0,112.0,77.0,5532.0,,,,,,,11.0,,,,,136.0,,,,,9.0,0.030981143850577274,7.0,0.03584005705879731,4.0,0.05309142780724825,15.0,0.01943565283288013,8.0,0.031872687558507556,11.0,0.02937636517630277,18.0,0.011590068203093657,13.0,0.024695760709668793,3.0,0.09593010297329826,,,28.0,0.004101101056479294,14.0,0.023715062630945482,26.0,0.005037221949806089,,,16.0,0.019123612535104532,19.0,0.009628672045647038,20.0,0.009272054562474926,30.0,0.003521597646324611,35.0,0.002184282084429189,34.0,0.0026746311237908437,29.0,0.0038782151294967236,12.0,0.028128203985200374,24.0,0.005884188472339857,25.0,0.005750456916150315,33.0,0.002897517050773414,5.0,0.041189319306378994,22.0,0.006642000624080596,17.0,0.016047786742745065,6.0,0.03704364106450319,10.0,0.030312486069629562,21.0,0.007488967146614363,32.0,0.0029420942361699284,2.0,0.13814469754379707,27.0,0.004992644764409575,31.0,0.003432443275531583,1.0,0.24660098961351581,,,,,,,,,,,,,36.0,0.0004903490393616547,,,,,,,,,23.0,0.006062497213925913,,,,,,,,
2017年4月,697.0,804.0,1194.0,436.0,716.0,659.0,260.0,551.0,2159.0,,92.0,531.0,109.0,,429.0,215.0,209.0,79.0,49.0,60.0,65.0,630.0,132.0,129.0,63.0,927.0,149.0,361.0,833.0,678.0,164.0,66.0,3099.0,112.0,77.0,5534.0,,,,,,,11.0,,,,,136.0,,,,,9.0,0.031095248717376758,7.0,0.03586883783180906,4.0,0.05326790095917912,15.0,0.019451260316752175,8.0,0.031942895382556326,11.0,0.02939995538701762,18.0,0.01159937541824671,13.0,0.02458175329020745,3.0,0.09631942895382556,,,28.0,0.00410439437876422,14.0,0.023689493642650012,27.0,0.004862815079188044,,,16.0,0.01913896944010707,19.0,0.009591791211242472,20.0,0.00932411331697524,29.0,0.003524425607851885,35.0,0.002186036136515726,34.0,0.0026767789426723177,32.0,0.0028998438545616775,12.0,0.028106178898059334,24.0,0.005888913673879099,25.0,0.005755074726745483,33.0,0.0028106178898059334,5.0,0.041356234664287304,22.0,0.006647334374302922,17.0,0.016105286638411778,6.0,0.03716261432076734,10.0,0.03024760205219719,21.0,0.0073165291099710015,31.0,0.0029444568369395496,2.0,0.13825563238902522,26.0,0.00499665402632166,30.0,0.003435199643096141,1.0,0.24688824447914343,,,,,,,,,,,,,36.0,0.0004907428061565915,,,,,,,,,23.0,0.0060673656033905865,,,,,,,,
2017年5月,698.0,801.0,1190.0,436.0,715.0,662.0,260.0,550.0,2229.0,,93.0,531.0,107.0,,428.0,216.0,210.0,79.0,46.0,60.0,65.0,632.0,132.0,126.0,66.0,932.0,150.0,360.0,828.0,682.0,163.0,66.0,3100.0,112.0,74.0,5542.0,,,,,,,11.0,,,,,136.0,,,,,9.0,0.03103877623621487,7.0,0.035618996798292425,4.0,0.052917111348274634,15.0,0.019388118107435078,8.0,0.03179473496976165,11.0,0.02943792244752757,18.0,0.011561721807186055,13.0,0.024457488438278194,3.0,0.09911953041622198,,,28.0,0.004135538954108858,14.0,0.023612593383137672,27.0,0.00475809320526503,,,16.0,0.01903237282106012,19.0,0.0096051227321238,20.0,0.009338313767342583,29.0,0.003512984702952686,35.0,0.0020455353966559943,34.0,0.0026680896478121665,33.0,0.0028904304517965137,12.0,0.028103877623621487,24.0,0.005869797225186766,25.0,0.005602988260405549,31.5,0.002934898612593383,5.0,0.04144432586268232,22.0,0.006670224119530417,17.0,0.016008537886873,6.0,0.0368196371398079,10.0,0.03032728566346496,21.0,0.007248310209889719,31.5,0.002934898612593383,2.0,0.13785129847029526,26.0,0.004980434009249377,30.0,0.003290643898968339,1.0,0.24644254713625044,,,,,,,,,,,,,36.0,0.0004891497687655638,,,,,,,,,23.0,0.006047669868374244,,,,,,,,
2017年6月,697.0,803.0,1186.0,434.0,715.0,662.0,262.0,550.0,2326.0,,91.0,534.0,107.0,,428.0,216.0,209.0,79.0,46.0,57.0,65.0,627.0,134.0,124.0,65.0,931.0,149.0,360.0,828.0,742.0,159.0,66.0,3101.0,109.0,73.0,5554.0,,,,,,,11.0,,,,,136.0,,,,,10.0,0.030791659303763916,7.0,0.035474465453260294,4.0,0.052394415974553805,15.0,0.01917299876303234,9.0,0.031586852800848206,11.0,0.029245449726100017,18.0,0.011574483124226894,13.0,0.024297579077575543,3.0,0.1027566707898922,,,28.0,0.004020144901926135,14.0,0.023590740413500618,27.0,0.00472698356600106,,,16.0,0.01890793426400424,19.0,0.009542321965011487,20.0,0.009233080049478707,29.0,0.0034900159038699415,35.0,0.0020321611592154093,34.0,0.00251811274076692,32.5,0.0028715320728043823,12.0,0.02769924014843612,24.0,0.005919773811627496,25.0,0.005477999646580668,32.5,0.0028715320728043823,5.0,0.04112917476585969,22.0,0.006582435059197738,17.0,0.01590386994168581,6.0,0.03657890086587736,8.0,0.03277964304647464,21.0,0.0070242092242445665,31.0,0.0029157094893090653,2.0,0.13699416858102137,26.0,0.004815338399010426,30.0,0.0032249514048418447,1.0,0.2453613712670083,,,,,,,,,,,,,36.0,0.00048595158155151087,,,,,,,,,23.0,0.006008128644636862,,,,,,,,
2017年7月,697.0,805.0,1186.0,434.0,715.0,664.0,264.0,546.0,2479.0,,91.0,534.0,107.0,,427.0,214.0,208.0,78.0,46.0,57.0,65.0,630.0,134.0,122.0,65.0,931.0,148.0,359.0,829.0,749.0,148.0,66.0,3106.0,109.0,73.0,5575.0,,,,,,,11.0,,,,,136.0,,,,,10.0,0.030559452823570678,7.0,0.03529463346194318,4.0,0.05199929849175728,15.0,0.019028411083830236,9.0,0.03134864959663276,11.0,0.02911259207295686,18.0,0.011574886004910558,13.0,0.023938968782883197,3.0,0.10868993335671694,,,28.0,0.0039898281304805334,14.0,0.02341283760084181,27.0,0.004691336373202385,,,16.0,0.018721501227639426,19.0,0.00938267274640477,20.0,0.009119607155384075,29.0,0.0034198526832690283,35.0,0.0020168361978253244,34.0,0.0024991231146965975,32.5,0.0028498772360575236,12.0,0.02762188705717292,24.0,0.00587513153279551,25.0,0.0053490003507541215,32.5,0.0028498772360575236,5.0,0.04081901087337776,21.5,0.006488951245177131,17.0,0.015740091196071553,6.0,0.03634689582602595,8.0,0.032839354612416695,21.5,0.006488951245177131,31.0,0.0028937215012276394,2.0,0.13618028761837953,26.0,0.004779024903542616,30.0,0.0032006313574184497,1.0,0.2444317783233953,,,,,,,,,,,,,36.0,0.00048228691687127325,,,,,,,,,23.0,0.005962820063135742,,,,,,,,
2017年8月,698.0,804.0,1189.0,438.0,715.0,663.0,264.0,534.0,2627.0,,92.0,535.0,100.0,,427.0,214.0,208.0,78.0,46.0,58.0,65.0,629.0,134.0,122.0,65.0,933.0,146.0,359.0,831.0,756.0,146.0,66.0,3108.0,109.0,71.0,5575.0,,,,,,,11.0,,,,,137.0,,,,,10.0,0.030409968195878535,7.0,0.0350281009018429,4.0,0.05180150742822289,15.0,0.019082472879362176,9.0,0.031150612120419988,11.0,0.028885113057116718,18.0,0.011501764475231996,14.0,0.023264932688537444,3.0,0.11445126998649414,,,28.0,0.004008190650459635,13.0,0.023308499978216355,27.0,0.004356728967890908,,,16.0,0.018603232692894173,19.0,0.009323399991286542,20.0,0.009061996253213087,29.0,0.003398248594954908,35.0,0.0020040953252298175,34.0,0.0025269028013767264,32.5,0.00283187382912909,12.0,0.02740382520803381,24.0,0.005838016816973816,25.0,0.005315209340826907,32.5,0.00283187382912909,5.0,0.040648281270422165,21.5,0.006360824293120725,17.0,0.015640656994728358,6.0,0.03620441772317344,8.0,0.03293687099725526,21.5,0.006360824293120725,31.0,0.002875441118807999,2.0,0.1354071363220494,26.0,0.004748834575001089,30.0,0.0030932775672025442,1.0,0.2428876399599181,,,,,,,,,,,,,36.0,0.0004792401864679998,,,,,,,,,23.0,0.005968718686010543,,,,,,,,
2017年9月,698.0,800.0,1181.0,465.0,713.0,663.0,265.0,527.0,2782.0,,92.0,537.0,93.0,,428.0,211.0,208.0,78.0,46.0,50.0,65.0,630.0,133.0,122.0,65.0,930.0,146.0,359.0,830.0,767.0,146.0,66.0,3115.0,109.0,71.0,5600.0,,,,,,,11.0,,,,,137.0,,,,,10.0,0.030165521414062837,7.0,0.03457366351181987,4.0,0.05103937075932408,15.0,0.0200959419162453,9.0,0.03081377760490946,11.0,0.02865292363542072,18.0,0.011452526038290332,14.0,0.02277540083841134,3.0,0.1202299148623536,,,28.0,0.003975971303859285,13.0,0.02320757163230909,27.0,0.00401918838324906,,,16.0,0.018496909978823632,19.0,0.009118803751242492,20.0,0.008989152513073166,29.0,0.0033709321924024374,35.0,0.0019879856519296425,34.0,0.002160853969488742,32.5,0.0028091101603353644,12.0,0.027226760015558148,24.0,0.005747871558840054,25.0,0.00527248368555253,32.5,0.0028091101603353644,5.0,0.0401918838324906,21.5,0.006309693590907126,17.0,0.015514931500929167,6.0,0.035870175893513115,8.0,0.033147499891957304,21.5,0.006309693590907126,31.0,0.0028523272397251395,2.0,0.13462120229914862,26.0,0.004710661653485457,30.0,0.0030684126366740134,1.0,0.2420156445827391,,,,,,,,,,,,,36.0,0.0004753878732875232,,,,,,,,,23.0,0.005920739876399153,,,,,,,,
2017年10月,700.0,793.0,1179.0,487.0,712.0,661.0,265.0,533.0,2943.0,,92.0,538.0,84.0,,428.0,211.0,209.0,78.0,46.0,47.0,66.0,632.0,132.0,122.0,65.0,925.0,146.0,359.0,831.0,773.0,145.0,66.0,3130.0,109.0,71.0,5583.0,,,,,,,11.0,,,,,138.0,,,,,10.0,0.03003003003003003,7.0,0.03401973401973402,4.0,0.05057915057915058,15.0,0.020892320892320893,9.0,0.030544830544830544,11.0,0.02835692835692836,18.0,0.011368511368511369,14.0,0.022865722865722866,3.0,0.12625482625482626,,,27.0,0.0039468039468039465,13.0,0.02308022308022308,28.0,0.0036036036036036037,,,16.0,0.018361218361218363,19.0,0.009051909051909052,20.0,0.008966108966108966,29.0,0.0033462033462033462,35.0,0.0019734019734019732,34.0,0.0020163020163020164,31.5,0.0028314028314028314,12.0,0.02711282711282711,24.0,0.005662805662805663,25.0,0.005233805233805234,33.0,0.0027885027885027887,5.0,0.03968253968253968,21.0,0.006263406263406264,17.0,0.015401115401115401,6.0,0.03564993564993565,8.0,0.03316173316173316,22.0,0.006220506220506221,31.5,0.0028314028314028314,2.0,0.13427713427713428,26.0,0.004676104676104676,30.0,0.003045903045903046,1.0,0.23951093951093952,,,,,,,,,,,,,36.0,0.0004719004719004719,,,,,,,,,23.0,0.005920205920205921,,,,,,,,
