銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,211.0,371.0,599.0,953.0,1148.0,1643.0,1748.0,1936.0,2188.0,2138.0,2320.0,2513.0,130.0,0.90%,15.0,0.88%,14.0,0.91%,16.0,1.10%,14.0,1.03%,16.0,1.22%,14.0,1.10%,14.0,1.07%,16.0,1.10%,16.0,0.98%,17.0,1.01%,16.0,1.01%,17.0,0.65%,20.5
臺灣土地銀行,139.0,264.0,399.0,492.0,637.0,774.0,903.0,1026.0,1149.0,1294.0,1406.0,1515.0,132.0,0.59%,19.0,0.63%,20.0,0.60%,22.0,0.57%,22.0,0.57%,22.0,0.57%,21.0,0.57%,21.0,0.57%,21.0,0.58%,21.0,0.59%,22.0,0.61%,22.0,0.61%,22.0,0.66%,19.0
合作金庫銀行,303.0,531.0,792.0,1080.0,1399.0,1737.0,2024.0,2369.0,2746.0,3029.0,3315.0,3618.0,367.0,1.29%,10.0,1.26%,11.0,1.20%,12.0,1.24%,12.0,1.26%,13.0,1.29%,13.0,1.28%,13.0,1.32%,12.0,1.38%,11.0,1.39%,11.0,1.44%,10.0,1.45%,10.0,1.84%,10.0
第一商業銀行,143.0,327.0,784.0,1185.0,1558.0,1961.0,2329.0,2727.0,3061.0,3439.0,2305.0,2779.0,394.0,0.61%,18.0,0.78%,16.0,1.19%,13.0,1.36%,9.0,1.40%,10.0,1.46%,10.0,1.47%,9.0,1.51%,9.0,1.53%,9.0,1.58%,9.0,1.00%,17.0,1.12%,14.0,1.98%,8.0
華南商業銀行,261.0,489.0,836.0,1168.0,1489.0,1943.0,2243.0,2497.0,2804.0,3070.0,3372.0,3666.0,-489.0,1.11%,12.0,1.16%,12.0,1.27%,9.5,1.34%,10.0,1.34%,11.0,1.44%,11.0,1.42%,10.0,1.39%,10.0,1.41%,10.0,1.41%,10.0,1.46%,9.0,1.47%,9.0,-2.46%,38.0
彰化商業銀行,189.0,285.0,431.0,591.0,868.0,1189.0,1499.0,1534.0,1665.0,1808.0,2032.0,2193.0,294.0,0.81%,16.0,0.68%,19.0,0.65%,21.0,0.68%,20.0,0.78%,19.0,0.88%,19.0,0.95%,18.0,0.85%,19.0,0.83%,19.0,0.83%,19.0,0.88%,18.0,0.88%,18.0,1.48%,12.0
上海商業儲蓄銀行,315.0,538.0,797.0,1025.0,1239.0,1461.0,1693.0,1914.0,2130.0,2344.0,2534.0,2735.0,215.0,1.34%,9.0,1.28%,10.0,1.21%,11.0,1.18%,13.0,1.12%,14.0,1.08%,16.0,1.07%,17.0,1.06%,17.0,1.07%,17.0,1.07%,15.0,1.10%,14.0,1.10%,15.0,1.08%,14.0
台北富邦商業銀行,643.0,1210.0,2003.0,2639.0,3303.0,3956.0,4691.0,5402.0,5904.0,6518.0,7155.0,7716.0,615.0,2.74%,6.0,2.87%,5.0,3.03%,5.0,3.04%,5.0,2.97%,5.0,2.94%,4.0,2.96%,4.0,3.00%,4.0,2.96%,4.0,2.99%,4.0,3.10%,4.0,3.10%,4.0,3.09%,4.0
國泰世華商業銀行,1264.0,1957.0,2807.0,2952.0,3307.0,3791.0,4349.0,5394.0,5824.0,6487.0,7117.0,7525.0,1123.0,5.39%,3.0,4.64%,4.0,4.25%,3.0,3.40%,4.0,2.98%,4.0,2.81%,5.0,2.74%,5.0,2.99%,5.0,2.92%,5.0,2.97%,5.0,3.09%,5.0,3.02%,5.0,5.64%,3.0
中國輸出入銀行,47.0,88.0,147.0,196.0,242.0,320.0,369.0,407.0,434.0,485.0,524.0,525.0,47.0,0.20%,29.5,0.21%,30.0,0.22%,31.0,0.23%,31.0,0.22%,30.0,0.24%,29.0,0.23%,29.0,0.23%,29.0,0.22%,29.0,0.22%,29.0,0.23%,29.0,0.21%,30.0,0.24%,30.0
