銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,410491.0,412682.0,414422.0,408092.0,412809.0,413532.0,417964.0,423510.0,431756.0,429310.0,429391.0,433219.0,425881.0,1.79%,11.0,1.78%,11.0,1.77%,11.0,1.74%,11.0,1.74%,11.0,1.72%,11.0,1.72%,11.0,1.72%,11.0,1.74%,11.0,1.72%,11.0,1.71%,11.0,1.70%,11.0,1.67%,11.0
臺灣土地銀行,531373.0,535007.0,539855.0,546593.0,551820.0,559890.0,560881.0,563330.0,563964.0,561555.0,560750.0,566896.0,575684.0,2.31%,8.0,2.31%,8.0,2.31%,8.0,2.33%,7.0,2.32%,8.0,2.33%,7.0,2.31%,7.0,2.29%,7.0,2.27%,8.0,2.25%,8.0,2.23%,8.0,2.23%,8.0,2.26%,8.0
合作金庫銀行,765419.0,770103.0,772656.0,779855.0,788175.0,795672.0,801741.0,810659.0,818368.0,819519.0,820613.0,824096.0,826240.0,3.33%,4.0,3.33%,4.0,3.31%,4.0,3.32%,4.0,3.31%,4.0,3.31%,4.0,3.30%,4.0,3.30%,4.0,3.30%,4.0,3.28%,4.0,3.27%,4.0,3.24%,4.0,3.24%,4.0
第一商業銀行,785930.0,783493.0,793587.0,791060.0,802501.0,818228.0,825476.0,838998.0,848406.0,848803.0,854212.0,866451.0,862846.0,3.42%,3.0,3.39%,3.0,3.40%,3.0,3.37%,3.0,3.37%,3.0,3.40%,3.0,3.40%,3.0,3.41%,3.0,3.42%,3.0,3.40%,3.0,3.40%,3.0,3.40%,3.0,3.38%,3.0
華南商業銀行,594359.0,600855.0,616111.0,620938.0,636573.0,640349.0,645735.0,648374.0,660001.0,663286.0,676678.0,692193.0,694194.0,2.59%,6.0,2.60%,6.0,2.64%,6.0,2.65%,6.0,2.68%,6.0,2.66%,6.0,2.66%,6.0,2.64%,6.0,2.66%,6.0,2.66%,6.0,2.69%,5.0,2.72%,6.0,2.72%,5.0
彰化商業銀行,486358.0,488358.0,493619.0,496847.0,503457.0,501670.0,509984.0,523934.0,528651.0,530876.0,534266.0,543966.0,536937.0,2.12%,9.0,2.11%,9.0,2.11%,9.0,2.12%,9.0,2.12%,9.0,2.09%,9.0,2.10%,9.0,2.13%,9.0,2.13%,9.0,2.13%,9.0,2.13%,9.0,2.14%,9.0,2.10%,9.0
上海商業儲蓄銀行,235163.0,234146.0,233545.0,231198.0,231350.0,232229.0,231504.0,233987.0,236622.0,238737.0,243043.0,249618.0,250285.0,1.02%,14.0,1.01%,14.0,1.00%,15.0,0.99%,15.0,0.97%,15.0,0.97%,15.0,0.95%,16.0,0.95%,16.0,0.95%,16.0,0.96%,16.0,0.97%,16.0,0.98%,16.0,0.98%,16.0
台北富邦商業銀行,203972.0,208846.0,209177.0,212157.0,219409.0,225570.0,233074.0,237051.0,243577.0,250111.0,251641.0,255646.0,262825.0,0.89%,17.0,0.90%,17.0,0.90%,17.0,0.90%,17.0,0.92%,17.0,0.94%,17.0,0.96%,15.0,0.96%,15.0,0.98%,15.0,1.00%,15.0,1.00%,15.0,1.00%,15.0,1.03%,14.0
國泰世華商業銀行,239890.0,243471.0,247188.0,247638.0,252278.0,256934.0,258991.0,260320.0,260442.0,262308.0,266442.0,270202.0,271689.0,1.04%,13.0,1.05%,13.0,1.06%,13.0,1.06%,13.0,1.06%,13.0,1.07%,12.0,1.07%,13.0,1.06%,13.0,1.05%,13.0,1.05%,13.0,1.06%,13.0,1.06%,13.0,1.06%,13.0
中國輸出入銀行,8718.0,8650.0,8984.0,8854.0,9210.0,8598.0,9019.0,8917.0,8947.0,8767.0,9141.0,9254.0,9192.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0
高雄銀行,60913.0,61621.0,61468.0,62467.0,62451.0,62628.0,62877.0,63915.0,64173.0,64005.0,63939.0,65703.0,65951.0,0.26%,25.0,0.27%,25.0,0.26%,25.0,0.27%,25.0,0.26%,25.0,0.26%,25.0,0.26%,25.0,0.26%,25.0,0.26%,25.0,0.26%,25.0,0.25%,25.0,0.26%,25.0,0.26%,25.0
兆豐國際商業銀行,533347.0,535265.0,550531.0,540764.0,552173.0,556268.0,553313.0,562951.0,567524.0,575463.0,575692.0,596566.0,591972.0,2.32%,7.0,2.31%,7.0,2.36%,7.0,2.31%,8.0,2.32%,7.0,2.31%,8.0,2.28%,8.0,2.29%,8.0,2.29%,7.0,2.31%,7.0,2.29%,7.0,2.34%,7.0,2.32%,7.0
花旗(台灣)商業銀行,6254.0,7140.0,6439.0,6642.0,7121.0,7177.0,7652.0,7961.0,8117.0,8388.0,8044.0,7336.0,7455.0,0.03%,38.0,0.03%,36.0,0.03%,38.0,0.03%,38.0,0.03%,37.0,0.03%,37.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,37.0,0.03%,37.0,0.03%,37.0
王道商業銀行,23736.0,24883.0,25342.0,26142.0,26285.0,25316.0,25388.0,25747.0,26202.0,26776.0,26888.0,27978.0,26760.0,0.10%,33.0,0.11%,33.0,0.11%,33.0,0.11%,32.0,0.11%,32.0,0.11%,32.0,0.10%,32.0,0.10%,33.0,0.11%,33.0,0.11%,33.0,0.11%,33.0,0.11%,33.0,0.10%,33.0
臺灣中小企業銀行,626125.0,631273.0,633866.0,637089.0,645216.0,648334.0,658223.0,664776.0,670968.0,667373.0,673838.0,709252.0,688675.0,2.72%,5.0,2.73%,5.0,2.71%,5.0,2.72%,5.0,2.71%,5.0,2.70%,5.0,2.71%,5.0,2.70%,5.0,2.70%,5.0,2.67%,5.0,2.68%,6.0,2.79%,5.0,2.70%,6.0
渣打國際商業銀行,6894.0,6918.0,6915.0,6948.0,6922.0,7074.0,7074.0,7110.0,7108.0,7109.0,7186.0,7323.0,7296.0,0.03%,37.0,0.03%,38.0,0.03%,37.0,0.03%,37.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0
台中商業銀行,183939.0,185765.0,188355.0,188552.0,188374.0,188284.0,188096.0,186996.0,186605.0,185302.0,186390.0,188574.0,189164.0,0.80%,18.0,0.80%,18.0,0.81%,18.0,0.80%,18.0,0.79%,18.0,0.78%,18.0,0.77%,18.0,0.76%,19.0,0.75%,19.0,0.74%,19.0,0.74%,19.0,0.74%,19.0,0.74%,19.0
京城商業銀行,110066.0,111084.0,112030.0,115819.0,116821.0,121539.0,121962.0,123374.0,123965.0,126199.0,129383.0,126001.0,128705.0,0.48%,22.0,0.48%,22.0,0.48%,22.0,0.49%,22.0,0.49%,22.0,0.51%,22.0,0.50%,22.0,0.50%,22.0,0.50%,22.0,0.51%,22.0,0.52%,22.0,0.50%,22.0,0.50%,22.0
匯豐(台灣)商業銀行,7087.0,7030.0,7282.0,7227.0,7449.0,7528.0,7591.0,7745.0,7808.0,8060.0,9094.0,8013.0,8081.0,0.03%,36.0,0.03%,37.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.04%,36.0,0.03%,36.0,0.03%,36.0
瑞興商業銀行,15033.0,14832.0,14959.0,15000.0,14698.0,14719.0,15104.0,15378.0,15480.0,15706.0,15628.0,16184.0,16772.0,0.07%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.07%,34.0
華泰商業銀行,39031.0,39647.0,42493.0,44464.0,45432.0,47440.0,48436.0,52520.0,52878.0,52793.0,52866.0,53247.0,56344.0,0.17%,28.0,0.17%,28.0,0.18%,26.0,0.19%,26.0,0.19%,26.0,0.20%,26.0,0.20%,26.0,0.21%,26.0,0.21%,26.0,0.21%,26.0,0.21%,26.0,0.21%,26.0,0.22%,26.0
臺灣新光商業銀行,139920.0,141160.0,141949.0,143065.0,143204.0,145575.0,143809.0,145597.0,143490.0,142888.0,149993.0,157250.0,158030.0,0.61%,21.0,0.61%,21.0,0.61%,21.0,0.61%,21.0,0.60%,21.0,0.61%,21.0,0.59%,21.0,0.59%,21.0,0.58%,21.0,0.57%,21.0,0.60%,21.0,0.62%,21.0,0.62%,21.0
