,慶豐商業銀行,三信商業銀行,花蓮區中小企業銀行,中央信託局,中國農民銀行,台北富邦商業銀行,高雄區中小企業銀行,連線商業銀行,台中商業銀行,中華商業銀行,王道商業銀行,臺灣中小企業銀行,中國信託商業銀行,玉山商業銀行,凱基商業銀行,瑞興商業銀行,安泰商業銀行,聯邦商業銀行,臺北國際商業銀行,華泰商業銀行,星展(台灣)商業銀行,合作金庫銀行,大眾商業銀行,交通銀行,國泰世華商業銀行,第一商業銀行,兆豐國際商業銀行,元大商業銀行,台新國際商業銀行,花旗(台灣)商業銀行,臺東區中小企業銀行,華南商業銀行,高雄銀行,陽信商業銀行,第七商業銀行,將來商業銀行,臺灣新光商業銀行,上海商業儲蓄銀行,日盛國際商業銀行,彰化商業銀行,臺灣銀行,中華開發工業銀行,臺灣土地銀行,渣打國際商業銀行,澳盛(台灣)商業銀行,樂天國際商業銀行,匯豐(台灣)商業銀行,遠東國際商業銀行,京城商業銀行,板信商業銀行,中國輸出入銀行,永豐商業銀行
2017年1月,0.2872009789588816,0.2606120176750983,,,,0.2834950763203805,,,0.47671806321077237,,0.6494162841068534,0.5119635191056296,0.2475840462071337,0.3665506486623912,0.468397036493056,0.2661141399929652,0.4311682972493986,0.21306386496396684,,0.43135463201119084,0.3739085695262019,0.42803283201275316,,,0.18177782052568778,0.4748467632210889,0.419591793687948,0.38715324093265313,0.24761323674605903,0.22956223813460758,,0.44716555602696156,0.40140840971919106,0.4653059533092986,,,0.3119480096578454,0.3926303259342129,0.36569966909600277,0.48898116556610566,0.34335116523637127,,0.31443895677708655,0.12783176411914945,0.16247011774168324,,0.26231465564691636,0.2803390872018323,0.7161732572907052,0.4535361216730038,0.5994564958283671,0.32635772439835936
2017年2月,0.2834762273058835,0.26213091239854464,,,,0.27998634274648093,,,0.4766216840936387,,0.6481376763705979,0.5125154697568678,0.250777966847529,0.3657061957799896,0.46927070986686653,0.2554947499555081,0.4346077466081471,0.21400566587840048,,0.43372182667452724,0.3809668456014899,0.4316232593715041,,,0.1799090743721283,0.47453291068917614,0.4245408009812883,0.38710965314849954,0.2519570400229085,0.2346740927682534,,0.4485859115807977,0.40445993518755974,0.4630358705161855,,,0.31220879556259906,0.392260809982329,0.357680935675739,0.49356415114284086,0.3419120830609629,,0.3201272943528225,0.12258772855876018,0.1651243854529765,,0.25155479959876137,0.27960578201401565,0.7185435185625327,0.4583490552346675,0.6068855084067254,0.3233809450903753
2017年3月,0.2722466304266885,0.2652647733347128,,,,0.27389429681344674,,,0.47495133196126976,,0.6641346460957354,0.5220105525607497,0.23240893038556432,0.36794738694507184,0.47186539010827994,0.2609732929819523,0.4363557105492589,0.2154599510318293,,0.4311912994853184,0.3762159868979262,0.4366939622386935,,,0.1822090409898822,0.4720618486787079,0.42460434480484655,0.38899769037850523,0.24748479341900523,0.24064200668526756,,0.4486747762916438,0.4029845511775124,0.4706039019742444,,,0.3129930799581698,0.39327615338160155,0.3611482435952207,0.49590150923978404,0.3336356624730552,,0.32099734913491057,0.1359812147635019,0.1712709786913068,,0.24049562014205897,0.27182149120701293,0.7199146436529997,0.46111290264789134,0.609178892980393,0.3202096861823312
2017年4月,0.2846880948814165,0.26585893478576866,,,,0.272787899180652,,,0.47847686329265504,,0.6699750640958101,0.5266898314078962,0.25163527379228434,0.36460373411195,0.4661794898305836,0.2625220458553792,0.43448412873603814,0.21597996549764711,,0.42907715267414015,0.3686562712394811,0.43499778545759843,,,0.1844520200569993,0.470499090528855,0.4294941912421805,0.3825380281515034,0.24689731498724124,0.2376898783823419,,0.4469954289821766,0.40355691655379544,0.4695734639962066,,,0.30890021552865315,0.39808217050074973,0.36371375219683655,0.4859815667858437,0.3318098516289909,,0.32479685809356335,0.13607956782047004,0.15605154677461283,,0.25219122129823923,0.2571905020220372,0.7196049172173666,0.46518638023265685,0.6111169920991599,0.32071383544296733
2017年5月,0.28958815228618395,0.2651568746111163,,,,0.26538716542736374,,,0.475817084011591,,0.6631937323105952,0.5229667988332878,0.2500720435424294,0.36629775233989587,0.4612644925713218,0.2668594081958955,0.43169181457415723,0.22167949260042283,,0.4298622460891898,0.3750915186312666,0.43463722429606694,,,0.18468238740000362,0.4750848778853649,0.4359257446992674,0.37806751805520133,0.24359290660854194,0.2566909402008798,,0.45121211912670117,0.40435808087991276,0.47376510552987694,,,0.30512720756407535,0.39876958053730427,0.3635926233959048,0.4875457021423204,0.3429126291221195,,0.32635629748804834,0.12986978230782759,0.14211852567534045,,0.26098063138630473,0.2591659997713502,0.7161585626471663,0.4677745855738663,0.6269760229937221,0.32636016446967914
2017年6月,0.28371679304023345,0.2636603420403301,,,,0.2695728669477058,,,0.47129636683033127,,0.6580363343696656,0.5299897197364207,0.22171017432394155,0.3629102806279732,0.4548177911873423,0.2652318884510458,0.43425290052891996,0.21772210926222454,,0.42986955198014004,0.397138323585306,0.4329031533716961,,,0.18327108708799408,0.47427242791888435,0.43025188030536793,0.37027741684529375,0.24399640508399495,0.2539973087426287,,0.4563762545673773,0.4003352152434721,0.4795118617450543,,,0.30647798900369444,0.3908021203188581,0.35662786960834997,0.4831719621702899,0.347523739703424,,0.3239339626796962,0.14378132223585474,0.1368196828757972,,0.24931138873491665,0.2658159372259615,0.7181814774558675,0.46163707948606575,0.6218992429198991,0.32158613694532984
2017年7月,0.2809218715676942,0.2723402803251977,,,,0.26467146020494686,,,0.4685141975751157,,0.6628427000456089,0.5354664708863244,0.24299885516259787,0.3664883313816437,0.44755952735438265,0.2702614662960389,0.4292898620212029,0.22159119549693354,,0.4334491561480641,0.4139610317674845,0.42749425693316423,,,0.18504438523247033,0.47327106051489304,0.42828442403222966,0.36610252514560165,0.24309170075207812,0.25797973958489073,,0.457088904186587,0.4090440479065904,0.4793396502881704,,,0.2983558238081091,0.38952005118427785,0.3632045994250719,0.4819099850140138,0.3453498067996958,,0.3166824104077718,0.13771742540768458,0.1280662955336943,,0.2491898009225124,0.2601942522315067,0.7214873603762493,0.464889217443458,0.6197392993906925,0.3246717206756058
2017年8月,0.28151823495693634,0.2745575997057792,,,,0.26190056950105217,,,0.46888399662863905,,0.653008569007188,0.5283702795239285,0.2511730835968698,0.3665379478494615,0.44853725061265176,0.2655980432836147,0.4133794269365816,0.22544771279868306,,0.4295480576500907,0.4241160621400807,0.4314910479722719,,,0.1822346629804234,0.472207361300445,0.43136602415801184,0.3674822369454991,0.2425370791314504,0.27835211013431643,,0.4596408142144428,0.40728619512933695,0.4803163825483964,,,0.29739220172848285,0.3931524008350731,0.3693956122303477,0.485361098745425,0.3468996744249358,,0.32371990764320396,0.1470562811237433,0.16292120402712143,,0.2599105222621117,0.26303167002946765,0.721125837719267,0.46935087864492814,0.6154749821435285,0.33002877650549634
2017年9月,0.275576566651068,0.28878030413240113,,,,0.2608642519936176,,,0.4690949481727973,,0.6489167659321025,0.5237452304079836,0.2248239119512357,0.36824358611966423,0.4491507731264479,0.26240034945942997,0.41252118163862234,0.21797995312686202,,0.4265829169869331,0.4260448486531519,0.43281218492073925,,,0.18242118302964744,0.4717067868674275,0.4274824288838714,0.3683356285658076,0.24521889019484497,0.267603193954627,,0.4586206746004769,0.40289037510904335,0.47822117423779503,,,0.295037210421209,0.3922063887003946,0.3710745681523208,0.48485468880584304,0.35478167477939004,,0.32736004110231803,0.15605111068606384,0.1731889199791145,,0.2533036480818919,0.2662655898027581,0.7169813975740861,0.4750502832206847,0.6155970664526844,0.3249492063889987
2017年10月,0.2712062576577115,0.2909687534806412,,,,0.251862192596561,,,0.4676175024036684,,0.6489747436859215,0.5242920509852694,0.24722899849531557,0.3669434217793172,0.4410291454085864,0.2559807038701897,0.410699098025407,0.22365068865471646,,0.42576312576312575,0.43052579668741287,0.4322710534295107,,,0.18035303094485539,0.47162056039704064,0.433616189994373,0.36391974550431555,0.2459904496839832,0.25449720144233356,,0.4571161547729414,0.4073429009335377,0.4832254119001367,,,0.2942118939844238,0.3929820275638948,0.3651133105665194,0.48518031733032163,0.3585692008090808,,0.3257607689532008,0.15430683218042263,0.1745545073375262,,0.26043178887438057,0.25522033400155825,0.7173625103918613,0.47457044673539517,0.6135920527341937,0.33223771935253377
