銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,112038.0,111506.0,111186.0,111493.0,110938.0,110295.0,110383.0,110423.0,110749.0,112109.0,113526.0,117109.0,118098.0,0.12%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.12%,25.0,0.12%,25.0
臺灣土地銀行,150793.0,148398.0,146503.0,145310.0,144082.0,139946.0,138603.0,138289.0,137050.0,139480.0,142038.0,146964.0,148261.0,0.16%,24.0,0.15%,24.0,0.15%,24.0,0.15%,24.0,0.15%,24.0,0.14%,24.0,0.14%,24.0,0.14%,24.0,0.14%,24.0,0.14%,24.0,0.14%,24.0,0.15%,24.0,0.15%,24.0
合作金庫銀行,367112.0,366111.0,367145.0,368577.0,367634.0,364054.0,364847.0,364353.0,363374.0,368336.0,375449.0,383618.0,385450.0,0.38%,18.0,0.38%,18.0,0.38%,18.0,0.38%,18.0,0.37%,18.0,0.37%,18.0,0.37%,18.0,0.37%,18.0,0.37%,18.0,0.38%,18.0,0.38%,18.0,0.39%,18.0,0.38%,18.0
第一商業銀行,776255.0,772079.0,789215.0,809656.0,822821.0,823236.0,826286.0,831407.0,831719.0,834784.0,838798.0,848636.0,861934.0,0.80%,12.0,0.79%,12.0,0.81%,12.0,0.82%,12.0,0.84%,12.0,0.84%,12.0,0.85%,12.0,0.85%,12.0,0.85%,12.0,0.85%,12.0,0.85%,12.0,0.85%,12.0,0.86%,12.0
華南商業銀行,761135.0,760841.0,763579.0,765944.0,767181.0,763363.0,761510.0,763451.0,769360.0,777920.0,783501.0,787374.0,789977.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.79%,13.0,0.79%,13.0,0.79%,13.0,0.79%,13.0,0.79%,13.0
彰化商業銀行,222539.0,221685.0,224370.0,226743.0,226310.0,225439.0,233533.0,246921.0,251323.0,250856.0,253182.0,255471.0,254781.0,0.23%,22.0,0.23%,22.0,0.23%,22.0,0.23%,22.0,0.23%,22.0,0.23%,22.0,0.24%,22.0,0.25%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.26%,21.0,0.25%,20.0
上海商業儲蓄銀行,230151.0,229068.0,236382.0,243338.0,244578.0,243152.0,243751.0,229846.0,229998.0,230135.0,230136.0,231669.0,182900.0,0.24%,21.0,0.24%,21.0,0.24%,21.0,0.25%,21.0,0.25%,21.0,0.25%,21.0,0.25%,21.0,0.24%,22.0,0.24%,22.0,0.23%,22.0,0.23%,22.0,0.23%,22.0,0.18%,23.0
台北富邦商業銀行,2593594.0,2607314.0,2643505.0,2666332.0,2687538.0,2693540.0,2705117.0,2725020.0,2728250.0,2745415.0,2797359.0,2837461.0,2884044.0,2.67%,7.0,2.68%,7.0,2.70%,7.0,2.72%,7.0,2.73%,7.0,2.76%,7.0,2.77%,7.0,2.79%,7.0,2.79%,7.0,2.80%,7.0,2.83%,7.0,2.85%,7.0,2.88%,7.0
國泰世華商業銀行,5145914.0,5151296.0,5156073.0,5176869.0,5179858.0,5147707.0,5139785.0,5192743.0,5263560.0,5302993.0,5373796.0,5431713.0,5473151.0,5.29%,3.0,5.30%,3.0,5.28%,3.0,5.27%,3.0,5.27%,3.0,5.27%,3.0,5.27%,3.0,5.32%,3.0,5.38%,3.0,5.41%,3.0,5.44%,3.0,5.45%,3.0,5.46%,3.0
高雄銀行,7503.0,7366.0,7262.0,7071.0,6781.0,6393.0,6154.0,5957.0,5709.0,5663.0,5584.0,5551.0,5469.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0
