銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,222708.0,222920.0,223718.0,224958.0,226098.0,226663.0,227461.0,228497.0,230218.0,231864.0,233490.0,234262.0,234797.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0
臺灣土地銀行,341156.0,340894.0,340633.0,340522.0,340860.0,340312.0,339889.0,339953.0,344964.0,348945.0,352237.0,356812.0,357454.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0
合作金庫銀行,587075.0,590739.0,596917.0,602345.0,608902.0,614280.0,616132.0,619105.0,623544.0,628790.0,634411.0,637661.0,638045.0,0.40%,19.0,0.40%,19.0,0.40%,19.0,0.40%,19.0,0.41%,19.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,17.0,0.41%,17.0,0.41%,17.0
第一商業銀行,1281572.0,1284233.0,1317601.0,1347687.0,1364554.0,1367687.0,1371656.0,1380226.0,1391351.0,1400364.0,1413009.0,1413713.0,1427069.0,0.87%,12.0,0.87%,12.0,0.89%,12.0,0.90%,12.0,0.91%,12.0,0.91%,12.0,0.91%,12.0,0.92%,12.0,0.92%,12.0,0.92%,12.0,0.92%,12.0,0.92%,12.0,0.92%,12.0
華南商業銀行,1004756.0,1004796.0,1010472.0,1013204.0,1016235.0,1016820.0,1018385.0,1019965.0,1035364.0,1038780.0,1039706.0,1036971.0,1035931.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.68%,15.0,0.67%,15.0,0.67%,15.0
彰化商業銀行,526111.0,529266.0,536990.0,537521.0,538454.0,537815.0,559341.0,570270.0,574307.0,572862.0,568155.0,562961.0,566844.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.37%,20.0,0.38%,20.0,0.38%,20.0,0.38%,20.0,0.37%,20.0,0.37%,20.0,0.37%,20.0
上海商業儲蓄銀行,442494.0,443419.0,465405.0,480336.0,480013.0,480267.0,481582.0,442246.0,443946.0,445330.0,446153.0,446785.0,448124.0,0.30%,21.0,0.30%,21.0,0.31%,21.0,0.32%,21.0,0.32%,21.0,0.32%,21.0,0.32%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0
台北富邦商業銀行,3881530.0,3901096.0,3936780.0,3974495.0,4024569.0,4047681.0,4053299.0,4065233.0,4085717.0,4122390.0,4169566.0,4241447.0,4302518.0,2.64%,7.0,2.64%,7.0,2.65%,7.0,2.66%,7.0,2.69%,7.0,2.71%,7.0,2.70%,7.0,2.70%,7.0,2.70%,7.0,2.71%,7.0,2.72%,7.0,2.76%,7.0,2.78%,7.0
國泰世華商業銀行,7140591.0,7162679.0,7191808.0,7225828.0,7243809.0,7244092.0,7254999.0,7382598.0,7489841.0,7537472.0,7572016.0,7604456.0,7632939.0,4.86%,4.0,4.86%,4.0,4.85%,4.0,4.84%,4.0,4.83%,4.0,4.84%,4.0,4.84%,4.0,4.90%,4.0,4.94%,4.0,4.95%,4.0,4.94%,4.0,4.94%,4.0,4.94%,4.0
高雄銀行,15867.0,15953.0,16115.0,16118.0,16093.0,16036.0,16034.0,15970.0,15927.0,15879.0,15815.0,15753.0,15696.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,31.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0
