,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦商業銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)商業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)商業銀行,台新國際商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,將來商業銀行,連線商業銀行,樂天國際商業銀行,中央信託局,中國農民銀行,交通銀行,澳盛(台灣)商業銀行,中華開發工業銀行,第七商業銀行,中華商業銀行,大眾商業銀行,慶豐商業銀行,臺北國際商業銀行,高雄區中小企業銀行,花蓮區中小企業銀行,臺東區中小企業銀行,臺灣銀行-排名,臺灣銀行-市佔率,臺灣土地銀行-排名,臺灣土地銀行-市佔率,合作金庫銀行-排名,合作金庫銀行-市佔率,第一商業銀行-排名,第一商業銀行-市佔率,華南商業銀行-排名,華南商業銀行-市佔率,彰化商業銀行-排名,彰化商業銀行-市佔率,上海商業儲蓄銀行-排名,上海商業儲蓄銀行-市佔率,台北富邦商業銀行-排名,台北富邦商業銀行-市佔率,國泰世華商業銀行-排名,國泰世華商業銀行-市佔率,中國輸出入銀行-排名,中國輸出入銀行-市佔率,高雄銀行-排名,高雄銀行-市佔率,兆豐國際商業銀行-排名,兆豐國際商業銀行-市佔率,花旗(台灣)商業銀行-排名,花旗(台灣)商業銀行-市佔率,王道商業銀行-排名,王道商業銀行-市佔率,臺灣中小企業銀行-排名,臺灣中小企業銀行-市佔率,渣打國際商業銀行-排名,渣打國際商業銀行-市佔率,台中商業銀行-排名,台中商業銀行-市佔率,京城商業銀行-排名,京城商業銀行-市佔率,匯豐(台灣)商業銀行-排名,匯豐(台灣)商業銀行-市佔率,瑞興商業銀行-排名,瑞興商業銀行-市佔率,華泰商業銀行-排名,華泰商業銀行-市佔率,臺灣新光商業銀行-排名,臺灣新光商業銀行-市佔率,陽信商業銀行-排名,陽信商業銀行-市佔率,板信商業銀行-排名,板信商業銀行-市佔率,三信商業銀行-排名,三信商業銀行-市佔率,聯邦商業銀行-排名,聯邦商業銀行-市佔率,遠東國際商業銀行-排名,遠東國際商業銀行-市佔率,元大商業銀行-排名,元大商業銀行-市佔率,永豐商業銀行-排名,永豐商業銀行-市佔率,玉山商業銀行-排名,玉山商業銀行-市佔率,凱基商業銀行-排名,凱基商業銀行-市佔率,星展(台灣)商業銀行-排名,星展(台灣)商業銀行-市佔率,台新國際商業銀行-排名,台新國際商業銀行-市佔率,日盛國際商業銀行-排名,日盛國際商業銀行-市佔率,安泰商業銀行-排名,安泰商業銀行-市佔率,中國信託商業銀行-排名,中國信託商業銀行-市佔率,將來商業銀行-排名,將來商業銀行-市佔率,連線商業銀行-排名,連線商業銀行-市佔率,樂天國際商業銀行-排名,樂天國際商業銀行-市佔率,中央信託局-排名,中央信託局-市佔率,中國農民銀行-排名,中國農民銀行-市佔率,交通銀行-排名,交通銀行-市佔率,澳盛(台灣)商業銀行-排名,澳盛(台灣)商業銀行-市佔率,中華開發工業銀行-排名,中華開發工業銀行-市佔率,第七商業銀行-排名,第七商業銀行-市佔率,中華商業銀行-排名,中華商業銀行-市佔率,大眾商業銀行-排名,大眾商業銀行-市佔率,慶豐商業銀行-排名,慶豐商業銀行-市佔率,臺北國際商業銀行-排名,臺北國際商業銀行-市佔率,高雄區中小企業銀行-排名,高雄區中小企業銀行-市佔率,花蓮區中小企業銀行-排名,花蓮區中小企業銀行-市佔率,臺東區中小企業銀行-排名,臺東區中小企業銀行-市佔率
2017年1月,0.48,0.4,0.42,0.19,0.13,0.16,0.8,0.11,0.13,,1.02,0.19,0.53,,0.17,0.39,2.04,,0.26,,0.92,0.23,0.3,,0.31,0.29,0.34,0.12,0.38,0.26,1.05,1.17,0.23,0.22,0.32,0.16,,,,,,,0.47,,,,,,,,,,8.0,0.03382663847780126,11.0,0.028188865398167718,10.0,0.0295983086680761,24.5,0.013389711064129665,29.5,0.00916138125440451,27.5,0.011275546159267087,6.0,0.056377730796335436,32.0,0.007751937984496122,29.5,0.00916138125440451,,,4.0,0.07188160676532768,24.5,0.013389711064129665,7.0,0.03735024665257223,,,26.0,0.01198026779422128,12.0,0.027484143763213526,1.0,0.14376321353065535,,,19.5,0.01832276250880902,,,5.0,0.06483439041578576,21.5,0.01620859760394644,17.0,0.021141649048625786,,,16.0,0.02184637068357998,18.0,0.020436927413671594,14.0,0.02396053558844256,31.0,0.008456659619450316,13.0,0.02677942212825933,19.5,0.01832276250880902,3.0,0.07399577167019027,2.0,0.08245243128964057,21.5,0.01620859760394644,23.0,0.015503875968992244,15.0,0.022551092318534173,27.5,0.011275546159267087,,,,,,,,,,,,,9.0,0.033121916842847064,,,,,,,,,,,,,,,,,,
2017年2月,0.31,0.35,0.56,0.19,0.21,0.15,0.74,0.13,0.14,,1.07,0.19,0.66,,0.14,0.42,2.32,,0.31,,1.29,0.25,1.27,,0.34,0.3,0.34,0.12,0.4,0.26,0.92,1.08,0.23,0.29,0.36,0.15,,,,,,,0.43,,,,0.0,,,,,,17.5,0.019472361809045227,14.0,0.02198492462311558,9.0,0.03517587939698493,25.5,0.011934673366834172,24.0,0.013190954773869348,27.5,0.00942211055276382,7.0,0.046482412060301515,31.0,0.008165829145728644,29.5,0.008793969849246233,,,5.0,0.06721105527638192,25.5,0.011934673366834172,8.0,0.04145728643216081,,,29.5,0.008793969849246233,11.0,0.026381909547738697,1.0,0.14572864321608042,,,17.5,0.019472361809045227,,,2.0,0.08103015075376886,22.0,0.0157035175879397,3.0,0.07977386934673368,,,15.5,0.021356783919597996,19.0,0.01884422110552764,15.5,0.021356783919597996,32.0,0.007537688442211056,12.0,0.025125628140703522,21.0,0.016331658291457288,6.0,0.0577889447236181,4.0,0.06783919597989951,23.0,0.014447236180904524,20.0,0.018216080402010053,13.0,0.022613065326633167,27.5,0.00942211055276382,,,,,,,,,,,,,10.0,0.027010050251256284,,,,,,,33.0,0.0,,,,,,,,,,
2017年3月,0.22,0.49,0.4,0.21,0.08,0.38,1.03,0.15,0.14,,0.91,0.19,0.54,,0.2,0.47,2.68,,0.33,,0.87,0.27,0.08,,0.28,0.29,0.34,0.12,0.39,0.26,0.91,0.19,0.24,0.35,0.44,0.16,,,,,,,0.42,,,,0.0,,,,,,22.0,0.01568068424803992,7.0,0.03492516037063437,11.0,0.028510334996436217,23.0,0.014967925873129014,31.5,0.005702066999287244,13.0,0.027084818246614406,2.0,0.07341411261582326,28.0,0.01069137562366358,29.0,0.009978617248752677,,,3.5,0.0648610121168924,25.5,0.013542409123307203,6.0,0.0384889522451889,,,24.0,0.014255167498218108,8.0,0.03349964362081255,1.0,0.19101924447612267,,,16.0,0.02352102637205988,,,5.0,0.06200997861724877,19.0,0.01924447612259445,31.5,0.005702066999287244,,,18.0,0.019957234497505354,17.0,0.020669992872416255,15.0,0.024233784746970785,30.0,0.008553100498930865,12.0,0.02779757662152531,20.0,0.018531717747683543,3.5,0.0648610121168924,25.5,0.013542409123307203,21.0,0.01710620099786173,14.0,0.024946543121881687,9.0,0.03136136849607984,27.0,0.011404133998574487,,,,,,,,,,,,,10.0,0.029935851746258027,,,,,,,33.0,0.0,,,,,,,,,,
2017年4月,0.1,0.57,0.4,0.23,0.18,0.27,0.76,0.14,0.15,,0.33,0.21,0.52,,0.12,0.44,3.07,,0.31,,0.91,0.26,0.26,,0.41,0.28,0.31,0.12,0.39,0.26,0.87,,0.24,0.37,0.18,0.16,,,,,,,0.4,,,,,,,,,,31.0,0.0075642965204236025,5.0,0.04311649016641453,9.5,0.03025718608169441,22.0,0.017397881996974285,24.5,0.013615733736762484,17.0,0.020423600605143727,4.0,0.05748865355521938,28.0,0.010590015128593044,27.0,0.011346444780635402,,,13.0,0.02496217851739789,23.0,0.015885022692889564,6.0,0.03933434190620273,,,29.5,0.009077155824508323,7.0,0.03328290468986385,1.0,0.2322239031770046,,,14.5,0.023449319213313165,,,2.0,0.06883509833585479,19.0,0.019667170953101366,19.0,0.019667170953101366,,,8.0,0.031013615733736767,16.0,0.021180030257186087,14.5,0.023449319213313165,29.5,0.009077155824508323,11.0,0.02950075642965205,19.0,0.019667170953101366,3.0,0.06580937972768534,,,21.0,0.018154311649016645,12.0,0.02798789712556733,24.5,0.013615733736762484,26.0,0.012102874432677765,,,,,,,,,,,,,9.5,0.03025718608169441,,,,,,,,,,,,,,,,,,
2017年5月,0.11,0.43,0.31,0.22,0.25,0.29,0.92,0.13,0.13,,0.23,0.16,0.64,,0.13,0.36,1.79,,0.28,,1.63,0.27,0.48,,0.45,0.27,0.34,0.12,0.38,0.26,0.76,,0.23,0.35,0.27,0.14,,,,,,,0.41,,,,0.03,,,,,,31.0,0.008613938919342208,8.0,0.033672670321064996,14.0,0.02427564604541895,24.0,0.017227877838684416,21.0,0.01957713390759593,15.0,0.022709475332811275,3.0,0.07204385277995302,28.0,0.010180109631949883,28.0,0.010180109631949883,,,22.5,0.018010963194988256,25.0,0.012529365700861394,5.0,0.050117462803445575,,,28.0,0.010180109631949883,11.0,0.028191072826938137,1.0,0.14017227877838684,,,16.0,0.021926389976507442,,,2.0,0.12764291307752546,18.0,0.021143304620203605,6.0,0.03758809710258418,,,7.0,0.035238841033672676,18.0,0.021143304620203605,13.0,0.026624902114330464,30.0,0.009397024275646045,10.0,0.029757243539545813,20.0,0.020360219263899765,4.0,0.05951448707909163,,,22.5,0.018010963194988256,12.0,0.027407987470634297,18.0,0.021143304620203605,26.0,0.010963194988253721,,,,,,,,,,,,,9.0,0.03210649960845732,,,,,,,32.0,0.002349256068911511,,,,,,,,,,
2017年6月,0.13,0.27,0.22,0.19,0.05,0.2,0.56,0.12,0.11,,0.15,0.15,0.61,,0.11,0.34,1.97,,0.22,,0.71,0.22,0.26,,0.2,0.27,0.34,0.11,0.34,0.23,0.67,0.06,0.2,0.28,0.38,0.1,,,,,,,0.39,,,,0.0,,,,,,25.0,0.012795275590551184,12.5,0.026574803149606304,17.0,0.021653543307086617,22.0,0.018700787401574808,32.0,0.004921259842519686,20.0,0.019685039370078743,5.0,0.055118110236220486,26.0,0.011811023622047246,28.0,0.010826771653543309,,,23.5,0.014763779527559057,23.5,0.014763779527559057,4.0,0.06003937007874017,,,28.0,0.010826771653543309,9.0,0.03346456692913387,1.0,0.1938976377952756,,,17.0,0.021653543307086617,,,2.0,0.06988188976377954,17.0,0.021653543307086617,14.0,0.02559055118110237,,,20.0,0.019685039370078743,12.5,0.026574803149606304,9.0,0.03346456692913387,28.0,0.010826771653543309,9.0,0.03346456692913387,15.0,0.022637795275590556,3.0,0.06594488188976379,31.0,0.005905511811023623,20.0,0.019685039370078743,11.0,0.027559055118110243,7.0,0.037401574803149616,30.0,0.009842519685039372,,,,,,,,,,,,,6.0,0.03838582677165355,,,,,,,33.0,0.0,,,,,,,,,,
2017年7月,0.3,0.25,0.28,0.21,0.13,0.33,0.64,0.12,0.13,,0.13,0.19,0.51,,0.12,0.41,1.15,,0.24,,0.86,0.27,0.65,,0.17,0.29,0.38,0.12,0.35,0.25,0.72,0.44,0.19,0.3,0.46,0.13,,,,,,,0.4,,,,0.0,,,,,,14.5,0.02697841726618704,19.5,0.0224820143884892,17.0,0.025179856115107906,22.0,0.018884892086330925,27.5,0.011690647482014383,13.0,0.029676258992805744,5.0,0.05755395683453235,31.0,0.010791366906474816,27.5,0.011690647482014383,,,27.5,0.011690647482014383,23.5,0.017086330935251793,6.0,0.04586330935251797,,,31.0,0.010791366906474816,9.0,0.03687050359712229,1.0,0.10341726618705031,,,21.0,0.02158273381294963,,,2.0,0.07733812949640284,18.0,0.024280575539568337,4.0,0.05845323741007192,,,25.0,0.015287769784172657,16.0,0.02607913669064747,11.0,0.034172661870503586,31.0,0.010791366906474816,12.0,0.03147482014388488,19.5,0.0224820143884892,3.0,0.06474820143884889,8.0,0.03956834532374099,23.5,0.017086330935251793,14.5,0.02697841726618704,7.0,0.04136690647482013,27.5,0.011690647482014383,,,,,,,,,,,,,10.0,0.03597122302158272,,,,,,,33.0,0.0,,,,,,,,,,
2017年8月,0.27,0.29,0.27,0.18,0.2,0.28,0.57,0.12,0.12,,0.19,0.19,0.49,,0.15,0.49,1.31,,0.26,,1.03,0.25,0.77,,0.32,0.29,0.38,0.11,0.37,0.24,0.84,0.41,0.18,0.28,0.29,0.13,,,,,,,0.41,,,,0.0,,,,,,18.5,0.02311643835616439,14.0,0.024828767123287673,18.5,0.02311643835616439,26.5,0.015410958904109592,23.0,0.01712328767123288,16.5,0.023972602739726033,5.0,0.048801369863013706,30.5,0.010273972602739727,30.5,0.010273972602739727,,,24.5,0.016267123287671235,24.5,0.016267123287671235,6.5,0.041952054794520556,,,28.0,0.012842465753424659,6.5,0.041952054794520556,1.0,0.11215753424657536,,,20.0,0.022260273972602745,,,2.0,0.08818493150684933,21.0,0.021404109589041098,4.0,0.06592465753424659,,,12.0,0.027397260273972608,14.0,0.024828767123287673,10.0,0.03253424657534247,32.0,0.009417808219178083,11.0,0.03167808219178083,22.0,0.020547945205479454,3.0,0.07191780821917809,8.5,0.0351027397260274,26.5,0.015410958904109592,16.5,0.023972602739726033,14.0,0.024828767123287673,29.0,0.011130136986301373,,,,,,,,,,,,,8.5,0.0351027397260274,,,,,,,33.0,0.0,,,,,,,,,,
2017年9月,0.23,0.3,0.27,0.19,0.06,0.25,0.72,0.12,0.12,,0.12,0.19,0.5,,0.13,0.51,0.94,,0.29,,0.1,0.27,0.28,,0.41,0.29,0.36,0.11,0.36,0.25,0.75,0.05,0.19,0.23,0.4,0.12,,,,,,,0.42,,,,0.0,,,,,,19.5,0.024134312696747113,11.0,0.03147953830010493,15.5,0.028331584470094436,22.0,0.019937040923399787,31.0,0.006295907660020986,17.5,0.026232948583420772,3.0,0.07555089192025183,26.5,0.012591815320041971,26.5,0.012591815320041971,,,26.5,0.012591815320041971,22.0,0.019937040923399787,5.0,0.052465897166841545,,,24.0,0.013641133263378803,4.0,0.05351521511017838,1.0,0.0986358866736621,,,12.5,0.030430220356768095,,,30.0,0.01049317943336831,15.5,0.028331584470094436,14.0,0.02938090241343127,,,7.0,0.043022035676810066,12.5,0.030430220356768095,9.5,0.037775445960125914,29.0,0.01154249737670514,9.5,0.037775445960125914,17.5,0.026232948583420772,2.0,0.07869884575026231,32.0,0.005246589716684155,22.0,0.019937040923399787,19.5,0.024134312696747113,8.0,0.04197271773347324,26.5,0.012591815320041971,,,,,,,,,,,,,6.0,0.0440713536201469,,,,,,,33.0,0.0,,,,,,,,,,
2017年10月,0.21,0.37,0.28,0.21,0.14,0.33,0.64,0.13,0.12,,0.27,0.19,0.62,,0.12,0.51,1.34,,0.3,,0.14,0.26,0.48,,0.25,0.29,0.32,0.1,0.38,0.25,0.81,0.8,0.19,0.22,0.51,0.14,,,,,,,0.43,,,,0.01,,,,,,22.5,0.018485915492957743,11.0,0.032570422535211266,16.0,0.02464788732394366,22.5,0.018485915492957743,27.0,0.01232394366197183,12.0,0.029049295774647887,4.0,0.05633802816901408,29.0,0.011443661971830985,30.5,0.010563380281690139,,,17.0,0.023767605633802816,24.5,0.016725352112676055,5.0,0.05457746478873239,,,30.5,0.010563380281690139,6.5,0.044894366197183094,1.0,0.11795774647887323,,,14.0,0.026408450704225348,,,27.0,0.01232394366197183,18.0,0.02288732394366197,8.0,0.042253521126760556,,,19.5,0.022007042253521125,15.0,0.025528169014084504,13.0,0.02816901408450704,32.0,0.008802816901408451,10.0,0.03345070422535211,19.5,0.022007042253521125,2.0,0.07130281690140845,3.0,0.07042253521126761,24.5,0.016725352112676055,21.0,0.01936619718309859,6.5,0.044894366197183094,27.0,0.01232394366197183,,,,,,,,,,,,,9.0,0.037852112676056336,,,,,,,33.0,0.000880281690140845,,,,,,,,,,
