,慶豐商業銀行,三信商業銀行,花蓮區中小企業銀行,中央信託局,中國農民銀行,台北富邦商業銀行,高雄區中小企業銀行,連線商業銀行,台中商業銀行,中華商業銀行,王道商業銀行,臺灣中小企業銀行,中國信託商業銀行,玉山商業銀行,凱基商業銀行,瑞興商業銀行,安泰商業銀行,聯邦商業銀行,臺北國際商業銀行,華泰商業銀行,星展(台灣)商業銀行,合作金庫銀行,大眾商業銀行,交通銀行,國泰世華商業銀行,第一商業銀行,兆豐國際商業銀行,元大商業銀行,台新國際商業銀行,花旗(台灣)商業銀行,臺東區中小企業銀行,華南商業銀行,高雄銀行,陽信商業銀行,第七商業銀行,將來商業銀行,臺灣新光商業銀行,上海商業儲蓄銀行,日盛國際商業銀行,彰化商業銀行,臺灣銀行,中華開發工業銀行,臺灣土地銀行,渣打國際商業銀行,澳盛(台灣)商業銀行,樂天國際商業銀行,匯豐(台灣)商業銀行,遠東國際商業銀行,京城商業銀行,板信商業銀行,中國輸出入銀行,永豐商業銀行
2017年1月,0.3270668413776175,0.33005984482098744,,,,0.3711325578593706,,,0.13954975697109234,,,0.17141549276691945,0.3669496203642343,0.24747374376492748,0.23775373211396575,0.2214210341188885,0.3173108440696234,0.3145123946531658,,0.14002075718604756,0.37063490862501197,0.28091944837616917,,,0.28159953386192055,0.2161304546333813,0.14461061617650076,0.30673632972021225,0.38925263192926796,0.607236943514146,,0.27088422657687977,0.2157893205296086,0.1436019725069599,,,0.34034572862725165,0.18541174945768585,0.3350521393721621,0.21431625627055287,0.30560058956720526,,0.43442219245550745,0.590952711995043,0.5014745637748833,,0.5898417322234548,0.40183229987151553,0.10234201828493898,0.17222523990584826,,0.31242782837039407
2017年2月,0.33086766393097106,0.33149664147774976,,,,0.37620042922796776,,,0.1408971270469239,,,0.1710101605751064,0.3666958493306295,0.24787862950785636,0.23791207530721642,0.22159192027051078,0.31660074873865907,0.31496569837286714,,0.13984626547548865,0.3657690047704887,0.28013087948060816,,,0.2818092719793996,0.2158696064185988,0.14489011419130532,0.3058318961791593,0.38487557778623804,0.6050300234966496,,0.2710261934183663,0.214219103350197,0.14313512535071046,,,0.340101030110935,0.1861983929494478,0.3380452537338121,0.21525665409779474,0.3026232458635063,,0.43444961054799913,0.5958631968091028,0.5054329930852816,,0.6104234811810371,0.4029326933910183,0.10182060179683415,0.1719443880068499,,0.3129305997100066
2017年3月,0.33407550822846077,0.32809994309658064,,,,0.37069080366572293,,,0.14229861641232444,,1.3886767299440364e-05,0.1672979268487949,0.3781095630486081,0.24694779549743462,0.23288164137414263,0.22054827807108618,0.31439749263350736,0.3171572141474378,,0.14189690392230705,0.3628475305353302,0.27834016280527274,,,0.2833171426454486,0.2139101398635273,0.14640998953167614,0.3067561593349612,0.38217320812613575,0.6024510345589658,,0.26771347673370033,0.21229709903496005,0.14157316858164248,,,0.3388760376629212,0.1835283061117859,0.3353637528768105,0.21536511377067794,0.3029006155347546,,0.43359831077562205,0.5845165486287307,0.5173368847821987,,0.6199261504838113,0.40301449635543607,0.0992149420852461,0.17045397542011537,,0.31370132708627246
2017年4月,0.32566891617858224,0.3286961428950091,,,,0.36863201493003284,,,0.14342978540435203,,0.0010887507463210762,0.168731245819743,0.362881758009475,0.245678127338404,0.23488619411252087,0.21858465608465608,0.3167354642179153,0.3123789950764394,,0.14329180115457144,0.35954193620943414,0.27681368967427217,,,0.2878789660972503,0.2149950878831208,0.14488531426869228,0.30859526360175965,0.380756706047142,0.5969837729439931,,0.2680328677948256,0.21196631529356338,0.14116256839855187,,,0.34105693368816786,0.18315288603114996,0.3334454635325132,0.21881353462672182,0.30719279647377434,,0.4330235691844301,0.5754158528310234,0.53830727522561,,0.6129849831178812,0.41109207229392875,0.09840751004681936,0.16975885199966034,,0.3100576267593455
2017年5月,0.3221279041010198,0.32794933644724394,,,,0.3750050030366257,,,0.14502360913887252,,0.002508989977713059,0.1678193267098107,0.3595013399161232,0.24420481416410647,0.23102578294027587,0.2158267078432661,0.315986001482709,0.3111306553911205,,0.14565724959140788,0.35407595083041116,0.2738955291529377,,,0.29089836145981823,0.21366743330563126,0.1428455346307461,0.3096495538815313,0.37962537865460694,0.592790692974597,,0.2652103761326177,0.21218532214478736,0.13856063559243378,,,0.34369817578772804,0.18184106220768786,0.3325864166557837,0.2182720951851995,0.31169170346247826,,0.4378815039554461,0.5838309846231486,0.5639566006449844,,0.6067307203497534,0.4115239510689379,0.09696847242405639,0.1671130341627653,,0.3107118641795896
2017年6月,0.31778522640574774,0.32691227771632775,,,,0.3786407344180051,,,0.14670489354875196,,0.004705683816991088,0.16574631155752548,0.37501324723221163,0.24345205671563425,0.2332394346057326,0.2151517775949422,0.31303851731786386,0.3171745294825594,,0.14622122297946089,0.34002933633461874,0.2743089441633082,,,0.297216264327737,0.2141101142145544,0.1423159619125627,0.3102380223290766,0.3793594745629877,0.585120908695136,,0.26958110941609614,0.20814514231945425,0.13512865067651572,,,0.34267174228158825,0.17717886098493382,0.33659824784473724,0.2180481768916889,0.31013189565127125,,0.43480495956734316,0.5874291824199324,0.5383170737855756,,0.6179507952074361,0.41373125149475554,0.09309246280124434,0.1690112230457749,,0.3129036557458892
2017年7月,0.3186497766713041,0.3259996075788468,,,,0.3817581787459358,,,0.14784486845361017,,0.006974357674960726,0.16710248553587792,0.36380766731643926,0.24176011333921948,0.23267952791488736,0.21488446838082,0.315577220180065,0.3136352180122658,,0.1464685860161679,0.32725073226068035,0.2742549744067527,,,0.29674413302745756,0.21378646837182214,0.1431308022765085,0.31214585486743296,0.3779854862119013,0.5920008239722773,,0.2686621741958709,0.20597123955062535,0.13584709061899644,,,0.34902584710646883,0.17587700379552587,0.334652612867836,0.2186113084680803,0.30534941460137305,,0.4356831624700593,0.5836375184615502,0.5359693942398129,,0.628212932320513,0.41842318259025774,0.09115961199294532,0.16806031146043282,,0.3157501831896675
2017年8月,0.3158596114597823,0.3262087428048478,,,,0.38079664548516345,,,0.1475200692694924,,0.01461439467654352,0.16603154152291053,0.3605612960618606,0.24027137326149395,0.23343417281625986,0.21692035552837893,0.32351857471065065,0.3124960508156105,,0.14734656867423881,0.3226835670042962,0.2715612312274343,,,0.2930964584192604,0.21391818205200752,0.14249170284881105,0.31158754973241687,0.3762909147232304,0.576558431514089,,0.2665076784914122,0.20191938132563098,0.1348526437445825,,,0.3474899893322614,0.17472092015598534,0.33120802862710746,0.21589245288673592,0.3065961696346248,,0.4351672056975994,0.572917410504557,0.5354813026505034,,0.6237557922736016,0.413949141016564,0.08808426690216578,0.16628734585781677,,0.3102977727959452
2017年9月,0.31822352251916974,0.32570577714642684,,,,0.3855514830469914,,,0.1481764844149679,,0.019487045860631328,0.15994671603711816,0.373722512410692,0.23877324551948928,0.23140253757879425,0.21963525171999562,0.32482649944415065,0.3133548720257405,,0.14712240584166025,0.32326089975006944,0.27199673345887176,,,0.284439700561754,0.21331287362935966,0.1440353758060064,0.3089444389796052,0.37372945188471535,0.5877079159217266,,0.2665788920565641,0.20148880488514104,0.1349287937715218,,,0.34674423133464943,0.1753703913141823,0.33133521548898137,0.21609387190153043,0.3093585013104836,,0.43322052913991826,0.5756102866443892,0.5519258832822352,,0.6179886051354937,0.40860666996318884,0.08589198772971604,0.17038726963888473,,0.30964901985138527
2017年10月,0.3217135343513732,0.32481129569814166,,,,0.38426846481151417,,,0.14896965830929665,,0.024331082770692673,0.15873137118167635,0.35644737675307797,0.23868850425692217,0.2320354017528379,0.22089683148777547,0.3266610688263496,0.3117251406453641,,0.14706959706959707,0.31836462265755194,0.2709496983817944,,,0.2822944160231136,0.21314290982968076,0.1421063520183309,0.3118624963615457,0.374558760713595,0.6067891932619343,,0.2681533666880607,0.200460963262273,0.13480825958702064,,,0.3475549814823282,0.17573588019837486,0.3347323117226815,0.21658260443933686,0.3165517427700697,,0.4340992882580888,0.5849938406140434,0.5330057651991614,,0.6146422170136495,0.4133927803979959,0.08457213713029632,0.16931061084227506,,0.3036373558982553
