,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦商業銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)商業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)商業銀行,台新國際商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,將來商業銀行,連線商業銀行,樂天國際商業銀行,中央信託局,中國農民銀行,交通銀行,澳盛(台灣)商業銀行,中華開發工業銀行,第七商業銀行,中華商業銀行,大眾商業銀行,慶豐商業銀行,臺北國際商業銀行,高雄區中小企業銀行,花蓮區中小企業銀行,臺東區中小企業銀行,臺灣銀行-排名,臺灣銀行-市佔率,臺灣土地銀行-排名,臺灣土地銀行-市佔率,合作金庫銀行-排名,合作金庫銀行-市佔率,第一商業銀行-排名,第一商業銀行-市佔率,華南商業銀行-排名,華南商業銀行-市佔率,彰化商業銀行-排名,彰化商業銀行-市佔率,上海商業儲蓄銀行-排名,上海商業儲蓄銀行-市佔率,台北富邦商業銀行-排名,台北富邦商業銀行-市佔率,國泰世華商業銀行-排名,國泰世華商業銀行-市佔率,中國輸出入銀行-排名,中國輸出入銀行-市佔率,高雄銀行-排名,高雄銀行-市佔率,兆豐國際商業銀行-排名,兆豐國際商業銀行-市佔率,花旗(台灣)商業銀行-排名,花旗(台灣)商業銀行-市佔率,王道商業銀行-排名,王道商業銀行-市佔率,臺灣中小企業銀行-排名,臺灣中小企業銀行-市佔率,渣打國際商業銀行-排名,渣打國際商業銀行-市佔率,台中商業銀行-排名,台中商業銀行-市佔率,京城商業銀行-排名,京城商業銀行-市佔率,匯豐(台灣)商業銀行-排名,匯豐(台灣)商業銀行-市佔率,瑞興商業銀行-排名,瑞興商業銀行-市佔率,華泰商業銀行-排名,華泰商業銀行-市佔率,臺灣新光商業銀行-排名,臺灣新光商業銀行-市佔率,陽信商業銀行-排名,陽信商業銀行-市佔率,板信商業銀行-排名,板信商業銀行-市佔率,三信商業銀行-排名,三信商業銀行-市佔率,聯邦商業銀行-排名,聯邦商業銀行-市佔率,遠東國際商業銀行-排名,遠東國際商業銀行-市佔率,元大商業銀行-排名,元大商業銀行-市佔率,永豐商業銀行-排名,永豐商業銀行-市佔率,玉山商業銀行-排名,玉山商業銀行-市佔率,凱基商業銀行-排名,凱基商業銀行-市佔率,星展(台灣)商業銀行-排名,星展(台灣)商業銀行-市佔率,台新國際商業銀行-排名,台新國際商業銀行-市佔率,日盛國際商業銀行-排名,日盛國際商業銀行-市佔率,安泰商業銀行-排名,安泰商業銀行-市佔率,中國信託商業銀行-排名,中國信託商業銀行-市佔率,將來商業銀行-排名,將來商業銀行-市佔率,連線商業銀行-排名,連線商業銀行-市佔率,樂天國際商業銀行-排名,樂天國際商業銀行-市佔率,中央信託局-排名,中央信託局-市佔率,中國農民銀行-排名,中國農民銀行-市佔率,交通銀行-排名,交通銀行-市佔率,澳盛(台灣)商業銀行-排名,澳盛(台灣)商業銀行-市佔率,中華開發工業銀行-排名,中華開發工業銀行-市佔率,第七商業銀行-排名,第七商業銀行-市佔率,中華商業銀行-排名,中華商業銀行-市佔率,大眾商業銀行-排名,大眾商業銀行-市佔率,慶豐商業銀行-排名,慶豐商業銀行-市佔率,臺北國際商業銀行-排名,臺北國際商業銀行-市佔率,高雄區中小企業銀行-排名,高雄區中小企業銀行-市佔率,花蓮區中小企業銀行-排名,花蓮區中小企業銀行-市佔率,臺東區中小企業銀行-排名,臺東區中小企業銀行-市佔率
2017年1月,4849.0,3536.0,4223.0,3493.0,3403.0,2799.0,1511.0,2897.0,3401.0,150.0,364.0,4290.0,1279.0,328.0,2085.0,819.0,956.0,507.0,545.0,96.0,227.0,1271.0,626.0,314.0,290.0,853.0,946.0,1174.0,2002.0,2449.0,756.0,506.0,2369.0,311.0,507.0,4019.0,,,,,,,268.0,7.0,,,,723.0,,,,,1.0,0.07929810790037449,5.0,0.05782596608284682,3.0,0.0690608186560696,6.0,0.05712276570344568,7.0,0.05565095095586191,10.0,0.04577343864985527,15.0,0.024710134262211973,9.0,0.047376081375002044,8.0,0.05561824396147116,37.0,0.0024530245793062846,30.0,0.005952672979116584,2.0,0.07015650296815974,16.0,0.02091612291288492,31.0,0.005363947080083076,13.0,0.03409704165235736,22.0,0.013393514203012314,19.0,0.01563394331877872,27.5,0.008291223078055241,26.0,0.008912655971479501,38.0,0.0015699357307560223,36.0,0.0037122438633501774,17.0,0.02078529493532192,25.0,0.010237289244304894,32.0,0.005134998119347822,34.0,0.004742514186658817,21.0,0.013949533107655072,20.0,0.015470408346824968,18.0,0.01919900570737052,14.0,0.032739701385141214,11.0,0.04004971463147394,23.0,0.012363243879703674,29.0,0.008274869580859866,12.0,0.03874143485584392,33.0,0.005085937627761697,27.5,0.008291223078055241,4.0,0.06572470522821305,,,,,,,,,,,,,35.0,0.0043827372483605615,39.0,0.00011447448036762662,,,,,,,24.0,0.011823578472256293,,,,,,,,
2017年2月,4620.0,3306.0,3937.0,3240.0,3107.0,2587.0,1278.0,2713.0,3229.0,139.0,351.0,3836.0,1096.0,308.0,1960.0,745.0,938.0,483.0,493.0,92.0,214.0,1197.0,576.0,282.0,281.0,832.0,903.0,1061.0,1815.0,2261.0,693.0,454.0,2145.0,275.0,486.0,3615.0,,,,,,,231.0,7.0,,,,654.0,,,,,1.0,0.08185683912119064,5.0,0.05857547838412473,2.0,0.06975549255846918,6.0,0.057406094968107724,8.0,0.055049610205527996,10.0,0.04583628632175762,15.0,0.02264351523742027,9.0,0.048068745570517366,7.0,0.05721119773210489,37.0,0.0024627923458540044,30.0,0.006218993621545004,3.0,0.06796598157335224,17.0,0.019418851878100638,31.0,0.005457122608079376,13.0,0.03472714386959603,22.0,0.013199858256555634,19.0,0.0166194188518781,28.0,0.008557760453579023,26.0,0.008734939759036145,38.0,0.001630049610205528,36.0,0.003791637136782424,16.0,0.021208362863217575,25.0,0.010205527994330263,32.0,0.004996456413890857,33.0,0.004978738483345145,21.0,0.0147413182140326,20.0,0.01599929128277817,18.0,0.01879872430900071,14.0,0.032158043940467756,11.0,0.04006024096385542,23.0,0.012278525868178597,29.0,0.008043940467753367,12.0,0.0380049610205528,34.0,0.004872430900070872,27.0,0.008610914245216159,4.0,0.06405031892274982,,,,,,,,,,,,,35.0,0.004092841956059533,39.0,0.00012402551381998582,,,,,,,24.0,0.011587526576895818,,,,,,,,
2017年3月,4991.0,3652.0,4210.0,3482.0,3414.0,2816.0,1448.0,2903.0,3393.0,152.0,360.0,4208.0,1179.0,330.0,2083.0,801.0,965.0,505.0,546.0,95.0,221.0,1309.0,645.0,320.0,290.0,844.0,934.0,1174.0,1969.0,2581.0,796.0,502.0,2374.0,299.0,495.0,4015.0,,,,,,,265.0,,,,,713.0,,,,,1.0,0.08144715155273421,5.0,0.05959627278513031,2.0,0.06870216550531177,6.0,0.056822076078264984,7.0,0.05571239739551886,10.0,0.04595375250901614,15.0,0.023629628420829323,9.0,0.04737348847076486,8.0,0.0553697025082002,37.0,0.0024804582320207577,30.0,0.005874769496891268,3.0,0.06866952789699571,17.0,0.019239870102318903,31.0,0.0053852053721503285,13.0,0.03399206906117919,22.0,0.013071362130583072,19.0,0.015747646012500203,27.0,0.008240996099805806,26.0,0.00891006707028509,38.0,0.0015502863950129734,36.0,0.003606455718924917,16.0,0.02136131464286297,25.0,0.010525628681930188,32.0,0.005222017330570016,34.0,0.004732453205829077,21.0,0.013773070709378417,20.0,0.015241763083601234,18.0,0.019158276081528744,14.0,0.03213172538716363,11.0,0.042118833531878785,23.0,0.012989768109792915,28.0,0.008192039687331712,12.0,0.03874084107116631,33.0,0.0048793224432513585,29.0,0.008077808058225493,4.0,0.06551999869449567,,,,,,,,,,,,,35.0,0.0043244831018782945,,,,,,,,,24.0,0.011635307364676316,,,,,,,,
2017年4月,4814.0,3471.0,4122.0,3439.0,3260.0,2754.0,1378.0,2965.0,3444.0,149.0,357.0,4144.0,1159.0,307.0,2038.0,759.0,956.0,500.0,529.0,96.0,218.0,1254.0,614.0,309.0,292.0,842.0,923.0,1141.0,1922.0,2498.0,778.0,525.0,2333.0,293.0,495.0,3881.0,,,,,,,249.0,,,,,691.0,,,,,1.0,0.08036862051119384,5.0,0.057947545034140804,3.0,0.06881583999732883,7.0,0.05741331240922219,8.0,0.0544249486635837,10.0,0.04597739528205813,15.0,0.02300539241055777,9.0,0.04949999165261523,6.0,0.057496786256865724,37.0,0.002487520659777292,30.0,0.005960032721748276,2.0,0.06918312492696038,17.0,0.019349237883771013,32.0,0.005125294245312943,13.0,0.03402394029950417,23.0,0.012671330072288352,19.0,0.015960199669443564,28.0,0.008347384764353328,26.0,0.008831533080685822,38.0,0.001602697874755839,36.0,0.0036394597572580512,16.0,0.020935240988998148,25.0,0.010250588490625887,31.0,0.005158683784370357,34.0,0.004874872702382344,21.0,0.014056995943171004,20.0,0.015409272274996244,18.0,0.019048732032254295,14.0,0.03208734703417419,11.0,0.041703534282709225,22.0,0.01298853069333378,27.0,0.008764754002570995,12.0,0.03894889731047263,33.0,0.0048915674719110505,29.0,0.008263910916709794,4.0,0.06479240054091054,,,,,,,,,,,,,35.0,0.0041569976126479575,,,,,,,,,24.0,0.011536085744336299,,,,,,,,
2017年5月,4979.0,3633.0,4212.0,3716.0,3366.0,3020.0,1436.0,3031.0,3588.0,154.0,359.0,4358.0,1215.0,327.0,2088.0,795.0,972.0,510.0,551.0,97.0,218.0,1309.0,654.0,324.0,297.0,852.0,935.0,1177.0,2007.0,2593.0,917.0,532.0,2391.0,303.0,503.0,4079.0,,,,,,,256.0,,,,,720.0,,,,,1.0,0.07969715401607068,6.0,0.05815219131158562,3.0,0.06742004673944361,5.0,0.05948074398949963,8.0,0.053878413419982715,10.0,0.048340109485545985,15.0,0.022985561993789417,9.0,0.04851618273201652,7.0,0.057431891666933445,37.0,0.0024650254505874446,30.0,0.005746390498447354,2.0,0.06975701891987067,17.0,0.019448090405608732,31.0,0.005234177417805807,13.0,0.03342190351186093,23.0,0.012725293722188431,19.0,0.015558472324486986,28.0,0.008163395972724653,26.0,0.008819668982296636,38.0,0.001552645900694689,36.0,0.003489451611870538,16.0,0.02095271632999328,25.0,0.010468354835611614,32.0,0.005186157441495662,34.0,0.004753977654704357,22.0,0.013637673272081185,20.0,0.014966225949995198,18.0,0.018839837372346898,14.0,0.03212536415148702,11.0,0.04150526619073534,21.0,0.014678106092134328,27.0,0.008515542465665717,12.0,0.03827192111918558,33.0,0.004850017607324647,29.0,0.008051349361334314,4.0,0.06529116112302719,,,,,,,,,,,,,35.0,0.004097704645132375,,,,,,,,,24.0,0.011524794314434804,,,,,,,,
2017年6月,4842.0,3564.0,4183.0,3522.0,3299.0,2807.0,1455.0,3062.0,3505.0,153.0,362.0,4338.0,1186.0,336.0,2128.0,802.0,966.0,511.0,555.0,97.0,216.0,1275.0,639.0,313.0,292.0,853.0,929.0,1155.0,1958.0,2559.0,837.0,524.0,2351.0,291.0,515.0,4003.0,,,,,,,243.0,,,,,704.0,,,,,1.0,0.07894994293168107,5.0,0.05811185390510354,3.0,0.06820479373879015,6.0,0.05742703407793902,8.0,0.05379096690037502,10.0,0.045768791782162074,15.0,0.02372411544105658,9.0,0.04992662644708951,7.0,0.05714984510027719,37.0,0.002494700798956465,30.0,0.0059024947007989565,2.0,0.07073210500570683,17.0,0.01933800750040763,31.0,0.005478558617316159,13.0,0.034697537909669,23.0,0.013076797652046307,19.0,0.015750856024783957,29.0,0.008331974563834992,26.0,0.009049404858959727,38.0,0.0015816076960704385,36.0,0.0035219305397032447,16.0,0.020789173324637207,25.0,0.010419044513288766,32.0,0.005103538235773683,33.0,0.004761128322191424,21.0,0.013908364585031795,20.0,0.015147562367519974,18.0,0.018832545247024296,14.0,0.03192564813305071,11.0,0.04172509375509539,22.0,0.013647480841350073,27.0,0.00854394260557639,12.0,0.038333605087233,34.0,0.004744823088211315,28.0,0.00839719549975542,4.0,0.06526985162237078,,,,,,,,,,,,,35.0,0.00396217185716615,,,,,,,,,24.0,0.01147888472199576,,,,,,,,
2017年7月,4972.0,3653.0,4286.0,3618.0,3426.0,2905.0,1506.0,3176.0,3653.0,156.0,364.0,4511.0,1197.0,351.0,2156.0,795.0,976.0,532.0,577.0,98.0,219.0,1322.0,666.0,327.0,293.0,857.0,939.0,1199.0,2035.0,2684.0,910.0,559.0,2434.0,298.0,512.0,4196.0,,,,,,,255.0,,,,,725.0,,,,,1.0,0.07849947898575894,5.5,0.057674697653857084,3.0,0.06766869809592978,7.0,0.05712210679213111,8.0,0.05409075120780574,10.0,0.045865041523256184,15.0,0.023777195364552084,9.0,0.05014367362404876,5.5,0.057674697653857084,37.0,0.0024629764122643593,30.0,0.005746944961950172,2.0,0.07122106792131107,18.0,0.01889860747102845,31.0,0.005541696927594809,13.0,0.03403959708232025,23.0,0.012551706716347217,19.0,0.015409390886987274,28.0,0.008399381098234867,26.0,0.009109855063311124,38.0,0.0015472544128327386,36.0,0.00345763996337112,16.0,0.020872146262906944,25.0,0.010515014683128612,32.0,0.005162777479554138,34.0,0.004625974928163188,22.0,0.01353058195711895,20.0,0.014825223404591241,17.0,0.018930184091698506,14.0,0.032129211531781866,11.0,0.042375824939215004,21.0,0.01436736240487543,27.0,0.008825665477280621,12.0,0.038428747355458016,33.0,0.004704916479838328,29.0,0.008083614891534308,4.0,0.06624775016577726,,,,,,,,,,,,,35.0,0.004026019135432126,,,,,,,,,24.0,0.01144652499289526,,,,,,,,
2017年8月,4966.0,3680.0,4284.0,3615.0,3462.0,3010.0,1503.0,3242.0,3703.0,158.0,370.0,4619.0,1312.0,361.0,2160.0,795.0,973.0,537.0,593.0,98.0,213.0,1302.0,663.0,328.0,293.0,868.0,937.0,1200.0,2040.0,2658.0,910.0,575.0,2468.0,300.0,520.0,4293.0,,,,,,,250.0,,,,,719.0,,,,,1.0,0.07762043202350809,6.0,0.057519772421769984,4.0,0.06696051767795179,7.0,0.05650379818062459,8.0,0.05411235112069774,10.0,0.04704742255150208,15.0,0.023492450529869643,9.0,0.0506736690737441,5.0,0.05787927099940605,37.0,0.002469598924630342,30.0,0.005783237988058395,2.0,0.07219669261308574,16.0,0.020507049298196255,31.0,0.005642564631592109,13.0,0.03376160555190847,23.0,0.0124261464878552,19.0,0.01520835287129951,28.0,0.008393510269155023,26.0,0.009268811153834131,38.0,0.0015317765481884398,36.0,0.0033292694363687516,17.0,0.020350745568789273,25.0,0.010362937259683016,32.0,0.005126762324549064,34.0,0.004579699271624621,22.0,0.01356716371252618,20.0,0.014645659445434368,18.0,0.01875644752883804,14.0,0.031885960799024664,11.0,0.04154553127637625,21.0,0.014223639376035511,27.0,0.00898746444090156,12.0,0.038575760417643566,33.0,0.00468911188220951,29.0,0.00812779392916315,3.0,0.06710119103441808,,,,,,,,,,,,,35.0,0.003907593235174592,,,,,,,,,24.0,0.011238238144362124,,,,,,,,
2017年9月,4904.0,3633.0,4283.0,3538.0,3388.0,2924.0,1484.0,3234.0,3639.0,156.0,366.0,4598.0,1240.0,367.0,2142.0,796.0,964.0,476.0,588.0,99.0,211.0,1282.0,643.0,317.0,291.0,867.0,939.0,1163.0,1991.0,2630.0,888.0,562.0,2445.0,294.0,513.0,4174.0,,,,,,,239.0,,,,,694.0,,,,,1.0,0.07788825005558908,6.0,0.057701470728375844,3.0,0.06802515803182872,7.0,0.05619262412248658,8.0,0.053810234744766684,10.0,0.04644071026968648,15.0,0.02356977224357549,9.0,0.05136431498364093,5.0,0.05779676630348464,37.0,0.0024776849528286905,31.0,0.005813030081636542,2.0,0.0730281757250405,17.0,0.019694418855817793,30.0,0.005828912677488009,13.0,0.03402052031384009,23.0,0.012642546297766908,19.0,0.015310822400813188,29.0,0.007560115625297799,26.0,0.009338966360661987,38.0,0.0015723769892951303,36.0,0.0033512277246593183,16.0,0.020361487881579366,25.0,0.010212509132492614,32.0,0.005034782884914711,34.0,0.0046218353927765955,22.0,0.01377021060322099,20.0,0.01491375750452654,18.0,0.018471458975254915,14.0,0.031622248340268735,11.0,0.04177122708935548,21.0,0.014103745116101775,27.0,0.008926018868523872,12.0,0.038832946856834284,33.0,0.0046694831803309935,28.0,0.00814777167180204,4.0,0.06629395508401893,,,,,,,,,,,,,35.0,0.0037959404085003653,,,,,,,,,24.0,0.011022521520917379,,,,,,,,
2017年10月,5016.0,3764.0,4294.0,3624.0,3483.0,3003.0,1535.0,3293.0,3740.0,160.0,373.0,4731.0,1238.0,374.0,2188.0,847.0,989.0,539.0,608.0,101.0,210.0,1327.0,679.0,327.0,292.0,870.0,952.0,1200.0,2051.0,2705.0,930.0,570.0,2496.0,302.0,512.0,4334.0,,,,,,,252.0,,,,,707.0,,,,,1.0,0.07762783211588462,5.0,0.05825182617308407,4.0,0.06645412900829516,7.0,0.056085180141141514,8.0,0.05390305806611365,10.0,0.04647455738516776,15.0,0.02375572613594156,9.0,0.050962609879905904,6.0,0.05788040113903677,37.0,0.002476166893648632,31.0,0.005772564070818373,2.0,0.07321715983657298,17.0,0.01915934133960629,30.0,0.005788040113903677,13.0,0.03386158227064504,23.0,0.013108208493252445,19.0,0.015305806611365606,28.0,0.008341587222978829,26.0,0.009409434195864801,38.0,0.001563080351615699,36.0,0.0032499690479138293,16.0,0.02053670917419834,25.0,0.010508233254921381,32.0,0.005060666088894391,34.0,0.0045190045809087535,22.0,0.013464157484214437,20.0,0.01473319301720936,18.0,0.01857125170236474,14.0,0.0317413643679584,11.0,0.04186269654574718,21.0,0.014392720069332673,27.0,0.008821344558623252,12.0,0.03862820354091866,33.0,0.004673765011761793,29.0,0.007923734059675622,3.0,0.06707317073170732,,,,,,,,,,,,,35.0,0.0038999628574965953,,,,,,,,,24.0,0.010941562461309891,,,,,,,,
