,聯邦商業銀行,陽信商業銀行,板信商業銀行,王道商業銀行,花旗(台灣)商業銀行,上海商業儲蓄銀行,第七商業銀行,台新國際商業銀行,中華商業銀行,臺東區中小企業銀行,樂天國際商業銀行,臺灣中小企業銀行,瑞興商業銀行,台中商業銀行,永豐商業銀行,澳盛(台灣)商業銀行,星展(台灣)商業銀行
2017年1月,0.5632549268912905,0.6892523364485982,0.5393939393939394,0.3982857142857143,0.6924217157680193,0.4484033613445378,,0.16651082500179817,,,,0.7335253871083903,0.9396551724137931,0.5953360768175583,0.15247047080352688,0.2492354740061162,0.18181818181818182
2017年2月,0.6831103678929766,0.782668500687758,0.5470459518599562,0.34509112286890065,0.4796954314720812,0.4274620543593364,,0.4522204138572425,,,,0.7797818791946308,0.6779661016949152,0.6789929189614476,1.0327362569487337,0.10375275938189846,0.7926829268292683
2017年3月,0.6216640502354788,0.8282828282828283,0.8571428571428571,0.27802441731409544,0.20076563164610803,0.4301181102362205,,0.2623245367770915,,,,0.7321496033245183,0.9259259259259259,0.7717478052673583,0.3273905996758509,,0.0010787486515641855
2017年4月,0.6963667820069204,0.7749029754204398,0.6963123644251626,0.29772329246935203,0.3188277087033748,0.4733044733044733,,0.23245060949978982,,,,0.7586880124951191,0.8541666666666666,0.8340535868625756,0.2862897210204386,,0.021883289124668436
2017年5月,0.6704918032786885,0.7751842751842751,0.6428571428571429,0.14970333181195802,0.16390145801910508,0.48189315166726426,,0.17507689749771385,,,,0.787800369685767,0.9252336448598131,0.8009950248756219,0.442043721403152,,0.2116564417177914
2017年6月,0.6830249396621078,0.7232346241457859,0.5092402464065708,0.10164835164835165,0.0576,0.4565077319587629,,0.31400469759248384,,,,0.6985925163062136,0.75,0.7751235584843492,0.22444519166106255,,0.4527736131934033
2017年7月,0.6669224865694551,0.7537746806039489,0.5461393596986818,0.284992784992785,0.5281735751295337,0.4805061559507524,,0.22969046114971572,,,,0.7085953878406709,0.9357798165137615,0.7388178913738019,0.6256544502617801,,0.19545454545454546
2017年8月,0.5998520710059172,0.8329113924050633,0.7321814254859611,0.24958677685950414,0.45523415977961434,0.5417624521072797,,0.25077045999315145,,,,0.71770503343893,0.6258992805755396,0.7675718849840255,-1.0638185654008439,,0.45855194123819515
2017年9月,0.5351043643263758,0.8360655737704918,0.7692307692307693,0.275390625,0.22023567655424625,0.5860482943656573,,0.4910356464880827,,,,0.7516435354273192,0.624113475177305,0.7748987854251013,0.19156952784646178,,0.9264705882352942
2017年10月,0.8438893844781445,0.7563805104408353,0.7816901408450704,0.45172824791418353,0.49696151249155973,0.5430320489737126,,0.3745635910224439,,,,0.7677136596055515,0.8650793650793651,0.7597145122918318,0.35760296701151667,,1.8973214285714286
2017年11月,0.6057542768273717,0.7709090909090909,0.7299771167048055,0.47193585337915234,0.37198211624441135,0.531965272296764,,0.2827259571109065,,,,0.7441777140809746,0.6209150326797386,0.7204724409448819,2.500780031201248,,0.3813559322033898
2017年12月,0.5357385976855004,0.7121374865735768,0.74364896073903,0.4624724061810154,0.5273766546329723,0.5741350906095551,,0.2879296975962781,,,,0.7700385019250963,0.7448275862068966,0.5803413772807534,0.3691194209891435,0.293398533007335,0.6127401415571284
2018年1月,0.4568815331010453,0.7006237006237006,0.6794871794871795,0.3431001890359168,0.850904033379694,0.43356643356643354,,0.14574551689647783,,,,0.6893698281349459,0.9152542372881356,0.6041397153945667,0.16305780455658067,0.33574007220216606,0.18263757115749527
2018年2月,0.678498985801217,0.8753280839895013,0.7654867256637168,0.4406528189910979,0.16424581005586592,0.6038961038961039,,0.1815637720488467,,,,0.8024564994882293,0.8,0.86875,1.0670360110803323,0.4972375690607735,2.05420054200542
2018年3月,0.6445686900958466,0.8306538049303323,0.7579617834394905,0.3527367506516073,0.052378407268840195,0.5789661319073084,,0.2095953058935197,,,,0.7627291242362525,0.7862595419847328,0.8112480739599384,0.20349127182044888,0.38202247191011235,0.517566409597258
2018年4月,0.4732824427480916,0.8119369369369369,0.7948717948717948,0.03676470588235294,-0.27295733911785974,0.7103064066852368,,-2.2234927234927233,,,,0.818683212685281,0.8211382113821138,0.7894736842105263,0.21787314312662107,,0.48758620689655174
2018年5月,0.3533458411507192,0.7505422993492408,0.6816239316239316,0.11152141802067947,0.253463476070529,0.5954946131243879,,0.29887482419127986,,,,0.8011158516573679,0.9658119658119658,0.619486504279131,0.59528543027549,,0.6380458919319023
2018年6月,0.5871979098628347,0.757185332011893,0.7510460251046025,0.0684931506849315,0.18330308529945555,0.5147830892511743,,0.8364030335861322,,,,0.7245883021010789,0.6842105263157895,0.7766272189349113,-13.628571428571428,,0.5196652719665272
2018年7月,0.495743287491814,0.7568421052631579,0.7077922077922078,0.26144297905352987,0.05236842105263158,0.5752598055648676,,0.1309468554188907,,,,0.7066420664206642,0.9596774193548387,0.6700680272108843,0.2819332566168009,,0.3293172690763052
2018年8月,0.8230395558639834,0.8275862068965517,0.7543520309477756,0.29680759275237273,2.3996138996139,0.5286760219646126,,0.2804878048780488,,,,0.7629848783694938,0.782608695652174,0.714657980456026,0.34975200957756114,,0.8685403445149592
2018年9月,0.840349483717236,0.8338945005611672,0.8223350253807107,0.7942857142857143,1.123607242339833,0.5758689839572193,,0.17315518176885514,,,,0.7927335640138409,0.864,0.6600985221674877,0.2794988296847033,,0.5744167337087691
2018年10月,0.88915857605178,0.8488843813387424,0.8619909502262444,0.13360323886639677,0.013953488372093023,0.6194052267948332,,0.23006720318592883,,,,0.7551148882593641,0.8646616541353384,0.8482328482328483,0.31272032902467684,,0.5716406829992576
2018年11月,0.7091633466135459,0.8168539325842696,0.5137614678899083,0.47781217750258,0.7899076517150396,0.6236908631274829,,0.1865386004188633,,,,0.7789046653144016,0.90625,0.7190332326283988,6.22356495468278,-0.0035842293906810036,0.6186085498742665
2018年12月,0.6977676016027475,0.8192651439920556,0.8242677824267782,0.5616921269095182,0.8346824408468244,0.561292366170415,,0.40132255694342395,,,,0.7723315059658175,0.8633093525179856,0.7556125721616421,0.200155611748687,0.027855153203342618,0.5782312925170068
2019年1月,0.19278510473235067,0.689622641509434,0.6177606177606177,0.21691378363536518,0.20699624168834924,0.5670039865072064,,0.19825124910778016,,,,0.6302197802197802,0.7241379310344828,0.5838885523924894,0.20019713065381667,,0.5551181102362205
2019年2月,0.6567607726597325,0.8920521945432978,0.8753180661577609,0.29002079002079,0.5363937138130687,0.5896710293597454,,0.22973954550171216,,,,0.7113300492610838,0.823943661971831,0.7870722433460076,0.403520068684267,,0.6455399061032864
2019年3月,0.6078167115902965,0.8202898550724638,0.7961783439490446,0.2376521116678597,0.42086790044671346,0.5775038520801232,,0.29504447268106737,,,,0.6916325336454067,0.8592592592592593,0.7239010989010989,0.24789970272715522,,0.4342900302114804
