銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,148.0,292.0,348.0,530.0,673.0,909.0,1329.0,1384.0,1509.0,1642.0,1732.0,1777.0,84.0,2.47%,10.0,2.01%,10.0,1.85%,11.0,1.82%,10.0,1.93%,9.0,2.06%,9.0,2.52%,7.0,2.26%,8.0,2.17%,9.0,2.08%,9.0,2.01%,10.0,1.82%,11.0,0.90%,13.0
臺灣土地銀行,86.0,158.0,140.0,246.0,335.0,460.0,433.0,507.0,492.0,579.0,1440.0,1517.0,67.0,1.44%,13.0,1.09%,13.0,0.74%,15.0,0.84%,14.0,0.96%,13.0,1.04%,14.0,0.82%,14.0,0.83%,13.0,0.71%,14.0,0.73%,14.0,1.67%,13.0,1.56%,13.0,0.72%,17.0
合作金庫銀行,-541.0,-283.0,-399.0,-158.0,101.0,812.0,1072.0,1287.0,1525.0,1787.0,1955.0,1937.0,231.0,-9.04%,22.0,-1.95%,22.0,-2.12%,22.0,-0.54%,22.0,0.29%,18.0,1.84%,10.0,2.03%,10.0,2.10%,10.0,2.19%,8.0,2.27%,7.0,2.27%,7.0,1.99%,9.0,2.48%,10.0
第一商業銀行,401.0,801.0,474.0,921.0,1395.0,1774.0,2074.0,2462.0,2792.0,3265.0,3503.0,3672.0,409.0,6.70%,3.0,5.51%,3.0,2.52%,9.0,3.16%,7.0,4.00%,6.0,4.02%,6.0,3.93%,6.0,4.02%,5.0,4.01%,5.0,4.14%,5.0,4.07%,5.0,3.77%,6.0,4.39%,3.0
華南商業銀行,336.0,488.0,595.0,801.0,939.0,1086.0,1251.0,1382.0,1461.0,1632.0,1804.0,2002.0,324.0,5.62%,5.0,3.35%,7.0,3.17%,7.0,2.75%,9.0,2.69%,7.0,2.46%,7.5,2.37%,9.0,2.26%,9.0,2.10%,10.0,2.07%,10.0,2.09%,8.0,2.05%,7.0,3.47%,5.0
彰化商業銀行,-135.0,-84.0,-22.0,96.0,-140.0,-20.0,25.0,29.0,173.0,183.0,24.0,1039.0,13.0,-2.26%,21.0,-0.58%,20.0,-0.12%,19.0,0.33%,17.0,-0.40%,21.0,-0.05%,21.0,0.05%,20.0,0.05%,20.0,0.25%,19.0,0.23%,19.0,0.03%,21.0,1.07%,14.0,0.14%,19.0
上海商業儲蓄銀行,69.0,108.0,167.0,207.0,130.0,195.0,245.0,276.0,317.0,377.0,420.0,416.0,40.0,1.15%,14.0,0.74%,15.0,0.89%,14.0,0.71%,15.0,0.37%,16.0,0.44%,17.0,0.46%,17.0,0.45%,17.0,0.46%,17.0,0.48%,17.0,0.49%,17.0,0.43%,18.0,0.43%,18.0
台北富邦商業銀行,230.0,400.0,538.0,864.0,920.0,1086.0,1288.0,1466.0,1601.0,1688.0,1750.0,1986.0,244.0,3.84%,9.0,2.75%,9.0,2.86%,8.0,2.96%,8.0,2.64%,8.0,2.46%,7.5,2.44%,8.0,2.39%,7.0,2.30%,7.0,2.14%,8.0,2.03%,9.0,2.04%,8.0,2.62%,7.0
國泰世華商業銀行,284.0,452.0,656.0,955.0,467.0,486.0,436.0,447.0,736.0,825.0,554.0,751.0,295.0,4.75%,8.0,3.11%,8.0,3.49%,6.0,3.28%,6.0,1.34%,12.0,1.10%,13.0,0.83%,13.0,0.73%,14.0,1.06%,13.0,1.05%,13.0,0.64%,15.0,0.77%,15.0,3.16%,6.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
兆豐國際商業銀行,303.0,758.0,1032.0,1439.0,1798.0,2049.0,2226.0,2712.0,3068.0,3572.0,3905.0,4326.0,242.0,5.07%,7.0,5.21%,4.0,5.49%,3.0,4.94%,3.0,5.15%,4.0,4.65%,3.0,4.21%,4.0,4.43%,4.0,4.41%,4.0,4.53%,4.0,4.53%,4.0,4.44%,4.0,2.60%,8.0
花旗(台灣)商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
王道商業銀行,103.0,152.0,203.0,253.0,294.0,335.0,395.0,437.0,479.0,509.0,538.0,578.0,79.0,1.72%,12.0,1.04%,14.0,1.08%,13.0,0.87%,13.0,0.84%,14.0,0.76%,15.0,0.75%,15.0,0.71%,15.0,0.69%,15.0,0.65%,16.0,0.62%,16.0,0.59%,17.0,0.85%,15.0
臺灣中小企業銀行,-83.0,-29.0,41.0,120.0,220.0,276.0,309.0,369.0,428.0,514.0,566.0,640.0,82.0,-1.39%,20.0,-0.20%,19.0,0.22%,17.0,0.41%,16.0,0.63%,15.0,0.63%,16.0,0.59%,16.0,0.60%,16.0,0.62%,16.0,0.65%,15.0,0.66%,14.0,0.66%,16.0,0.88%,14.0
渣打國際商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
台中商業銀行,3.0,4.0,4.0,9.0,12.0,14.0,17.0,20.0,22.0,27.0,28.0,35.0,3.0,0.05%,17.0,0.03%,17.5,0.02%,18.0,0.03%,19.0,0.03%,20.0,0.03%,20.0,0.03%,21.0,0.03%,21.0,0.03%,21.0,0.03%,21.0,0.03%,20.0,0.04%,21.0,0.03%,20.0
京城商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
匯豐(台灣)商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
