銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,672627.0,664652.0,693681.0,681502.0,691969.0,689149.0,704956.0,698091.0,716584.0,771102.0,738982.0,745219.0,754636.0,2.20%,8.0,2.14%,8.0,2.23%,8.0,2.18%,8.0,2.22%,8.0,2.17%,8.0,2.19%,8.0,2.15%,8.0,2.15%,8.0,2.27%,8.0,2.13%,8.0,2.12%,8.0,2.17%,8.0
臺灣土地銀行,212880.0,209405.0,216656.0,220560.0,217307.0,214977.0,209806.0,209475.0,220263.0,235735.0,247815.0,250727.0,241843.0,0.69%,19.0,0.67%,19.0,0.70%,19.0,0.71%,19.0,0.70%,19.0,0.68%,19.0,0.65%,19.0,0.65%,19.0,0.66%,19.0,0.69%,19.0,0.71%,19.0,0.71%,19.0,0.69%,19.0
合作金庫銀行,491885.0,508447.0,507352.0,530655.0,500356.0,510876.0,507937.0,507854.0,522269.0,591164.0,569384.0,582017.0,542658.0,1.61%,11.0,1.63%,11.0,1.63%,11.0,1.70%,11.0,1.60%,12.0,1.61%,12.0,1.58%,12.0,1.56%,12.0,1.57%,11.0,1.74%,11.0,1.64%,11.0,1.65%,11.0,1.56%,12.0
第一商業銀行,702886.0,708005.0,709864.0,733178.0,730402.0,748913.0,759419.0,774077.0,787267.0,819631.0,865118.0,872902.0,896775.0,2.29%,6.0,2.28%,7.0,2.29%,7.0,2.35%,6.0,2.34%,6.0,2.36%,7.0,2.36%,7.0,2.38%,7.0,2.37%,7.0,2.41%,7.0,2.49%,7.0,2.48%,7.0,2.58%,7.0
華南商業銀行,497175.0,508519.0,535021.0,555737.0,598819.0,571143.0,603844.0,620605.0,625342.0,609940.0,632717.0,647153.0,641785.0,1.62%,10.0,1.63%,10.0,1.72%,10.0,1.78%,10.0,1.92%,9.0,1.80%,10.0,1.88%,9.0,1.91%,9.0,1.88%,9.0,1.80%,10.0,1.82%,9.0,1.84%,9.0,1.84%,9.0
彰化商業銀行,421880.0,429659.0,424206.0,421060.0,429502.0,455784.0,457272.0,458898.0,468614.0,474177.0,492082.0,525383.0,520829.0,1.38%,14.0,1.38%,14.0,1.37%,14.0,1.35%,14.0,1.38%,14.0,1.44%,13.0,1.42%,13.0,1.41%,13.0,1.41%,13.0,1.40%,13.0,1.42%,13.0,1.49%,13.0,1.50%,13.0
上海商業儲蓄銀行,325592.0,328257.0,331789.0,327289.0,330180.0,326932.0,330409.0,337591.0,341791.0,340016.0,338150.0,338141.0,340482.0,1.06%,16.0,1.06%,16.0,1.07%,15.0,1.05%,15.0,1.06%,16.0,1.03%,16.0,1.03%,16.0,1.04%,16.0,1.03%,15.0,1.00%,15.0,0.97%,15.0,0.96%,15.0,0.98%,15.0
台北富邦商業銀行,698554.0,737659.0,717593.0,724581.0,709235.0,753533.0,789493.0,821136.0,885638.0,898248.0,925656.0,933021.0,949821.0,2.28%,7.0,2.37%,6.0,2.31%,6.0,2.32%,7.0,2.27%,7.0,2.38%,6.0,2.45%,6.0,2.53%,6.0,2.66%,6.0,2.65%,6.0,2.67%,6.0,2.65%,6.0,2.73%,5.0
國泰世華商業銀行,587941.0,589542.0,586557.0,573324.0,582344.0,589723.0,591600.0,593245.0,606866.0,620768.0,631708.0,632989.0,631750.0,1.92%,9.0,1.90%,9.0,1.89%,9.0,1.83%,9.0,1.87%,10.0,1.86%,9.0,1.84%,10.0,1.83%,10.0,1.82%,10.0,1.83%,9.0,1.82%,10.0,1.80%,10.0,1.82%,10.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
