,上海商業儲蓄銀行,板信商業銀行,中國輸出入銀行,兆豐國際商業銀行,星展(台灣)商業銀行,陽信商業銀行,高雄銀行,高雄區中小企業銀行,安泰商業銀行,凱基商業銀行,中華商業銀行,大眾商業銀行,第七商業銀行,交通銀行,遠東國際商業銀行,中華開發工業銀行,聯邦商業銀行,國泰世華商業銀行,中央信託局,王道商業銀行,第一商業銀行,臺東區中小企業銀行,瑞興商業銀行,合作金庫銀行,台新國際商業銀行,三信商業銀行,花旗(台灣)商業銀行,日盛國際商業銀行,臺灣銀行,臺灣土地銀行,京城商業銀行,玉山商業銀行,將來商業銀行,元大商業銀行,連線商業銀行,匯豐(台灣)商業銀行,台北富邦商業銀行,台中商業銀行,華泰商業銀行,花蓮區中小企業銀行,樂天國際商業銀行,渣打國際商業銀行,華南商業銀行,臺灣中小企業銀行,彰化商業銀行,慶豐商業銀行,澳盛(台灣)商業銀行,臺北國際商業銀行,永豐商業銀行,臺灣新光商業銀行,中國農民銀行,中國信託商業銀行
2017年1月,0.7546715229827734,0.682536073199306,,0.8097111154968707,0.7278745222438842,0.7682883414807804,0.7664702444943058,,0.7337322729366493,0.8502452064417098,,,,,0.8259661880329261,,0.6780892173075715,0.7220397120633847,,0.9120150078890807,0.8002252600888844,,0.7124978462791536,0.7702273667654805,0.8106195358741612,0.8220463207270595,0.4863045204111881,0.8145528907899307,0.5999762269689155,0.8082697194820676,0.7335860193275852,0.7350650068500993,,0.696072381540079,,0.5889311406735073,0.6817816775185838,0.7845745408763719,0.6817248459958932,,,0.5872410480329967,0.7639621346673867,0.8371597874750264,0.8511493534105405,0.7506076033738582,0.6466755280723553,,0.744602269641271,0.753957049933756,,0.6996860701523281
2017年2月,0.752227387991159,0.687705220715191,,0.8022123045571,0.7429558706011188,0.7651375034985415,0.7784467543545233,,0.7385197479233253,0.7860511106636332,,,,,0.7790179991793621,,0.6744541307300312,0.7211820866338116,,0.9041678986792825,0.7946466093501902,,0.7093913235595815,0.7651517274174867,0.8224350928546872,0.8162309570382216,0.4791702111334621,0.7956928510320925,0.6147465481078198,0.8088495268774623,0.72531374982761,0.7298569531631175,,0.6864084033518479,,0.5632609144238422,0.6813689860372484,0.7785760149036418,0.6777936588439608,,,0.5662983245251517,0.7568122219297186,0.8225577022340543,0.8438199576971321,0.7192197575648928,0.688915310185149,,0.7488288695356026,0.7705046897299113,,0.6951658753903226
2017年3月,0.7553816799273174,0.6985912531539108,,0.7628688236541966,0.7218151131241054,0.761089460836795,0.7878035752111328,,0.7247474545498173,0.7705625602048896,,,,,0.7526394211659578,,0.6641130256391385,0.7294719837293239,,0.873368747877553,0.8030329984715198,,0.7198467091767774,0.7720867262548509,0.8285557411796738,0.8276851277001135,0.4909412396947807,0.7990331833923371,0.6125403743298089,0.8072649136183783,0.7215410663151675,0.7326429899130732,,0.6699467709656793,,0.5611774073103305,0.6843396088570198,0.7797159971849383,0.6676241123944778,,,0.5738604184884853,0.767986865810426,0.8345428572337589,0.8415669219179571,0.7204225219884713,0.7309252862176201,,0.7463106925428192,0.7752856673481309,,0.6827773855383383
2017年4月,0.7307617798430711,0.7062139269919796,,0.7539625143403356,0.707770094893997,0.7537400223522003,0.782156099583151,,0.7308748734537153,0.79418871996997,,,,,0.7549403260615201,,0.6771353657862238,0.7203181941420859,,0.8667527138343145,0.7964842418420156,,0.7161577567968676,0.7726703379464521,0.817739593395842,0.8290305659521379,0.4982336658697348,0.8015186948028723,0.607818472284686,0.8099935048858474,0.7293641378833773,0.7265454360906787,,0.6662023801471268,,0.5673461089050945,0.689498634291482,0.7772922233223065,0.655183391318189,,,0.5922458141739696,0.7619898044052337,0.8240818940975517,0.8370191038824423,0.7356242440532187,0.6352855131844884,,0.7577392058611427,0.7481531258574118,,0.6973359615154386
2017年5月,0.7543842222068541,0.7030242862312817,,0.7515020722357578,0.748207039218089,0.7598016400240334,0.7877797592926303,,0.7351063701898995,0.8122619009391138,,,,,0.7671309766295613,,0.6767646244113722,0.7136609217862928,,0.9231963545249712,0.8020007781148231,,0.7142499569794909,0.7774597988497328,0.8158641614981302,0.8309523978157248,0.4949000428399735,0.8043599652795055,0.5924272104101014,0.7982996899121251,0.7488593775460323,0.7246186339185022,,0.6584210052070676,,0.571423038284172,0.6765534860721938,0.7760682933647276,0.6502793635369853,,,0.5577609553257277,0.7693709868402052,0.839443355171919,0.8475464359996602,0.742135478942922,0.6387107534503607,,0.7576495658863426,0.7529983399272645,,0.7024745375391807
2017年6月,0.752480620249568,0.6875984489029119,,0.7292409013202612,0.7771190146752027,0.7646609163611295,0.7934596970630232,,0.7437699275074952,0.7929193004336857,,,,,0.7757230412456518,,0.6647603852071343,0.6978081544904375,,0.9020802960308678,0.7973686007509335,,0.7116925542406312,0.7722714514725487,0.8199225219734982,0.8184768377949246,0.5073779681721582,0.7960159717047237,0.5986848408421783,0.7986057964548621,0.7644240962198525,0.7168718644101045,,0.6541117813365742,,0.5705298802648672,0.6582849227226755,0.7728412064945329,0.6560699414593673,,,0.555758859578434,0.7607555739951857,0.8435387581317877,0.8308935095422604,0.7519535604556948,0.6763625203536202,,0.7452997122667955,0.7527277547773948,,0.6934348279606385
2017年7月,0.753362551552681,0.6886087499399702,,0.7247909440663425,0.7777869685846732,0.7615325484707303,0.782276684286445,,0.7237932922550147,0.784627774784779,,,,,0.7731072440521568,,0.674441374652382,0.6922923645718659,,0.9110183918791803,0.7903668642183281,,0.7053057223379487,0.7724913416816444,0.8130711022579324,0.8290380072704641,0.49718847771430835,0.7896935933147632,0.5927316243877491,0.8179578071772776,0.7712012331965634,0.7308094812884625,,0.6557938021405442,,0.5552855146738522,0.6656189003964652,0.7724583522384221,0.6547345451168837,,,0.5772589729431253,0.773343935092229,0.8510118349230212,0.8221509573648806,0.75427410023666,0.657287741957043,,0.7496449693968777,0.7435595590009214,,0.7198489339580533
2017年8月,0.763011193756214,0.6992240809772047,,0.7338717436823868,0.787791814116808,0.7585254668186201,0.7866619024059517,,0.6941933639519882,0.7986355293128995,,,,,0.8143985924577065,,0.6758345245480127,0.6923525243871893,,0.8468363582235549,0.7834121114637922,,0.7010686508665565,0.765107967523369,0.7956421057715286,0.824278785144243,0.505385905767007,0.7947814355099838,0.5975788094282523,0.8085727768006521,0.7782020728260267,0.7188218180670665,,0.665425498978307,,0.5194724840343777,0.6515550211653394,0.7746922610340029,0.6578757338859063,,,0.5664219249936668,0.7750280321322099,0.8524852899971981,0.8245235598307598,0.7555008178475576,0.6265347171936599,,0.7674176887978137,0.7378916566369864,,0.7097700538817637
2017年9月,0.7626276239043481,0.6765933505804057,,0.730571341403507,0.8342618434817863,0.7586498396561879,0.7898846984243649,,0.6983884098172828,0.814454024879879,,,,,0.8208539569075349,,0.6768036814076814,0.7166890824411072,,0.8992735915375087,0.7871834129047649,,0.6998410320687231,0.7718243943534808,0.8232977157498773,0.8288377107433913,0.48903341922036736,0.8188337122353392,0.5888329154220844,0.8185341324272435,0.7876225361166372,0.7190046509608287,,0.6672163358396607,,0.5309738180612628,0.6658189615872455,0.7796579108124618,0.647012199860129,,,0.5468355209187858,0.7777886117336593,0.8742622530151398,0.8240395350700823,0.7527013834189419,0.5925429376066003,,0.7562750670897442,0.7555452978384265,,0.6911521189426101
2017年10月,0.7561194514072992,0.6849097930716468,,0.7453622434699075,0.7585252832086989,0.7543964394268345,0.7879777671035476,,0.6999021778694492,0.822938790218228,,,,,0.8221976518864699,,0.6839740545964397,0.7117135659600127,,0.9152338721212988,0.7866164142374102,,0.6883981403212173,0.7734975080621519,0.8122010041639961,0.8237664711653151,0.48839692599857404,0.8134571371101459,0.5756180471921594,0.8115170136737483,0.7882685504517863,0.719923134704319,,0.6600917624967466,,0.5473901510527075,0.6583391456415602,0.7709641149732096,0.6527977044476327,,,0.5853801948123988,0.7727922056262083,0.8666435622359377,0.8159829986700495,0.75553874724121,0.6293291114189591,,0.7744719974553044,0.7644563284530254,,0.7194817265253062
