銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,745458.0,748116.0,755395.0,764397.0,774245.0,785135.0,790080.0,793687.0,801088.0,807835.0,818843.0,831240.0,837673.0,3.17%,4.0,3.17%,4.0,3.18%,4.0,3.19%,4.0,3.20%,4.0,3.22%,4.0,3.22%,4.0,3.22%,4.0,3.23%,4.0,3.23%,4.0,3.24%,4.0,3.25%,4.0,3.25%,4.0
臺灣土地銀行,881672.0,879578.0,878625.0,878161.0,879577.0,882645.0,886039.0,886646.0,885896.0,890040.0,893664.0,901472.0,904228.0,3.75%,3.0,3.72%,3.0,3.70%,3.0,3.67%,3.0,3.64%,3.0,3.61%,3.0,3.61%,3.0,3.60%,3.0,3.57%,3.0,3.56%,3.0,3.54%,3.0,3.53%,3.0,3.51%,3.0
合作金庫銀行,536603.0,538121.0,540647.0,545635.0,550505.0,555265.0,558484.0,559484.0,564925.0,569713.0,575522.0,583324.0,586019.0,2.28%,6.0,2.28%,6.0,2.27%,6.0,2.28%,6.0,2.28%,6.0,2.27%,6.0,2.28%,6.0,2.27%,6.0,2.28%,6.0,2.28%,6.0,2.28%,6.0,2.28%,6.0,2.28%,6.0
第一商業銀行,377215.0,376671.0,376307.0,377423.0,380479.0,383616.0,385244.0,386488.0,388584.0,392265.0,396454.0,404673.0,408661.0,1.60%,11.0,1.59%,11.0,1.58%,11.0,1.58%,11.0,1.57%,11.0,1.57%,12.0,1.57%,12.0,1.57%,12.0,1.57%,12.0,1.57%,12.0,1.57%,12.0,1.58%,12.0,1.59%,11.0
華南商業銀行,447053.0,448963.0,453993.0,459081.0,466115.0,471372.0,473223.0,473821.0,477332.0,481714.0,487277.0,492794.0,496143.0,1.90%,7.0,1.90%,8.0,1.91%,8.0,1.92%,8.0,1.93%,8.0,1.93%,7.0,1.93%,7.0,1.92%,7.0,1.92%,8.0,1.93%,8.0,1.93%,8.0,1.93%,8.0,1.93%,8.0
彰化商業銀行,333236.0,336058.0,339970.0,344930.0,350716.0,356260.0,359094.0,361893.0,365354.0,369875.0,376003.0,382472.0,385114.0,1.42%,13.0,1.42%,13.0,1.43%,13.0,1.44%,13.0,1.45%,13.0,1.46%,13.0,1.46%,13.0,1.47%,13.0,1.47%,13.0,1.48%,13.0,1.49%,13.0,1.50%,13.0,1.50%,13.0
上海商業儲蓄銀行,158699.0,158280.0,157845.0,157860.0,157681.0,157406.0,156570.0,156175.0,156026.0,156442.0,157498.0,158609.0,159785.0,0.67%,18.0,0.67%,18.0,0.66%,18.0,0.66%,18.0,0.65%,18.0,0.64%,18.0,0.64%,18.0,0.63%,18.0,0.63%,18.0,0.63%,18.0,0.62%,18.0,0.62%,18.0,0.62%,18.0
台北富邦商業銀行,440649.0,440934.0,445517.0,449895.0,456482.0,464676.0,469086.0,472586.0,480500.0,489764.0,502364.0,510697.0,523282.0,1.87%,9.0,1.87%,9.0,1.87%,9.0,1.88%,9.0,1.89%,9.0,1.90%,9.0,1.91%,8.0,1.92%,8.0,1.94%,7.0,1.96%,7.0,1.99%,7.0,2.00%,7.0,2.03%,7.0
國泰世華商業銀行,445710.0,455147.0,463107.0,465370.0,466180.0,465160.0,464985.0,464287.0,463782.0,463587.0,464874.0,469714.0,470746.0,1.89%,8.0,1.93%,7.0,1.95%,7.0,1.94%,7.0,1.93%,7.0,1.91%,8.0,1.89%,9.0,1.88%,9.0,1.87%,9.0,1.85%,9.0,1.84%,9.0,1.84%,9.0,1.83%,9.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄銀行,29792.0,30012.0,30279.0,30529.0,30663.0,30942.0,31035.0,30878.0,30852.0,30989.0,31100.0,31156.0,31196.0,0.13%,31.0,0.13%,30.0,0.13%,30.0,0.13%,30.0,0.13%,30.0,0.13%,30.0,0.13%,30.0,0.13%,30.0,0.12%,30.0,0.12%,30.0,0.12%,30.0,0.12%,30.0,0.12%,30.0
兆豐國際商業銀行,348575.0,353052.0,361249.0,368569.0,376481.0,385866.0,389721.0,393703.0,400936.0,406254.0,407855.0,407448.0,404534.0,1.48%,12.0,1.49%,12.0,1.52%,12.0,1.54%,12.0,1.56%,12.0,1.58%,11.0,1.59%,11.0,1.60%,11.0,1.62%,11.0,1.62%,11.0,1.61%,11.0,1.59%,11.0,1.57%,12.0
花旗(台灣)商業銀行,137115.0,137454.0,138170.0,138578.0,139475.0,140006.0,139677.0,138825.0,137978.0,134376.0,133596.0,132858.0,131886.0,0.58%,22.0,0.58%,22.0,0.58%,22.0,0.58%,22.0,0.58%,22.0,0.57%,22.0,0.57%,22.0,0.56%,22.0,0.56%,22.0,0.54%,22.0,0.53%,23.0,0.52%,23.0,0.51%,23.0
王道商業銀行,15245.0,15137.0,14949.0,14800.0,14683.0,14475.0,14257.0,14151.0,13999.0,13808.0,13617.0,13491.0,13263.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.06%,33.0,0.05%,33.0,0.05%,33.0,0.05%,34.0
臺灣中小企業銀行,151677.0,151132.0,150459.0,150146.0,150361.0,151137.0,151693.0,151437.0,151726.0,152084.0,153059.0,154830.0,156442.0,0.64%,19.0,0.64%,19.0,0.63%,19.0,0.63%,19.0,0.62%,19.0,0.62%,19.0,0.62%,19.0,0.61%,19.0,0.61%,19.0,0.61%,19.0,0.61%,19.0,0.61%,19.0,0.61%,19.0
渣打國際商業銀行,143252.0,143340.0,144288.0,145015.0,145706.0,146379.0,146649.0,146548.0,146710.0,147133.0,147915.0,148963.0,148905.0,0.61%,20.0,0.61%,20.0,0.61%,20.0,0.61%,20.0,0.60%,20.0,0.60%,20.0,0.60%,20.0,0.59%,20.0,0.59%,20.0,0.59%,20.0,0.59%,20.0,0.58%,20.0,0.58%,20.0
台中商業銀行,57615.0,57920.0,58470.0,58889.0,59390.0,59914.0,60321.0,60853.0,61393.0,62501.0,63465.0,64651.0,66299.0,0.24%,28.0,0.25%,28.0,0.25%,28.0,0.25%,28.0,0.25%,28.0,0.25%,28.0,0.25%,28.0,0.25%,28.0,0.25%,28.0,0.25%,28.0,0.25%,27.0,0.25%,27.0,0.26%,27.0
京城商業銀行,10465.0,10319.0,10173.0,10008.0,9817.0,9753.0,9638.0,9489.0,9365.0,9293.0,9255.0,9410.0,9170.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0,0.04%,35.0
匯豐(台灣)商業銀行,132660.0,132090.0,131855.0,131856.0,133128.0,133954.0,133841.0,133790.0,134154.0,134230.0,134537.0,135559.0,136218.0,0.56%,23.0,0.56%,23.0,0.55%,23.0,0.55%,23.0,0.55%,23.0,0.55%,23.0,0.55%,23.0,0.54%,23.0,0.54%,23.0,0.54%,23.0,0.53%,22.0,0.53%,22.0,0.53%,22.0
瑞興商業銀行,7061.0,7100.0,7124.0,7112.0,7081.0,7113.0,7104.0,7103.0,7151.0,7159.0,7348.0,7288.0,7283.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0,0.03%,36.0
華泰商業銀行,6982.0,6867.0,6829.0,6766.0,6644.0,6569.0,6468.0,6616.0,6535.0,6568.0,6523.0,6773.0,6765.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0,0.03%,37.0
臺灣新光商業銀行,178236.0,181201.0,185228.0,188763.0,192737.0,197416.0,201649.0,204313.0,206498.0,208002.0,208049.0,208556.0,209075.0,0.76%,17.0,0.77%,17.0,0.78%,17.0,0.79%,17.0,0.80%,17.0,0.81%,17.0,0.82%,17.0,0.83%,17.0,0.83%,17.0,0.83%,17.0,0.82%,17.0,0.82%,17.0,0.81%,17.0
陽信商業銀行,30100.0,29967.0,29774.0,29700.0,29778.0,29939.0,30007.0,29914.0,30046.0,29881.0,30138.0,30368.0,30336.0,0.13%,30.0,0.13%,31.0,0.13%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0,0.12%,31.0
板信商業銀行,22239.0,21990.0,21550.0,21056.0,20700.0,20250.0,19956.0,19763.0,19340.0,19137.0,19003.0,18850.0,18724.0,0.09%,32.0,0.09%,32.0,0.09%,32.0,0.09%,32.0,0.09%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.07%,32.0,0.07%,32.0
三信商業銀行,13948.0,13874.0,13854.0,13802.0,13639.0,13494.0,13395.0,13398.0,13322.0,13288.0,13358.0,13454.0,13465.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.05%,34.0,0.05%,34.0,0.05%,34.0,0.05%,34.0,0.05%,34.0,0.05%,34.0,0.05%,33.0
聯邦商業銀行,99048.0,99948.0,100953.0,102115.0,103338.0,104661.0,105578.0,105915.0,106794.0,108511.0,110627.0,113136.0,115020.0,0.42%,24.0,0.42%,24.0,0.42%,24.0,0.43%,24.0,0.43%,24.0,0.43%,24.0,0.43%,24.0,0.43%,24.0,0.43%,24.0,0.43%,24.0,0.44%,24.0,0.44%,24.0,0.45%,24.0
遠東國際商業銀行,138074.0,138061.0,139082.0,140366.0,141540.0,142896.0,143027.0,142994.0,143298.0,143293.0,143463.0,143292.0,143071.0,0.59%,21.0,0.58%,21.0,0.58%,21.0,0.59%,21.0,0.59%,21.0,0.59%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.57%,21.0,0.57%,21.0,0.56%,21.0,0.56%,21.0
元大商業銀行,229300.0,231485.0,234104.0,236725.0,240430.0,244496.0,247971.0,250988.0,255332.0,260107.0,264477.0,269555.0,274704.0,0.97%,16.0,0.98%,16.0,0.98%,16.0,0.99%,16.0,0.99%,16.0,1.00%,16.0,1.01%,16.0,1.02%,16.0,1.03%,16.0,1.04%,16.0,1.05%,16.0,1.05%,16.0,1.07%,16.0
永豐商業銀行,307172.0,307643.0,308549.0,310038.0,313221.0,317849.0,321535.0,324426.0,330711.0,336096.0,341058.0,342507.0,345090.0,1.30%,15.0,1.30%,15.0,1.30%,15.0,1.29%,15.0,1.30%,15.0,1.30%,15.0,1.31%,15.0,1.32%,15.0,1.33%,15.0,1.34%,15.0,1.35%,15.0,1.34%,15.0,1.34%,15.0
玉山商業銀行,405684.0,403663.0,402693.0,404736.0,408535.0,413204.0,415504.0,418087.0,422945.0,428049.0,432080.0,439821.0,445831.0,1.72%,10.0,1.71%,10.0,1.69%,10.0,1.69%,10.0,1.69%,10.0,1.69%,10.0,1.69%,10.0,1.70%,10.0,1.70%,10.0,1.71%,10.0,1.71%,10.0,1.72%,10.0,1.73%,10.0
凱基商業銀行,68574.0,68778.0,69489.0,70034.0,70520.0,71264.0,71578.0,72029.0,72206.0,72656.0,73501.0,74301.0,74988.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0,0.29%,26.0
