銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,2954734.0,2975463.0,2972196.0,2886293.0,2906592.0,3060049.0,2860075.0,2807086.0,2818445.0,2863102.0,2982067.0,3087130.0,3181395.0,3.08%,3.0,3.09%,3.0,3.06%,3.0,2.97%,3.0,2.97%,3.0,3.08%,3.0,2.88%,3.0,2.81%,3.0,2.81%,3.0,2.83%,3.0,2.93%,3.0,3.02%,3.0,3.07%,3.0
臺灣土地銀行,2175454.0,2174662.0,2190196.0,2197102.0,2209766.0,2242382.0,2250306.0,2273719.0,2272170.0,2283971.0,2288692.0,2318206.0,2335392.0,2.27%,6.0,2.26%,6.0,2.26%,5.0,2.26%,6.0,2.26%,6.0,2.26%,5.0,2.27%,6.0,2.27%,6.0,2.26%,5.0,2.26%,6.0,2.25%,6.0,2.27%,5.0,2.25%,6.0
合作金庫銀行,2395164.0,2424710.0,2472179.0,2492631.0,2504100.0,2533226.0,2572471.0,2573910.0,2585184.0,2578784.0,2575445.0,2564513.0,2563776.0,2.50%,4.0,2.52%,4.0,2.55%,4.0,2.57%,4.0,2.56%,4.0,2.55%,4.0,2.59%,4.0,2.57%,4.0,2.57%,4.0,2.55%,4.0,2.53%,4.0,2.51%,4.0,2.47%,4.0
第一商業銀行,2015990.0,2024175.0,2053740.0,2029752.0,2057672.0,2108286.0,2078633.0,2118313.0,2135804.0,2126254.0,2123339.0,2151332.0,2188595.0,2.10%,8.0,2.10%,8.0,2.11%,8.0,2.09%,8.0,2.10%,8.0,2.12%,8.0,2.09%,8.0,2.12%,8.0,2.13%,8.0,2.11%,8.0,2.09%,8.0,2.11%,8.0,2.11%,8.0
華南商業銀行,1874498.0,1887972.0,1920952.0,1922407.0,1961024.0,1973275.0,1998788.0,2022298.0,2049808.0,2049277.0,2073676.0,2100967.0,2113913.0,1.95%,9.0,1.96%,9.0,1.98%,9.0,1.98%,9.0,2.00%,9.0,1.99%,9.0,2.01%,9.0,2.02%,9.0,2.04%,9.0,2.03%,9.0,2.04%,9.0,2.06%,9.0,2.04%,9.0
彰化商業銀行,1556080.0,1567941.0,1577135.0,1567366.0,1590351.0,1596514.0,1602667.0,1638810.0,1652698.0,1640580.0,1639691.0,1628289.0,1643688.0,1.62%,12.0,1.63%,12.0,1.62%,12.0,1.62%,12.0,1.62%,12.0,1.61%,12.0,1.61%,12.0,1.64%,12.0,1.65%,12.0,1.62%,13.0,1.61%,13.0,1.60%,13.0,1.58%,13.0
上海商業儲蓄銀行,863863.0,858777.0,859263.0,850277.0,853306.0,855378.0,856320.0,853787.0,856458.0,862496.0,869690.0,878143.0,885531.0,0.90%,17.0,0.89%,17.0,0.88%,17.0,0.88%,17.0,0.87%,17.0,0.86%,17.0,0.86%,17.0,0.85%,17.0,0.85%,17.0,0.85%,17.0,0.86%,18.0,0.86%,18.0,0.85%,17.0
台北富邦商業銀行,1475381.0,1492577.0,1523289.0,1513026.0,1541218.0,1573158.0,1591495.0,1598176.0,1649558.0,1648613.0,1662580.0,1648570.0,1715639.0,1.54%,13.0,1.55%,13.0,1.57%,13.0,1.56%,13.0,1.57%,13.0,1.59%,13.0,1.60%,13.0,1.60%,13.0,1.64%,13.0,1.63%,12.0,1.64%,12.0,1.62%,12.0,1.65%,12.0
國泰世華商業銀行,1685332.0,1699903.0,1723199.0,1725515.0,1744063.0,1764413.0,1781160.0,1778363.0,1781013.0,1784244.0,1769324.0,1785221.0,1813667.0,1.76%,10.0,1.76%,10.0,1.77%,10.0,1.78%,10.0,1.78%,10.0,1.78%,10.0,1.79%,10.0,1.78%,10.0,1.77%,10.0,1.77%,10.0,1.74%,11.0,1.75%,11.0,1.75%,11.0
中國輸出入銀行,165664.0,165751.0,165589.0,162394.0,161617.0,158255.0,162689.0,165534.0,164012.0,165702.0,166820.0,163999.0,167118.0,0.17%,35.0,0.17%,35.0,0.17%,35.0,0.17%,35.0,0.17%,35.0,0.16%,35.0,0.16%,35.0,0.17%,35.0,0.16%,35.0,0.16%,35.0,0.16%,35.0,0.16%,35.0,0.16%,35.0
