,三信商業銀行,上海商業儲蓄銀行,中國信託商業銀行,中國輸出入銀行,京城商業銀行,元大商業銀行,兆豐國際商業銀行,凱基商業銀行,台中商業銀行,台北富邦商業銀行,台北富邦銀行,台新國際商業銀行,合作金庫商業銀行,合作金庫銀行,國泰世華商業銀行,大眾商業銀行,安泰商業銀行,將來商業銀行,彰化商業銀行,日盛國際商業銀行,星展(台灣)商業銀行,板信商業銀行,樂天商業銀行,樂天國際商業銀行,永豐商業銀行,渣打國際商業銀行,滙豐(台灣)商業銀行,澳盛(台灣)商業銀行,玉山商業銀行,王道商業銀行,瑞興商業銀行,第一商業銀行,聯邦商業銀行,臺灣中小企業銀行,臺灣土地銀行,臺灣新光商業銀行,臺灣銀行,花旗(台灣)商業銀行,華南商業銀行,華泰商業銀行,連線商業銀行,遠東國際商業銀行,陽信商業銀行,高雄銀行
2022年Q4,11.07,11.8,11.76,25.36,13.19,11.26,12.39,11.54,12.01,11.74,,10.71,11.06,,11.02,,15.12,74.35,9.71,15.37,9.9,8.46,,140.36,9.75,14.91,17.06,,10.07,12.09,10.22,10.09,10.0,7.89,9.75,9.71,12.72,19.31,10.27,8.33,44.63,11.63,9.12,8.11
2022年Q3,10.68,9.84,11.68,25.97,12.35,11.14,11.7,10.21,11.58,11.17,,10.08,9.99,,10.41,,15.26,104.54,9.06,14.61,9.06,7.97,,156.25,9.31,12.76,13.89,,9.53,11.78,10.0,9.9,9.43,7.65,9.47,8.98,12.2,16.95,9.74,8.51,59.47,10.38,9.1,8.09
2022年Q2,10.86,9.8,11.7,27.45,12.58,11.44,11.92,10.77,11.62,11.1,,10.31,10.66,,10.54,,15.33,196.64,9.15,14.05,9.46,8.5,,216.1,10.17,13.59,14.32,,9.51,11.98,9.78,9.88,9.78,7.77,9.54,9.46,13.18,17.55,9.55,8.1,82.33,9.85,8.71,8.58
2022年Q1,11.16,11.13,12.4,27.17,14.65,12.19,12.75,11.97,12.03,11.74,,10.25,11.88,,12.08,,16.54,698.79,9.93,14.32,9.59,8.51,,311.38,10.6,12.02,14.9,,9.93,13.0,10.51,10.72,10.05,8.1,9.7,10.01,13.4,17.95,10.03,8.08,45.19,10.41,9.24,9.6
2021年Q4,11.16,14.82,14.97,28.24,15.23,12.87,12.97,12.72,12.24,12.26,,10.73,11.98,,12.56,,16.5,,10.46,13.85,9.56,8.52,,451.0,11.43,12.71,15.87,,10.32,13.51,10.74,10.88,11.18,8.32,9.7,10.4,13.71,19.13,10.41,8.89,92.39,10.87,9.32,9.7
2021年Q3,11.17,14.43,14.8,29.0,15.74,12.81,12.91,12.62,11.91,,12.07,10.44,,11.68,12.42,,16.95,,10.32,14.1,9.83,8.28,,665.23,11.33,13.17,16.85,,10.58,12.97,10.75,10.99,10.78,8.43,9.8,10.67,13.93,17.51,10.35,9.17,216.26,10.47,9.4,9.68
2021年Q2,11.22,15.63,14.45,30.08,15.48,12.83,12.68,11.89,12.1,,12.51,10.58,,11.58,12.1,,16.93,,10.94,14.44,10.12,8.15,,288.51,11.18,11.81,17.92,,10.82,13.06,11.3,11.14,10.73,8.66,9.69,10.72,13.94,18.48,10.53,8.55,175.33,10.51,9.59,9.48
2021年Q1,10.304103242551687,13.677523088400534,14.965133688900034,28.76034874833065,15.184390939778208,13.425019219462916,12.326998367952156,11.420528471857263,10.866081937750984,,13.911890970232378,11.145738793637706,,11.79714608670985,12.447765268627617,,15.083816941914243,,9.901588451868697,14.28571566469587,9.25524420767955,8.252569768005895,,779.3995926515255,11.812558860863545,12.20504446671241,15.313500345736891,,11.395038543775339,11.577434109856222,9.064205953913019,10.832031989481978,9.223039057274992,8.187636654998583,9.359906077653532,11.242169020863688,13.086340603531552,15.181977196168745,9.928337888989057,9.52584996149569,262.33350625734965,10.64621878542578,9.411563534179896,9.355435850069618
2020年Q4,10.249090436217347,13.094726936121543,14.919951233663397,28.211106005575143,14.580995482584305,13.98503313516536,12.702355340588104,11.789291622244512,11.025784572201951,,13.812311567261002,11.346952313622783,,11.915873747023241,12.496499618046581,,15.08646529449107,,9.87106106033611,14.288951587326077,9.770518190392682,8.306495637031022,482.35547480359423,,11.777981996698031,11.964579623102638,14.011041748635893,,11.337606967000339,11.336011536895958,9.098385996514418,10.583405490415908,9.896842756656273,8.28011832389614,9.308474319260041,11.651546012130499,13.117642097001545,14.935203581252454,10.366545977873736,9.898652813415872,,11.030923098120526,9.378308364538682,9.311201712036166
2020年Q3,10.089458716488823,12.815084117747391,13.40243374198489,28.421185379218628,14.43571393663694,12.48100890584693,12.49318349541787,11.737126876542224,10.55782019683662,,11.870297096053408,10.028559147088082,,10.424822548215927,11.818455064575955,,14.594341340679943,,9.782914175224143,13.28327337468862,9.372278577649793,8.28656212601546,,,10.238151529631153,12.502326122927471,14.424113075783133,,10.051480480649587,10.575330371441098,8.724652035396678,10.669578481387749,9.403736576371816,8.30929804937561,9.353013576968761,10.313597432780472,13.272941636384886,14.784702601916798,10.279982888808876,9.993916122700881,,10.342535199819276,8.72819576104461,9.428743308473138
