,陽信商業銀行,中央信託局,華南商業銀行,王道商業銀行,中國信託商業銀行,台北富邦商業銀行,玉山商業銀行,臺灣新光商業銀行,樂天國際商業銀行,臺灣土地銀行,渣打國際商業銀行,彰化商業銀行,聯邦商業銀行,花蓮區中小企業銀行,日盛國際商業銀行,高雄銀行,澳盛(台灣)商業銀行,花旗(台灣)商業銀行,將來商業銀行,永豐商業銀行,京城商業銀行,連線商業銀行,中國農民銀行,臺北國際商業銀行,中華商業銀行,星展(台灣)商業銀行,三信商業銀行,上海商業儲蓄銀行,國泰世華商業銀行,第一商業銀行,合作金庫銀行,遠東國際商業銀行,交通銀行,台新國際商業銀行,華泰商業銀行,第七商業銀行,板信商業銀行,大眾商業銀行,高雄區中小企業銀行,慶豐商業銀行,中華開發工業銀行,中國輸出入銀行,兆豐國際商業銀行,臺灣中小企業銀行,台中商業銀行,臺灣銀行,元大商業銀行,凱基商業銀行,臺東區中小企業銀行,安泰商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行
2017年1月,0.011111111111111112,,0.006611156555605748,0.005224412253621468,0.01741022425868851,0.01315341489434142,0.0115747266860884,0.007213724261957203,,0.008268730038134999,0.012755585005679667,0.009063137930535247,0.005675869289689756,,0.007620837248146988,0.005195012787723785,0.006625794904992194,0.01024480559555647,,0.008292301550336017,0.013883474766859576,,,,,0.006411659837988303,0.005132392394727633,0.009705277814613446,0.012709361483203445,0.00969471301772062,0.006425962980184002,0.0057295460063122115,,0.008929972821821846,0.001574472551695182,,0.0011996700907250506,,,,-0.0005871654231171323,0.002153565808001325,0.00929247009419606,0.008118889762894708,0.008193373218962493,0.002847336977246727,0.009702292804983914,0.007938634688818919,,0.00562036401659968,0.014083667712844146,0.0007677543186180423
2017年2月,0.008868638379235995,,0.004484168697099873,0.0045100033909799934,0.009421280873397156,0.006839241064862479,0.010882473938725927,0.007026464347199423,,0.007401533174729051,0.013592233009708738,0.006166658261953303,0.007328302503609665,,0.0030117353826980995,0.005246422893481717,0.0023166609699593636,0.01081169128650982,,0.006678362766679356,0.012538172421893352,,,,,0.00046948356807511736,0.019859947193203994,0.0077347245381453175,0.010599322856132194,0.007816920050451835,0.0061111946918723185,0.005453536352887237,,0.008168247882154386,0.0007340604026845638,,0.0006730481603350284,,,,0.0017941561770234095,0.0022876632559687216,0.008574917600401183,0.007610562623060703,0.00886664283160529,0.0026084450208963827,0.009184361307718233,0.004030519157405872,,0.006557377049180328,0.008342372547086085,0.0
2017年3月,0.006317505604238842,,0.004869893879924408,0.006093432633716994,0.009695665967670797,0.00801688951442646,0.011543134872417983,0.009016899221720177,,0.007972239913908594,0.0009821574725814373,0.009606361259357427,0.007966605734864813,,0.004701384583591651,0.0045662100456621,-0.02709455766377762,0.010626166809627125,,0.006503556375131718,0.01386869802872594,,,,,0.0024672850495018584,0.008887876025524157,0.009109771925038646,0.011638339231421024,0.008610257842315927,0.006437135810639629,0.009053675361069196,,0.009085437272254034,0.0006323777403035413,,0.0014956625785222854,,,,,0.0019580885722618006,0.008762334495567558,0.00846820245689295,0.00842850020180916,0.002841530838861522,0.01024449755168207,0.004483411377901763,,0.008327415918920663,0.0161999222092571,0.0011463507833397019
2017年4月,0.008511839929000767,,0.006066709684422547,0.0048114128057602365,0.006323535637722604,0.009009009009009009,0.01128353124852155,0.007487720138972085,,0.006576834360127303,0.00671968005952381,0.007830184649990746,0.006888168557536467,,0.0031254803504636984,0.004751411651287701,0.0036582992800155674,0.008696957566052842,,0.005041576638512408,0.01624662724611057,,,,,-0.0014742323013707224,0.009047726758651889,0.009481362092642694,0.014493041223474626,0.009295813795481802,0.006578643289629778,0.00886385779805613,,0.007761778093998367,0.0004210526315789474,,0.001568568867642665,,,,,0.0022087014502417067,0.00819941335688966,0.008046199867050742,0.008029386140478937,0.0028636247970553765,0.009650140938484496,0.003643677971411142,,0.004889818240308831,0.008207009751858646,0.002869166029074216
2017年5月,0.010983242479305471,,0.007604802900436455,0.003067791523558638,0.008946633180405957,0.008761185895369757,0.011491747119277484,0.00801980198019802,,0.007428108076800556,-0.0010937354556455367,0.009200767083110071,0.006807806284539605,,0.005836378400324807,0.004862014654523043,0.004420832202272463,0.01009319849296054,,0.0064194879054895165,0.020888191958341962,,,,,0.002563210024999209,0.008527827648114902,0.01024643744280298,0.011876857805072872,0.010505334024875166,0.007133540951316244,0.0049126121870571565,,0.009315824073628682,0.00031542424561034594,,0.001637392080976481,,,,,0.0028276779773785763,0.009224504875585128,0.007950869112244338,0.006561064767082201,0.0029134270521318237,0.009925090422887705,0.005475954512623251,,0.0010922641994345927,0.009592481919362522,0.0013356229727151307
2017年6月,0.012594157267546133,,0.011116580779033032,0.005054990094951841,0.013137438688815862,0.010753187096175485,0.009967557414838214,0.008545161670529997,,0.009190794889230879,0.002310762551642042,0.008939892119571058,0.0073497267759562845,,0.005170682730923695,0.00519129569051344,0.002709083168853284,0.01096061030671026,,0.009486386952518742,0.01767910966844424,,,,,0.0012007077856420628,0.02275274602107151,0.01354428358973928,0.01359804348081694,0.011284643374279348,0.00715307582260372,0.01121265462612428,,0.010447661395473238,0.0006367398917542184,,0.0032653061224489797,,,,,0.001881992123514446,0.008660398113992296,0.00745136106971466,0.008055736991073372,0.002938906684426966,0.010076848694590055,0.009113907085057549,,0.0021606169392368035,0.010172983645963,0.004766444232602479
2017年7月,0.008380877434585874,,0.0073945381814134944,0.005991081458283691,0.008793279422155924,0.012053520156196164,0.011787321236190034,0.008553336580613736,,0.009666742428547077,0.005820694772969714,0.008981801902948219,0.007999135228623933,,0.004384653712007972,0.005093738945879024,0.0023967836709447967,0.008772742717696846,,0.00019631901840490797,0.014969889785251676,,,,,3.163655920782056e-05,0.00757153991760383,0.009894134430086177,0.01432069970845481,0.01060255752310712,0.007607630095580426,0.007369831546707504,,0.010298013245033112,0.00021208907741251324,,0.004736530491415038,,,,,0.001985647599804919,0.010829006982365396,0.008574098906903978,0.008186095640483964,0.0032290480808421524,0.0112566585145231,0.007279661719592073,,0.02200425888881719,0.005890639006274811,0.001520912547528517
2017年8月,0.009608758900543603,,0.009889349507369555,0.004555808656036446,0.00913594853403335,0.012123731535368951,0.011639300662103332,0.008878894209332532,,0.00864209724299461,0.00674291763514602,0.008481028721289285,0.008099989271537388,,0.002577958455207972,0.003945051074321944,0.002468754821786761,0.011994705223500662,,0.005574045292169484,0.01563414430231586,,,,,0.0010731645729436274,0.007556675062972292,0.010446437370651424,0.014680592497477758,0.01115685596656086,0.008033329447600898,0.00825897095120562,,0.008429735769685816,0.0002115730455939913,,0.0016919229071649256,,,,,0.005047060428318101,0.008316738007492695,0.007570155033548023,0.008971277633676797,0.003316103630870293,0.011379824416100713,0.0065166463193321676,,0.009718670076726343,0.010946282912810109,0.006059458435902291
2017年9月,0.007951605539491705,,0.006581380298617852,0.0015015527420400641,0.012368443240429487,0.00786810905932385,0.009896586233737351,0.008508749927646685,,0.006273314178533042,0.006524426537246463,0.011023886251948578,0.008405610879109113,,0.003361843081030306,0.003932308124429464,0.0037211124167645907,0.014672606776149722,,0.0072048323319883235,0.01529553151972031,,,,,-0.0013596408018718776,0.006138006138006138,0.010009106579503692,0.01160423106372118,0.009522719826084243,0.007492507492507493,0.00724466679252407,,0.008686210640608035,0.00031732599957689866,,0.0031654888103651354,,,,,0.0016329307705392074,0.008589012889207421,0.008806746047655321,0.009383124556842355,0.002834002424140516,0.0109409909317913,0.011390532544378698,,0.004239314059860389,0.0049649717038688914,0.006620011348590883
2017年10月,0.009517360719256667,,0.00704043219632748,0.003426632739609839,0.009202811889274567,0.010707367316291612,0.009211605106687887,0.006980267321226532,,0.007364130055422931,0.0048792722132287554,0.008476753146673517,0.006285750204286881,,0.005061176354970272,0.00412558562338298,0.0033194048502362635,0.009074392045681428,,0.005453959558527351,0.012440581284802391,,,,,0.0036273025485743125,0.006302314130969966,0.010393659867480837,0.008591966173361523,0.006763685328085349,0.0072709038485646235,0.007638953978817134,,0.00930055609069054,-0.0007508212106992023,,0.004910223525100769,,,,,0.001937720968180582,0.006556547866196598,0.006975817167153867,0.009090483107633194,0.0022197209094214046,0.012068126520681266,0.009410002604845012,,0.010417653186854815,0.008684397311176987,0.005843543826578699
