,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦商業銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)商業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)商業銀行,台新國際商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,將來商業銀行,連線商業銀行,樂天國際商業銀行,中央信託局,中國農民銀行,交通銀行,澳盛(台灣)商業銀行,中華開發工業銀行,第七商業銀行,中華商業銀行,大眾商業銀行,慶豐商業銀行,臺北國際商業銀行,高雄區中小企業銀行,花蓮區中小企業銀行,臺東區中小企業銀行,臺灣銀行-排名,臺灣銀行-市佔率,臺灣土地銀行-排名,臺灣土地銀行-市佔率,合作金庫銀行-排名,合作金庫銀行-市佔率,第一商業銀行-排名,第一商業銀行-市佔率,華南商業銀行-排名,華南商業銀行-市佔率,彰化商業銀行-排名,彰化商業銀行-市佔率,上海商業儲蓄銀行-排名,上海商業儲蓄銀行-市佔率,台北富邦商業銀行-排名,台北富邦商業銀行-市佔率,國泰世華商業銀行-排名,國泰世華商業銀行-市佔率,中國輸出入銀行-排名,中國輸出入銀行-市佔率,高雄銀行-排名,高雄銀行-市佔率,兆豐國際商業銀行-排名,兆豐國際商業銀行-市佔率,花旗(台灣)商業銀行-排名,花旗(台灣)商業銀行-市佔率,王道商業銀行-排名,王道商業銀行-市佔率,臺灣中小企業銀行-排名,臺灣中小企業銀行-市佔率,渣打國際商業銀行-排名,渣打國際商業銀行-市佔率,台中商業銀行-排名,台中商業銀行-市佔率,京城商業銀行-排名,京城商業銀行-市佔率,匯豐(台灣)商業銀行-排名,匯豐(台灣)商業銀行-市佔率,瑞興商業銀行-排名,瑞興商業銀行-市佔率,華泰商業銀行-排名,華泰商業銀行-市佔率,臺灣新光商業銀行-排名,臺灣新光商業銀行-市佔率,陽信商業銀行-排名,陽信商業銀行-市佔率,板信商業銀行-排名,板信商業銀行-市佔率,三信商業銀行-排名,三信商業銀行-市佔率,聯邦商業銀行-排名,聯邦商業銀行-市佔率,遠東國際商業銀行-排名,遠東國際商業銀行-市佔率,元大商業銀行-排名,元大商業銀行-市佔率,永豐商業銀行-排名,永豐商業銀行-市佔率,玉山商業銀行-排名,玉山商業銀行-市佔率,凱基商業銀行-排名,凱基商業銀行-市佔率,星展(台灣)商業銀行-排名,星展(台灣)商業銀行-市佔率,台新國際商業銀行-排名,台新國際商業銀行-市佔率,日盛國際商業銀行-排名,日盛國際商業銀行-市佔率,安泰商業銀行-排名,安泰商業銀行-市佔率,中國信託商業銀行-排名,中國信託商業銀行-市佔率,將來商業銀行-排名,將來商業銀行-市佔率,連線商業銀行-排名,連線商業銀行-市佔率,樂天國際商業銀行-排名,樂天國際商業銀行-市佔率,中央信託局-排名,中央信託局-市佔率,中國農民銀行-排名,中國農民銀行-市佔率,交通銀行-排名,交通銀行-市佔率,澳盛(台灣)商業銀行-排名,澳盛(台灣)商業銀行-市佔率,中華開發工業銀行-排名,中華開發工業銀行-市佔率,第七商業銀行-排名,第七商業銀行-市佔率,中華商業銀行-排名,中華商業銀行-市佔率,大眾商業銀行-排名,大眾商業銀行-市佔率,慶豐商業銀行-排名,慶豐商業銀行-市佔率,臺北國際商業銀行-排名,臺北國際商業銀行-市佔率,高雄區中小企業銀行-排名,高雄區中小企業銀行-市佔率,花蓮區中小企業銀行-排名,花蓮區中小企業銀行-市佔率,臺東區中小企業銀行-排名,臺東區中小企業銀行-市佔率
2017年1月,0.4955131906714829,0.5515244668304459,0.6129633473534714,0.6716770547826479,0.7367709950931143,0.4927144805281006,0.49606080266938546,0.7296031159861467,0.7118295110116245,,0.4392839864537978,0.6879249222797065,0.8474197879689166,,0.38046813814372044,0.607372769704011,0.3928424536801285,,0.6873684084907317,,0.5973320158102767,0.5345902119111915,0.5595360594130279,,0.648521544882723,0.5463282988966182,0.6172401486928885,0.6448786704189454,0.5970953663561777,0.6966053540040754,0.40219969150667895,0.4522772277227723,0.7001638051198465,0.5635394958176171,0.38370996298972426,0.6438093565857097,,,,,,,0.6108647924933754,,,,0.5421442783145982,,,,,,26.0,0.025697994326651437,21.0,0.02860281600256081,14.0,0.03178912069200202,9.0,0.034834094163580055,2.0,0.03820995527139621,27.0,0.025552849376445128,25.0,0.025726394236644218,3.0,0.03783821922058521,4.0,0.036916455666358795,,,29.0,0.022781870602437214,7.0,0.03567673087763761,1.0,0.04394835357259978,,,33.0,0.019731599964552975,16.0,0.031499185660153826,31.0,0.02037334895617898,,,8.0,0.035647869308539124,,,17.0,0.030978458378914702,24.0,0.027724582294490697,20.0,0.029018308192497545,,,10.0,0.03363321763144854,22.0,0.028333335600025246,13.0,0.03201092148081174,11.0,0.03344429316068723,18.0,0.030966185413344196,6.0,0.03612690998367398,30.0,0.020858628155818376,28.0,0.023455717932237743,5.0,0.03631145614370826,19.0,0.029225931900501823,32.0,0.019899725451561122,12.0,0.03338883707730292,,,,,,,,,,,,,15.0,0.03168028675598544,,,,,,,23.0,0.02811634654866692,,,,,,,,,,
2017年2月,0.506755947340375,0.5425494447674049,0.6154150560579295,0.6679831620002201,0.7356343596604817,0.4877169610780603,0.49375376300424256,0.7364196205263694,0.7082502327715331,,0.42864054184808903,0.6787069299908937,0.8423980784707761,,0.3789609347974493,0.6031465225019713,0.3908385973832946,,0.683282403761899,,0.5957530864197531,0.530961646218611,0.5498605571049211,,0.6493843162670123,0.5497933270537797,0.6270849723967766,0.64478048895657,0.5527450193530014,0.6951366757829975,0.4036808955002105,0.447944770671322,0.6972841561832361,0.5549103645329277,0.38079912557687634,0.6435111107874635,,,,,,,0.6035931781420276,,,,0.5411577029788005,,,,,,25.0,0.026436451411973084,22.0,0.028303727090848708,14.0,0.03210498132890074,9.0,0.03484735502151649,3.0,0.03837658365572142,27.0,0.025443225307970725,26.0,0.025758153276044537,2.0,0.03841754915565431,4.0,0.03694800813774581,,,29.0,0.022361325835920747,8.0,0.035406792701383125,1.0,0.04394623484522021,,,33.0,0.01976963939424588,16.0,0.03146495629722528,31.0,0.020389273463636687,,,7.0,0.03564548608163603,,,17.0,0.031079255419355155,24.0,0.027699214652633235,20.0,0.028685133302443506,,,10.0,0.033877090174847656,21.0,0.02868162604418684,13.0,0.032713777689146524,11.0,0.03363691764674929,19.0,0.02883560996970564,6.0,0.03626389991171505,30.0,0.021059230653024907,28.0,0.02336838911758408,5.0,0.03637592969953901,18.0,0.028948571727608452,32.0,0.019865534156766784,12.0,0.03357069670851042,,,,,,,,,,,,,15.0,0.03148825743495875,,,,,,,23.0,0.02823112268558114,,,,,,,,,,
2017年3月,0.5171889322420241,0.5372777003469738,0.6166203241082678,0.6636252222934952,0.7393643514747441,0.48643745763197344,0.501523076198158,0.7428407365433455,0.7056774100274908,,0.4217555405013065,0.6749605455933294,0.8500283594404436,,0.37918407947941724,0.6061916799117905,0.390151109727263,,0.6820253389855164,,0.5925380461462936,0.5298815864848021,0.5371747414856793,,0.653235294117647,0.5494225101333879,0.640229310068833,0.6477044337559549,0.5747664054194803,0.6949055671805839,0.4067084265288715,0.4462652135868268,0.699836848567443,0.5555857193191204,0.37952491807981287,0.6418074821242546,,,,,,,0.6043681602216623,,,,0.5631701308164753,,,,,,25.0,0.026892136020365533,22.0,0.027936686378429033,14.0,0.03206224378576141,9.0,0.03450634503545528,3.0,0.038444532488880995,27.0,0.02529315973435849,26.0,0.026077562650087052,2.0,0.038625293163164424,4.0,0.03669292151069848,,,29.0,0.021929911209307068,8.0,0.035095744840846536,1.0,0.04419869962055457,,,33.0,0.019716334218354375,15.0,0.03151998833372783,31.0,0.020286583987401092,,,7.0,0.03546309103295253,,,17.0,0.030810043952663284,24.0,0.02755211260353906,23.0,0.02793133285376943,,,10.0,0.033966102690099004,21.0,0.02856817683840833,13.0,0.03328983397993307,11.0,0.033678516007778686,18.0,0.02988597665358411,6.0,0.03613282084927623,30.0,0.021147510406748313,28.0,0.0232043341935214,5.0,0.03638923138233855,20.0,0.028888643595162362,32.0,0.01973405671284608,12.0,0.03337189377458869,,,,,,,,,,,,,16.0,0.03142517126304892,,,,,,,19.0,0.029283008232350395,,,,,,,,,,
2017年4月,0.5237202317616212,0.5347396950128697,0.616851550709041,0.6607287214115748,0.7406777153780059,0.482250554930375,0.504397731987277,0.742280701451368,0.7049973741474752,,0.41429401510749564,0.6697167509788411,0.8484187818823467,,0.3792525629768868,0.607505067992483,0.3900697861767075,,0.6839198927146821,,0.5846468184471687,0.5312009303763974,0.5412216723104976,,0.659580767408811,0.5528661711459467,0.6747903906989964,0.6556325138484611,0.57057919375883,0.6949317681036282,0.4034756148050012,0.44356578001437813,0.6973070084787532,0.5647408744763095,0.3801176085157894,0.6416569344609955,,,,,,,0.6005771742988336,,,,0.5599795778852728,,,,,,25.0,0.027191143161713432,23.0,0.02776326504026312,14.0,0.032026448106531984,10.0,0.03430451635318047,3.0,0.03845540533691115,27.0,0.025038070106285525,26.0,0.026187934147161723,2.0,0.038538631115033965,4.0,0.03660291003957511,,,29.0,0.021509819924154593,9.0,0.03477116779011883,1.0,0.04404923690202179,,,33.0,0.019690495247174384,15.0,0.03154118606357145,31.0,0.02025211698107068,,,7.0,0.03550858375548323,,,17.0,0.030354403697493763,24.0,0.027579535159287807,22.0,0.02809980421133528,,,11.0,0.034244915482831775,21.0,0.028704377446583565,8.0,0.035034587180119585,12.0,0.034039925258495585,18.0,0.029624023670815746,6.0,0.036080311678180835,30.0,0.02094813707601184,28.0,0.023029586971346577,5.0,0.036203632293208936,19.0,0.029320902718430873,32.0,0.0197354077322441,13.0,0.0333143241515568,,,,,,,,,,,,,16.0,0.031181495263390764,,,,,,,20.0,0.029073699938414566,,,,,,,,,,
2017年5月,0.5271486527496047,0.5303070391461682,0.6126105516684723,0.6555258711120987,0.7425517532829602,0.47923993018800454,0.50525598061029,0.7398132121426717,0.7026465434728719,,0.4067370051301907,0.6631059125427067,0.8429238756950393,,0.3769089892266942,0.6069097877199853,0.38775391561741523,,0.6834567638857229,,0.5827526132404182,0.532333472905923,0.5497266463223955,,0.6681708784596871,0.5564324239958526,0.6721860995295534,0.6642027891453772,0.5594225319957563,0.6953186102422871,0.41219815549245536,0.4432724051856027,0.6950912214800768,0.5737925358341399,0.38612741605311074,0.640723342861014,,,,,,,0.6009194030735707,,,,0.560178228927926,,,,,,25.0,0.027376176035995965,24.0,0.02754019910905329,14.0,0.03181443074265218,12.0,0.03404313290019667,2.0,0.038562609252019965,27.0,0.024888153699857994,26.0,0.026239233651228253,3.0,0.038420389815534056,4.0,0.03649022977648473,,,30.0,0.021122891606984658,11.0,0.034436783813429746,1.0,0.04377518994994469,,,33.0,0.019573846551250672,15.0,0.031518375509314474,31.0,0.020137051279976066,,,7.0,0.035493655505964325,,,17.0,0.030263831733786644,23.0,0.02764543699032828,22.0,0.028548708913324415,,,9.0,0.0346998204309689,21.0,0.02889695707651191,8.0,0.03490834111722836,10.0,0.03449374741716438,20.0,0.02905224102259625,5.0,0.036109671486040225,29.0,0.021406503094743533,28.0,0.023020268254435924,6.0,0.03609786260679828,18.0,0.029798512027303513,32.0,0.020052583003024933,13.0,0.03327439979793835,,,,,,,,,,,,,16.0,0.03120727953335365,,,,,,,19.0,0.029091486294564664,,,,,,,,,,
2017年6月,0.5316589294925207,0.5276747031650438,0.6112984134892071,0.6567162949607322,0.7436207762920839,0.4787649974194187,0.5113948789294114,0.741019147178216,0.7030349588986664,,0.3994002708454246,0.6573379345561166,0.8451380862043869,,0.38072056018395195,0.6100763257168961,0.38823961388133327,,0.6838052921508441,,0.5798537617856455,0.5331537229081289,0.5447207772666696,,0.6737730806608357,0.5600250779833801,0.6666426250654498,0.7081804317977916,0.5652874028911826,0.6972168138785063,0.41836123363317473,0.4424413904607922,0.6947386093155019,0.5842718784434263,0.3957978454365229,0.6427810311869162,,,,,,,0.5979320264144525,,,,0.560669115917362,,,,,,24.0,0.027496165613105746,25.0,0.02729011067663554,14.0,0.03161493484624054,12.0,0.03396384224055344,2.0,0.038458340270500505,27.0,0.024760614236965756,26.0,0.026448155959985755,3.0,0.03832379005228623,5.0,0.036359336012906494,,,30.0,0.02065605481989667,11.0,0.03399599199732074,1.0,0.043708579871686276,,,33.0,0.019689983548521597,15.0,0.03155173130367371,32.0,0.020078851550634106,,,8.0,0.03536482228944162,,,18.0,0.02998869045735603,23.0,0.02757347285847107,22.0,0.028171694057542843,,,9.0,0.03484597960046756,21.0,0.028963196962424206,10.0,0.03447720899007873,4.0,0.03662544792628513,19.0,0.029235352190425404,6.0,0.03605843505900342,29.0,0.021636671798329732,28.0,0.02288204160854571,7.0,0.03593026807203573,17.0,0.03021718519445434,31.0,0.02046974574060298,13.0,0.03324314274820616,,,,,,,,,,,,,16.0,0.030923656336149234,,,,,,,20.0,0.028996505109267132,,,,,,,,,,
2017年7月,0.5273770075943748,0.5258646032996626,0.6112338101474957,0.6557786241473543,0.745799176602252,0.47648797496311196,0.513386366526068,0.7424390730739261,0.7037283096551332,,0.41371362719677324,0.6528648747105201,0.8514830431558038,,0.3835761735574432,0.610888154283414,0.38504268562949256,,0.6854639272297858,,0.58220688332854,0.5334779724424434,0.5424024113899697,,0.6724725943970767,0.5632139623394744,0.6617321422412307,0.7062508343019376,0.5677781728780249,0.6969826072874783,0.4224555149988038,0.43633414436334145,0.6998523786524754,0.5868968359463429,0.40614616936701825,0.6421922859991123,,,,,,,0.5979926589514265,,,,0.5696524965666251,,,,,,24.0,0.027222033137841033,25.0,0.027143966177705117,14.0,0.03155053556601325,11.0,0.033849840210245626,2.0,0.03849650175734664,27.0,0.02459525397854481,26.0,0.02649986723129469,3.0,0.03832306065491425,5.0,0.03632489678086836,,,30.0,0.02135498117466109,12.0,0.0336994389174652,1.0,0.04395166888831248,,,33.0,0.019799352563921593,15.0,0.03153269357584147,32.0,0.01987505066916223,,,8.0,0.03538212981062642,,,18.0,0.03005222989023178,23.0,0.027536951431348943,22.0,0.027997611204656794,,,9.0,0.03471154598201034,21.0,0.02907185737284209,10.0,0.0341571476288559,4.0,0.036455103916442126,20.0,0.029307451812378347,7.0,0.03597669856451465,29.0,0.02180621806213874,28.0,0.022522602172611456,6.0,0.03612482980662611,17.0,0.030294314857415128,31.0,0.0209643657613148,13.0,0.0331485435250139,,,,,,,,,,,,,16.0,0.030867056666759086,,,,,,,19.0,0.029404200250075424,,,,,,,,,,
2017年8月,0.5216594900691587,0.5308315660748285,0.6094262408464761,0.6524460035670355,0.7503339551354,0.4750778925585979,0.5158894846638667,0.7447118400813111,0.7181377919093678,,0.4265137875485644,0.6579515154791452,0.8540329521064256,,0.38806524488317556,0.6124093127959186,0.3867511940613431,,0.6861065073421589,,0.5859464627151052,0.5366480428584718,0.5391335732407673,,0.6733133524986238,0.5655502806769699,0.6597359389299561,0.7069442751666228,0.571089924233845,0.6982682590935201,0.42660274287940364,0.4401560087754936,0.7055295600507748,0.5823754566733849,0.4174124146131504,0.6419123786017149,,,,,,,0.5987706413228135,,,,0.5675351885960978,,,,,,25.0,0.026824305384834532,24.0,0.02729594363252822,15.0,0.03133736835081893,12.0,0.03354949191948327,2.0,0.03858299817471806,27.0,0.02442902834928961,26.0,0.026527605353472736,3.0,0.03829390282805895,4.0,0.03692743601005664,,,30.0,0.021931808595159176,11.0,0.03383259140418869,1.0,0.04391531478316899,,,32.0,0.019954742195156566,14.0,0.03149076119515532,33.0,0.019887172254980927,,,8.0,0.035280352087581776,,,17.0,0.030130012305440452,23.0,0.027595033273335026,22.0,0.027722841982439773,,,9.0,0.03462251397883201,21.0,0.02908121816656054,10.0,0.03392434842287931,5.0,0.036351853053830076,19.0,0.029366072738022563,7.0,0.03590572275408649,29.0,0.021936382776220703,28.0,0.02263330663226017,6.0,0.0362791068448135,18.0,0.0299463872426979,31.0,0.021463805977190033,13.0,0.03300784132506656,,,,,,,,,,,,,16.0,0.03078944569030464,,,,,,,20.0,0.029183284317367844,,,,,,,,,,
2017年9月,0.51513849687032,0.5296362355895097,0.612643817212859,0.6526818251601904,0.749236262239575,0.4734338530482681,0.5127470987785934,0.7405276027957103,0.716190384107263,,0.42795212515314296,0.6628118265181074,0.8531235821180224,,0.38980797455217603,0.6093083922844384,0.387374660551422,,0.6876687424071226,,0.5889441469013007,0.5343338885865233,0.5356920774443777,,0.6741614448949502,0.5675403596468127,0.6509771452247151,0.7062967653905314,0.5639027119712842,0.6996291393186557,0.42718880981900986,0.46029473684210526,0.707140594203613,0.586763739554682,0.42761106719367586,0.6436642531036323,,,,,,,0.5960731251854952,,,,0.5627148127884629,,,,,,25.0,0.026480897081774563,24.0,0.027226159043894946,14.0,0.031493196431567144,11.0,0.03355136598063786,2.0,0.03851478480222036,27.0,0.024337053459926525,26.0,0.026357966322118082,3.0,0.03806711273761196,4.0,0.03681604843692225,,,29.0,0.02199904734543635,10.0,0.03407210268547933,1.0,0.04385515334876892,,,32.0,0.020038232278279385,15.0,0.03132173760100002,33.0,0.01991314681483007,,,8.0,0.035349882225207734,,,17.0,0.030274905555996358,23.0,0.027467643744214527,22.0,0.02753746197674998,,,9.0,0.034655534282963404,19.0,0.029174635452150908,12.0,0.033463736237951305,6.0,0.03630746307474141,20.0,0.028987640742377398,7.0,0.035964711133541515,31.0,0.021959808820404884,28.0,0.023661632022556327,5.0,0.03635084042683139,18.0,0.030162820858593727,30.0,0.02198151512686127,13.0,0.033087814141650934,,,,,,,,,,,,,16.0,0.030641373489161683,,,,,,,21.0,0.028926576317577224,,,,,,,,,,
2017年10月,0.5085389148547044,0.530008096427309,0.6132491646576154,0.6511877778549073,0.7518852533221871,0.4710482097494514,0.5128330373001776,0.7408896305214264,0.7178469524167258,,0.42696312974950745,0.6647584361848525,0.8525802116910719,,0.391506591568695,0.6104519520957344,0.3869002538784337,,0.689909526903574,,0.5881394903238168,0.5404476460682098,0.5392757182228609,,0.6741503349044902,0.5655250601921292,0.6492746789054227,0.7083412166652333,0.5655599324704558,0.7015118341579755,0.42930688825286545,0.46438916340092007,0.7107561633261058,0.5834225906349687,0.4270352322881853,0.6428466148299655,,,,,,,0.5940897310138566,,,,0.5586034475196281,,,,,,26.0,0.02612818322262261,24.0,0.027231246711734425,14.0,0.03150808338801844,11.0,0.03345732858415898,2.0,0.0386310567143186,27.0,0.024201951063152108,25.0,0.026348810621545968,3.0,0.0380661134252348,4.0,0.0368822053743995,,,31.0,0.021936907004622957,10.0,0.03415457443288174,1.0,0.0438046555186663,,,32.0,0.02011518815682766,15.0,0.031364365611080317,33.0,0.019878519473978076,,,8.0,0.03544681045917544,,,17.0,0.03021797529109666,22.0,0.02776761955914386,23.0,0.02770740716521975,,,9.0,0.0346371201012405,20.0,0.02905607016113281,12.0,0.033359035614997666,6.0,0.0363938108816166,19.0,0.029057861861336846,7.0,0.03604292454384638,29.0,0.02205732679909004,28.0,0.023859816414258873,5.0,0.03651788824715344,18.0,0.029975626051514537,30.0,0.02194061155561475,13.0,0.03302876858719648,,,,,,,,,,,,,16.0,0.030523692266586105,,,,,,,21.0,0.028700445136536988,,,,,,,,,,
