,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦商業銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)商業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)商業銀行,台新國際商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,將來商業銀行,連線商業銀行,樂天國際商業銀行,中央信託局,中國農民銀行,交通銀行,澳盛(台灣)商業銀行,中華開發工業銀行,第七商業銀行,中華商業銀行,大眾商業銀行,慶豐商業銀行,臺北國際商業銀行,高雄區中小企業銀行,花蓮區中小企業銀行,臺東區中小企業銀行,臺灣銀行-排名,臺灣銀行-市佔率,臺灣土地銀行-排名,臺灣土地銀行-市佔率,合作金庫銀行-排名,合作金庫銀行-市佔率,第一商業銀行-排名,第一商業銀行-市佔率,華南商業銀行-排名,華南商業銀行-市佔率,彰化商業銀行-排名,彰化商業銀行-市佔率,上海商業儲蓄銀行-排名,上海商業儲蓄銀行-市佔率,台北富邦商業銀行-排名,台北富邦商業銀行-市佔率,國泰世華商業銀行-排名,國泰世華商業銀行-市佔率,中國輸出入銀行-排名,中國輸出入銀行-市佔率,高雄銀行-排名,高雄銀行-市佔率,兆豐國際商業銀行-排名,兆豐國際商業銀行-市佔率,花旗(台灣)商業銀行-排名,花旗(台灣)商業銀行-市佔率,王道商業銀行-排名,王道商業銀行-市佔率,臺灣中小企業銀行-排名,臺灣中小企業銀行-市佔率,渣打國際商業銀行-排名,渣打國際商業銀行-市佔率,台中商業銀行-排名,台中商業銀行-市佔率,京城商業銀行-排名,京城商業銀行-市佔率,匯豐(台灣)商業銀行-排名,匯豐(台灣)商業銀行-市佔率,瑞興商業銀行-排名,瑞興商業銀行-市佔率,華泰商業銀行-排名,華泰商業銀行-市佔率,臺灣新光商業銀行-排名,臺灣新光商業銀行-市佔率,陽信商業銀行-排名,陽信商業銀行-市佔率,板信商業銀行-排名,板信商業銀行-市佔率,三信商業銀行-排名,三信商業銀行-市佔率,聯邦商業銀行-排名,聯邦商業銀行-市佔率,遠東國際商業銀行-排名,遠東國際商業銀行-市佔率,元大商業銀行-排名,元大商業銀行-市佔率,永豐商業銀行-排名,永豐商業銀行-市佔率,玉山商業銀行-排名,玉山商業銀行-市佔率,凱基商業銀行-排名,凱基商業銀行-市佔率,星展(台灣)商業銀行-排名,星展(台灣)商業銀行-市佔率,台新國際商業銀行-排名,台新國際商業銀行-市佔率,日盛國際商業銀行-排名,日盛國際商業銀行-市佔率,安泰商業銀行-排名,安泰商業銀行-市佔率,中國信託商業銀行-排名,中國信託商業銀行-市佔率,將來商業銀行-排名,將來商業銀行-市佔率,連線商業銀行-排名,連線商業銀行-市佔率,樂天國際商業銀行-排名,樂天國際商業銀行-市佔率,中央信託局-排名,中央信託局-市佔率,中國農民銀行-排名,中國農民銀行-市佔率,交通銀行-排名,交通銀行-市佔率,澳盛(台灣)商業銀行-排名,澳盛(台灣)商業銀行-市佔率,中華開發工業銀行-排名,中華開發工業銀行-市佔率,第七商業銀行-排名,第七商業銀行-市佔率,中華商業銀行-排名,中華商業銀行-市佔率,大眾商業銀行-排名,大眾商業銀行-市佔率,慶豐商業銀行-排名,慶豐商業銀行-市佔率,臺北國際商業銀行-排名,臺北國際商業銀行-市佔率,高雄區中小企業銀行-排名,高雄區中小企業銀行-市佔率,花蓮區中小企業銀行-排名,花蓮區中小企業銀行-市佔率,臺東區中小企業銀行-排名,臺東區中小企業銀行-市佔率
2017年1月,4813559.0,2922111.0,5930854.0,5601164.0,7626750.0,4858467.0,1356525.0,4066575.0,5769211.0,,656039.0,2609633.0,823154.0,2191.0,1769891.0,1557064.0,860729.0,319902.0,234829.0,65453.0,242496.0,2245150.0,591067.0,502393.0,214097.0,1151012.0,689847.0,1314078.0,2338955.0,3681998.0,1406965.0,175404.0,3607291.0,1124489.0,709216.0,4428600.0,,,,,,,47796.0,,,,,740752.0,,,,,6.0,0.0624685592723197,11.0,0.03792205812867307,2.0,0.07696839378814602,4.0,0.0726898008994973,1.0,0.09897709458431159,5.0,0.0630513584152826,18.0,0.01760447152863058,8.0,0.05277448171359975,3.0,0.0748706516961813,,,27.0,0.008513827535188275,12.0,0.033866836105987584,23.0,0.01068258318621358,37.0,2.843397439725003e-05,15.0,0.022968980091247492,16.0,0.02020699128748504,22.0,0.011170217411670754,30.0,0.004151567903984062,32.0,0.0030475224891519065,35.0,0.0008494244300425405,31.0,0.0031470219331061356,14.0,0.02913671274212045,28.0,0.007670645342336552,29.0,0.006519867503129911,33.0,0.002778470386366061,20.0,0.014937401067516,26.0,0.008952575050670809,19.0,0.01705361031857121,13.0,0.030354078770570492,9.0,0.04778358597112087,17.0,0.018259062888099906,34.0,0.0022763271771680713,10.0,0.046814066607681636,21.0,0.014593195543582516,25.0,0.009203938651811993,7.0,0.05747270607743564,,,,,,,,,,,,,36.0,0.0006202785213559847,,,,,,,,,24.0,0.009613201005345393,,,,,,,,
2017年2月,4834545.0,2930164.0,5940479.0,5619968.0,7655320.0,4861585.0,1359441.0,4081662.0,5780308.0,,657671.0,2615273.0,825454.0,2585.0,1773795.0,1561367.0,862494.0,321528.0,234557.0,66075.0,242967.0,2254189.0,592324.0,503221.0,215209.0,1155674.0,691768.0,1324581.0,2346378.0,3702842.0,1408735.0,175879.0,3627964.0,1126521.0,709790.0,4466602.0,,,,,,,47788.0,,,,,743833.0,,,,,6.0,0.06252601508090942,11.0,0.037896322912195024,2.0,0.07682925270978463,4.0,0.0726840279534534,1.0,0.09900759094582583,5.0,0.06287572812480245,18.0,0.01758188794759519,8.0,0.05278884771310949,3.0,0.07475773318488119,,,27.0,0.00850577393824585,12.0,0.033823782597678834,23.0,0.010675740788967112,37.0,3.3432256599980116e-05,15.0,0.02294080061731595,16.0,0.020193432182104894,22.0,0.011154785579861992,30.0,0.004158377795001318,32.0,0.0030335666581514644,35.0,0.0008545595183147721,31.0,0.0031423346573800264,14.0,0.029153820144236973,28.0,0.007660629771112813,29.0,0.006508245105802163,33.0,0.002783335594052271,20.0,0.014946533738462444,26.0,0.008946756395998083,19.0,0.017131037477546716,13.0,0.030346116586672394,9.0,0.04788950247318513,17.0,0.018219415861266144,34.0,0.0022746738330939663,10.0,0.04692109221798462,21.0,0.01456949289642793,25.0,0.00917983807044483,7.0,0.05776734398219899,,,,,,,,,,,,,36.0,0.0006180505525724757,,,,,,,,,24.0,0.009620122136763252,,,,,,,,
2017年3月,4854121.0,2938928.0,5963196.0,5643392.0,7685565.0,4866499.0,1363044.0,4093348.0,5791819.0,,659834.0,2623520.0,827877.0,7461.0,1780372.0,1566363.0,864858.0,322875.0,234262.0,67204.0,243850.0,2268358.0,594076.0,504185.0,216476.0,1161249.0,694580.0,1335860.0,2360276.0,3728966.0,1411138.0,176548.0,3656834.0,1128775.0,710627.0,4509798.0,,,,,,,47815.0,,,,,748054.0,,,,,6.0,0.06251121429539944,11.0,0.03784742036853834,2.0,0.0767938465154595,4.0,0.07267542087742411,1.0,0.09897445916494904,5.0,0.06267061778174608,18.0,0.01755323684309856,8.0,0.05271400404185324,3.0,0.07458685901508555,,,27.0,0.00849732105429399,12.0,0.03378560627727787,23.0,0.010661373409775405,37.0,9.608251830928302e-05,15.0,0.02292757342009581,16.0,0.020171572393309675,22.0,0.011137613539730584,30.0,0.0041579738773769945,32.0,0.0030168185101419726,35.0,0.0008654509530166272,31.0,0.003140292466119644,14.0,0.029211841451147115,28.0,0.007650491642823431,29.0,0.006492878232645203,33.0,0.0027877709735317454,20.0,0.014954527315927705,26.0,0.008944778926050369,19.0,0.017203162164406757,13.0,0.03039555850220631,9.0,0.04802150435192251,17.0,0.018172589830039543,34.0,0.002273579472251347,10.0,0.04709259077322191,21.0,0.01453632818718147,25.0,0.009151431676527391,7.0,0.05807703376305696,,,,,,,,,,,,,36.0,0.0006157600339040836,,,,,,,,,24.0,0.009633415380154456,,,,,,,,
2017年4月,4867908.0,2946043.0,5980017.0,5659097.0,7710642.0,4870550.0,1365880.0,4101492.0,5799168.0,,664859.0,2629501.0,829865.0,18704.0,1785085.0,1570410.0,866564.0,323969.0,234180.0,67729.0,244460.0,2276698.0,595252.0,504791.0,217448.0,1165198.0,696818.0,1343669.0,2369693.0,3747861.0,1412541.0,177014.0,3679281.0,1130489.0,711100.0,4542369.0,,,,,,,47834.0,,,,,750903.0,,,,,6.0,0.06248511489917949,11.0,0.03781580000134009,2.0,0.07676029402035672,4.0,0.07264092219298351,1.0,0.09897482682837046,5.0,0.06251902796277141,18.0,0.0175326174484997,8.0,0.05264729713011534,3.0,0.07443889218934395,,,27.0,0.008534218602067578,12.0,0.03375262476458211,23.0,0.010652257576726509,37.0,0.00024008703308983103,15.0,0.022913588615438463,16.0,0.020157991746931222,22.0,0.01112333082455391,30.0,0.004158509197127859,32.0,0.003005965644192506,35.0,0.0008693784572359477,31.0,0.003137921092233752,14.0,0.029223998506284866,28.0,0.007640733886911255,29.0,0.006479564452547525,33.0,0.002791191465532377,20.0,0.014956636590152103,26.0,0.008944448579105533,19.0,0.017247514096705528,13.0,0.0304176947018681,9.0,0.048108042553629556,17.0,0.018131564254049562,34.0,0.0022721752606588617,10.0,0.04722774054714428,21.0,0.014511107247149808,25.0,0.009127774231724704,7.0,0.05830645297311926,,,,,,,,,,,,,36.0,0.0006140035896502875,,,,,,,,,24.0,0.009638690836626038,,,,,,,,
2017年5月,4885324.0,2953188.0,5996797.0,5677196.0,7737949.0,4874322.0,1368950.0,4110935.0,5808119.0,,666167.0,2636145.0,832248.0,28429.0,1790590.0,1574595.0,868450.0,325265.0,234217.0,67986.0,245188.0,2285463.0,596548.0,505601.0,218453.0,1170125.0,699228.0,1352075.0,2373318.0,3768283.0,1413990.0,177522.0,3704066.0,1132249.0,711757.0,4575213.0,,,,,,,47845.0,,,,,754281.0,,,,,5.0,0.062497686875423585,11.0,0.03777997506578037,2.0,0.07671670111572529,4.0,0.07262806273205365,1.0,0.09899116489714849,6.0,0.062356938881840476,18.0,0.017512903637120304,8.0,0.05259097009639881,3.0,0.07430295362133572,,,27.0,0.008522238560378042,12.0,0.033724061038369925,23.0,0.010646903850532232,37.0,0.0003636906662038008,15.0,0.02290692145337028,16.0,0.020143709048899845,22.0,0.011110034087188815,30.0,0.004161097630686245,32.0,0.0029963254692833238,35.0,0.0008697412372060784,31.0,0.0031366768815356684,14.0,0.029237805095294847,28.0,0.0076316064421029575,29.0,0.00646812636826156,33.0,0.002794657466116251,20.0,0.014969346118109059,26.0,0.008945186153165825,19.0,0.01729702267077646,13.0,0.030361729379628975,9.0,0.048207441510938025,17.0,0.01808909793188337,34.0,0.002271029387098777,10.0,0.047385916887785276,21.0,0.014484800489591167,25.0,0.009105468975525648,7.0,0.05853045355075065,,,,,,,,,,,,,36.0,0.00061207850872422,,,,,,,,,24.0,0.009649476217765981,,,,,,,,
2017年6月,4905455.0,2962083.0,6012728.0,5699189.0,7769279.0,4880294.0,1372624.0,4128052.0,5820242.0,,667890.0,2644607.0,834837.0,34245.0,1797323.0,1579445.0,870463.0,326617.0,234123.0,68404.0,245896.0,2298205.0,598001.0,506677.0,219615.0,1175212.0,702412.0,1362769.0,2379841.0,3792860.0,1415640.0,178135.0,3733150.0,1134288.0,712655.0,4616555.0,,,,,,,47631.0,,,,,757888.0,,,,,5.0,0.06250155283796348,11.0,0.037740594325079604,2.0,0.07660957786633502,4.0,0.07261470391982808,1.0,0.09899020619522145,6.0,0.062180970634894445,18.0,0.017488924363317324,8.0,0.05259647885789612,3.0,0.07415706858848653,,,27.0,0.008509743158371125,12.0,0.033695558138062236,23.0,0.010636854046482317,37.0,0.00043632357792214164,15.0,0.02290011394486078,16.0,0.020124079238757104,22.0,0.011090773269348552,30.0,0.00416150381224109,32.0,0.002983016061727714,35.0,0.0008715514096710812,31.0,0.0031330186163452457,14.0,0.02928196899981181,28.0,0.00761927101536045,29.0,0.0064556905092964505,33.0,0.0027981662305554427,20.0,0.01497365176396659,26.0,0.008949596058269742,19.0,0.01736335949660911,13.0,0.030322112425341143,9.0,0.048325718959199127,17.0,0.0180370013096715,34.0,0.0022696598205040356,10.0,0.04756493984289803,21.0,0.01445222948033728,25.0,0.009080104523991935,7.0,0.05882061017007892,,,,,,,,,,,,,36.0,0.0006068777439044978,,,,,,,,,24.0,0.009656428787392497,,,,,,,,
2017年7月,4927187.0,2971069.0,6024435.0,5720933.0,7801480.0,4885975.0,1376308.0,4138288.0,5833139.0,,669596.0,2654122.0,837228.0,42367.0,1803911.0,1584637.0,872543.0,327887.0,234240.0,69057.0,246486.0,2308887.0,599648.0,507611.0,220767.0,1180339.0,705027.0,1373513.0,2387151.0,3817983.0,1417548.0,178669.0,3763629.0,1136357.0,713303.0,4655273.0,,,,,,,47619.0,,,,,761009.0,,,,,5.0,0.0625315461708014,11.0,0.03770620809604684,2.0,0.07645685770714444,4.0,0.07260507588398032,1.0,0.09900955795275959,6.0,0.0620085195268378,18.0,0.01746689688198222,8.0,0.052519530340552,3.0,0.07402909625699254,,,27.0,0.00849792654303235,12.0,0.03368379409710647,23.0,0.010625365210918059,37.0,0.0005376848933515905,15.0,0.022893660010167367,16.0,0.020110826264450734,22.0,0.01107355229069032,30.0,0.0041612549065634325,32.0,0.002972769122634988,35.0,0.0008764110199018288,31.0,0.0031281846395227447,14.0,0.02930237355384789,28.0,0.007610207730745498,29.0,0.006442154658085165,33.0,0.0028017815953584294,20.0,0.014979829804652747,26.0,0.008947585793305917,19.0,0.017431425187575778,13.0,0.03029563176172829,9.0,0.04845449954382386,17.0,0.017990278877446135,34.0,0.0022675106146348646,10.0,0.047764686134962424,21.0,0.014421648744407989,25.0,0.009052617543899013,7.0,0.059080651604492614,,,,,,,,,,,,,36.0,0.0006043386819106707,,,,,,,,,24.0,0.009658060353685664,,,,,,,,
2017年8月,4951690.0,2980778.0,6041340.0,5742848.0,7832730.0,4892067.0,1380298.0,4151294.0,5845649.0,,671526.0,2664605.0,839964.0,48972.0,1810462.0,1590348.0,874618.0,329444.0,234621.0,69565.0,247156.0,2320797.0,601369.0,508601.0,222163.0,1185582.0,708009.0,1386274.0,2393126.0,3843529.0,1419848.0,179277.0,3793633.0,1138957.0,713960.0,4702078.0,,,,,,,47429.0,,,,,764486.0,,,,,5.0,0.06257736329670807,11.0,0.03766981127914609,2.0,0.07634789899588512,4.0,0.07257568338360709,1.0,0.09898672792824757,6.0,0.06182387304755281,19.0,0.017443622158034845,8.0,0.05246229727415175,3.0,0.07387483892934296,,,27.0,0.008486461483894425,12.0,0.03367415066921088,23.0,0.01061510966642825,36.0,0.0006188874172992227,15.0,0.02287985279952596,16.0,0.020098145191680638,22.0,0.011053052257277863,30.0,0.004163373893341606,32.0,0.0029650409363342505,35.0,0.000879133038969624,31.0,0.0031234529631219204,14.0,0.029329250620880994,28.0,0.007599846999383653,29.0,0.006427484262962549,33.0,0.0028076020029700077,20.0,0.014982883728997122,26.0,0.008947518202944649,18.0,0.01751914431775428,13.0,0.03024331392247855,9.0,0.048572893411023936,17.0,0.017943438325522067,34.0,0.002265626878852257,10.0,0.047942328872643596,21.0,0.014393656704747014,25.0,0.009022724423240893,7.0,0.05942287244465193,,,,,,,,,,,,,37.0,0.0005993876360999109,,,,,,,,,24.0,0.009661250635085631,,,,,,,,
2017年9月,4968902.0,2989729.0,6057471.0,5763314.0,7861648.0,4896672.0,1383707.0,4163463.0,5856872.0,,673153.0,2673523.0,842359.0,54428.0,1816614.0,1595529.0,876479.0,330827.0,234661.0,70342.0,247809.0,2330555.0,603107.0,509491.0,223403.0,1190446.0,710676.0,1398385.0,2400889.0,3866340.0,1421794.0,179798.0,3824735.0,1141686.0,714686.0,4739844.0,,,,,,,47346.0,,,,,767955.0,,,,,5.0,0.06255806627327538,11.0,0.037640441474018474,2.0,0.0762630601823992,4.0,0.07255964781871244,1.0,0.0989774997778509,6.0,0.061648696531847874,19.0,0.017420756981883535,8.0,0.05241765570750439,3.0,0.07373753532069881,,,27.0,0.008474940738628806,12.0,0.033659434019251346,23.0,0.010605230320076747,36.0,0.000685244029993313,15.0,0.022871020399468513,16.0,0.020087578487748965,22.0,0.011034798305366888,30.0,0.004165084638616113,32.0,0.0029543626317752045,35.0,0.0008855999771769976,31.0,0.0031198948671384745,14.0,0.029341495192200074,28.0,0.007593067377033458,29.0,0.0064144496598317596,33.0,0.0028126253404974666,20.0,0.014987616934839043,26.0,0.008947352213190412,18.0,0.017605551791030332,13.0,0.030226994450037025,9.0,0.0486769016484961,17.0,0.017900269169918284,34.0,0.002263641987666967,10.0,0.048153098130676746,21.0,0.014373732557267318,25.0,0.008997837782387759,7.0,0.05967424494928391,,,,,,,,,,,,,37.0,0.0005960822342188468,,,,,,,,,24.0,0.009668490097992113,,,,,,,,
2017年10月,4982498.0,2996854.0,6074863.0,5780465.0,7885714.0,4901652.0,1386607.0,4171517.0,5864875.0,,674903.0,2680709.0,844197.0,61622.0,1822059.0,1600526.0,877963.0,332055.0,234763.0,71347.0,248334.0,2338998.0,604331.0,510233.0,224383.0,1194271.0,712492.0,1407316.0,2406868.0,3884430.0,1423297.0,180316.0,3846943.0,1143588.0,715154.0,4762388.0,,,,,,,47158.0,,,,,770685.0,,,,,5.0,0.06254204565655266,11.0,0.03761755241929299,2.0,0.07625379058923906,4.0,0.07255840462878353,1.0,0.09898422137299734,6.0,0.06152723858123629,19.0,0.01740517272695253,8.0,0.052362330435674155,3.0,0.07361794827011958,,,27.0,0.008471616895730689,12.0,0.03364919056062474,23.0,0.010596653991055248,36.0,0.0007735007495132137,15.0,0.022871117493059243,16.0,0.020090358323575766,22.0,0.011020496552284405,30.0,0.004168069705293729,32.0,0.0029468267251626136,35.0,0.0008955723276673794,31.0,0.003117174631294252,14.0,0.029359915389145237,28.0,0.007585772637273538,29.0,0.006404621854635935,33.0,0.0028165333594823835,20.0,0.014990904443573646,26.0,0.008943447080947855,18.0,0.01766511928859722,13.0,0.03021184320501395,9.0,0.04875871468682634,17.0,0.01786571835188583,34.0,0.00226338906801507,10.0,0.04828816484104071,21.0,0.014354713821919395,25.0,0.00897686142964157,7.0,0.0597791484773739,,,,,,,,,,,,,37.0,0.0005919435971819177,,,,,,,,,24.0,0.009673905831336066,,,,,,,,
