銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,904009.0,904599.0,910185.0,921652.0,931704.0,943516.0,946614.0,948171.0,953595.0,958678.0,971926.0,985734.0,989996.0,3.28%,4.0,3.27%,4.0,3.27%,4.0,3.29%,4.0,3.30%,4.0,3.30%,4.0,3.29%,4.0,3.28%,4.0,3.28%,3.0,3.27%,3.0,3.29%,3.0,3.30%,3.0,3.29%,3.0
臺灣土地銀行,940478.0,937770.0,936348.0,935522.0,936939.0,944038.0,948714.0,949157.0,948021.0,951707.0,954928.0,962344.0,964410.0,3.41%,3.0,3.39%,3.0,3.37%,3.0,3.34%,3.0,3.32%,3.0,3.30%,3.0,3.30%,3.0,3.29%,3.0,3.26%,4.0,3.25%,4.0,3.23%,4.0,3.22%,4.0,3.20%,4.0
合作金庫銀行,615639.0,616639.0,618635.0,623339.0,628023.0,636772.0,641593.0,642096.0,647095.0,651361.0,656851.0,664475.0,666478.0,2.23%,6.0,2.23%,6.0,2.22%,6.0,2.23%,6.0,2.22%,6.0,2.22%,6.0,2.23%,6.0,2.22%,6.0,2.23%,6.0,2.22%,6.0,2.22%,6.0,2.22%,6.0,2.21%,6.0
第一商業銀行,437368.0,436885.0,437126.0,438550.0,442332.0,452649.0,454372.0,455910.0,458512.0,462471.0,467486.0,477589.0,480067.0,1.59%,12.0,1.58%,12.0,1.57%,12.0,1.57%,12.0,1.57%,12.0,1.58%,12.0,1.58%,12.0,1.58%,12.0,1.58%,12.0,1.58%,12.0,1.58%,12.0,1.60%,12.0,1.59%,12.0
華南商業銀行,501219.0,502507.0,507853.0,512697.0,520145.0,527444.0,530358.0,530571.0,533904.0,537997.0,543609.0,549971.0,552071.0,1.82%,8.0,1.82%,8.0,1.83%,8.0,1.83%,8.0,1.84%,8.0,1.84%,8.0,1.84%,8.0,1.84%,8.0,1.84%,9.0,1.84%,9.0,1.84%,9.0,1.84%,9.0,1.83%,9.0
彰化商業銀行,365044.0,367289.0,371779.0,376700.0,382659.0,389313.0,392588.0,395484.0,398827.0,402991.0,409547.0,416740.0,418041.0,1.32%,13.0,1.33%,13.0,1.34%,14.0,1.35%,14.0,1.35%,14.0,1.36%,14.0,1.36%,14.0,1.37%,14.0,1.37%,14.0,1.38%,14.0,1.38%,14.0,1.39%,14.0,1.39%,13.0
上海商業儲蓄銀行,160826.0,160446.0,160049.0,160142.0,160031.0,159947.0,159239.0,158855.0,158719.0,159141.0,160219.0,161322.0,162475.0,0.58%,23.0,0.58%,23.0,0.58%,23.0,0.57%,23.0,0.57%,23.0,0.56%,24.0,0.55%,24.0,0.55%,24.0,0.55%,24.0,0.54%,24.0,0.54%,24.0,0.54%,24.0,0.54%,24.0
台北富邦商業銀行,492971.0,492942.0,497158.0,501738.0,509658.0,519865.0,524595.0,528109.0,535856.0,545018.0,557805.0,567448.0,579781.0,1.79%,9.0,1.78%,9.0,1.79%,9.0,1.79%,9.0,1.80%,9.0,1.82%,9.0,1.82%,9.0,1.83%,9.0,1.84%,8.0,1.86%,8.0,1.89%,8.0,1.90%,8.0,1.93%,8.0
國泰世華商業銀行,546472.0,556850.0,566846.0,571956.0,575454.0,574445.0,575952.0,576614.0,577627.0,579959.0,583524.0,590949.0,594653.0,1.98%,7.0,2.01%,7.0,2.04%,7.0,2.04%,7.0,2.04%,7.0,2.01%,7.0,2.00%,7.0,2.00%,7.0,1.99%,7.0,1.98%,7.0,1.97%,7.0,1.98%,7.0,1.98%,7.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
