銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,451.0,832.0,1267.0,1640.0,2090.0,2503.0,2857.0,3273.0,3631.0,3992.0,4438.0,5091.0,511.0,0.65%,20.0,0.67%,19.0,0.69%,18.0,0.69%,18.0,0.72%,18.0,0.73%,18.0,0.72%,18.0,0.72%,18.0,0.70%,18.0,0.70%,18.0,0.70%,18.0,0.74%,18.0,0.68%,18.0
臺灣土地銀行,284.0,515.0,793.0,1061.0,1341.0,1605.0,1857.0,2147.0,2417.0,2670.0,2981.0,3371.0,342.0,0.41%,25.0,0.42%,25.0,0.43%,25.0,0.45%,25.0,0.46%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.49%,24.0,0.46%,25.0
合作金庫銀行,666.0,1211.0,1945.0,2638.0,3282.0,3879.0,4538.0,5212.0,5914.0,6591.0,7398.0,8275.0,816.0,0.96%,13.0,0.98%,13.0,1.06%,13.0,1.11%,12.0,1.12%,12.0,1.14%,12.0,1.15%,12.0,1.14%,12.0,1.14%,12.0,1.15%,12.0,1.17%,12.0,1.20%,12.0,1.09%,11.0
第一商業銀行,751.0,1435.0,2258.0,3071.0,3908.0,4719.0,5508.0,6403.0,7222.0,8042.0,8946.0,9948.0,937.0,1.08%,11.0,1.16%,11.0,1.23%,11.0,1.29%,11.0,1.34%,11.0,1.38%,10.0,1.39%,10.0,1.40%,9.0,1.39%,9.0,1.40%,8.0,1.41%,8.0,1.44%,8.0,1.25%,10.0
華南商業銀行,876.0,1647.0,2463.0,3238.0,4037.0,4702.0,5460.0,6295.0,7179.0,7964.0,8815.0,9639.0,987.0,1.26%,9.0,1.34%,9.0,1.34%,10.0,1.37%,10.0,1.38%,10.0,1.38%,11.0,1.38%,11.0,1.38%,10.0,1.39%,10.0,1.39%,10.0,1.39%,10.0,1.40%,9.0,1.31%,9.0
彰化商業銀行,561.0,975.0,1469.0,1899.0,2374.0,2802.0,3248.0,3716.0,4187.0,4624.0,5128.0,5637.0,593.0,0.81%,15.0,0.79%,17.0,0.80%,17.0,0.80%,17.0,0.81%,17.0,0.82%,17.0,0.82%,17.0,0.81%,17.0,0.81%,17.0,0.81%,17.0,0.81%,17.0,0.82%,17.0,0.79%,16.0
上海商業儲蓄銀行,452.0,742.0,1122.0,1453.0,1739.0,2054.0,2396.0,2765.0,3142.0,3502.0,3828.0,4114.0,438.0,0.65%,19.0,0.60%,20.0,0.61%,20.0,0.61%,20.0,0.60%,22.0,0.60%,22.0,0.61%,22.0,0.60%,22.0,0.61%,22.0,0.61%,22.0,0.60%,22.0,0.60%,22.0,0.58%,22.0
台北富邦商業銀行,1633.0,2584.0,3880.0,4980.0,6003.0,6818.0,7861.0,9092.0,10279.0,11348.0,12630.0,13732.0,1669.0,2.35%,7.0,2.10%,7.0,2.12%,7.0,2.10%,7.0,2.06%,7.0,2.00%,7.0,1.99%,7.0,1.99%,7.0,1.99%,7.0,1.98%,7.0,1.99%,7.0,1.99%,7.0,2.22%,8.0
國泰世華商業銀行,2157.0,3960.0,5755.0,7371.0,9464.0,11016.0,12926.0,15273.0,17623.0,19569.0,21597.0,23391.0,2180.0,3.11%,4.0,3.21%,4.0,3.14%,4.0,3.11%,4.0,3.24%,4.0,3.23%,4.0,3.27%,4.0,3.34%,4.0,3.40%,4.0,3.41%,4.0,3.41%,4.0,3.39%,4.0,2.90%,4.0
中國輸出入銀行,8.0,14.0,22.0,29.0,37.0,44.0,52.0,59.0,69.0,77.0,85.0,91.0,8.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,38.0,0.01%,39.0,0.01%,39.0,0.01%,39.0
