,中華商業銀行,華泰商業銀行,臺灣土地銀行,中華開發工業銀行,匯豐(台灣)商業銀行,中國農民銀行,臺北國際商業銀行,元大商業銀行,澳盛(台灣)商業銀行,上海商業儲蓄銀行,第七商業銀行,台北富邦商業銀行,合作金庫銀行,交通銀行,臺灣銀行,板信商業銀行,凱基商業銀行,星展(台灣)商業銀行,王道商業銀行,台中商業銀行,臺灣中小企業銀行,臺灣新光商業銀行,彰化商業銀行,渣打國際商業銀行,高雄區中小企業銀行,樂天國際商業銀行,國泰世華商業銀行,安泰商業銀行,台新國際商業銀行,陽信商業銀行,華南商業銀行,聯邦商業銀行,中央信託局,將來商業銀行,臺東區中小企業銀行,第一商業銀行,玉山商業銀行,中國信託商業銀行,中國輸出入銀行,京城商業銀行,兆豐國際商業銀行,三信商業銀行,日盛國際商業銀行,大眾商業銀行,花蓮區中小企業銀行,高雄銀行,遠東國際商業銀行,花旗(台灣)商業銀行,永豐商業銀行,瑞興商業銀行,慶豐商業銀行,連線商業銀行
2017年1月,,14.178545187362234,18.848559057615567,,13.068670295180961,,,13.619619057345657,7.00156125052359,7.481559143349688,,11.041185282701955,15.187037317604526,,16.43164393760555,16.015745669940767,8.325969719300597,9.729209020110718,,14.28217881256157,19.80863018316665,14.595849582735557,13.536028144952295,12.733031995456267,,,15.129418265658048,8.857595660556155,11.652144102170125,15.446502057613168,14.396431318446531,13.75745302253816,,,,11.710863919396727,13.598886382858755,9.863456497876944,,6.364688596359711,10.145131277329378,16.93747812900968,11.07981000104395,,,19.29307864450128,12.80123816460306,7.382452170335322,11.509839310666045,14.434548944337813,9.532282024911439,
2017年2月,,14.447357382550335,18.629526830557758,,13.118548466620648,,,13.560633636670037,6.557137974250883,7.44441234254016,,10.89906321065315,15.097659796328095,,16.209896959216024,15.87010170505534,8.385204843257588,10.12945226917058,,14.273578834465498,19.778190501459274,14.232213636545621,13.465741187658038,13.313767692127735,,,15.089159381474557,8.823859763025483,11.730423241409822,15.503559659899922,14.162967328760049,13.549404745688832,,,,11.880197654923984,13.60931763317835,9.977222163777553,,6.220196147521729,10.18979278558495,16.703707955458615,10.935974659881607,,,18.9818759936407,13.267271542675129,7.696356398953444,11.595152187225873,14.180616740088105,9.727831531018783,
2017年3月,,14.343591905564924,18.848249255118997,,13.556145468689225,,,13.453565519661748,6.1852112126181,7.495085517777282,,11.130516537649543,15.010847478659214,,16.126623924111033,15.773631468740652,8.657832685729467,10.456947437459009,,14.067119352311309,20.066366751162985,14.167658591930572,13.36538557971274,13.304959895236536,,,15.128059113791556,8.946130010974114,11.823570080687142,15.598125127369064,14.224021175558462,13.720377595285516,,,,11.888185588548616,13.453512158358583,9.760196698985553,,6.264871779961621,10.03743077869693,16.67866909753874,10.911810291382517,,,16.18915179189152,13.376158654882518,7.47092184267622,11.3757656085353,14.26901031715705,9.750386785584274,
2017年4月,,14.370736842105263,18.747875850389793,,12.59221782369412,,,13.336246062012933,6.82237789453201,7.726520677263644,,11.831423139115447,14.869633989143441,,16.0739775712591,15.872198984164925,8.388109409262526,10.22264044415169,,14.13014198591914,19.95324617770884,14.56679046363963,13.16802864423912,12.817894345238095,,,15.976021326136424,8.89689560881454,11.790237947009695,15.52712896849409,14.029869197879666,13.573878984332794,,,,11.828557604706585,14.16909526738263,10.005469107815705,,6.232074171881279,10.155165970169538,16.574756842343362,10.932059230414511,,,16.107423219942156,13.03949525914308,7.392864291433146,11.264118051463367,14.208110175975516,9.508069620253165,
2017年5月,,14.366943539060037,18.870456980684022,,13.901043696678359,,,13.939283816445823,6.2127816341567454,7.473681200156883,,12.143958883959705,15.495600095823685,,16.217965658601912,16.046070259005656,8.588161187912586,9.833517926647891,,14.023877589277346,19.5942863409552,14.482752475247525,13.101208437914211,13.656729963697291,,,15.851283931541111,8.869570804420457,11.649726618243623,15.731556632344034,14.918570499175726,13.482686814213631,,,,11.660178377114033,14.089925256929305,10.135707142802616,,6.445634486227403,10.903525906827392,16.52333931777379,10.484013398294762,,,15.820173936862288,12.690741615493623,6.71492167360698,11.263028143230247,14.192329708070979,9.638958723773827,
2017年6月,,14.36538257455163,18.649074836262123,,14.072820534832811,,,13.839007922370943,6.1918030883548125,7.978759336901451,,12.049676940387672,15.003648583279299,,15.85759340895556,16.208831168831168,8.866457806295967,9.933771486349848,,14.314173742651862,19.810188539943397,14.398283110045966,13.384744876395963,13.511425437060897,,,14.124322449411515,9.208549395027257,12.444610678345759,15.74154079151887,14.502589091543546,13.6874043715847,,,,12.252627473190957,12.965935285580125,9.677797728615902,,6.211076976582425,10.721615622922846,16.745684824030487,10.406777108433735,,,16.49871995448727,12.850063900074751,7.209818880066428,11.548582796264633,14.230886558627263,9.63954830387653,
2017年7月,,14.184093319194062,18.552744474117848,,13.42354975028813,,,13.553787396562699,6.0698546466676975,8.03185143781962,,11.738572413001034,14.88080017972388,,16.196058382875854,16.296033155713438,8.63414310587845,10.592331298048025,,14.309199154983675,19.338250233654353,14.29825621042377,13.422819745752475,12.704883818004731,,,14.29598833819242,9.102568239014003,12.301779801324503,15.572732638205784,14.165962866558264,13.776780888552588,,,,12.264159228827952,12.712048557567051,9.938660146479885,,6.261333939325077,10.843290665457467,16.34662064358089,10.300049825610364,,,16.60714538379908,12.81905627871363,7.205974114230995,11.062208588957056,14.662927756653993,9.366442892745683,
2017年8月,,13.978842695440601,18.736426616248554,,14.426714847216939,,,13.194235547457346,6.245718253355964,7.957762557077626,,12.039953076774141,14.940173236088656,,15.989900797619423,16.10725319994115,8.482512290889893,10.84606401111041,,14.18442281607691,19.44350620537575,14.441327569160382,13.26492816152729,13.274549513267209,,,14.238787489681739,9.04648337595908,12.511403970027606,15.161319960186816,14.173850477934197,13.761077137646176,,,,12.12186639010235,12.927203628270272,9.820479165896403,,6.327648189950673,11.33765574808677,16.162413755338957,10.48743245253086,,,16.776329693554068,12.467557433073855,7.267070563079116,11.157326411209935,14.939216057564854,9.193359331476323,
2017年9月,,14.024116775967844,18.625202846525088,,14.180653440767466,,,13.289426994348798,6.101880141010576,7.850123589293265,,11.788316845085674,14.803655940019576,,16.099018433276584,16.209805653710248,8.523833004602235,10.520521090242205,,14.127393051288111,19.62467759825736,14.229832719134075,13.152530880163296,13.40295774003022,,,14.077367212091994,9.0064386574443,12.04490868865976,15.174973367828336,13.578600979984284,13.449245101188565,,,,12.048508141899447,12.885306627376849,9.666323302454993,,6.2860264394187695,11.028061234163415,14.55004455004455,10.701537548820882,,,16.848957236149147,12.392533509533699,6.977855325482467,11.217204266295779,14.721959523359184,9.448929063602177,
2017年10月,,12.166870014077897,18.892686127514622,,13.528391298901925,,,13.211159772911598,6.1397664701058305,7.953399051578537,,11.82291532917618,14.82501692365551,,16.073841550378926,16.11960425064126,8.447056525136754,11.00145092101943,,14.031277822032706,19.477717246877493,14.165244405239036,13.142133142646886,13.036548940924325,,,14.252217054263566,8.930738390630426,12.067847920933131,15.056539893917165,13.265375441823041,10.783434952961636,,,,12.097980216479362,12.77860454861757,9.686397048099641,,6.308108108108108,10.993111283905694,14.479074347612015,10.491327207508231,,,16.85364659813999,12.140547380260568,6.70200255560436,10.914662047853056,15.082186616399623,9.319067049986089,
2017年11月,,12.118618618618619,18.6781868824744,,14.460817452253075,,,12.995279989725148,6.67011632883321,8.156693149331455,,11.896750107105698,14.851215080173326,,16.043918272492284,15.175169832247331,8.594293066662324,10.882007390329406,,14.058466617072717,19.56521104520786,14.014805640243903,13.0840569306589,12.875079552686607,,,14.210796669292225,8.912150061268735,12.196902316828975,15.11065223053168,13.353270652984005,10.904801740003347,,,,11.95011996594515,12.848404783254502,9.57511779239808,,6.256302863825505,11.010701330792035,14.403659849300324,10.574933073740569,,,16.88050971380823,12.349401821459509,6.886496368397648,11.03238717025321,15.240339302544768,9.09332840510072,
2017年12月,,13.975975337514617,18.936548311065337,,13.720955303093126,,,12.893484906381353,3.818941717791411,8.099740467484983,,12.30434685899539,14.943004067925358,,16.083521663778164,15.659021193530396,8.563972293919692,13.005523648118507,,14.135882962792305,19.905332155150813,14.494606852917636,13.015272642139546,13.826641419902359,,,14.055394027840144,8.611224202185964,11.966175348407566,15.547439475073535,13.447074101406743,10.663198634982729,,,,12.285661529499269,12.813846603618366,9.63101279176635,,6.3096236573685776,10.90825740039348,14.52668935342732,10.422120038722168,,,17.58732622962388,12.513802211158637,6.680932170085671,10.537968907603387,15.463368580060424,9.161970670621189,
2018年1月,,14.01805245832006,18.482552269147405,,13.96733082399149,,,10.542561163764603,4.142532279822702,8.20640581011057,,12.371688073191509,14.796477524168758,,15.650345384648901,15.422802026229963,9.385674482264188,12.82540924598579,,13.87769898631756,19.506865686822966,15.181264048154215,12.781732108420828,13.099032403240324,,,13.95700070686749,8.578169995355319,12.563745193641733,15.561333382228904,13.286584333337096,10.801862143331121,,,,11.912636026245952,12.803335877760368,9.840874768887698,,6.210516566105642,10.438887410846723,14.434206709852074,10.154950191209103,,,18.26365727429557,12.622224289069221,6.917454616056694,10.851618683645071,15.877294866991383,,
2018年2月,,13.77156821079473,18.556634456120115,,14.343958983504235,,,10.464709243549734,4.202352033930981,8.027937233811299,,11.987913053024482,14.770465077216453,,15.605602162002668,15.438182703680512,9.575816021313807,13.545777390112457,,13.83913033651999,19.45528033599838,14.887928747394353,12.776955511000686,12.879698069255925,,,13.73790235355196,8.51997408767005,12.007376493049529,15.705747377622378,13.194714421837341,11.00197046378495,,,,11.927904447329247,12.671355116934816,9.71796171486101,,6.276976403146247,10.253581672241769,14.338664611234224,10.35515910374694,,,18.211087267525034,12.573213126912023,6.765039333641832,10.626965635440278,15.56859442260902,,
2018年3月,,13.917737518432695,18.30533644237175,,14.835438976456905,,,10.39856685257434,4.387712759826334,8.28915575373669,,11.983389101988628,14.659686093839982,,15.54197782758586,15.564532907968653,9.887847855745681,13.65900692482067,,13.74025391413575,19.23695524109146,14.501529798216799,12.646099585884404,13.05556795856403,,,13.597223937498322,8.496897653274358,12.325112598523708,15.789587930972107,13.174506566101734,10.779825173390241,,,,11.790937296129004,12.642802646637113,9.436441263914817,,6.2378507146638436,10.17464416896235,14.207859259967492,10.202402176972882,,,17.799239222316146,12.753117379100907,6.85479845072443,11.016707867372965,15.488350419384902,,
2018年4月,,13.820137058513442,18.313247209099785,,14.274669480726345,,,10.250028191493975,4.406976744186046,8.135839642803232,,12.91907206453609,14.744244717754652,,15.504162593841222,15.686039253762397,9.871057727019133,13.563799227799228,,13.622170787617119,19.018419843251234,14.562337270291687,12.680594692487235,12.911267574350887,,,13.631499393790492,8.474015459350463,11.994358536016785,15.735560020090407,13.08007446719831,10.747572222561534,,,,11.756067542952788,13.126525780069944,9.654596921221094,,6.271958965636379,9.994626374565552,14.09363722697056,10.470941691102245,,,17.732245816340882,12.693718834347408,6.4204910803198,10.80447171267531,15.71244875139769,,
2018年5月,,13.915332771693345,18.285357311506374,,15.332472736285526,,,10.743253558439227,4.658873293597385,8.085122289023891,,12.677228248887783,15.275257153358266,,15.832538355869648,15.841618337475836,10.840993616910861,12.91825409197194,,13.738839729020015,18.863514456813256,14.639391785741005,12.568307892172783,12.898136097937575,,,13.724479835329818,8.365495479094605,13.417526110194007,15.71961257361811,13.567034981414531,10.643724614951543,,,,12.808827521216063,13.094961957362646,10.221296879215757,,6.648311673886482,10.707192819011283,14.265905229375118,10.61383533464096,,,18.22918556772978,12.814865232779743,6.478134028741886,10.822477234714738,15.492578849721706,,
2018年6月,,13.861731255265376,18.248459478432697,,15.763344760039177,,,10.6218472405551,4.2082471066145475,8.335388228386908,,12.869916737735087,15.220722116477063,,15.454388068087164,15.885541339936717,11.107425666042564,12.850077808901338,,14.299255874968901,18.716854264673284,14.745241717063035,12.884673003751873,12.759866856871136,,,13.479877927489348,8.728239181942886,12.644726959354221,15.881531243335466,13.539150064014734,10.740949397982428,,,,13.094858970778644,13.084030425842002,9.901640104607063,,6.605424515273712,10.567409539082265,14.417525773195877,10.515729855789825,,,18.211731647348085,13.156595705122246,7.239756135047902,11.14770558326784,15.573782913430573,,
2018年7月,,13.907876748343675,17.932567789250218,,14.84007859342084,,,10.535400617354926,4.315712862943385,8.27388684055539,,12.5787459604977,14.930247286474268,,15.419269640472873,15.69461612415877,11.364945693613704,12.608075788165864,,14.138238323406924,18.495373752130508,14.804800616592956,12.460996493624174,13.36135663360547,,,13.490904564057079,8.687550425122572,12.73527264162054,15.593062933126957,13.423594862417954,10.70089303592167,,,,12.616989425564514,13.058909813259312,10.297801706709796,,6.4770548037706295,10.132080262317915,14.459631458966566,10.692708580091912,,,18.104319820765944,13.073580745912182,6.988043478260869,10.837237742801328,15.351300414624953,,
2018年8月,,13.59638996746773,17.726712551588644,,14.43927471775573,,,10.325600546668301,4.064822651381088,8.320233475411921,,12.529485301406527,14.879599388275931,,15.209809017968132,15.497775980590376,11.243843113408332,12.883148983501204,,14.063348416289593,18.6443881551173,14.526413244744582,12.48397479575084,12.88652783680408,,,13.270426369234533,8.651711378353376,12.741281875642184,15.729106526790115,13.352859227444178,11.039720234874446,,,,12.623930945136328,12.977709744658677,10.136107998319092,,6.551127719204591,10.140198618307426,14.407926944078328,10.630145392749245,,,17.88619584900404,13.296817611497662,7.01725856635083,10.922005065528369,15.931571053618297,,
2018年9月,,13.996640772622296,17.84396770560953,,14.463435068821065,,,10.13747634454551,4.113130680037606,8.28336458021521,,12.237241545470475,14.712169022472612,,15.287053748575964,15.448617666891437,11.134837151974606,12.841706514314103,,13.861576072592722,18.3562825189881,14.532713660530218,12.483085600445014,12.946396265606504,,,12.98077703182362,8.62092487325242,12.09553951288931,15.03531202435312,13.331784447655327,11.095172688364686,,,,12.735214961010282,12.791665858468303,10.05683496910342,,6.532596273952215,10.144815834410272,14.333302134032198,10.68819127406222,,,17.721733102253033,13.406203874015032,6.946861255497801,10.742401257614462,15.566249299196413,,
