,三信商業銀行,上海商業儲蓄銀行,中國信託商業銀行,中國輸出入銀行,京城商業銀行,元大商業銀行,兆豐國際商業銀行,凱基商業銀行,台中商業銀行,台北富邦商業銀行,台北富邦銀行,台新國際商業銀行,合作金庫商業銀行,合作金庫銀行,國泰世華商業銀行,大眾商業銀行,安泰商業銀行,將來商業銀行,彰化商業銀行,日盛國際商業銀行,星展(台灣)商業銀行,板信商業銀行,樂天商業銀行,樂天國際商業銀行,永豐商業銀行,渣打國際商業銀行,滙豐(台灣)商業銀行,澳盛(台灣)商業銀行,玉山商業銀行,王道商業銀行,瑞興商業銀行,第一商業銀行,聯邦商業銀行,臺灣中小企業銀行,臺灣土地銀行,臺灣新光商業銀行,臺灣銀行,花旗(台灣)商業銀行,華南商業銀行,華泰商業銀行,連線商業銀行,遠東國際商業銀行,陽信商業銀行,高雄銀行
2022年Q4,13.04,15.66,14.96,26.69,14.33,14.65,14.31,14.19,15.95,15.49,,14.91,14.59,,15.38,,16.3,74.73,14.3,16.62,14.94,12.04,,140.36,14.34,16.34,18.13,,14.33,14.49,14.07,13.76,14.95,12.45,13.24,14.38,14.99,20.27,14.64,12.32,44.64,14.9,12.97,12.36
2022年Q3,13.04,13.69,15.02,27.3,13.45,13.87,13.06,12.68,15.61,14.75,,14.18,13.18,,14.75,,16.44,104.81,13.43,15.87,13.81,11.56,,156.25,13.94,14.56,14.95,,13.61,13.05,13.81,13.62,14.3,12.31,12.89,13.7,14.66,17.92,14.06,12.62,59.47,13.49,13.09,12.31
2022年Q2,13.25,13.65,15.15,28.78,13.71,14.36,13.3,13.35,15.89,14.59,,14.63,13.63,,14.87,,16.52,196.82,13.7,15.3,14.32,12.28,,216.1,15.15,15.39,15.39,,13.61,13.08,13.59,13.71,14.82,12.51,13.02,13.78,15.63,18.51,12.97,11.71,82.33,13.41,12.3,12.75
2022年Q1,13.58,15.23,16.0,28.5,15.89,15.08,14.15,14.59,16.32,15.12,,14.51,14.92,,16.81,,17.72,698.83,14.72,15.53,14.49,12.39,,311.38,15.63,13.7,15.96,,13.95,14.47,14.77,14.66,15.1,13.07,13.08,14.33,16.0,18.91,13.54,11.68,45.19,14.04,12.93,13.6
2021年Q4,13.59,14.87,14.98,29.58,16.31,15.41,14.14,14.96,15.81,14.39,,15.06,14.96,,16.25,,17.69,,14.97,15.06,14.46,12.14,,451.0,15.8,14.42,16.91,,13.97,14.71,15.16,14.21,16.08,13.39,13.13,14.82,15.25,20.57,14.16,12.74,92.39,13.95,12.63,13.23
2021年Q3,14.07,14.43,14.8,30.34,17.02,15.4,14.3,15.31,14.54,,14.22,14.81,,14.71,16.2,,18.13,,14.81,15.31,14.84,11.93,,665.23,15.33,15.26,17.89,,14.32,14.3,14.56,13.87,15.69,13.59,13.34,15.36,15.67,18.95,14.07,13.2,216.26,13.54,12.84,13.21
2021年Q2,14.13,15.63,14.58,31.43,16.8,15.65,14.06,14.6,14.83,,14.75,15.12,,14.7,15.97,,18.14,,15.71,15.64,15.22,11.27,,288.51,15.32,13.84,18.93,,14.77,14.43,15.32,14.15,15.86,14.16,13.25,15.51,15.69,19.9,14.46,10.76,175.33,14.0,13.06,13.03
2021年Q1,13.1025132429334,13.677523088400534,15.128045208570903,30.097297402760404,16.592622422577744,16.314600504606634,13.654213090170886,14.06138598480837,13.382890256350802,,16.544589480879658,15.886683127866958,,15.141562619246407,16.649892285730967,,16.30856738072052,,14.333361108001988,15.484868432704527,14.070564241512573,10.98747493051432,,779.3995926515255,15.803087883215724,14.261238118319433,16.36366482307596,,15.60266460969271,12.892025863378937,12.588516479605072,13.729460678025127,14.42972437053332,13.314097670496553,12.894507358985846,16.209926298631043,14.88220816019376,16.58194061114564,13.069250419022465,11.900275478766497,262.33350625734965,13.531736402193346,12.963087585876126,12.864906137582905
2020年Q4,13.072056726091812,13.359734939913203,14.928304963746267,29.549167769998075,16.15476854100439,16.983961730480182,14.040363344250286,14.80823077262964,13.604148632031917,,16.473269854593163,16.279259489143588,,15.420046145639816,16.908607024566784,,16.32211564899065,,14.378991899160539,15.807938030617752,14.87269011719372,11.207232812155294,482.35547480359423,,15.894412129785133,14.034835910621426,15.092588126352599,,15.637616689610311,12.672382690143708,12.681136056811116,13.632875238013927,14.799060873410602,13.422599069190985,12.892698486681212,16.87126348591386,14.954058175323869,16.70304810869076,13.668391151367482,12.33741920999897,,14.101112197792117,13.07631531300642,12.421887335452839
2020年Q3,13.383065252887121,13.242751305248804,13.456310377755504,29.75917742156048,15.915074109858676,15.391692326133455,13.819875090274406,14.705797360555223,13.2135080149891,,14.32742733381907,14.477122809715876,,13.733953143894025,16.134970489133064,,15.817770203215945,,13.82916485786241,14.727167319706863,14.377175761745825,11.230753901706247,,,13.808801183014719,14.977144967824756,15.501726755948638,,14.02439799365849,12.11726941535948,12.223982116968882,13.171933340285719,14.19102482789768,13.857946203578203,13.157719789135225,14.263008495994528,15.27179728834156,16.55075180105932,13.62002463963259,12.357018025212499,,13.068963556583732,11.923718422694257,12.661055357183965
