,陽信商業銀行,中央信託局,華南商業銀行,王道商業銀行,中國信託商業銀行,台北富邦商業銀行,玉山商業銀行,臺灣新光商業銀行,樂天國際商業銀行,臺灣土地銀行,渣打國際商業銀行,彰化商業銀行,聯邦商業銀行,花蓮區中小企業銀行,日盛國際商業銀行,高雄銀行,澳盛(台灣)商業銀行,花旗(台灣)商業銀行,將來商業銀行,永豐商業銀行,京城商業銀行,連線商業銀行,中國農民銀行,臺北國際商業銀行,中華商業銀行,星展(台灣)商業銀行,三信商業銀行,上海商業儲蓄銀行,國泰世華商業銀行,第一商業銀行,合作金庫銀行,遠東國際商業銀行,交通銀行,台新國際商業銀行,華泰商業銀行,第七商業銀行,板信商業銀行,大眾商業銀行,高雄區中小企業銀行,慶豐商業銀行,中華開發工業銀行,中國輸出入銀行,兆豐國際商業銀行,臺灣中小企業銀行,台中商業銀行,臺灣銀行,元大商業銀行,凱基商業銀行,臺東區中小企業銀行,安泰商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行
2017年1月,0.0006755911422494683,,0.0004293953851295977,0.0005965223521573579,0.0016026413197393488,0.0010923687814385903,0.0007928499737951818,0.00046254128213333884,,0.0004165909481959308,0.0009288251137767684,0.0006234947979020296,0.000384610357967689,,0.0006308739332397104,0.00025599924381761825,0.00082806276144654,0.0012221728662898709,,0.0006628623553354436,0.0018851407748213594,,,,,0.000597589237563585,0.0002861267541520894,0.0011442799195974793,0.0007879615540917296,0.0007627107865521657,0.0003969820328513928,0.0004151472453397083,,0.0007058070750466838,0.00010373013567901747,,7.05035273796042e-05,,,,-0.0005742859944252238,0.00045879249344897257,0.0008337694606700714,0.000390169352399879,0.000536139075419517,0.00016334299779403614,0.0006636488110207617,0.0008512395952122262,,0.0005701556657561856,0.0010010660152913187,4.974258213743876e-05
2017年2月,0.0005373773029575472,,0.0002957316071369895,0.00045656457470838224,0.0008582572833849837,0.0005747713869390452,0.0007448995368552594,0.00046128977145785965,,0.00037706121184780193,0.0009495915612200536,0.0004262939715259531,0.000503684008500838,,0.00025232421050799825,0.00026255907579205323,0.00030655268937166747,0.0012432438127548387,,0.0005302327965082166,0.0017365418010419251,,,,,4.2183888004589606e-05,0.001121795910956639,0.0009159577036735085,0.00065878661556032,0.0006068944172967327,0.00037963249125604536,0.0003822410147991543,,0.0006416320751681308,4.7520128168574264e-05,,3.989591598806669e-05,,,,0.0017547035804308772,0.0004902266629825391,0.0007663160314682205,0.00036627648699852887,0.0005805216267714102,0.00015156656818328837,0.0006307665955269968,0.000429454575016701,,0.0006674949772655176,0.0005908803278757223,0.0
2017年3月,0.000380615615062556,,0.0003198822324119478,0.0007057799456549442,0.0009010677257029029,0.0006608860792979756,0.0007986387492497797,0.0005944819476960872,,0.0004016596028918016,6.865852681687626e-05,0.000668715866069327,0.0005411957460531632,,0.00039468262745863424,0.00026564487305395004,-0.0037708783864552654,0.0012544286214627614,,0.0005255073973481167,0.001909007956200874,,,,,0.00021535274233998474,0.0005027457653337459,0.0010723578833874052,0.0007216205712855276,0.0006680737007671813,0.0004020484124416061,0.0006297701339011261,,0.0007084951550221651,4.121445253468883e-05,,8.916748775061637e-05,,,,,0.00041825365749474956,0.0007938744687286756,0.00040197735836083155,0.0005593969228441946,0.00016591307495584032,0.0007087868759958283,0.0004642254141062629,,0.0008372518667795983,0.0011129266497166914,7.507695387772466e-05
2017年4月,0.0005150222972923496,,0.0004036435450335393,0.000569208601020595,0.0005745811991995731,0.0007021052077649789,0.0007438499824563683,0.00048100603373968723,,0.0003330400904863642,0.00048630275291108567,0.0005526657834062601,0.0004726379685834762,,0.00026193972809797404,0.0002777397618683433,0.0004676709984278294,0.0010362323593067142,,0.00041108350534108253,0.0022464685593627334,,,,,-0.00013136233925581836,0.0005148137661201061,0.0010864996993986088,0.0008537360400909145,0.0007246187827126662,0.00041454284920057304,0.0006313516002139487,,0.0006068517353747152,2.7393132541671804e-05,,9.29676605352281e-05,,,,,0.0004722739545369488,0.0007350328429730251,0.00038400731795012793,0.0005306880892427501,0.000167718669249968,0.0006731288579131386,0.00038811626628639466,,0.0004940759641794926,0.0006038021063458891,0.00018866026060270665
2017年5月,0.0006564387713976112,,0.00047773152123365835,0.0003600247321337727,0.0008034185046064603,0.0006665560941507139,0.000761550963547713,0.0005179829615579904,,0.0003738267360444395,-7.462342953404813e-05,0.0006524807518178214,0.000470065145498988,,0.0005082176585749576,0.000289058524173028,0.0006129164068044474,0.0013082697297484857,,0.0005234830932874738,0.0028054280662017446,,,,,0.00023659997079012707,0.00048665539675221556,0.0012092073327721223,0.0007048043254937127,0.0008297935235940904,0.00043245113302196853,0.00035882732470077596,,0.0007364446959820667,2.0526153740891518e-05,,9.605686566447336e-05,,,,,0.0005964179837563808,0.0007749388666675912,0.0003860716016380086,0.0004367091470290521,0.0001692085528510917,0.0006643618626457666,0.0005711162344169358,,0.00011066987826313391,0.0006437456405487096,8.79142961204677e-05
2017年6月,0.0007522699030143169,,0.0007170789803812175,0.0005347670872537543,0.0012303509602554336,0.0008240194102349966,0.0007137049693427801,0.0005549424964757962,,0.0004677469532697479,0.00015923746165835362,0.000621484231829554,0.0005004101875329033,,0.00045329918186099116,0.0002966671678851695,0.00037669039816175086,0.0013350611586965455,,0.0007559727744986931,0.002451660095413788,,,,,0.0001098164331622509,0.0012821565494198716,0.0015084805240378992,0.0008990844731260036,0.0008515023452600105,0.0004469653145269194,0.0008095742161928772,,0.0007770891731584697,4.143989833411609e-05,,0.0001897459560393119,,,,,0.0004689616840935144,0.0007388399681914139,0.0003580631216008641,0.0005260314481503596,0.0001743372623322187,0.0006790783283698119,0.0009237263528600707,,0.0002116477920251112,0.0006749223625700018,0.00031294594797586563
2017年7月,0.00050570280819381,,0.00048757459361309895,0.0006228456970563463,0.0008038717086375195,0.000946222211202748,0.0008596324018766073,0.0005591053295855871,,0.0004943931242666744,0.00042471682724685354,0.0006227493694908974,0.0005413313825896123,,0.00038802074147236234,0.0002892995335045022,0.0003390145612222022,0.0010690678029903783,,1.6275544976451322e-05,0.002061589497238174,,,,,2.7290937771203693e-06,0.00043648501187495986,0.0010954713436334734,0.0009362389269543035,0.0007993388303167998,0.0004790457665536033,0.0005333093228703123,,0.0007741831092413441,1.3967846018465492e-05,,0.0002738506829151405,,,,,0.0004996625086564338,0.0009143579506960542,0.000421575052347234,0.0005347174308473939,0.00018777838554314848,0.0007734521748738537,0.0007556107107387945,,0.0021780856479485435,0.00040840424917986214,9.710269824122738e-05
2017年8月,0.0005945528536168237,,0.0006517363224153712,0.00045425268653174686,0.0008443201446039195,0.0009297373590218586,0.0008357241678061763,0.0005750084744698749,,0.00043787547822257586,0.0004723734103748033,0.0005945370789992997,0.0005487397156728784,,0.00022441554854496726,0.00022192719995244416,0.00034071913031441986,0.0014509015172882674,,0.0004584926902209199,0.002133582821805901,,,,,9.059250160535242e-05,0.00044030374577244593,0.0011661882422187649,0.0009633701176959166,0.0008502491669154876,0.0005039675120602446,0.0006132493581147164,,0.0006238978412891457,1.4124792542109538e-05,,9.890090988837098e-05,,,,,0.0012922604079351773,0.0006740938616951111,0.00037029631597917397,0.0005908211159780283,0.00019518087070496232,0.0008017215423862127,0.0006872278273335734,,0.000967370343734686,0.0007095666848852707,0.00038016038016038016
2017年9月,0.0004915992971776555,,0.00045144114360861997,0.00014580785838080374,0.0011595788810923,0.0006152575944618877,0.0007127380402406692,0.0005586896510660078,,0.000319656017193413,0.0004529921322419137,0.0007789339126191246,0.0005817335660267597,,0.000287299260204405,0.0002203102440329364,0.0005239615908576976,0.0018391668158337262,,0.0005897284006181889,0.002099296735593576,,,,,-0.00011801903674508986,0.00039472595195803173,0.0011309567011711051,0.0007696457146984275,0.0007297937605224223,0.00047409963371413484,0.0005409481923167736,,0.0006658697924163438,2.1121108435770708e-05,,0.00018393518637339697,,,,,0.0004162872381943541,0.0007140812406917225,0.00042700042246475786,0.0006202737328916942,0.0001657406496869571,0.0007656703754544013,0.001196002968434496,,0.00042365862670896883,0.0003270591561319434,0.00042106782801183803
2017年10月,0.0005927404523101649,,0.000493532905953981,0.0003370025458707178,0.0008611706871691709,0.0008350181718761701,0.0006685441239121782,0.0004602805688258546,,0.0003701928441547778,0.0003476119546025285,0.0005993970684034291,0.0005334395470742619,,0.00044043444796031816,0.0002310780377949672,0.00046491784628175113,0.0011781860600758238,,0.00045775193090853277,0.0017022984746216288,,,,,0.0003022386686780869,0.00040715058209809786,0.0011608619036865527,0.0005633257212897941,0.0005163914753494243,0.00045945630792318143,0.0005813269232826782,,0.0007117129114880622,-5.702351507202783e-05,,0.0002868187519531501,,,,,0.000490542005886504,0.0005466928231538416,0.00034065404278485007,0.0006047711455581274,0.0001300071166100368,0.0008492006784474237,0.0009960777285291827,,0.0010490310767509283,0.0005977535387440565,0.00036335505649585074
