,三信商業銀行,上海商業儲蓄銀行,中國信託商業銀行,中國輸出入銀行,京城商業銀行,元大商業銀行,兆豐國際商業銀行,凱基商業銀行,匯豐(台灣)商業銀行,台中商業銀行,台北富邦商業銀行,台新國際商業銀行,合作金庫商業銀行,國泰世華商業銀行,安泰商業銀行,將來商業銀行,彰化商業銀行,日盛國際商業銀行,星展(台灣)商業銀行,板信商業銀行,樂天國際商業銀行,永豐商業銀行,渣打國際商業銀行,滙豐(台灣)商業銀行,澳盛(台灣)商業銀行,玉山商業銀行,王道商業銀行,瑞興商業銀行,第一商業銀行,聯邦商業銀行,臺灣中小企業銀行,臺灣土地銀行,臺灣新光商業銀行,臺灣銀行,花旗(台灣)商業銀行,華南商業銀行,華泰商業銀行,連線商業銀行,遠東國際商業銀行,陽信商業銀行,高雄銀行
2018年1月,340.0,2179.0,3310.0,65.0,45.0,1810.0,2238.0,617.0,188.0,2005.0,2528.0,2384.0,5794.0,3232.0,1427.0,,4123.0,508.0,1924.0,1193.0,,2433.0,798.0,,186.0,2809.0,22.0,68.0,7429.0,401.0,3796.0,3570.0,1289.0,6642.0,1165.0,5491.0,1395.0,,1032.0,383.0,1633.0
2018年2月,448.0,2377.0,3426.0,65.0,58.0,1805.0,2303.0,666.0,188.0,2055.0,2592.0,2355.0,6004.0,3229.0,1437.0,,4321.0,519.0,1779.0,1671.0,,2572.0,790.0,,187.0,2932.0,22.0,70.0,7750.0,418.0,3895.0,3703.0,1287.0,6904.0,1236.0,4972.0,1398.0,,973.0,461.0,1330.0
2018年3月,506.0,2043.0,3350.0,65.0,55.0,1854.0,1948.0,670.0,209.0,1861.0,2573.0,2459.0,6672.0,2917.0,1815.0,,4262.0,431.0,1754.0,1709.0,,2418.0,768.0,,186.0,2991.0,129.0,69.0,6392.0,440.0,3964.0,3716.0,1290.0,6531.0,1124.0,4046.0,1393.0,,924.0,516.0,1343.0
2018年4月,667.0,2138.0,3315.0,65.0,54.0,1828.0,2384.0,647.0,211.0,1811.0,2707.0,2470.0,7541.0,2960.0,1519.0,,4217.0,425.0,1726.0,1612.0,,2430.0,763.0,,189.0,3108.0,131.0,68.0,6434.0,443.0,4001.0,4324.0,1266.0,6797.0,1103.0,3706.0,1394.0,,954.0,519.0,1393.0
2018年5月,637.0,2225.0,3410.0,65.0,39.0,1656.0,2535.0,674.0,222.0,1747.0,2609.0,2495.0,7235.0,2884.0,1688.0,,3912.0,390.0,1552.0,1586.0,,2398.0,698.0,,192.0,3061.0,133.0,58.0,6243.0,441.0,3824.0,4137.0,1280.0,6947.0,1111.0,3025.0,1465.0,,952.0,575.0,1527.0
2018年6月,594.0,1806.0,3381.0,65.0,36.0,1649.0,2989.0,659.0,212.0,1655.0,2460.0,2528.0,7399.0,2949.0,1598.0,,5488.0,443.0,1603.0,1930.0,,2334.0,775.0,,134.0,3023.0,135.0,63.0,6104.0,444.0,3661.0,4118.0,1295.0,6643.0,1258.0,3025.0,1440.0,,956.0,575.0,1408.0
2018年7月,627.0,1889.0,3039.0,65.0,36.0,1640.0,3206.0,665.0,225.0,1783.0,2372.0,2180.0,7274.0,3179.0,1610.0,,3970.0,440.0,1598.0,1936.0,,2334.0,788.0,,135.0,3054.0,136.0,75.0,6041.0,441.0,3556.0,4124.0,1300.0,6807.0,1148.0,2929.0,1907.0,,951.0,632.0,1432.0
2018年8月,624.0,1808.0,2999.0,0.0,37.0,1615.0,3388.0,653.0,228.0,1850.0,2373.0,1996.0,6750.0,3085.0,1467.0,,4028.0,432.0,1613.0,1939.0,,2436.0,674.0,,136.0,3103.0,138.0,96.0,5848.0,466.0,3627.0,4072.0,1315.0,6977.0,1141.0,2866.0,1910.0,,949.0,673.0,1629.0
2018年9月,547.0,1777.0,3309.0,6.0,35.0,1595.0,2613.0,625.0,210.0,2444.0,2368.0,2002.0,7034.0,2511.0,1408.0,,4099.0,405.0,1562.0,1866.0,,2327.0,668.0,,135.0,3105.0,25.0,131.0,5841.0,441.0,3708.0,3864.0,1328.0,6446.0,1239.0,2873.0,1873.0,,964.0,727.0,1590.0
2018年10月,568.0,1824.0,4132.0,6.0,35.0,1616.0,3490.0,619.0,215.0,2377.0,2363.0,1825.0,6861.0,2551.0,1476.0,,4382.0,389.0,1569.0,1862.0,,2299.0,669.0,,137.0,3160.0,25.0,138.0,5693.0,428.0,3547.0,3854.0,1345.0,6584.0,1371.0,2918.0,1368.0,,965.0,729.0,1539.0
