,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦商業銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)商業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)商業銀行,台新國際商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,將來商業銀行,連線商業銀行,樂天國際商業銀行,中央信託局,中國農民銀行,交通銀行,澳盛(台灣)商業銀行,中華開發工業銀行,第七商業銀行,中華商業銀行,大眾商業銀行,慶豐商業銀行,臺北國際商業銀行,高雄區中小企業銀行,花蓮區中小企業銀行,臺東區中小企業銀行,臺灣銀行-排名,臺灣銀行-市佔率,臺灣土地銀行-排名,臺灣土地銀行-市佔率,合作金庫銀行-排名,合作金庫銀行-市佔率,第一商業銀行-排名,第一商業銀行-市佔率,華南商業銀行-排名,華南商業銀行-市佔率,彰化商業銀行-排名,彰化商業銀行-市佔率,上海商業儲蓄銀行-排名,上海商業儲蓄銀行-市佔率,台北富邦商業銀行-排名,台北富邦商業銀行-市佔率,國泰世華商業銀行-排名,國泰世華商業銀行-市佔率,中國輸出入銀行-排名,中國輸出入銀行-市佔率,高雄銀行-排名,高雄銀行-市佔率,兆豐國際商業銀行-排名,兆豐國際商業銀行-市佔率,花旗(台灣)商業銀行-排名,花旗(台灣)商業銀行-市佔率,王道商業銀行-排名,王道商業銀行-市佔率,臺灣中小企業銀行-排名,臺灣中小企業銀行-市佔率,渣打國際商業銀行-排名,渣打國際商業銀行-市佔率,台中商業銀行-排名,台中商業銀行-市佔率,京城商業銀行-排名,京城商業銀行-市佔率,匯豐(台灣)商業銀行-排名,匯豐(台灣)商業銀行-市佔率,瑞興商業銀行-排名,瑞興商業銀行-市佔率,華泰商業銀行-排名,華泰商業銀行-市佔率,臺灣新光商業銀行-排名,臺灣新光商業銀行-市佔率,陽信商業銀行-排名,陽信商業銀行-市佔率,板信商業銀行-排名,板信商業銀行-市佔率,三信商業銀行-排名,三信商業銀行-市佔率,聯邦商業銀行-排名,聯邦商業銀行-市佔率,遠東國際商業銀行-排名,遠東國際商業銀行-市佔率,元大商業銀行-排名,元大商業銀行-市佔率,永豐商業銀行-排名,永豐商業銀行-市佔率,玉山商業銀行-排名,玉山商業銀行-市佔率,凱基商業銀行-排名,凱基商業銀行-市佔率,星展(台灣)商業銀行-排名,星展(台灣)商業銀行-市佔率,台新國際商業銀行-排名,台新國際商業銀行-市佔率,日盛國際商業銀行-排名,日盛國際商業銀行-市佔率,安泰商業銀行-排名,安泰商業銀行-市佔率,中國信託商業銀行-排名,中國信託商業銀行-市佔率,將來商業銀行-排名,將來商業銀行-市佔率,連線商業銀行-排名,連線商業銀行-市佔率,樂天國際商業銀行-排名,樂天國際商業銀行-市佔率,中央信託局-排名,中央信託局-市佔率,中國農民銀行-排名,中國農民銀行-市佔率,交通銀行-排名,交通銀行-市佔率,澳盛(台灣)商業銀行-排名,澳盛(台灣)商業銀行-市佔率,中華開發工業銀行-排名,中華開發工業銀行-市佔率,第七商業銀行-排名,第七商業銀行-市佔率,中華商業銀行-排名,中華商業銀行-市佔率,大眾商業銀行-排名,大眾商業銀行-市佔率,慶豐商業銀行-排名,慶豐商業銀行-市佔率,臺北國際商業銀行-排名,臺北國際商業銀行-市佔率,高雄區中小企業銀行-排名,高雄區中小企業銀行-市佔率,花蓮區中小企業銀行-排名,花蓮區中小企業銀行-市佔率,臺東區中小企業銀行-排名,臺東區中小企業銀行-市佔率
2017年1月,2656853.0,2077387.0,4320858.0,3525017.0,3135717.0,2599133.0,615026.0,3166568.0,4192509.0,,350744.0,3128183.0,506359.0,2270.0,1901712.0,632174.0,605541.0,174254.0,207852.0,37689.0,94256.0,1801752.0,165432.0,177066.0,102274.0,629770.0,413104.0,686911.0,2031497.0,4671215.0,422347.0,93303.0,2305950.0,56977.0,168522.0,8088137.0,,,,,,,19490.0,,,,,413447.0,,,,,9.0,0.04729407054408599,12.0,0.036979120532964066,3.0,0.07691466673654068,5.0,0.06274807174770392,7.0,0.05581822592529195,10.0,0.04626660920098397,19.0,0.010947945945992132,6.0,0.05636739796091289,4.0,0.07462995370941314,,,25.0,0.006243518733973953,8.0,0.055684114806807364,21.0,0.009013587980453883,37.0,4.0407783243963896e-05,14.0,0.03385196752794937,17.0,0.011253193816946975,20.0,0.010779105494860415,28.0,0.003101858088719685,26.0,0.0036999288823014904,35.0,0.0006708938073487909,32.0,0.0016778308446885732,15.0,0.032072601002369354,30.0,0.0029448195584208968,27.0,0.003151913897742604,31.0,0.0018205575433890588,18.0,0.011210400728436628,24.0,0.007353575722120908,16.0,0.012227555416693606,13.0,0.03616224248315547,2.0,0.08315129656649904,22.0,0.007518108383144678,33.0,0.0016608666960403363,11.0,0.041047721485206405,34.0,0.0010142353594234938,29.0,0.0029998239858322834,1.0,0.14397519239801077,,,,,,,,,,,,,36.0,0.0003469373107598486,,,,,,,,,23.0,0.007359681391571428,,,,,,,,
2017年2月,1942324.0,1620159.0,3211885.0,2668217.0,2731689.0,2233964.0,524885.0,2330824.0,3237802.0,,282790.0,2365815.0,430192.0,1665.0,1414061.0,434977.0,509248.0,130877.0,177586.0,30971.0,66225.0,1389155.0,128627.0,146881.0,84415.0,539443.0,344058.0,511244.0,1760071.0,3792944.0,344641.0,82515.0,1777244.0,44634.0,134574.0,6094634.0,,,,,,,19155.0,,,,,343521.0,,,,,10.0,0.044260502573243696,13.0,0.03691920173388371,4.0,0.07319048948963347,6.0,0.060801712481786035,5.0,0.06224807396387086,9.0,0.0509062182058883,17.0,0.011960761383351603,8.0,0.053113405204166846,3.0,0.07378107038406238,,,25.0,0.0064440471943339964,7.0,0.053910758913198076,21.0,0.009802954668216452,37.0,3.794101127538493e-05,14.0,0.03222276537242168,20.0,0.009911992349269136,19.0,0.011604434900881215,29.0,0.0029823457853985305,26.0,0.004046722179189494,35.0,0.0007057483845104784,33.0,0.0015090951782056258,15.0,0.031655222533487896,30.0,0.0029310741485399023,27.0,0.0033470352415254138,31.0,0.0019235978779649362,16.0,0.012292500267524008,23.0,0.007840185259691525,18.0,0.011649918539623359,12.0,0.04010743162551233,2.0,0.08643130995249466,22.0,0.007853470310486449,32.0,0.0018803018290620946,11.0,0.04049875954541154,34.0,0.0010170925509102287,28.0,0.0030665907816057967,1.0,0.13888082721522182,,,,,,,,,,,,,36.0,0.0004364925351231221,,,,,,,,,24.0,0.007827948429027932,,,,,,,,
2017年3月,2128190.0,2067818.0,4383488.0,3146460.0,3163822.0,2808426.0,658977.0,2776197.0,3928864.0,,350343.0,2713217.0,566973.0,2665.0,1867692.0,629110.0,683695.0,183545.0,234410.0,41864.0,92787.0,1881768.0,176401.0,196553.0,113519.0,707120.0,450038.0,648292.0,2283129.0,4556657.0,420519.0,110971.0,2173231.0,58448.0,155480.0,7279405.0,,,,,,,25304.0,,,,,454409.0,,,,,12.0,0.039323695047062915,13.0,0.03820816959238956,3.0,0.08099603200581702,6.0,0.05813880974808715,5.0,0.05845961662783337,7.0,0.05189277629640338,18.0,0.012176267434311964,8.0,0.051297263974819415,4.0,0.07259570330533636,,,25.0,0.006473473371208944,9.0,0.0501335491213223,21.0,0.010476260743598271,37.0,4.924261804651966e-05,15.0,0.03451033537881441,20.0,0.011624399039116691,17.0,0.012632995026384711,28.0,0.0033914582849337528,26.0,0.004331317859769108,35.0,0.0007735433252906188,33.0,0.0017144745968789568,14.0,0.034770425094245105,29.0,0.003259454809014677,27.0,0.0036318139980853954,31.0,0.002097550753479499,16.0,0.013065831171878041,23.0,0.008315590746874152,19.0,0.01197883502387029,10.0,0.04218658510241365,2.0,0.08419576743714827,24.0,0.007770152532196773,32.0,0.002050470006469168,11.0,0.04015594148587466,34.0,0.0010799746865226946,30.0,0.00287288639920183,1.0,0.13450542589903394,,,,,,,,,,,,,36.0,0.000467555424783915,,,,,,,,,22.0,0.008396356031482533,,,,,,,,
2017年4月,1722805.0,1681839.0,3893615.0,3004961.0,2826810.0,2284919.0,533300.0,2627828.0,3727628.0,,283726.0,2356855.0,456277.0,6926.0,1532152.0,573511.0,562522.0,164053.0,186644.0,33953.0,75106.0,1668510.0,143842.0,160585.0,92578.0,580467.0,360602.0,618560.0,1862332.0,4335870.0,392451.0,90096.0,2094959.0,49940.0,145790.0,7022964.0,,,,,,,22052.0,,,,,369560.0,,,,,12.0,0.03548766393222115,13.0,0.034643814720820336,3.0,0.08020367981370802,5.0,0.0618985004672213,6.0,0.058228808994774256,9.0,0.04706652092624924,20.0,0.010985324035542931,7.0,0.05413002454467037,4.0,0.07678455177941651,,,25.0,0.005844406614116732,8.0,0.04854831404423314,21.0,0.009398744974621079,37.0,0.0001426670809491287,15.0,0.03156044663736203,18.0,0.011813621175601466,19.0,0.011587261292183912,27.0,0.003379290013131304,26.0,0.003844636825970138,35.0,0.000699390037462571,33.0,0.001547091218851467,14.0,0.03436925371562673,30.0,0.002962968272868116,28.0,0.0033078534788067906,31.0,0.0019069929281126821,17.0,0.011956906219650287,24.0,0.007427957655850088,16.0,0.012741575164870496,11.0,0.03836174851258342,2.0,0.08931358883553259,22.0,0.008084007881254188,32.0,0.0018558667809980796,10.0,0.043153578578993025,34.0,0.0010287025732889817,29.0,0.003003094676808183,1.0,0.1446644200824165,,,,,,,,,,,,,36.0,0.0004542440758143497,,,,,,,,,23.0,0.0076124814374184235,,,,,,,,
2017年5月,2094511.0,2011702.0,4375662.0,3152380.0,3194863.0,2683845.0,625900.0,2779521.0,3975797.0,,332167.0,2715242.0,536893.0,11332.0,1684335.0,633969.0,611976.0,180214.0,219256.0,39681.0,75077.0,1853510.0,170490.0,188503.0,109671.0,679871.0,435015.0,654925.0,2185252.0,4573015.0,412773.0,105066.0,2230686.0,56341.0,167021.0,7429898.0,,,,,,,25197.0,,,,,445897.0,,,,,12.0,0.039034856182330234,13.0,0.03749156640939393,3.0,0.08154807345126737,6.0,0.05875008530967571,5.0,0.05954182991984674,9.0,0.050018120501953,19.0,0.011664735341337664,7.0,0.051801209203850784,4.0,0.07409589355469605,,,25.0,0.006190509896351027,8.0,0.05060325821646327,21.0,0.01000593505610609,37.0,0.0002111915336124595,15.0,0.03139051286331998,18.0,0.011815115193501353,20.0,0.011405237378575584,28.0,0.0033586013976734715,26.0,0.004086216986739624,35.0,0.0007395244656967884,33.0,0.001399190502031647,14.0,0.03454338329209582,29.0,0.003177377741403832,27.0,0.003513081332558194,31.0,0.0020439098731743774,16.0,0.012670578816505159,23.0,0.008107261294954472,17.0,0.012205666709419347,11.0,0.0407259725740994,2.0,0.08522608992964892,24.0,0.007692742931858079,32.0,0.0019580876871273093,10.0,0.04157271420295119,34.0,0.0010500125481168003,30.0,0.0031127268915890046,1.0,0.13846907458561117,,,,,,,,,,,,,36.0,0.00046958992873571677,,,,,,,,,22.0,0.008310066295728455,,,,,,,,
2017年6月,1858327.0,1807877.0,4207550.0,3014243.0,2995665.0,2468569.0,565763.0,2668020.0,3864534.0,,303127.0,2577515.0,492534.0,13885.0,1733992.0,595968.0,665221.0,172445.0,204055.0,37029.0,71434.0,1817562.0,153446.0,173795.0,98804.0,628264.0,393101.0,629390.0,2005307.0,4477338.0,404047.0,98195.0,2172921.0,54700.0,144611.0,7186656.0,,,,,,,23246.0,,,,,401991.0,,,,,12.0,0.036308833136870944,14.0,0.035323118226763546,3.0,0.08220901427199913,5.0,0.05889364257258344,6.0,0.05853065720885747,9.0,0.04823201724338739,20.0,0.01105413329409491,7.0,0.052128981059756656,4.0,0.07550701257516272,,,25.0,0.00592263237970512,8.0,0.0503606534494639,21.0,0.009623351982851023,37.0,0.00027129140786602844,15.0,0.03387951969092044,19.0,0.011644292240770704,16.0,0.01299738866633398,28.0,0.0033693083780667824,26.0,0.003986918849989372,35.0,0.0007234893440310527,33.0,0.0013957097896652412,13.0,0.03551234813567118,29.0,0.002998097325992841,27.0,0.0033956852884462667,31.0,0.0019304772245441176,18.0,0.012275306090856499,24.0,0.007680585071915279,17.0,0.012297306387958201,11.0,0.039180594831372116,2.0,0.08748025419604379,22.0,0.007894452968962563,32.0,0.0019185783071951502,10.0,0.042455512947184616,34.0,0.0010687533316724347,30.0,0.0028254751013982167,1.0,0.14041613425198707,,,,,,,,,,,,,36.0,0.0004541908582825853,,,,,,,,,23.0,0.007854281911377214,,,,,,,,
2017年7月,1907015.0,1850483.0,4349280.0,3127129.0,3146830.0,2516418.0,581473.0,2737770.0,4008707.0,,312016.0,2643111.0,507360.0,17174.0,1619021.0,622896.0,606417.0,177902.0,205157.0,38898.0,74586.0,1867003.0,156036.0,177470.0,103470.0,644197.0,404650.0,653330.0,2058886.0,4587397.0,416659.0,99131.0,2269880.0,54577.0,152916.0,7425034.0,,,,,,,23899.0,,,,,417846.0,,,,,12.0,0.0362812322447857,14.0,0.035205702885414004,3.0,0.08274567204641892,6.0,0.05949407503790189,5.0,0.059868889371535616,9.0,0.047875211198107594,20.0,0.011062606721537208,7.0,0.052086464554713496,4.0,0.0762662221683092,,,25.0,0.005936148881938032,8.0,0.050285563584842166,21.0,0.009652596330765345,37.0,0.00032673779837701837,15.0,0.030802105337496135,18.0,0.011850685201924492,19.0,0.011537169877628761,27.0,0.00338461091224341,26.0,0.003903141172798064,35.0,0.0007400399954157016,33.0,0.0014190092832041628,13.0,0.035519998240554816,29.0,0.00296860714496078,28.0,0.0033763920506561925,31.0,0.0019685315009939494,17.0,0.012255939763659025,24.0,0.007698523938119278,16.0,0.012429696390686935,11.0,0.03917059967097158,2.0,0.08727588191809356,23.0,0.007926996875158384,32.0,0.0018859814074130782,10.0,0.04318479060090989,34.0,0.0010383352056610301,30.0,0.0029092487001642097,1.0,0.14126233038514652,,,,,,,,,,,,,36.0,0.00045468188211321545,,,,,,,,,22.0,0.00794957971938067,,,,,,,,
2017年8月,2077914.0,1884929.0,4416450.0,3178005.0,3204145.0,2578662.0,596348.0,2808223.0,4190426.0,,322866.0,2663602.0,515519.0,21303.0,1782210.0,632261.0,671753.0,183214.0,208059.0,41305.0,77474.0,1900765.0,160420.0,180345.0,105132.0,661979.0,413135.0,702770.0,2089005.0,4688154.0,428733.0,100656.0,2384315.0,58645.0,154875.0,7660268.0,,,,,,,24330.0,,,,,434148.0,,,,,12.0,0.03833623945001787,14.0,0.03477578450806084,3.0,0.08148079502762455,6.0,0.05863224399727517,5.0,0.05911451097233933,9.0,0.04757473307011839,20.0,0.011002255013219631,7.0,0.05180999278942609,4.0,0.07731079078998486,,,25.0,0.005956679769359785,8.0,0.04914182399827255,21.0,0.009511009514846987,37.0,0.00039302729035163667,15.0,0.03288068192919262,19.0,0.01166482784701761,17.0,0.01239343103673581,27.0,0.003380185981997125,26.0,0.0038385610009515642,35.0,0.0007620519282718092,33.0,0.0014293478051308594,13.0,0.035067948999916845,29.0,0.002959650655692135,28.0,0.0033272546908165944,31.0,0.0019396209495962196,18.0,0.012213106728615034,24.0,0.007622087480609463,16.0,0.012965675671990785,11.0,0.03854086160076143,2.0,0.0864935672614743,23.0,0.00790986101836963,32.0,0.001857041493575287,10.0,0.0439891500631255,34.0,0.0010819642981116148,30.0,0.002857348805013835,1.0,0.14132724852872136,,,,,,,,,,,,,36.0,0.0004488735846714228,,,,,,,,,22.0,0.008009764448743479,,,,,,,,
2017年9月,1923758.0,1856737.0,4337216.0,3107919.0,3097823.0,2536822.0,581149.0,2748334.0,4163346.0,,315386.0,2681653.0,505298.0,23521.0,1309363.0,613827.0,637776.0,179947.0,204071.0,41186.0,74490.0,1867891.0,157204.0,176518.0,104175.0,648592.0,402329.0,694740.0,2058932.0,4612329.0,421721.0,103322.0,2332421.0,58365.0,145747.0,7558589.0,,,,,,,24190.0,,,,,427641.0,,,,,12.0,0.03648018421700567,14.0,0.0352092663435476,3.0,0.0822465396733604,5.0,0.058935405415614664,6.0,0.05874395517090879,9.0,0.04810570450428419,20.0,0.011020316784922338,7.0,0.05211660230125621,4.0,0.07894944636442508,,,25.0,0.005980658367354183,8.0,0.05085213184095187,21.0,0.009581955799266087,37.0,0.000446028249378659,15.0,0.024829424203528298,19.0,0.011639989040914678,18.0,0.012094133445675084,27.0,0.0034123313375681967,26.0,0.0038697942638047838,35.0,0.0007810092886743527,33.0,0.0014125523700614902,13.0,0.03542077942094948,29.0,0.0029810562865236474,28.0,0.0033473072796149027,31.0,0.001975468427321194,17.0,0.012299237035882964,24.0,0.00762935672566075,16.0,0.01317434063064196,11.0,0.03904348605712772,2.0,0.08746350195265597,23.0,0.00799708683118139,32.0,0.001959293005497292,10.0,0.044229652457124326,34.0,0.0011067743197561938,30.0,0.0027637974262230097,1.0,0.14333337100645333,,,,,,,,,,,,,36.0,0.0004587144829076043,,,,,,,,,22.0,0.008109347671975643,,,,,,,,
2017年10月,1899550.0,1855683.0,4325433.0,3121621.0,3194863.0,2525575.0,577641.0,2716244.0,4184910.0,,318784.0,2672502.0,507393.0,26798.0,1241451.0,611675.0,641511.0,178865.0,202980.0,42245.0,73521.0,1865209.0,155477.0,176543.0,103988.0,648821.0,402232.0,670682.0,2070599.0,4661398.0,418817.0,99742.0,2425707.0,54442.0,147458.0,7660997.0,,,,,,,24192.0,,,,,420342.0,,,,,12.0,0.03589075146604523,14.0,0.03506191327038783,3.0,0.08172621978154322,6.0,0.05898098153888425,5.0,0.060364841094503255,9.0,0.04771908327438455,20.0,0.01091414786007098,7.0,0.051321648982725676,4.0,0.07907112985589605,,,25.0,0.006023214611540503,8.0,0.05049517258008939,21.0,0.009586857970893679,36.0,0.0005063306350383406,15.0,0.023456402462832416,19.0,0.011557197969515525,18.0,0.012120929622139003,27.0,0.0033795368697713563,26.0,0.0038351739794045226,35.0,0.0007981915694154303,33.0,0.0013891310776421317,13.0,0.03524190079294083,29.0,0.002937635948348985,28.0,0.003335664202611157,31.0,0.0019647850614361883,17.0,0.012259047278013704,24.0,0.007599909843747364,16.0,0.012672096535890156,11.0,0.03912261014179242,2.0,0.0880740581202497,23.0,0.007913272541788668,32.0,0.0018845596760950136,10.0,0.04583214291092426,34.0,0.0010286458852435758,30.0,0.0027861222024585285,1.0,0.1447495139949557,,,,,,,,,,,,,37.0,0.0004570919741341719,,,,,,,,,22.0,0.00794208641664625,,,,,,,,
