,一卡通票證股份有限公司,上海商業儲蓄銀行,中國信託商業銀行,中華郵政公司,元大商業銀行,兆豐國際商業銀行,全支付電子支付股份有限公司,全盈支付金融科技股份有限公司,台北富邦商業銀行,台新國際商業銀行,"台灣電子支付股份
有限公司",合作金庫商業銀行,國泰世華商業銀行,國際連股份有限公司,彰化商業銀行,悠遊卡股份有限公司,愛金卡股份有限公司,智付寶股份有限公司,"橘子支行動支付股份
有限公司",橘子支行動支付股份有限公司,"歐付寶電子支付股份
有限公司",歐付寶電子支付股份有限公司,永豐商業銀行,玉山商業銀行,第一商業銀行,簡單行動支付股份有限公司,臺灣中小企業銀行,臺灣土地銀行,臺灣新光商業銀行,臺灣銀行,華南商業銀行,"街口電子支付股份
有限公司",街口電子支付股份有限公司,遠東國際商業銀行,陽信商業銀行
2018年4月,,3.0,53331.0,2.0,2804.0,4440.0,,,1134.0,4802.0,790.0,0.0,0.0,1522.0,1695.0,,,477.0,6276.0,,111639.0,,5772.0,72669.0,3985.0,,9.0,103.0,3269.0,3705.0,1387.0,133306.0,,0.0,24.0
2018年5月,,3.0,52955.0,2.0,1059.0,3867.0,,,767.0,7843.0,1860.0,0.0,0.0,1482.0,1842.0,,,284.0,6529.0,,108593.0,,4114.0,54465.0,2798.0,,9.0,106.0,671.0,5207.0,457.0,132529.0,,0.0,30.0
2018年6月,,3.0,53427.0,2.0,1431.0,2383.0,,,873.0,7296.0,1861.0,0.0,0.0,1494.0,1027.0,,,322.0,21656.0,,112669.0,,4629.0,54918.0,3135.0,,9.0,107.0,2414.0,7.0,1264.0,135254.0,,0.0,22.0
2018年7月,,4.0,51618.0,2.0,3602.0,2609.0,,,592.0,11372.0,2138.0,0.0,0.0,1235.0,1565.0,,,,16719.0,,109466.0,,4239.0,93845.0,4286.0,944.0,9.0,115.0,971.0,16.0,1183.0,131837.0,,0.0,57.0
2018年8月,,4.0,53058.0,2.0,25091.0,1172.0,,,571.0,14723.0,242.0,0.0,0.0,1282.0,2153.0,,,,15842.0,,107712.0,,4229.0,54589.0,33541.0,842.0,9.0,125.0,1079.0,21.0,1139.0,152370.0,,0.0,29.0
2018年9月,121171.0,4.0,50338.0,2.0,18560.0,1601.0,,,872.0,58838.0,0.0,0.0,0.0,1216.0,1365.0,,,,13883.0,,107566.0,,7402.0,134132.0,27194.0,894.0,9.0,138.0,2787.0,50.0,1038.0,176202.0,,0.0,27.0
2018年10月,150209.0,4.0,50057.0,2.0,6337.0,1667.0,,,374.0,35132.0,,0.0,0.0,1151.0,1597.0,,,,17250.0,,109418.0,,4693.0,111106.0,4826.0,1411.0,9.0,123.0,1307.0,65.0,494.0,188090.0,,0.0,10.0
2018年11月,191218.0,4.0,46526.0,5.0,1498.0,1688.0,,,725.0,7986.0,,0.0,0.0,1194.0,1479.0,,,,12053.0,,110199.0,,5459.0,74425.0,2031.0,1333.0,9.0,127.0,1044.0,2.0,567.0,203745.0,,0.0,17.0
2018年12月,220885.0,4.0,43337.0,6.0,0.0,3341.0,,,1582.0,1470.0,,0.0,0.0,1243.0,1444.0,,,,13188.0,,111784.0,,7798.0,149394.0,2319.0,1827.0,9.0,127.0,4654.0,1.0,1666.0,282781.0,,0.0,10.0
2019年1月,247864.0,4.0,41233.0,8.0,12803.0,2139.0,,,676.0,0.0,,0.0,0.0,1224.0,2429.0,,,,25245.0,,116243.0,,8261.0,91545.0,9286.0,1815.0,9.0,127.0,1801.0,12.0,600.0,255869.0,,0.0,18.0
2019年2月,307129.0,3.0,40065.0,8.0,119983.0,2932.0,,,897.0,57830.0,,0.0,0.0,1234.0,1740.0,,,,34382.0,,121093.0,,5947.0,154265.0,57390.0,2394.0,9.0,119.0,2914.0,9.0,1038.0,258728.0,,0.0,32.0
2019年3月,328773.0,3.0,39578.0,8.0,4085.0,3030.0,,,1563.0,12830.0,,0.0,0.0,1358.0,1907.0,,,,27229.0,,122117.0,,5451.0,129308.0,4797.0,2670.0,9.0,122.0,6559.0,2.0,1638.0,341222.0,,0.0,45.0
2019年4月,354287.0,3.0,37683.0,1.0,3150.0,4851.0,,,2661.0,10872.0,,0.0,0.0,1325.0,441.0,,,,28507.0,,134862.0,,5263.0,98778.0,4749.0,3520.0,9.0,125.0,2199.0,30.0,899.0,325639.0,,0.0,59.0
2019年5月,374927.0,3.0,37574.0,0.0,2168.0,4848.0,,,1225.0,18350.0,,0.0,0.0,1203.0,513.0,,,,15993.0,,139603.0,,4474.0,83576.0,2114.0,3230.0,9.0,116.0,2356.0,6.0,484.0,355897.0,,0.0,69.0
2019年6月,400806.0,3.0,38040.0,0.0,3268.0,2445.0,,,2377.0,19700.0,,0.0,0.0,1218.0,1127.0,,,,18113.0,,140966.0,,4694.0,147418.0,2446.0,3923.0,9.0,116.0,6628.0,2.0,2150.0,433097.0,,0.0,89.0
2019年7月,416881.0,3.0,36137.0,0.0,14388.0,4466.0,,,563.0,72862.0,,0.0,0.0,1244.0,3164.0,,,,19672.0,,144237.0,,4084.0,101431.0,5041.0,4827.0,9.0,99.0,1669.0,0.0,1291.0,382559.0,,0.0,13.0
2019年8月,459074.0,0.0,36404.0,0.0,2244.0,4908.0,,,1680.0,17923.0,,0.0,0.0,1350.0,1798.0,,,,16219.0,,174062.0,,3108.0,102236.0,3669.0,1481.0,9.0,48.0,2138.0,0.0,1106.0,461496.0,,0.0,0.0
2019年9月,499050.0,0.0,35197.0,0.0,822.0,4036.0,,,993.0,6595.0,,0.0,0.0,1310.0,1830.0,,,,15337.0,,170237.0,,5579.0,130132.0,2105.0,2275.0,0.0,0.0,3260.0,0.0,1159.0,535606.0,,0.0,0.0
2019年10月,534782.0,0.0,34681.0,0.0,886.0,7720.0,,,532.0,4874.0,,0.0,0.0,1275.0,1553.0,,1043.0,,14116.0,,188348.0,,3904.0,83512.0,691.0,2185.0,0.0,0.0,728.0,0.0,387.0,505206.0,,0.0,0.0
2019年11月,608652.0,0.0,34874.0,0.0,726.0,8287.0,,,672.0,4603.0,,0.0,0.0,1346.0,1019.0,,17859.0,,17229.0,,205268.0,,5286.0,93310.0,1174.0,1920.0,0.0,0.0,1278.0,0.0,487.0,733033.0,,0.0,0.0
