銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,765.0,765.0,762.0,762.0,762.0,762.0,761.0,762.0,761.0,762.0,762.0,762.0,762.0,0.94%,8.0,0.94%,8.0,0.94%,8.0,0.94%,8.0,0.94%,8.0,0.94%,8.0,0.93%,8.0,0.93%,8.0,0.93%,8.0,0.93%,8.0,0.93%,8.0,0.93%,8.0,0.93%,8.0
臺灣土地銀行,672.0,672.0,672.0,672.0,672.0,669.0,669.0,668.0,667.0,668.0,668.0,663.0,660.0,0.83%,11.0,0.83%,10.5,0.83%,10.0,0.83%,10.0,0.83%,10.0,0.82%,10.0,0.82%,10.0,0.82%,10.0,0.82%,10.0,0.82%,10.0,0.82%,10.0,0.81%,10.0,0.80%,10.0
合作金庫銀行,1187.0,1187.0,1186.0,1186.0,1185.0,1187.0,1190.0,1191.0,1190.0,1191.0,1190.0,1189.0,1190.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.46%,7.0,1.45%,7.0,1.45%,7.0,1.44%,7.0
第一商業銀行,541.0,542.0,542.0,542.0,542.0,539.0,539.0,538.0,538.0,540.0,540.0,537.0,537.0,0.67%,16.0,0.67%,16.0,0.67%,15.0,0.67%,15.0,0.67%,15.0,0.66%,16.0,0.66%,16.0,0.66%,16.0,0.66%,16.0,0.66%,16.0,0.66%,16.0,0.65%,16.0,0.65%,16.0
華南商業銀行,686.0,686.0,687.0,684.0,687.0,686.0,687.0,687.0,687.0,685.0,685.0,683.0,684.0,0.85%,10.0,0.85%,9.0,0.85%,9.0,0.84%,9.0,0.84%,9.0,0.84%,9.0,0.84%,9.0,0.84%,9.0,0.84%,9.0,0.84%,9.0,0.84%,9.0,0.83%,9.0,0.83%,9.0
彰化商業銀行,641.0,641.0,642.0,642.0,642.0,642.0,641.0,639.0,640.0,641.0,640.0,637.0,637.0,0.79%,12.0,0.79%,12.0,0.79%,11.0,0.79%,11.0,0.79%,11.0,0.79%,11.0,0.79%,11.0,0.78%,11.0,0.78%,11.0,0.78%,11.0,0.78%,11.0,0.77%,11.0,0.77%,11.0
上海商業儲蓄銀行,275.0,275.0,275.0,274.0,274.0,274.0,274.0,272.0,273.0,275.0,275.0,277.0,276.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.33%,20.0,0.33%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0,0.34%,20.0
台北富邦商業銀行,574.0,574.0,576.0,574.0,577.0,579.0,580.0,576.0,577.0,577.0,578.0,582.0,581.0,0.71%,13.5,0.71%,13.0,0.71%,12.0,0.71%,12.0,0.71%,12.0,0.71%,13.0,0.71%,13.0,0.71%,13.0,0.71%,13.0,0.71%,13.0,0.71%,13.0,0.71%,13.0,0.71%,13.0
國泰世華商業銀行,5044.0,5052.0,5069.0,5070.0,5070.0,5070.0,5070.0,5070.0,5070.0,5070.0,5080.0,5094.0,5107.0,6.22%,4.0,6.23%,4.0,6.24%,4.0,6.25%,4.0,6.23%,4.0,6.23%,4.0,6.22%,4.0,6.21%,4.0,6.20%,4.0,6.20%,4.0,6.20%,4.0,6.20%,4.0,6.20%,4.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
