銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,425881.0,426342.0,423678.0,419150.0,420709.0,425673.0,423622.0,429701.0,431897.0,440921.0,436825.0,457532.0,441728.0,1.67%,11.0,1.66%,11.0,1.65%,11.0,1.62%,11.0,1.61%,11.0,1.61%,11.0,1.60%,11.0,1.62%,11.0,1.62%,11.0,1.64%,11.0,1.62%,11.0,1.69%,11.0,1.63%,11.0
臺灣土地銀行,575684.0,576297.0,569362.0,579867.0,587265.0,591739.0,596239.0,600277.0,604496.0,605205.0,607046.0,610686.0,613326.0,2.26%,8.0,2.25%,8.0,2.21%,8.0,2.24%,8.0,2.25%,8.0,2.25%,8.0,2.25%,8.0,2.26%,8.0,2.26%,8.0,2.26%,8.0,2.25%,8.0,2.25%,8.0,2.26%,8.0
合作金庫銀行,826240.0,824182.0,823966.0,824884.0,819959.0,823955.0,828780.0,832805.0,842316.0,839609.0,836315.0,829482.0,832810.0,3.24%,4.0,3.22%,4.0,3.20%,4.0,3.18%,4.0,3.14%,4.0,3.13%,4.0,3.13%,4.0,3.13%,4.0,3.15%,4.0,3.13%,4.0,3.11%,4.0,3.06%,4.0,3.07%,4.0
第一商業銀行,862846.0,868185.0,864506.0,872933.0,886447.0,895395.0,901261.0,909799.0,905238.0,913870.0,914015.0,930041.0,918053.0,3.38%,3.0,3.39%,3.0,3.36%,3.0,3.37%,3.0,3.39%,3.0,3.40%,3.0,3.40%,3.0,3.42%,3.0,3.39%,3.0,3.41%,3.0,3.39%,3.0,3.43%,3.0,3.39%,3.0
華南商業銀行,694194.0,694046.0,703489.0,705801.0,709586.0,712560.0,696072.0,679743.0,673356.0,665033.0,666629.0,693189.0,682401.0,2.72%,5.0,2.71%,5.0,2.73%,5.0,2.72%,5.0,2.71%,5.0,2.70%,6.0,2.63%,6.0,2.56%,6.0,2.52%,6.0,2.48%,6.0,2.48%,6.0,2.55%,6.0,2.52%,6.0
彰化商業銀行,536937.0,543468.0,547715.0,550659.0,549606.0,568388.0,568581.0,573152.0,583483.0,575206.0,572511.0,570133.0,570100.0,2.10%,9.0,2.12%,9.0,2.13%,9.0,2.12%,9.0,2.10%,9.0,2.16%,9.0,2.14%,9.0,2.16%,9.0,2.18%,9.0,2.14%,9.0,2.13%,9.0,2.10%,9.0,2.10%,9.0
上海商業儲蓄銀行,250285.0,251890.0,250941.0,248837.0,249685.0,255202.0,255068.0,258861.0,265060.0,267136.0,270943.0,270462.0,273437.0,0.98%,16.0,0.98%,16.0,0.97%,16.0,0.96%,17.0,0.96%,17.0,0.97%,17.0,0.96%,17.0,0.97%,16.0,0.99%,16.0,1.00%,16.0,1.01%,16.0,1.00%,16.0,1.01%,16.0
台北富邦商業銀行,262825.0,263477.0,265479.0,271075.0,273032.0,274545.0,272938.0,271648.0,274912.0,277968.0,276153.0,271575.0,275307.0,1.03%,14.0,1.03%,14.0,1.03%,15.0,1.05%,15.0,1.04%,15.0,1.04%,14.0,1.03%,15.0,1.02%,15.0,1.03%,15.0,1.04%,15.0,1.03%,15.0,1.00%,15.0,1.02%,15.0
國泰世華商業銀行,271689.0,274340.0,278907.0,283026.0,288839.0,287384.0,286987.0,287694.0,291049.0,290925.0,300620.0,304166.0,310752.0,1.06%,13.0,1.07%,13.0,1.08%,13.0,1.09%,13.0,1.10%,13.0,1.09%,13.0,1.08%,13.0,1.08%,14.0,1.09%,13.0,1.08%,14.0,1.12%,14.0,1.12%,13.0,1.15%,14.0
中國輸出入銀行,9192.0,8868.0,8972.0,9364.0,8907.0,9522.0,9374.0,9583.0,9509.0,9557.0,9490.0,8949.0,9015.0,0.04%,35.0,0.03%,36.0,0.03%,36.0,0.04%,36.0,0.03%,36.0,0.04%,36.0,0.04%,36.0,0.04%,36.0,0.04%,36.0,0.04%,36.0,0.04%,36.0,0.03%,36.0,0.03%,36.0
