銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,234797.0,234708.0,234967.0,235584.0,235887.0,236881.0,237407.0,238650.0,240036.0,241587.0,242532.0,243131.0,243679.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0,0.15%,25.0
臺灣土地銀行,357454.0,358170.0,358829.0,358584.0,358692.0,367414.0,365260.0,362871.0,360924.0,358599.0,358591.0,356026.0,353190.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,23.0,0.23%,23.0,0.23%,23.0,0.23%,23.0,0.23%,23.0,0.22%,23.0,0.22%,23.0,0.22%,23.0,0.21%,23.0
合作金庫銀行,638045.0,635871.0,635125.0,636206.0,638728.0,644410.0,647017.0,651732.0,655559.0,659403.0,662916.0,663115.0,661807.0,0.41%,17.0,0.41%,17.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,17.0,0.41%,17.0,0.41%,17.0,0.41%,17.0,0.41%,17.0,0.41%,17.0,0.40%,17.0,0.40%,18.0
第一商業銀行,1427069.0,1435184.0,1448090.0,1458140.0,1466546.0,1473641.0,1481323.0,1486516.0,1488643.0,1490463.0,1496464.0,1499813.0,1502082.0,0.92%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.93%,12.0,0.91%,12.0,0.91%,12.0
華南商業銀行,1035931.0,1037181.0,1039019.0,1035876.0,1043291.0,1045038.0,1048525.0,1050632.0,1052970.0,1052317.0,1050214.0,1045421.0,1044584.0,0.67%,15.0,0.67%,15.0,0.67%,15.0,0.66%,15.0,0.66%,15.0,0.66%,15.0,0.66%,15.0,0.66%,15.0,0.66%,15.0,0.66%,15.0,0.65%,15.0,0.63%,16.0,0.63%,16.0
彰化商業銀行,566844.0,567731.0,572094.0,573123.0,573875.0,573772.0,574240.0,575498.0,575902.0,576170.0,574580.0,571039.0,570822.0,0.37%,20.0,0.37%,20.0,0.37%,20.0,0.37%,20.0,0.37%,20.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.36%,20.0,0.35%,20.0,0.34%,20.0
上海商業儲蓄銀行,448124.0,448369.0,449794.0,451014.0,452104.0,453134.0,454976.0,454147.0,453873.0,453995.0,454033.0,454173.0,456441.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.29%,21.0,0.28%,21.0,0.28%,21.0,0.28%,21.0,0.28%,21.0,0.28%,21.0
台北富邦商業銀行,4302518.0,4353406.0,4402105.0,4443162.0,4484730.0,4516776.0,4556235.0,4601955.0,4635827.0,4675902.0,4730706.0,4792362.0,4822013.0,2.78%,7.0,2.81%,7.0,2.83%,7.0,2.84%,7.0,2.86%,7.0,2.86%,7.0,2.88%,7.0,2.89%,7.0,2.90%,7.0,2.91%,7.0,2.93%,7.0,2.91%,7.0,2.91%,7.0
國泰世華商業銀行,7632939.0,7654624.0,7691312.0,7723573.0,7750916.0,7779503.0,7812552.0,7855850.0,7892953.0,7935907.0,7993379.0,8812536.0,9232795.0,4.94%,4.0,4.94%,4.0,4.94%,4.0,4.94%,4.0,4.94%,4.0,4.93%,4.0,4.93%,4.0,4.93%,4.0,4.94%,4.0,4.94%,4.0,4.96%,4.0,5.35%,3.0,5.57%,3.0
高雄銀行,15696.0,15666.0,15614.0,15581.0,15544.0,15511.0,15487.0,15428.0,15385.0,15367.0,15346.0,15305.0,15276.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0
兆豐國際商業銀行,1058336.0,1059397.0,1063802.0,1067266.0,1071142.0,1075249.0,1081362.0,1087642.0,1092004.0,1094843.0,1096976.0,1112999.0,1115312.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.68%,14.0,0.67%,14.0
花旗(台灣)商業銀行,2817758.0,2811039.0,2804585.0,2798477.0,2793417.0,2792829.0,2796982.0,2792179.0,2792518.0,2790574.0,2789646.0,2785869.0,2779666.0,1.82%,8.0,1.81%,8.0,1.80%,8.0,1.79%,8.0,1.78%,8.0,1.77%,8.0,1.77%,8.0,1.75%,8.0,1.75%,8.0,1.74%,8.0,1.73%,8.0,1.69%,8.0,1.68%,8.0
臺灣中小企業銀行,203902.0,204251.0,192218.0,192856.0,192636.0,191471.0,191084.0,190764.0,190020.0,188242.0,187219.0,195551.0,192717.0,0.13%,26.0,0.13%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0,0.12%,26.0
渣打國際商業銀行,377390.0,372020.0,366923.0,362323.0,358132.0,353699.0,350050.0,345458.0,340255.0,335339.0,331433.0,320957.0,314112.0,0.24%,23.0,0.24%,23.0,0.24%,23.0,0.23%,23.0,0.23%,24.0,0.22%,24.0,0.22%,24.0,0.22%,24.0,0.21%,24.0,0.21%,24.0,0.21%,24.0,0.19%,24.0,0.19%,24.0
台中商業銀行,160568.0,161233.0,162344.0,163116.0,163855.0,164562.0,165382.0,166224.0,166910.0,167633.0,168596.0,169213.0,169737.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0,0.10%,27.0
京城商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
匯豐(台灣)商業銀行,632361.0,634441.0,636632.0,637880.0,638902.0,640774.0,642995.0,645648.0,648948.0,653050.0,658066.0,659538.0,665769.0,0.41%,18.0,0.41%,18.0,0.41%,17.0,0.41%,17.0,0.41%,17.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.41%,18.0,0.40%,18.0,0.40%,17.0
瑞興商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
華泰商業銀行,9051.0,9049.0,9059.0,9057.0,9061.0,9056.0,9060.0,9042.0,9040.0,9058.0,9069.0,9029.0,9032.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0,0.01%,33.0
臺灣新光商業銀行,976487.0,984776.0,998468.0,1020411.0,1035074.0,1034965.0,1041032.0,1044655.0,1046914.0,1045555.0,1045755.0,1045734.0,1047653.0,0.63%,16.0,0.64%,16.0,0.64%,16.0,0.65%,16.0,0.66%,16.0,0.66%,16.0,0.66%,16.0,0.66%,16.0,0.65%,16.0,0.65%,16.0,0.65%,16.0,0.64%,15.0,0.63%,15.0
陽信商業銀行,108635.0,109400.0,110701.0,111497.0,111912.0,112054.0,112730.0,113384.0,113717.0,113936.0,114039.0,114459.0,114565.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0
板信商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
