銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,0.09,0.12,0.09,0.07,0.08,0.06,0.07,0.1,0.06,0.1,0.06,0.05,0.04,,7.5,,12.5,,7.5,,2.0,,2.5,,1.5,,2.0,,5.5,,2.0,,5.0,,1.0,,3.0,,2.5
臺灣土地銀行,0.2,0.26,0.34,0.32,0.24,0.17,0.23,0.21,0.13,0.12,0.07,0.15,0.13,,21.5,,23.0,,27.0,,27.0,,20.5,,14.0,,22.5,,19.5,,13.0,,10.5,,2.5,,16.5,,14.0
合作金庫銀行,0.21,0.39,0.2,0.26,0.29,0.27,0.16,0.19,0.22,0.24,0.21,0.18,0.2,,23.5,,27.5,,20.0,,22.0,,24.0,,24.0,,16.5,,16.0,,23.0,,22.0,,23.5,,21.0,,21.0
第一商業銀行,0.05,0.06,0.08,0.08,0.11,0.1,0.09,0.09,0.09,0.1,0.1,0.11,0.13,,1.5,,2.0,,5.5,,4.0,,7.0,,5.0,,7.0,,4.0,,5.5,,5.0,,6.5,,8.0,,14.0
華南商業銀行,0.07,0.12,0.06,0.1,0.15,0.06,0.09,0.15,0.04,0.09,0.12,0.03,0.07,,4.0,,12.5,,3.0,,6.0,,12.5,,1.5,,7.0,,13.0,,1.0,,3.0,,10.5,,1.0,,4.0
彰化商業銀行,0.13,0.09,0.15,0.12,0.21,0.19,0.09,0.23,0.15,0.17,0.16,0.12,0.27,,15.5,,7.0,,17.0,,8.5,,18.5,,17.0,,7.0,,22.0,,16.0,,18.0,,19.5,,12.0,,23.0
上海商業儲蓄銀行,0.17,0.12,0.16,0.19,0.24,0.22,0.15,0.14,0.15,0.15,0.12,0.11,0.15,,19.0,,12.5,,18.5,,18.0,,20.5,,21.0,,15.0,,12.0,,16.0,,15.5,,10.5,,8.0,,16.0
台北富邦商業銀行,0.06,0.06,0.07,0.08,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.08,0.08,,3.0,,2.0,,4.0,,4.0,,4.5,,3.5,,2.0,,2.5,,3.5,,1.5,,4.5,,4.5,,5.5
國泰世華商業銀行,0.09,0.09,0.09,0.12,0.14,0.14,0.11,0.11,0.11,0.11,0.11,0.11,0.11,,7.5,,7.0,,7.5,,8.5,,10.5,,10.0,,10.0,,7.5,,8.0,,7.5,,8.0,,8.0,,7.5
高雄銀行,0.1,0.08,0.14,0.16,0.37,0.59,0.53,0.69,0.68,0.63,0.47,0.55,0.66,,10.5,,4.5,,15.0,,15.0,,27.0,,30.0,,30.0,,30.0,,30.0,,30.0,,29.0,,30.0,,31.0
