銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,148761.0,146839.0,145212.0,147617.0,147429.0,144825.0,142591.0,140418.0,138388.0,136774.0,139089.0,139540.0,137446.0,4.08%,3.0,4.04%,3.0,3.98%,3.0,4.01%,3.0,3.98%,3.0,3.90%,3.0,3.82%,3.0,3.76%,3.0,3.68%,3.0,3.62%,4.0,3.65%,3.0,3.64%,3.0,3.60%,3.0
臺灣土地銀行,15154.0,14748.0,14216.0,13794.0,13306.0,12839.0,12388.0,11920.0,11499.0,11093.0,10724.0,10355.0,9932.0,0.42%,22.0,0.41%,22.0,0.39%,22.0,0.37%,22.0,0.36%,22.0,0.35%,22.0,0.33%,23.0,0.32%,24.0,0.31%,25.0,0.29%,25.0,0.28%,25.0,0.27%,25.0,0.26%,25.0
合作金庫銀行,72066.0,71442.0,70854.0,70507.0,70164.0,69628.0,69159.0,68660.0,68142.0,67579.0,67098.0,66797.0,66004.0,1.98%,8.0,1.97%,8.0,1.94%,8.0,1.92%,8.0,1.90%,8.0,1.87%,8.0,1.85%,8.0,1.84%,8.0,1.81%,8.0,1.79%,8.0,1.76%,9.0,1.74%,9.0,1.73%,9.0
第一商業銀行,64606.0,64454.0,64904.0,65003.0,65558.0,66177.0,66143.0,66273.0,66622.0,66690.0,67342.0,68436.0,67112.0,1.77%,9.0,1.77%,9.0,1.78%,9.0,1.77%,9.0,1.77%,9.0,1.78%,9.0,1.77%,9.0,1.77%,9.0,1.77%,9.0,1.77%,9.0,1.77%,8.0,1.78%,8.0,1.76%,8.0
華南商業銀行,49740.0,49408.0,49707.0,49608.0,48907.0,48568.0,47904.0,47276.0,47066.0,46289.0,45572.0,46413.0,44625.0,1.36%,12.0,1.36%,12.0,1.36%,12.0,1.35%,12.0,1.32%,12.0,1.31%,12.0,1.28%,12.0,1.27%,13.0,1.25%,13.0,1.23%,13.0,1.20%,14.0,1.21%,14.0,1.17%,14.0
彰化商業銀行,29550.0,29736.0,29960.0,30185.0,30112.0,29810.0,29633.0,29026.0,29166.0,29010.0,29047.0,29948.0,28678.0,0.81%,18.0,0.82%,18.0,0.82%,18.0,0.82%,18.0,0.81%,18.0,0.80%,18.0,0.79%,18.0,0.78%,18.0,0.78%,18.0,0.77%,18.0,0.76%,18.0,0.78%,18.0,0.75%,18.0
上海商業儲蓄銀行,2439.0,2485.0,2668.0,2819.0,3020.0,3144.0,3162.0,3210.0,3267.0,3256.0,3266.0,3285.0,3253.0,0.07%,31.0,0.07%,31.0,0.07%,31.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.09%,30.0,0.09%,30.0,0.09%,30.0,0.09%,30.0,0.09%,30.0,0.09%,30.0
台北富邦商業銀行,46839.0,46426.0,45969.0,45983.0,46708.0,46223.0,45880.0,45416.0,45060.0,44569.0,44589.0,45044.0,44379.0,1.28%,13.0,1.28%,13.0,1.26%,13.0,1.25%,13.0,1.26%,13.0,1.24%,14.0,1.23%,14.0,1.22%,14.0,1.20%,14.0,1.18%,15.0,1.17%,15.0,1.17%,15.0,1.16%,15.0
國泰世華商業銀行,119885.0,121173.0,124121.0,126333.0,127969.0,130100.0,132356.0,134032.0,135579.0,137570.0,138458.0,138088.0,136435.0,3.29%,4.0,3.33%,4.0,3.40%,4.0,3.43%,4.0,3.46%,4.0,3.50%,4.0,3.55%,4.0,3.59%,4.0,3.61%,4.0,3.64%,3.0,3.64%,4.0,3.60%,4.0,3.58%,4.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄銀行,5336.0,5271.0,5205.0,5203.0,5416.0,5320.0,5251.0,5173.0,5106.0,5043.0,5107.0,5279.0,5206.0,0.15%,28.0,0.15%,29.0,0.14%,29.0,0.14%,29.0,0.15%,29.0,0.14%,29.0,0.14%,29.0,0.14%,29.0,0.14%,29.0,0.13%,29.0,0.13%,29.0,0.14%,29.0,0.14%,29.0
兆豐國際商業銀行,8546.0,8595.0,8802.0,8901.0,9012.0,9139.0,9293.0,9473.0,15486.0,15666.0,15738.0,15702.0,15498.0,0.23%,24.0,0.24%,24.0,0.24%,24.0,0.24%,25.0,0.24%,25.0,0.25%,25.0,0.25%,25.0,0.25%,25.0,0.41%,23.0,0.42%,23.0,0.41%,23.0,0.41%,23.0,0.41%,23.0
花旗(台灣)商業銀行,63137.0,62567.0,62122.0,61912.0,61888.0,61930.0,61734.0,61837.0,61961.0,62496.0,62694.0,63147.0,63175.0,1.73%,10.0,1.72%,10.0,1.70%,10.0,1.68%,10.0,1.67%,10.0,1.67%,10.0,1.65%,10.0,1.66%,10.0,1.65%,10.0,1.66%,10.0,1.65%,10.0,1.65%,10.0,1.66%,10.0
王道商業銀行,2336.0,2323.0,2357.0,2381.0,2458.0,2533.0,2612.0,2697.0,2777.0,2854.0,2958.0,3039.0,3063.0,0.06%,32.0,0.06%,32.0,0.06%,32.0,0.06%,32.0,0.07%,32.0,0.07%,32.0,0.07%,32.0,0.07%,31.0,0.07%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,31.0
臺灣中小企業銀行,13396.0,13229.0,13044.0,12922.0,12733.0,12536.0,12287.0,11998.0,11783.0,11607.0,11460.0,11692.0,11421.0,0.37%,23.0,0.36%,23.0,0.36%,23.0,0.35%,23.0,0.34%,23.0,0.34%,23.0,0.33%,24.0,0.32%,23.0,0.31%,24.0,0.31%,24.0,0.30%,24.0,0.30%,24.0,0.30%,24.0
渣打國際商業銀行,31183.0,31243.0,31599.0,31900.0,32288.0,32565.0,32872.0,33134.0,33487.0,33781.0,34178.0,34572.0,34617.0,0.86%,16.0,0.86%,16.0,0.87%,16.0,0.87%,16.0,0.87%,16.0,0.88%,16.0,0.88%,16.0,0.89%,16.0,0.89%,16.0,0.89%,16.0,0.90%,16.0,0.90%,16.0,0.91%,16.0
台中商業銀行,16497.0,16549.0,16553.0,16683.0,16767.0,16856.0,16930.0,16943.0,16749.0,16620.0,16570.0,16586.0,16509.0,0.45%,21.0,0.46%,21.0,0.45%,21.0,0.45%,21.0,0.45%,21.0,0.45%,21.0,0.45%,21.0,0.45%,21.0,0.45%,21.0,0.44%,22.0,0.44%,22.0,0.43%,22.0,0.43%,22.0
京城商業銀行,167.0,156.0,150.0,148.0,139.0,134.0,129.0,126.0,122.0,119.0,121.0,121.0,117.0,0.00%,36.0,0.00%,36.0,0.00%,36.0,0.00%,37.0,0.00%,38.0,0.00%,38.0,0.00%,38.0,0.00%,38.0,0.00%,38.0,0.00%,38.0,0.00%,38.0,0.00%,38.0,0.00%,38.0
匯豐(台灣)商業銀行,40521.0,40927.0,41683.0,42172.0,42660.0,43135.0,43468.0,43935.0,44805.0,45463.0,46234.0,46527.0,47411.0,1.11%,15.0,1.13%,15.0,1.14%,15.0,1.15%,15.0,1.15%,15.0,1.16%,15.0,1.17%,15.0,1.18%,15.0,1.19%,15.0,1.20%,14.0,1.21%,13.0,1.21%,13.0,1.24%,13.0
瑞興商業銀行,1524.0,1519.0,1520.0,1493.0,1482.0,1456.0,1439.0,1423.0,1423.0,1391.0,1369.0,1348.0,1334.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,34.0,0.03%,34.0
華泰商業銀行,28.0,27.0,25.0,24.0,23.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.00%,40.0
臺灣新光商業銀行,52362.0,52335.0,52504.0,52925.0,53184.0,53529.0,53984.0,54202.0,54419.0,54509.0,54885.0,55361.0,55464.0,1.44%,11.0,1.44%,11.0,1.44%,11.0,1.44%,11.0,1.44%,11.0,1.44%,11.0,1.45%,11.0,1.45%,11.0,1.45%,11.0,1.44%,11.0,1.44%,11.0,1.44%,11.0,1.45%,12.0
陽信商業銀行,1079.0,1085.0,1109.0,1104.0,1127.0,1157.0,1163.0,1224.0,1229.0,1223.0,1229.0,1282.0,1324.0,0.03%,35.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,34.0,0.03%,35.0,0.03%,35.0
板信商業銀行,85.0,84.0,82.0,81.0,77.0,75.0,74.0,72.0,72.0,81.0,93.0,105.0,110.0,0.00%,37.0,0.00%,38.0,0.00%,38.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,39.0,0.00%,39.0
三信商業銀行,1085.0,1076.0,1074.0,1086.0,1084.0,1069.0,1091.0,1091.0,1086.0,1087.0,1100.0,1113.0,1113.0,0.03%,34.0,0.03%,35.0,0.03%,35.0,0.03%,35.0,0.03%,35.0,0.03%,35.0,0.03%,35.0,0.03%,35.0,0.03%,35.0,0.03%,35.0,0.03%,36.0,0.03%,36.0,0.03%,36.0
聯邦商業銀行,42336.0,42870.0,43892.0,44653.0,45648.0,46603.0,47788.0,49113.0,50470.0,51824.0,53263.0,55138.0,56218.0,1.16%,14.0,1.18%,14.0,1.20%,14.0,1.21%,14.0,1.23%,14.0,1.25%,13.0,1.28%,13.0,1.31%,12.0,1.34%,12.0,1.37%,12.0,1.40%,12.0,1.44%,12.0,1.47%,11.0
遠東國際商業銀行,24762.0,24546.0,24372.0,24288.0,24302.0,24386.0,24452.0,24401.0,24329.0,24275.0,24326.0,24201.0,24017.0,0.68%,19.0,0.68%,19.0,0.67%,19.0,0.66%,19.0,0.66%,19.0,0.66%,19.0,0.66%,19.0,0.65%,19.0,0.65%,19.0,0.64%,19.0,0.64%,19.0,0.63%,19.0,0.63%,19.0
元大商業銀行,6627.0,6458.0,6323.0,6359.0,6234.0,6107.0,6067.0,6037.0,6023.0,5971.0,6020.0,5993.0,5874.0,0.18%,25.0,0.18%,25.0,0.17%,26.0,0.17%,26.0,0.17%,27.0,0.16%,27.0,0.16%,27.0,0.16%,27.0,0.16%,27.0,0.16%,27.0,0.16%,27.0,0.16%,27.0,0.15%,27.0
永豐商業銀行,6338.0,6312.0,6295.0,6323.0,6443.0,6399.0,6365.0,6391.0,6414.0,6453.0,6470.0,6574.0,6619.0,0.17%,26.0,0.17%,26.0,0.17%,27.0,0.17%,27.0,0.17%,26.0,0.17%,26.0,0.17%,26.0,0.17%,26.0,0.17%,26.0,0.17%,26.0,0.17%,26.0,0.17%,26.0,0.17%,26.0
玉山商業銀行,77264.0,76599.0,76295.0,78910.0,80288.0,81273.0,82859.0,82187.0,81692.0,81563.0,82027.0,81633.0,80383.0,2.12%,7.0,2.11%,7.0,2.09%,7.0,2.14%,7.0,2.17%,7.0,2.19%,7.0,2.22%,7.0,2.20%,7.0,2.17%,7.0,2.16%,7.0,2.15%,7.0,2.13%,7.0,2.11%,7.0
凱基商業銀行,30353.0,30373.0,30733.0,30956.0,31226.0,31663.0,31856.0,32051.0,32293.0,32595.0,32771.0,32909.0,32865.0,0.83%,17.0,0.84%,17.0,0.84%,17.0,0.84%,17.0,0.84%,17.0,0.85%,17.0,0.85%,17.0,0.86%,17.0,0.86%,17.0,0.86%,17.0,0.86%,17.0,0.86%,17.0,0.86%,17.0
星展(台灣)商業銀行,18280.0,18211.0,18418.0,18578.0,18585.0,18558.0,18587.0,18472.0,18437.0,18459.0,18477.0,18527.0,18385.0,0.50%,20.0,0.50%,20.0,0.50%,20.0,0.50%,20.0,0.50%,20.0,0.50%,20.0,0.50%,20.0,0.49%,20.0,0.49%,20.0,0.49%,20.0,0.49%,21.0,0.48%,21.0,0.48%,21.0
台新國際商業銀行,119853.0,119945.0,121019.0,122229.0,122866.0,124181.0,125832.0,127001.0,128148.0,129571.0,130912.0,131932.0,133135.0,3.29%,5.0,3.30%,5.0,3.32%,5.0,3.32%,5.0,3.32%,5.0,3.34%,5.0,3.37%,5.0,3.40%,5.0,3.41%,5.0,3.43%,5.0,3.44%,5.0,3.44%,5.0,3.49%,5.0
日盛國際商業銀行,2826.0,2790.0,2769.0,2713.0,2691.0,2663.0,2650.0,2599.0,2550.0,2525.0,2498.0,2481.0,2432.0,0.08%,30.0,0.08%,30.0,0.08%,30.0,0.07%,31.0,0.07%,31.0,0.07%,31.0,0.07%,31.0,0.07%,32.0,0.07%,32.0,0.07%,32.0,0.07%,32.0,0.06%,32.0,0.06%,32.0
安泰商業銀行,5694.0,5637.0,5588.0,5587.0,5609.0,5603.0,5576.0,5491.0,5495.0,5547.0,5577.0,5563.0,5534.0,0.16%,27.0,0.16%,27.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.14%,28.0,0.15%,28.0
中國信託商業銀行,110487.0,109392.0,108866.0,108586.0,108348.0,108753.0,109208.0,109688.0,110160.0,110562.0,111470.0,112508.0,112300.0,3.03%,6.0,3.01%,6.0,2.98%,6.0,2.95%,6.0,2.93%,6.0,2.93%,6.0,2.93%,6.0,2.94%,6.0,2.93%,6.0,2.93%,6.0,2.93%,6.0,2.93%,6.0,2.94%,6.0
將來商業銀行,,15.0,23.0,82.0,170.0,291.0,438.0,591.0,795.0,967.0,1223.0,1447.0,1647.0,nan%,,0.00%,40.0,0.00%,40.0,0.00%,38.0,0.00%,37.0,0.01%,36.0,0.01%,36.0,0.02%,36.0,0.02%,36.0,0.03%,36.0,0.03%,35.0,0.04%,33.0,0.04%,33.0
連線商業銀行,4730.0,5612.0,7712.0,9287.0,10850.0,12242.0,13430.0,14539.0,15906.0,17661.0,19625.0,21465.0,22256.0,0.13%,29.0,0.15%,28.0,0.21%,25.0,0.25%,24.0,0.29%,24.0,0.33%,24.0,0.36%,22.0,0.39%,22.0,0.42%,22.0,0.47%,21.0,0.52%,20.0,0.56%,20.0,0.58%,20.0
樂天國際商業銀行,83.0,99.0,133.0,159.0,233.0,290.0,362.0,453.0,514.0,582.0,702.0,807.0,882.0,0.00%,38.0,0.00%,37.0,0.00%,37.0,0.00%,36.0,0.01%,36.0,0.01%,37.0,0.01%,37.0,0.01%,37.0,0.01%,37.0,0.02%,37.0,0.02%,37.0,0.02%,37.0,0.02%,37.0
中央信託局,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
