銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,754636.0,780943.0,779701.0,824422.0,836443.0,844936.0,845436.0,851051.0,893970.0,914627.0,897447.0,887564.0,885758.0,2.17%,8.0,2.22%,8.0,2.16%,8.0,2.21%,8.0,2.27%,8.0,2.24%,8.0,2.23%,8.0,2.23%,8.0,2.22%,8.0,2.21%,8.0,2.21%,8.0,2.20%,8.0,2.19%,8.0
臺灣土地銀行,241843.0,241864.0,251125.0,252096.0,256135.0,299250.0,276676.0,295959.0,319087.0,315159.0,306153.0,302067.0,296582.0,0.69%,19.0,0.69%,19.0,0.70%,19.0,0.68%,19.0,0.69%,19.0,0.79%,18.0,0.73%,18.0,0.77%,18.0,0.79%,19.0,0.76%,19.0,0.75%,19.0,0.75%,19.0,0.73%,19.0
合作金庫銀行,542658.0,535540.0,564536.0,552673.0,578169.0,580357.0,598955.0,599688.0,651361.0,613694.0,549068.0,567745.0,586423.0,1.56%,12.0,1.52%,12.0,1.57%,12.0,1.48%,13.0,1.57%,11.0,1.54%,12.0,1.58%,11.0,1.57%,11.0,1.62%,11.0,1.48%,13.0,1.35%,14.0,1.41%,14.0,1.45%,14.0
第一商業銀行,896775.0,906637.0,915462.0,946702.0,940666.0,941304.0,933683.0,939172.0,975348.0,986171.0,956910.0,979294.0,958724.0,2.58%,7.0,2.57%,7.0,2.54%,7.0,2.54%,7.0,2.55%,7.0,2.50%,7.0,2.46%,7.0,2.46%,7.0,2.43%,7.0,2.38%,7.0,2.36%,7.0,2.43%,7.0,2.37%,7.0
華南商業銀行,641785.0,618645.0,644319.0,675146.0,668927.0,659503.0,671496.0,654182.0,679589.0,695152.0,708440.0,708424.0,737002.0,1.84%,9.0,1.76%,10.0,1.79%,10.0,1.81%,10.0,1.81%,10.0,1.75%,10.0,1.77%,10.0,1.71%,10.0,1.69%,10.0,1.68%,11.0,1.74%,10.0,1.76%,11.0,1.82%,10.0
彰化商業銀行,520829.0,530023.0,548642.0,554935.0,565174.0,594704.0,574712.0,582162.0,634897.0,655099.0,621669.0,615881.0,612384.0,1.50%,13.0,1.51%,13.0,1.52%,13.0,1.49%,12.0,1.53%,12.0,1.58%,11.0,1.51%,13.0,1.52%,13.0,1.58%,12.0,1.58%,12.0,1.53%,12.0,1.53%,13.0,1.52%,13.0
上海商業儲蓄銀行,340482.0,343112.0,345073.0,354214.0,350769.0,355351.0,355610.0,357853.0,364935.0,369698.0,354795.0,340251.0,333691.0,0.98%,15.0,0.97%,15.0,0.96%,15.0,0.95%,15.0,0.95%,15.0,0.94%,15.0,0.94%,15.0,0.94%,15.0,0.91%,16.0,0.89%,17.0,0.87%,16.0,0.84%,16.0,0.83%,17.0
台北富邦商業銀行,949821.0,928820.0,947958.0,969938.0,960227.0,1003805.0,1009698.0,995290.0,1042186.0,1088062.0,1036930.0,992462.0,989019.0,2.73%,5.0,2.64%,6.0,2.63%,6.0,2.60%,6.0,2.60%,6.0,2.66%,6.0,2.66%,6.0,2.60%,6.0,2.59%,6.0,2.63%,6.0,2.55%,6.0,2.46%,6.0,2.45%,6.0
國泰世華商業銀行,631750.0,633513.0,675545.0,706881.0,705178.0,724688.0,739929.0,725774.0,761075.0,762953.0,862229.0,814927.0,814393.0,1.82%,10.0,1.80%,9.0,1.87%,9.0,1.89%,9.0,1.91%,9.0,1.92%,9.0,1.95%,9.0,1.90%,9.0,1.89%,9.0,1.84%,9.0,2.12%,9.0,2.02%,9.0,2.01%,9.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
