銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,3181395.0,3171606.0,3191697.0,3194174.0,3243743.0,3333443.0,3241881.0,3371995.0,3515443.0,3537260.0,3526961.0,3561688.0,3411245.0,3.07%,3.0,3.05%,3.0,3.04%,3.0,3.01%,3.0,3.04%,3.0,3.11%,3.0,3.01%,3.0,3.10%,3.0,3.20%,3.0,3.20%,3.0,3.20%,3.0,3.23%,3.0,3.09%,3.0
臺灣土地銀行,2335392.0,2329136.0,2335525.0,2333945.0,2311075.0,2369440.0,2342371.0,2351086.0,2374582.0,2360832.0,2366703.0,2371667.0,2354105.0,2.25%,6.0,2.24%,6.0,2.22%,6.0,2.20%,6.0,2.17%,7.0,2.21%,6.0,2.17%,7.0,2.16%,7.0,2.16%,7.0,2.14%,7.0,2.15%,7.0,2.15%,7.0,2.13%,7.0
合作金庫銀行,2563776.0,2598777.0,2627611.0,2636944.0,2604057.0,2591092.0,2621982.0,2642143.0,2706931.0,2715657.0,2685699.0,2707426.0,2845477.0,2.47%,4.0,2.50%,4.0,2.50%,4.0,2.48%,4.0,2.44%,4.0,2.42%,4.0,2.43%,4.0,2.43%,4.0,2.46%,4.0,2.46%,4.0,2.44%,5.0,2.45%,4.0,2.58%,4.0
第一商業銀行,2188595.0,2198712.0,2237876.0,2298327.0,2337455.0,2349495.0,2353268.0,2394651.0,2385518.0,2421786.0,2420800.0,2434429.0,2429976.0,2.11%,8.0,2.11%,8.0,2.13%,7.0,2.17%,7.0,2.19%,6.0,2.19%,7.0,2.18%,6.0,2.20%,6.0,2.17%,6.0,2.19%,6.0,2.20%,6.0,2.20%,6.0,2.20%,6.0
華南商業銀行,2113913.0,2115255.0,2156410.0,2170626.0,2193953.0,2207539.0,2177890.0,2157350.0,2140798.0,2124892.0,2114458.0,2161145.0,2169214.0,2.04%,9.0,2.03%,9.0,2.05%,9.0,2.04%,9.0,2.06%,9.0,2.06%,9.0,2.02%,9.0,1.98%,9.0,1.95%,9.0,1.92%,9.0,1.92%,9.0,1.96%,9.0,1.96%,9.0
彰化商業銀行,1643688.0,1666068.0,1701482.0,1698223.0,1705368.0,1759515.0,1751500.0,1770858.0,1802306.0,1778582.0,1767797.0,1754492.0,1755332.0,1.58%,13.0,1.60%,13.0,1.62%,13.0,1.60%,13.0,1.60%,13.0,1.64%,13.0,1.62%,13.0,1.63%,12.0,1.64%,12.0,1.61%,12.0,1.60%,12.0,1.59%,13.0,1.59%,12.0
上海商業儲蓄銀行,885531.0,886699.0,901625.0,898233.0,899889.0,906822.0,902688.0,912373.0,927279.0,934726.0,936096.0,939685.0,936787.0,0.85%,17.0,0.85%,18.0,0.86%,17.0,0.85%,18.0,0.84%,18.0,0.85%,18.0,0.84%,18.0,0.84%,18.0,0.84%,18.0,0.85%,18.0,0.85%,18.0,0.85%,18.0,0.85%,18.0
台北富邦商業銀行,1715639.0,1688441.0,1701546.0,1720276.0,1742092.0,1768744.0,1753584.0,1753543.0,1769719.0,1773513.0,1763989.0,1755049.0,1750136.0,1.65%,12.0,1.62%,12.0,1.62%,12.0,1.62%,12.0,1.63%,12.0,1.65%,12.0,1.63%,12.0,1.61%,13.0,1.61%,13.0,1.60%,13.0,1.60%,13.0,1.59%,12.0,1.58%,13.0
國泰世華商業銀行,1813667.0,1818264.0,1843950.0,1877969.0,1893603.0,1909310.0,1943939.0,1974286.0,1977182.0,2032647.0,2040903.0,2019469.0,2062515.0,1.75%,11.0,1.75%,11.0,1.76%,11.0,1.77%,10.0,1.78%,10.0,1.78%,10.0,1.80%,10.0,1.81%,10.0,1.80%,10.0,1.84%,10.0,1.85%,10.0,1.83%,10.0,1.87%,10.0
中國輸出入銀行,167118.0,168654.0,174283.0,175665.0,176964.0,177625.0,180942.0,188065.0,193226.0,193268.0,196909.0,196073.0,195280.0,0.16%,35.0,0.16%,35.0,0.17%,34.0,0.17%,34.0,0.17%,34.0,0.17%,34.0,0.17%,33.0,0.17%,33.0,0.18%,33.0,0.17%,33.0,0.18%,33.0,0.18%,33.0,0.18%,33.0
