銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,780917.0,768744.0,772298.0,766959.0,758370.0,776499.0,785964.0,837581.0,870371.0,873885.0,870646.0,887391.0,854943.0,2.20%,9.0,2.17%,10.0,2.18%,10.0,2.14%,10.0,2.10%,10.0,2.14%,10.0,2.12%,10.0,2.23%,8.0,2.31%,7.0,2.30%,6.0,2.29%,6.0,2.34%,7.0,2.24%,7.0
臺灣土地銀行,808718.0,801478.0,799141.0,793433.0,788050.0,827875.0,820256.0,837779.0,865165.0,846619.0,845170.0,850163.0,834916.0,2.28%,7.0,2.26%,7.0,2.25%,8.0,2.22%,8.0,2.18%,9.0,2.28%,7.0,2.22%,8.0,2.23%,7.0,2.30%,8.0,2.23%,8.0,2.22%,9.0,2.24%,9.0,2.19%,9.0
合作金庫銀行,1020695.0,1011764.0,1034153.0,1019924.0,1019910.0,1039796.0,1059954.0,1073409.0,1100186.0,1098733.0,1072768.0,1056736.0,1083233.0,2.87%,3.0,2.85%,3.0,2.91%,3.0,2.85%,3.0,2.82%,3.0,2.87%,3.0,2.86%,3.0,2.86%,4.0,2.92%,3.0,2.89%,3.0,2.82%,4.0,2.79%,4.0,2.84%,4.0
第一商業銀行,977828.0,986680.0,976952.0,987267.0,1005483.0,1032347.0,1053929.0,1082811.0,1055040.0,1084529.0,1103336.0,1111303.0,1095191.0,2.75%,4.0,2.78%,4.0,2.75%,4.0,2.76%,4.0,2.78%,4.0,2.85%,4.0,2.85%,4.0,2.88%,3.0,2.80%,4.0,2.86%,4.0,2.90%,3.0,2.93%,3.0,2.87%,3.0
華南商業銀行,928154.0,927171.0,942288.0,949343.0,959318.0,951994.0,928323.0,912544.0,916633.0,896740.0,899961.0,940523.0,947847.0,2.61%,5.0,2.61%,5.0,2.66%,5.0,2.65%,5.0,2.66%,5.0,2.62%,5.0,2.51%,5.0,2.43%,5.0,2.44%,5.0,2.36%,5.0,2.36%,5.0,2.48%,5.0,2.48%,5.0
彰化商業銀行,774372.0,778005.0,791486.0,785190.0,794617.0,820137.0,816542.0,837481.0,857392.0,833330.0,827612.0,813505.0,823255.0,2.18%,10.0,2.19%,9.0,2.23%,9.0,2.19%,9.0,2.20%,8.0,2.26%,9.0,2.21%,9.0,2.23%,9.0,2.28%,9.0,2.19%,10.0,2.17%,10.0,2.14%,10.0,2.16%,10.0
上海商業儲蓄銀行,303521.0,299140.0,304437.0,297646.0,299514.0,304741.0,305303.0,317624.0,313977.0,318133.0,324917.0,325264.0,329419.0,0.85%,18.0,0.84%,18.0,0.86%,18.0,0.83%,18.0,0.83%,18.0,0.84%,18.0,0.82%,18.0,0.85%,18.0,0.83%,18.0,0.84%,18.0,0.85%,18.0,0.86%,18.0,0.86%,18.0
台北富邦商業銀行,454068.0,446416.0,444176.0,445892.0,456136.0,462152.0,449539.0,435589.0,440559.0,441369.0,433582.0,420899.0,415390.0,1.28%,13.0,1.26%,13.0,1.25%,12.0,1.25%,13.0,1.26%,13.0,1.27%,12.0,1.21%,13.0,1.16%,14.0,1.17%,13.0,1.16%,14.0,1.14%,15.0,1.11%,14.0,1.09%,15.0
國泰世華商業銀行,391773.0,392106.0,399520.0,407031.0,408565.0,407715.0,424445.0,440808.0,425282.0,450146.0,462105.0,423085.0,467821.0,1.10%,14.0,1.10%,14.0,1.13%,14.0,1.14%,14.0,1.13%,14.0,1.12%,14.0,1.15%,14.0,1.17%,13.0,1.13%,14.0,1.19%,13.0,1.21%,13.0,1.12%,13.0,1.23%,13.0
中國輸出入銀行,67864.0,67623.0,72014.0,73342.0,74501.0,73005.0,73409.0,76950.0,78241.0,77451.0,78158.0,78706.0,77925.0,0.19%,33.0,0.19%,32.0,0.20%,31.0,0.20%,32.0,0.21%,32.0,0.20%,32.0,0.20%,32.0,0.20%,32.0,0.21%,32.0,0.20%,32.0,0.21%,32.0,0.21%,31.0,0.20%,31.0
高雄銀行,83162.0,83319.0,80915.0,80449.0,82209.0,86152.0,86200.0,86866.0,88918.0,91119.0,93448.0,93806.0,91369.0,0.23%,28.0,0.23%,28.0,0.23%,30.0,0.22%,29.0,0.23%,30.0,0.24%,29.0,0.23%,29.0,0.23%,30.0,0.24%,29.0,0.24%,28.0,0.25%,28.0,0.25%,27.0,0.24%,27.0
兆豐國際商業銀行,850313.0,853119.0,865803.0,871668.0,880223.0,887747.0,895067.0,891447.0,903894.0,862119.0,854785.0,896801.0,855549.0,2.39%,6.0,2.40%,6.0,2.44%,6.0,2.43%,6.0,2.44%,6.0,2.45%,6.0,2.42%,6.0,2.37%,6.0,2.40%,6.0,2.27%,7.0,2.24%,7.0,2.36%,6.0,2.24%,6.0
花旗(台灣)商業銀行,59241.0,59615.0,65250.0,55566.0,56581.0,52750.0,53098.0,60207.0,58858.0,51188.0,55605.0,55964.0,60037.0,0.17%,35.0,0.17%,35.0,0.18%,35.0,0.16%,35.0,0.16%,35.0,0.15%,35.0,0.14%,35.0,0.16%,35.0,0.16%,35.0,0.13%,35.0,0.15%,35.0,0.15%,35.0,0.16%,35.0
王道商業銀行,81330.0,80768.0,83581.0,83824.0,89192.0,89337.0,89035.0,91642.0,91597.0,89922.0,93155.0,91931.0,90210.0,0.23%,29.0,0.23%,29.0,0.24%,28.0,0.23%,28.0,0.25%,28.0,0.25%,28.0,0.24%,28.0,0.24%,28.0,0.24%,28.0,0.24%,29.0,0.24%,29.0,0.24%,28.0,0.24%,28.0
