銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,0.5029791692398115,0.5026373195630315,0.503053620295616,0.49988963596848685,0.49405435653512064,0.48862509023518136,0.4913882067504328,0.49085690341504296,0.48982652602109683,0.48853622090592624,0.4898817475632082,0.4984350000616951,0.49820460523885934,,25.0,,25.0,,25.0,,25.0,,25.0,,26.0,,26.0,,26.0,,26.0,,25.0,,25.0,,24.0,,24.0
臺灣土地銀行,0.41476945285267475,0.41280955970628475,0.415624155238289,0.4121879392276287,0.4071738427397321,0.3950040009362735,0.4047199255324974,0.4140259210573454,0.41479923751260656,0.4177953647388866,0.421086976527576,0.4269631993169038,0.422911180950763,,31.0,,31.0,,31.0,,31.0,,31.0,,32.0,,31.0,,31.0,,31.0,,32.0,,32.0,,32.0,,32.0
合作金庫銀行,0.6041109953059737,0.604179149544483,0.6058051564652628,0.6018585175241982,0.5930145539259278,0.5841374280349467,0.5857419511388418,0.588527186021248,0.5874086085310399,0.588500507277037,0.5929378684478878,0.5997330779729007,0.5974611933690638,,15.0,,15.0,,14.0,,15.0,,16.0,,16.0,,16.0,,16.0,,16.0,,16.0,,15.0,,15.0,,15.0
第一商業銀行,0.6039890152473356,0.6025324975752238,0.6052586510506943,0.606707860699247,0.605697332371436,0.6035201246436547,0.600293791428338,0.6000406319205445,0.6026387790759773,0.6051703396863928,0.6104991499962579,0.6135544897930608,0.6078416491243487,,16.0,,16.0,,15.0,,14.0,,14.0,,15.0,,15.0,,15.0,,14.0,,14.0,,14.0,,14.0,,14.0
華南商業銀行,0.7625768511609364,0.7604333284161588,0.7615163919042867,0.7617166533446088,0.7612411110610559,0.7594527663108901,0.758858396318638,0.7636194214529921,0.7602818693789947,0.7628480771478556,0.7660467295236971,0.7693168589496481,0.7704799231081464,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0
彰化商業銀行,0.44947287084277154,0.44688769857555777,0.44749464248882176,0.45044780963248726,0.4538497059464169,0.4629364974240639,0.46639732516021176,0.4724812249564725,0.4748030046778792,0.47575194820972977,0.4818284660099551,0.48544144970833863,0.48093276012487257,,29.0,,29.0,,29.0,,29.0,,29.0,,29.0,,29.0,,28.0,,27.0,,27.0,,27.0,,27.0,,27.0
上海商業儲蓄銀行,0.40814595960046773,0.40815712058594594,0.408420299070241,0.40695410785474506,0.4050528197052006,0.4032714384707393,0.4026388205092137,0.4123136341316798,0.4128952372139343,0.42087027390169496,0.4259800499082666,0.42869567323464847,0.42954949270551945,,32.0,,32.0,,32.0,,32.0,,32.0,,31.0,,32.0,,32.0,,32.0,,31.0,,31.0,,31.0,,31.0
台北富邦商業銀行,0.670315382759584,0.6691990133702209,0.6738794281372207,0.6756253767024475,0.6760520700242824,0.6754899955189276,0.6750911662809315,0.6786348410621138,0.6780237916557283,0.6783820533450017,0.6848506332881392,0.6837776445101601,0.6858718547627308,,9.0,,9.0,,8.0,,8.0,,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,,6.0,,5.0,,5.0
國泰世華商業銀行,0.7170437232630839,0.7143150336319589,0.7100676711593549,0.7087946213494712,0.7061677613329831,0.7031896510612567,0.7023505251549046,0.7072701235385095,0.7058150479294631,0.707366404369406,0.7107952719369368,0.655811335125326,0.649257889945569,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,9.0,,10.0
高雄銀行,0.34843272171253825,0.34246138133537596,0.33956705520686564,0.3334189076439253,0.3262995367987648,0.31970859390110246,0.31749209014011753,0.31695618356235417,0.3128371790705232,0.31164182989523004,0.31180763716929494,0.31362299901992813,0.312712752029327,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0,,33.0
