銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,5706595.0,5717476.0,5730371.0,5746738.0,5756563.0,5766980.0,5778179.0,5791723.0,5801710.0,5810231.0,5818533.0,5827024.0,5834990.0,2.11%,9.0,2.11%,9.0,2.10%,9.0,2.10%,9.0,2.10%,9.0,2.09%,9.0,2.09%,9.0,2.09%,9.0,2.08%,9.0,2.08%,9.0,2.08%,9.0,2.07%,9.0,2.07%,9.0
臺灣土地銀行,3547238.0,3556558.0,3566830.0,3573887.0,3580865.0,3589318.0,3597819.0,3606541.0,3614093.0,3621037.0,3627963.0,3639196.0,3671635.0,1.31%,13.0,1.31%,13.0,1.31%,13.0,1.30%,13.0,1.30%,13.0,1.30%,13.0,1.30%,13.0,1.30%,13.0,1.30%,13.0,1.30%,13.0,1.29%,13.0,1.29%,13.0,1.30%,13.0
合作金庫銀行,6836310.0,6845971.0,6868038.0,6883459.0,6895592.0,6909351.0,6932317.0,6946955.0,6964284.0,6973882.0,6986768.0,6996972.0,7001495.0,2.53%,4.0,2.52%,4.0,2.52%,4.0,2.51%,4.0,2.51%,4.0,2.51%,4.0,2.51%,4.0,2.50%,4.0,2.50%,4.0,2.50%,4.0,2.49%,4.0,2.49%,4.0,2.48%,4.0
第一商業銀行,7019284.0,7040487.0,7072452.0,7097356.0,7119000.0,7142993.0,7168837.0,7196106.0,7220153.0,7244070.0,7271050.0,7294591.0,7315994.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.59%,3.0,2.60%,3.0,2.59%,3.0
華南商業銀行,6410996.0,6422260.0,6437272.0,6449034.0,6458664.0,6473106.0,6487581.0,6500502.0,6510776.0,6519847.0,6530281.0,6536338.0,6570322.0,2.37%,6.0,2.37%,6.0,2.36%,6.0,2.35%,6.0,2.35%,6.0,2.35%,6.0,2.34%,6.0,2.34%,6.0,2.34%,6.0,2.33%,6.0,2.33%,6.0,2.33%,6.0,2.33%,6.0
彰化商業銀行,5155446.0,5160155.0,5168014.0,5173507.0,5177293.0,5182090.0,5188224.0,5194634.0,5199291.0,5202857.0,5206067.0,5208590.0,5210036.0,1.91%,10.0,1.90%,10.0,1.89%,10.0,1.89%,10.0,1.88%,10.0,1.88%,10.0,1.88%,10.0,1.87%,10.0,1.87%,10.0,1.86%,11.0,1.86%,11.0,1.85%,11.0,1.85%,11.0
上海商業儲蓄銀行,1586128.0,1589663.0,1594671.0,1598661.0,1601981.0,1605564.0,1610819.0,1616294.0,1620551.0,1624155.0,1627532.0,1631815.0,1636837.0,0.59%,20.0,0.59%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0,0.58%,21.0
台北富邦商業銀行,4767500.0,4783077.0,4802272.0,4818774.0,4831717.0,4844214.0,4857994.0,4873813.0,4887064.0,4899546.0,4913174.0,4925698.0,4951951.0,1.76%,12.0,1.76%,12.0,1.76%,12.0,1.76%,12.0,1.76%,12.0,1.76%,12.0,1.76%,12.0,1.75%,12.0,1.75%,12.0,1.75%,12.0,1.75%,12.0,1.75%,12.0,1.76%,12.0
國泰世華商業銀行,6217499.0,6229689.0,6244467.0,6254720.0,6262201.0,6268986.0,6277094.0,6285810.0,6292613.0,6296710.0,6299120.0,6300334.0,6301770.0,2.30%,7.0,2.29%,7.0,2.29%,7.0,2.28%,7.0,2.28%,7.0,2.27%,7.0,2.27%,7.0,2.26%,7.0,2.26%,7.0,2.25%,7.0,2.25%,7.0,2.24%,7.0,2.24%,7.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
