銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,989996.0,989576.0,994534.0,1001607.0,1008994.0,1012644.0,1014786.0,1016431.0,1018280.0,1019111.0,1026219.0,1032869.0,1028098.0,3.29%,3.0,3.28%,3.0,3.27%,3.0,3.28%,3.0,3.28%,3.0,3.27%,3.0,3.26%,3.0,3.26%,3.0,3.25%,3.0,3.25%,3.0,3.25%,3.0,3.25%,3.0,3.24%,3.0
臺灣土地銀行,964410.0,963231.0,965557.0,967357.0,968863.0,969602.0,968819.0,966536.0,968850.0,970127.0,977424.0,982167.0,978081.0,3.20%,4.0,3.19%,4.0,3.18%,4.0,3.16%,4.0,3.15%,4.0,3.13%,4.0,3.12%,4.0,3.10%,4.0,3.10%,4.0,3.09%,4.0,3.10%,4.0,3.09%,4.0,3.09%,4.0
合作金庫銀行,666478.0,666038.0,669917.0,672952.0,676656.0,678332.0,680709.0,681468.0,683495.0,684036.0,686457.0,690961.0,689581.0,2.21%,6.0,2.21%,6.0,2.21%,6.0,2.20%,6.0,2.20%,6.0,2.19%,6.0,2.19%,6.0,2.19%,6.0,2.18%,6.0,2.18%,6.0,2.18%,6.0,2.18%,6.0,2.18%,6.0
第一商業銀行,480067.0,481642.0,487472.0,492163.0,499340.0,503688.0,507580.0,510594.0,514227.0,518087.0,523924.0,532166.0,531430.0,1.59%,12.0,1.60%,12.0,1.61%,12.0,1.61%,12.0,1.62%,12.0,1.63%,12.0,1.63%,12.0,1.64%,12.0,1.64%,12.0,1.65%,12.0,1.66%,12.0,1.68%,12.0,1.68%,12.0
華南商業銀行,552071.0,552225.0,555631.0,557271.0,560173.0,561923.0,562202.0,561187.0,559786.0,557394.0,555824.0,556781.0,552953.0,1.83%,9.0,1.83%,9.0,1.83%,9.0,1.82%,9.0,1.82%,9.0,1.82%,9.0,1.81%,9.0,1.80%,9.0,1.79%,10.0,1.78%,11.0,1.76%,11.0,1.75%,11.0,1.74%,11.0
彰化商業銀行,418041.0,417282.0,418522.0,418449.0,419291.0,419722.0,420080.0,419139.0,419180.0,418124.0,417579.0,418095.0,415073.0,1.39%,13.0,1.38%,13.0,1.38%,13.0,1.37%,13.0,1.36%,13.0,1.36%,13.0,1.35%,13.0,1.35%,13.0,1.34%,13.0,1.33%,13.0,1.32%,13.0,1.32%,13.0,1.31%,13.0
上海商業儲蓄銀行,162475.0,163356.0,165217.0,167415.0,170270.0,172547.0,174533.0,175976.0,177946.0,180005.0,182396.0,185078.0,186307.0,0.54%,24.0,0.54%,24.0,0.54%,24.0,0.55%,24.0,0.55%,24.0,0.56%,23.0,0.56%,23.0,0.56%,23.0,0.57%,23.0,0.57%,23.0,0.58%,23.0,0.58%,23.0,0.59%,23.0
台北富邦商業銀行,579781.0,584897.0,589426.0,593763.0,598520.0,600231.0,602983.0,603286.0,604681.0,607764.0,613214.0,616283.0,616590.0,1.93%,8.0,1.94%,8.0,1.94%,8.0,1.94%,8.0,1.94%,8.0,1.94%,8.0,1.94%,8.0,1.94%,8.0,1.93%,8.0,1.94%,8.0,1.94%,8.0,1.94%,8.0,1.95%,8.0
國泰世華商業銀行,594653.0,597820.0,606891.0,616505.0,626344.0,636141.0,647055.0,655225.0,662498.0,668853.0,673779.0,676011.0,672854.0,1.98%,7.0,1.98%,7.0,2.00%,7.0,2.02%,7.0,2.03%,7.0,2.06%,7.0,2.08%,7.0,2.10%,7.0,2.12%,7.0,2.13%,7.0,2.14%,7.0,2.13%,7.0,2.12%,7.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
