銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,-14585.0,-20538.0,-13154.0,-33349.0,-33542.0,-59017.0,-46440.0,-48309.0,-70299.0,-70757.0,-51132.0,-61356.0,17717.0,96.31%,1.0,145.36%,1.0,-29.16%,38.0,-62.25%,38.0,-96.22%,38.0,-705.52%,38.0,-71.06%,38.0,-44.04%,38.0,-45.80%,38.0,-36.20%,38.0,-26.34%,38.0,-30.39%,38.0,28.30%,2.0
臺灣土地銀行,374.0,356.0,266.0,926.0,1018.0,1026.0,907.0,1512.0,3372.0,3418.0,1758.0,1769.0,-1584.0,-2.47%,32.0,-2.52%,31.0,0.59%,15.0,1.73%,9.0,2.92%,9.0,12.27%,9.0,1.39%,14.0,1.38%,14.0,2.20%,7.0,1.75%,9.0,0.91%,16.0,0.88%,18.0,-2.53%,35.0
合作金庫銀行,814.0,1635.0,4100.0,8565.0,6475.0,10053.0,11294.0,14572.0,22259.0,24867.0,18604.0,17939.0,-3621.0,-5.38%,35.0,-11.57%,35.0,9.09%,5.0,15.99%,4.0,18.57%,4.0,120.18%,4.0,17.28%,4.0,13.28%,5.0,14.50%,5.0,12.72%,5.0,9.59%,5.0,8.88%,5.0,-5.78%,37.0
第一商業銀行,-47.0,-260.0,88.0,348.0,879.0,671.0,1506.0,2116.0,2669.0,3813.0,4814.0,6153.0,1774.0,0.31%,8.0,1.84%,6.0,0.20%,23.0,0.65%,18.0,2.52%,13.0,8.02%,13.0,2.30%,9.0,1.93%,8.0,1.74%,9.0,1.95%,7.0,2.48%,6.0,3.05%,6.0,2.83%,6.0
華南商業銀行,909.0,2199.0,5081.0,9769.0,6616.0,10244.0,12301.0,15993.0,25288.0,27482.0,19493.0,18861.0,-4114.0,-6.00%,37.0,-15.56%,36.0,11.26%,4.0,18.23%,3.0,18.98%,3.0,122.46%,3.0,18.82%,3.0,14.58%,4.0,16.47%,3.0,14.06%,4.0,10.04%,4.0,9.34%,4.0,-6.57%,38.0
彰化商業銀行,-3.0,-53.0,234.0,306.0,698.0,561.0,830.0,1055.0,1112.0,1460.0,2545.0,3195.0,833.0,0.02%,15.0,0.38%,12.0,0.52%,17.0,0.57%,19.0,2.00%,16.0,6.71%,15.0,1.27%,16.0,0.96%,16.0,0.72%,17.0,0.75%,16.0,1.31%,13.0,1.58%,13.0,1.33%,9.0
上海商業儲蓄銀行,-243.0,-314.0,-576.0,-1394.0,-964.0,-1632.0,-1919.0,-2348.0,-3309.0,-3555.0,-2314.0,-1872.0,424.0,1.60%,5.0,2.22%,4.0,-1.28%,36.0,-2.60%,37.0,-2.77%,36.0,-19.51%,36.0,-2.94%,37.0,-2.14%,37.0,-2.16%,37.0,-1.82%,37.0,-1.19%,37.0,-0.93%,37.0,0.68%,13.0
台北富邦商業銀行,-31.0,-97.0,-8.0,48.0,612.0,143.0,1299.0,1593.0,1427.0,2220.0,3094.0,3961.0,1340.0,0.20%,10.0,0.69%,10.0,-0.02%,30.0,0.09%,23.0,1.76%,17.0,1.71%,18.0,1.99%,10.0,1.45%,12.0,0.93%,16.0,1.14%,13.0,1.59%,10.0,1.96%,10.0,2.14%,7.0
國泰世華商業銀行,395.0,74.0,328.0,596.0,891.0,780.0,1296.0,2220.0,2980.0,3778.0,4186.0,5400.0,533.0,-2.61%,33.0,-0.52%,25.0,0.73%,13.0,1.11%,14.0,2.56%,12.0,9.32%,11.0,1.98%,11.0,2.02%,7.0,1.94%,8.0,1.93%,8.0,2.16%,7.0,2.67%,8.0,0.85%,12.0
中國輸出入銀行,-10.0,-20.0,1.0,-16.0,-26.0,-43.0,-62.0,-83.0,-97.0,-115.0,-137.0,-158.0,-27.0,0.07%,13.0,0.14%,15.0,0.00%,27.0,-0.03%,28.0,-0.07%,28.0,-0.51%,26.0,-0.09%,31.0,-0.08%,32.0,-0.06%,32.0,-0.06%,33.0,-0.07%,32.0,-0.08%,33.0,-0.04%,26.0
