銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,1459.0,2493.0,4235.0,5390.0,7620.0,9678.0,11977.0,13619.0,14429.0,15842.0,18068.0,19165.0,3174.0,1.66%,12.0,1.49%,13.0,1.61%,12.0,1.58%,13.0,1.74%,10.0,1.82%,8.0,1.81%,9.0,1.75%,10.0,1.66%,11.0,1.65%,11.0,1.71%,10.0,1.68%,10.0,2.41%,7.0
臺灣土地銀行,1311.0,2465.0,3744.0,4732.0,6205.0,7259.0,8784.0,10286.0,11415.0,12545.0,13585.0,14845.0,1769.0,1.49%,13.0,1.47%,14.0,1.43%,15.0,1.38%,14.0,1.41%,14.0,1.36%,14.0,1.33%,14.0,1.32%,14.0,1.31%,14.0,1.31%,14.0,1.28%,15.0,1.30%,14.0,1.34%,12.0
合作金庫銀行,1564.0,2793.0,4553.0,5625.0,7636.0,9762.0,12762.0,14795.0,16199.0,17901.0,20230.0,22113.0,2129.0,1.78%,10.0,1.67%,9.0,1.73%,8.0,1.65%,10.0,1.74%,8.0,1.83%,7.0,1.93%,8.0,1.90%,8.0,1.86%,8.0,1.86%,8.0,1.91%,8.0,1.94%,8.0,1.62%,10.0
第一商業銀行,1805.0,3482.0,5783.0,7673.0,9801.0,11899.0,14271.0,16516.0,18581.0,20488.0,22377.0,23788.0,2488.0,2.05%,6.0,2.08%,6.0,2.20%,6.0,2.25%,6.0,2.24%,6.0,2.23%,6.0,2.16%,6.0,2.12%,6.0,2.13%,6.0,2.13%,6.0,2.11%,7.0,2.09%,7.0,1.89%,9.0
華南商業銀行,1551.0,2554.0,4409.0,6082.0,7635.0,9151.0,11367.0,13697.0,15610.0,17025.0,18599.0,20038.0,1677.0,1.76%,11.0,1.52%,11.0,1.68%,10.0,1.78%,8.0,1.74%,9.0,1.72%,10.0,1.72%,10.0,1.76%,9.0,1.79%,9.0,1.77%,9.0,1.76%,9.0,1.76%,9.0,1.27%,14.0
彰化商業銀行,914.0,1766.0,2799.0,4001.0,5104.0,6133.0,7462.0,8683.0,9917.0,10974.0,11831.0,12985.0,1334.0,1.04%,16.0,1.05%,16.0,1.07%,16.0,1.17%,16.0,1.16%,16.0,1.15%,16.0,1.13%,16.0,1.11%,16.0,1.14%,16.0,1.14%,16.0,1.12%,16.0,1.14%,16.0,1.01%,17.0
上海商業儲蓄銀行,1222.0,2269.0,4053.0,5469.0,6803.0,8117.0,10449.0,12772.0,14514.0,15878.0,16771.0,16490.0,1704.0,1.39%,15.0,1.35%,15.0,1.54%,13.0,1.60%,12.0,1.55%,13.0,1.52%,12.0,1.58%,13.0,1.64%,11.0,1.66%,10.0,1.65%,10.0,1.58%,12.0,1.45%,13.0,1.29%,13.0
台北富邦商業銀行,1749.0,5993.0,7984.0,10014.0,12059.0,13967.0,17744.0,20388.0,22076.0,24221.0,26018.0,26986.0,3643.0,1.99%,7.0,3.57%,3.0,3.04%,5.0,2.93%,5.0,2.75%,5.0,2.62%,5.0,2.68%,5.0,2.62%,5.0,2.53%,5.0,2.52%,5.0,2.46%,5.0,2.37%,5.0,2.76%,4.0
國泰世華商業銀行,3182.0,5395.0,8048.0,10566.0,13054.0,15801.0,18670.0,21784.0,24672.0,27525.0,29967.0,30780.0,3407.0,3.61%,3.0,3.22%,5.0,3.06%,4.0,3.09%,4.0,2.98%,4.0,2.97%,4.0,2.82%,4.0,2.80%,4.0,2.83%,4.0,2.86%,4.0,2.83%,4.0,2.70%,4.0,2.59%,6.0
中國輸出入銀行,140.0,205.0,288.0,382.0,458.0,507.0,578.0,660.0,705.0,776.0,854.0,857.0,202.0,0.16%,33.0,0.12%,34.0,0.11%,34.0,0.11%,35.0,0.10%,36.0,0.10%,36.0,0.09%,36.0,0.08%,36.0,0.08%,36.0,0.08%,36.0,0.08%,36.0,0.08%,35.0,0.15%,33.0
高雄銀行,130.0,211.0,311.0,426.0,527.0,647.0,747.0,844.0,930.0,1008.0,1078.0,1140.0,90.0,0.15%,35.0,0.13%,33.0,0.12%,33.0,0.12%,34.0,0.12%,33.0,0.12%,34.0,0.11%,34.0,0.11%,34.0,0.11%,34.0,0.10%,34.0,0.10%,34.0,0.10%,33.0,0.07%,35.0
兆豐國際商業銀行,1259.0,2879.0,4944.0,6670.0,8483.0,9564.0,13306.0,16345.0,17848.0,20188.0,23980.0,26745.0,4434.0,1.43%,14.0,1.72%,7.0,1.88%,7.0,1.95%,7.0,1.93%,7.0,1.80%,9.0,2.01%,7.0,2.10%,7.0,2.05%,7.0,2.10%,7.0,2.26%,6.0,2.35%,6.0,3.36%,3.0
花旗(台灣)商業銀行,561.0,743.0,1445.0,1835.0,2152.0,2589.0,2766.0,3508.0,3514.0,4145.0,4777.0,5126.0,816.0,0.64%,21.0,0.44%,24.0,0.55%,22.0,0.54%,23.0,0.49%,23.0,0.49%,23.0,0.42%,23.0,0.45%,23.0,0.40%,24.0,0.43%,24.0,0.45%,24.0,0.45%,25.0,0.62%,19.0
王道商業銀行,267.0,502.0,656.0,782.0,892.0,1149.0,1512.0,1812.0,1910.0,2074.0,2178.0,5224.0,344.0,0.30%,26.0,0.30%,28.0,0.25%,28.0,0.23%,28.0,0.20%,29.0,0.22%,28.0,0.23%,28.0,0.23%,28.0,0.22%,28.0,0.22%,28.0,0.21%,29.0,0.46%,23.0,0.26%,28.0
臺灣中小企業銀行,908.0,1699.0,2594.0,3363.0,4084.0,5044.0,6233.0,7360.0,8478.0,9978.0,11047.0,11991.0,1517.0,1.03%,17.0,1.01%,17.0,0.99%,17.0,0.98%,17.0,0.93%,17.0,0.95%,17.0,0.94%,17.0,0.94%,17.0,0.97%,17.0,1.04%,17.0,1.04%,17.0,1.05%,17.0,1.15%,16.0
渣打國際商業銀行,201.0,232.0,375.0,595.0,754.0,829.0,1255.0,1472.0,1691.0,1995.0,2525.0,2892.0,638.0,0.23%,30.0,0.14%,32.0,0.14%,30.5,0.17%,29.0,0.17%,30.0,0.16%,30.0,0.19%,30.0,0.19%,30.0,0.19%,29.0,0.21%,29.0,0.24%,27.0,0.25%,28.0,0.48%,21.0
台中商業銀行,475.0,990.0,1510.0,1968.0,2555.0,3186.0,3777.0,4238.0,4763.0,5311.0,5886.0,6469.0,613.0,0.54%,22.5,0.59%,21.0,0.57%,21.0,0.58%,21.0,0.58%,21.0,0.60%,21.0,0.57%,21.0,0.54%,21.0,0.55%,21.0,0.55%,21.0,0.56%,21.0,0.57%,21.0,0.47%,22.0
京城商業銀行,210.0,610.0,188.0,447.0,1166.0,1102.0,1804.0,2484.0,1420.0,1692.0,2344.0,2870.0,333.0,0.24%,28.0,0.36%,25.0,0.07%,36.0,0.13%,33.0,0.27%,27.0,0.21%,29.0,0.27%,27.0,0.32%,27.0,0.16%,31.0,0.18%,30.0,0.22%,28.0,0.25%,29.0,0.25%,29.0
匯豐(台灣)商業銀行,293.0,755.0,1122.0,1298.0,1624.0,2240.0,2720.0,3212.0,3720.0,4328.0,5084.0,5620.0,895.0,0.33%,25.0,0.45%,23.0,0.43%,24.0,0.38%,24.0,0.37%,24.0,0.42%,24.0,0.41%,24.0,0.41%,24.0,0.43%,23.0,0.45%,23.0,0.48%,22.0,0.49%,22.0,0.68%,18.0
瑞興商業銀行,21.0,35.0,64.0,91.0,100.0,120.0,148.0,186.0,213.0,235.0,237.0,261.0,10.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.03%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.01%,38.0
華泰商業銀行,46.0,92.0,138.0,209.0,283.0,356.0,431.0,512.0,593.0,675.0,755.0,813.0,81.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.06%,37.0,0.06%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,36.0,0.06%,36.0
臺灣新光商業銀行,598.0,1054.0,1704.0,2316.0,3140.0,3836.0,4803.0,5637.0,6205.0,6856.0,7535.0,8289.0,546.0,0.68%,20.0,0.63%,19.0,0.65%,18.0,0.68%,18.0,0.72%,18.0,0.72%,18.0,0.73%,19.0,0.72%,19.0,0.71%,19.0,0.71%,19.0,0.71%,19.0,0.73%,19.0,0.41%,24.0
陽信商業銀行,475.0,922.0,1409.0,1840.0,2341.0,2905.0,3446.0,3958.0,4436.0,4865.0,5002.0,5158.0,538.0,0.54%,22.5,0.55%,22.0,0.54%,23.0,0.54%,22.0,0.53%,22.0,0.55%,22.0,0.52%,22.0,0.51%,22.0,0.51%,22.0,0.51%,22.0,0.47%,23.0,0.45%,24.0,0.41%,25.0
板信商業銀行,135.0,241.0,375.0,501.0,634.0,794.0,953.0,1134.0,1428.0,1597.0,1745.0,1900.0,120.0,0.15%,34.0,0.14%,30.0,0.14%,30.5,0.15%,31.0,0.14%,31.0,0.15%,31.0,0.14%,31.0,0.15%,31.0,0.16%,30.0,0.17%,31.0,0.16%,31.0,0.17%,30.0,0.09%,34.0
三信商業銀行,66.0,162.0,271.0,378.0,464.0,555.0,645.0,736.0,830.0,920.0,999.0,1051.0,73.0,0.07%,36.0,0.10%,35.0,0.10%,35.0,0.11%,36.0,0.11%,35.0,0.10%,35.0,0.10%,35.0,0.09%,35.0,0.10%,35.0,0.10%,35.0,0.09%,35.0,0.09%,34.0,0.06%,37.0
聯邦商業銀行,207.0,576.0,817.0,1009.0,1410.0,1605.0,2106.0,2717.0,3072.0,3387.0,3941.0,4402.0,424.0,0.24%,29.0,0.34%,26.0,0.31%,25.0,0.30%,26.0,0.32%,26.0,0.30%,26.0,0.32%,26.0,0.35%,26.0,0.35%,25.0,0.35%,25.0,0.37%,25.0,0.39%,26.0,0.32%,26.0
遠東國際商業銀行,243.0,461.0,746.0,1235.0,1621.0,1913.0,2335.0,2757.0,2880.0,3177.0,3716.0,4179.0,386.0,0.28%,27.0,0.27%,29.0,0.28%,27.0,0.36%,25.0,0.37%,25.0,0.36%,25.0,0.35%,25.0,0.35%,25.0,0.33%,26.0,0.33%,26.0,0.35%,26.0,0.37%,27.0,0.29%,27.0
元大商業銀行,628.0,1029.0,1563.0,2116.0,2616.0,3675.0,4867.0,6175.0,7124.0,7893.0,8210.0,8841.0,686.0,0.71%,19.0,0.61%,20.0,0.59%,20.0,0.62%,19.0,0.60%,19.0,0.69%,19.0,0.74%,18.0,0.79%,18.0,0.82%,18.0,0.82%,18.0,0.78%,18.0,0.78%,18.0,0.52%,20.0
永豐商業銀行,1712.0,2545.0,4317.0,5631.0,7048.0,8730.0,10700.0,12151.0,14025.0,15259.0,16181.0,17180.0,1614.0,1.94%,8.0,1.52%,12.0,1.64%,11.0,1.65%,9.0,1.61%,12.0,1.64%,11.0,1.62%,12.0,1.56%,13.0,1.61%,12.0,1.59%,13.0,1.53%,13.0,1.51%,12.0,1.22%,15.0
玉山商業銀行,1807.0,2842.0,4542.0,5480.0,7535.0,8069.0,11051.0,12605.0,13539.0,15274.0,17265.0,18558.0,3111.0,2.05%,5.0,1.69%,8.0,1.73%,9.0,1.60%,11.0,1.72%,11.0,1.51%,13.0,1.67%,11.0,1.62%,12.0,1.55%,13.0,1.59%,12.0,1.63%,11.0,1.63%,11.0,2.36%,8.0
凱基商業銀行,656.0,1114.0,1599.0,2104.0,2594.0,3362.0,4161.0,4838.0,5353.0,5830.0,6065.0,6615.0,586.0,0.75%,18.0,0.66%,18.0,0.61%,19.0,0.62%,20.0,0.59%,20.0,0.63%,20.0,0.63%,20.0,0.62%,20.0,0.61%,20.0,0.61%,20.0,0.57%,20.0,0.58%,20.0,0.44%,23.0
星展(台灣)商業銀行,171.0,122.0,462.0,585.0,505.0,755.0,880.0,883.0,1082.0,1230.0,1331.0,786.0,299.0,0.19%,31.0,0.07%,36.0,0.18%,29.0,0.17%,30.0,0.12%,34.0,0.14%,32.0,0.13%,33.0,0.11%,33.0,0.12%,33.0,0.13%,33.0,0.13%,33.0,0.07%,37.0,0.23%,30.0
台新國際商業銀行,1644.0,2579.0,3760.0,4681.0,5589.0,7161.0,7946.0,9679.0,11062.0,12363.0,13695.0,14726.0,1901.0,1.87%,9.0,1.54%,10.0,1.43%,14.0,1.37%,15.0,1.27%,15.0,1.34%,15.0,1.20%,15.0,1.24%,15.0,1.27%,15.0,1.29%,15.0,1.29%,14.0,1.29%,15.0,1.44%,11.0
日盛國際商業銀行,165.0,234.0,339.0,452.0,562.0,713.0,890.0,1047.0,1207.0,1330.0,1603.0,1812.0,256.0,0.19%,32.0,0.14%,31.0,0.13%,32.0,0.13%,32.0,0.13%,32.0,0.13%,33.0,0.13%,32.0,0.13%,32.0,0.14%,32.0,0.14%,32.0,0.15%,32.0,0.16%,31.0,0.19%,31.0
安泰商業銀行,301.0,512.0,759.0,942.0,1074.0,1350.0,1483.0,1703.0,1921.0,2077.0,2157.0,1290.0,208.0,0.34%,24.0,0.31%,27.0,0.29%,26.0,0.28%,27.0,0.24%,28.0,0.25%,27.0,0.22%,29.0,0.22%,29.0,0.22%,27.0,0.22%,27.0,0.20%,30.0,0.11%,32.0,0.16%,32.0
中國信託商業銀行,2551.0,5751.0,9221.0,11764.0,16036.0,20296.0,24221.0,29007.0,34413.0,36145.0,39763.0,44389.0,3555.0,2.90%,4.0,3.43%,4.0,3.51%,3.0,3.44%,3.0,3.66%,3.0,3.81%,3.0,3.66%,3.0,3.72%,3.0,3.95%,3.0,3.76%,3.0,3.76%,3.0,3.89%,3.0,2.70%,5.0
將來商業銀行,-71.0,-140.0,-185.0,-283.0,-386.0,-489.0,-600.0,-707.0,-833.0,-979.0,-1115.0,-1255.0,-99.0,-0.08%,40.0,-0.08%,40.0,-0.07%,40.0,-0.08%,40.0,-0.09%,40.0,-0.09%,40.0,-0.09%,40.0,-0.09%,40.0,-0.10%,40.0,-0.10%,40.0,-0.11%,40.0,-0.11%,40.0,-0.08%,40.0
