銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,4038.0,7973.0,12250.0,16884.0,22124.0,27441.0,33325.0,39650.0,46383.0,53850.0,61536.0,70058.0,9034.0,2.30%,5.0,2.34%,4.0,2.34%,4.0,2.35%,4.0,2.38%,4.0,2.38%,4.0,2.38%,4.0,2.38%,4.0,2.39%,4.0,2.40%,4.0,2.41%,4.0,2.42%,4.0,2.61%,4.0
臺灣土地銀行,3600.0,6940.0,10696.0,14646.0,18899.0,23216.0,27984.0,32953.0,38009.0,43544.0,49104.0,55095.0,6089.0,2.05%,9.0,2.04%,9.0,2.04%,8.0,2.04%,8.0,2.03%,9.0,2.01%,9.0,2.00%,9.0,1.98%,9.0,1.96%,9.0,1.94%,9.0,1.92%,9.0,1.91%,10.0,1.76%,11.0
合作金庫銀行,4069.0,7918.0,12078.0,16555.0,21330.0,26197.0,31517.0,37142.0,42888.0,49150.0,55484.0,62066.0,6908.0,2.32%,4.0,2.32%,5.0,2.31%,5.0,2.31%,5.0,2.29%,5.0,2.27%,5.0,2.25%,5.0,2.23%,5.0,2.21%,5.0,2.19%,6.0,2.17%,7.0,2.15%,8.0,1.99%,9.0
第一商業銀行,3718.0,7305.0,11300.0,15614.0,20197.0,25064.0,30430.0,36152.0,42073.0,48605.0,55272.0,62522.0,7520.0,2.12%,7.0,2.14%,6.0,2.16%,6.0,2.17%,6.0,2.17%,6.0,2.17%,6.0,2.17%,6.0,2.17%,7.0,2.17%,8.0,2.17%,8.0,2.16%,8.0,2.16%,7.0,2.17%,7.0
華南商業銀行,3179.0,6178.0,9639.0,13380.0,17464.0,21687.0,26450.0,31395.0,36389.0,41933.0,47522.0,53622.0,6390.0,1.81%,11.0,1.81%,11.0,1.84%,10.0,1.86%,10.0,1.88%,10.0,1.88%,10.0,1.89%,10.0,1.89%,10.0,1.88%,11.0,1.87%,11.0,1.86%,11.0,1.85%,11.0,1.84%,10.0
彰化商業銀行,2329.0,4540.0,7094.0,9838.0,12828.0,15900.0,19462.0,23230.0,27119.0,31602.0,36030.0,40723.0,4833.0,1.33%,15.0,1.33%,15.0,1.36%,15.0,1.37%,14.0,1.38%,15.0,1.38%,14.0,1.39%,14.0,1.39%,14.0,1.40%,14.0,1.41%,14.0,1.41%,14.0,1.41%,14.0,1.40%,15.0
上海商業儲蓄銀行,1363.0,2633.0,4195.0,5798.0,7542.0,9342.0,11406.0,13632.0,15981.0,18606.0,21180.0,24028.0,2961.0,0.78%,19.0,0.77%,19.0,0.80%,19.0,0.81%,19.0,0.81%,18.0,0.81%,17.0,0.81%,17.0,0.82%,17.0,0.82%,17.0,0.83%,17.0,0.83%,17.0,0.83%,17.0,0.85%,17.0
台北富邦商業銀行,3635.0,7043.0,9604.0,13168.0,17095.0,21262.0,26039.0,31242.0,36538.0,42609.0,48927.0,55613.0,6969.0,2.07%,8.0,2.07%,8.0,1.84%,11.0,1.83%,11.0,1.84%,11.0,1.84%,11.0,1.86%,11.0,1.88%,11.0,1.88%,10.0,1.90%,10.0,1.91%,10.0,1.92%,9.0,2.01%,8.0
國泰世華商業銀行,3779.0,7285.0,11217.0,15392.0,20117.0,24921.0,30315.0,36190.0,42187.0,48837.0,55818.0,63225.0,7583.0,2.15%,6.0,2.14%,7.0,2.14%,7.0,2.14%,7.0,2.16%,7.0,2.16%,7.0,2.17%,7.0,2.17%,6.0,2.18%,7.0,2.18%,7.0,2.18%,6.0,2.19%,6.0,2.19%,6.0
中國輸出入銀行,124.0,240.0,378.0,528.0,698.0,894.0,1136.0,1419.0,1730.0,2079.0,2445.0,2873.0,460.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.08%,37.0,0.08%,37.0,0.09%,37.0,0.09%,37.0,0.09%,37.0,0.10%,37.0,0.10%,37.0,0.13%,34.5
高雄銀行,312.0,616.0,939.0,1284.0,1641.0,2028.0,2428.0,2841.0,3264.0,3725.0,4199.0,4713.0,513.0,0.18%,32.0,0.18%,32.0,0.18%,32.0,0.18%,32.0,0.18%,33.0,0.18%,33.0,0.17%,33.0,0.17%,33.0,0.17%,33.0,0.17%,33.0,0.16%,33.0,0.16%,33.0,0.15%,33.0
兆豐國際商業銀行,3507.0,6649.0,10432.0,14541.0,19076.0,24005.0,29585.0,35882.0,42460.0,50105.0,57982.0,66458.0,8489.0,2.00%,10.0,1.95%,10.0,1.99%,9.0,2.02%,9.0,2.05%,8.0,2.08%,8.0,2.11%,8.0,2.15%,8.0,2.19%,6.0,2.23%,5.0,2.27%,5.0,2.30%,5.0,2.45%,5.0
