銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,4215393.0,4254275.0,4316862.0,4346140.0,4415987.0,4434159.0,4480116.0,4487632.0,4547375.0,4621764.0,4599292.0,4670608.0,4623220.0,3.02%,3.0,3.02%,3.0,3.04%,3.0,3.03%,3.0,3.09%,3.0,3.09%,3.0,3.10%,3.0,3.09%,3.0,3.11%,3.0,3.12%,3.0,3.10%,3.0,3.13%,3.0,3.09%,3.0
臺灣土地銀行,2706834.0,2687970.0,2711632.0,2708190.0,2666599.0,2706520.0,2614252.0,2612200.0,2617325.0,2582141.0,2563067.0,2594105.0,2543070.0,1.94%,10.0,1.91%,10.0,1.91%,10.0,1.89%,11.0,1.86%,11.0,1.89%,11.0,1.81%,12.0,1.80%,12.0,1.79%,12.0,1.74%,12.0,1.73%,12.0,1.74%,12.0,1.70%,12.0
合作金庫銀行,3453753.0,3453818.0,3500597.0,3506185.0,3527451.0,3492735.0,3570345.0,3579274.0,3603794.0,3591935.0,3545807.0,3598512.0,3648329.0,2.47%,4.0,2.45%,4.0,2.47%,4.0,2.45%,4.0,2.47%,4.0,2.44%,5.0,2.47%,5.0,2.46%,5.0,2.46%,5.0,2.43%,5.0,2.39%,5.0,2.41%,5.0,2.44%,5.0
第一商業銀行,2964288.0,3008880.0,3054219.0,3105435.0,3104472.0,3098871.0,3081837.0,3098359.0,3111401.0,3185255.0,3200242.0,3289898.0,3278573.0,2.12%,6.0,2.13%,6.0,2.15%,6.0,2.17%,6.0,2.17%,6.0,2.16%,6.0,2.13%,6.0,2.13%,6.0,2.13%,6.0,2.15%,6.0,2.16%,6.0,2.21%,6.0,2.19%,6.0
華南商業銀行,2828722.0,2844616.0,2859143.0,2890644.0,2942953.0,2900734.0,2927407.0,2879237.0,2852389.0,2844098.0,2901161.0,2952377.0,2917006.0,2.02%,9.0,2.02%,9.0,2.01%,9.0,2.02%,9.0,2.06%,9.0,2.02%,8.0,2.03%,8.0,1.98%,8.0,1.95%,9.0,1.92%,10.0,1.95%,8.0,1.98%,8.0,1.95%,8.0
彰化商業銀行,2187738.0,2210755.0,2184282.0,2209120.0,2215740.0,2241815.0,2215330.0,2244263.0,2292186.0,2340797.0,2329826.0,2335341.0,2306675.0,1.57%,13.0,1.57%,13.0,1.54%,13.0,1.54%,13.0,1.55%,13.0,1.56%,13.0,1.53%,13.0,1.54%,13.0,1.57%,13.0,1.58%,13.0,1.57%,13.0,1.57%,13.0,1.54%,13.0
上海商業儲蓄銀行,1053254.0,1061511.0,1071661.0,1080124.0,1079638.0,1105237.0,1122679.0,1130523.0,1164337.0,1187059.0,1188913.0,1218114.0,1217385.0,0.75%,19.0,0.75%,18.0,0.75%,18.0,0.75%,18.0,0.75%,18.0,0.77%,18.0,0.78%,18.0,0.78%,18.0,0.80%,18.0,0.80%,18.0,0.80%,18.0,0.82%,18.0,0.81%,18.0
台北富邦商業銀行,2590317.0,2571026.0,2582442.0,2588302.0,2576171.0,2630894.0,2651973.0,2678297.0,2692615.0,2748105.0,2738331.0,2709274.0,2718643.0,1.85%,12.0,1.82%,12.0,1.82%,12.0,1.81%,12.0,1.80%,12.0,1.83%,12.0,1.84%,11.0,1.84%,11.0,1.84%,11.0,1.86%,11.0,1.84%,11.0,1.82%,11.0,1.82%,11.0
國泰世華商業銀行,2841037.0,2863065.0,2894865.0,2928998.0,2943072.0,2971297.0,3010898.0,3056484.0,3070222.0,3066266.0,3189822.0,3150737.0,3182650.0,2.03%,8.0,2.03%,8.0,2.04%,8.0,2.05%,8.0,2.06%,8.0,2.07%,7.0,2.08%,7.0,2.10%,7.0,2.10%,7.0,2.07%,7.0,2.15%,7.0,2.11%,7.0,2.13%,7.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
