銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,511.0,868.0,1301.0,1671.0,2238.0,2659.0,2967.0,3381.0,3698.0,4022.0,4373.0,4772.0,301.0,0.68%,18.0,0.68%,19.0,0.70%,18.0,0.70%,18.0,0.76%,17.0,0.77%,17.0,0.75%,18.0,0.74%,18.0,0.72%,18.0,0.72%,18.0,0.71%,18.0,0.71%,18.0,0.45%,23.0
臺灣土地銀行,342.0,572.0,861.0,1107.0,1560.0,1841.0,2078.0,2368.0,2625.0,2900.0,3159.0,3448.0,259.0,0.46%,25.0,0.45%,24.0,0.46%,24.0,0.46%,25.0,0.53%,23.0,0.53%,23.0,0.52%,23.0,0.52%,23.0,0.51%,23.0,0.52%,23.0,0.51%,23.0,0.52%,23.0,0.39%,25.0
合作金庫銀行,816.0,1365.0,2066.0,2701.0,3448.0,4082.0,4746.0,5474.0,6160.0,6785.0,7503.0,8275.0,655.0,1.09%,11.0,1.07%,12.0,1.10%,12.0,1.12%,12.0,1.17%,12.0,1.18%,12.0,1.19%,12.0,1.20%,12.0,1.20%,12.0,1.21%,12.0,1.22%,12.0,1.24%,11.0,0.98%,13.0
第一商業銀行,937.0,1701.0,2693.0,3525.0,4404.0,5363.0,6165.0,7015.0,7823.0,8600.0,9476.0,10456.0,817.0,1.25%,10.0,1.34%,9.0,1.44%,9.0,1.47%,9.0,1.49%,9.0,1.54%,9.0,1.55%,8.0,1.53%,8.0,1.53%,8.0,1.53%,8.0,1.54%,8.0,1.57%,8.0,1.22%,9.0
華南商業銀行,987.0,1669.0,2503.0,3245.0,4021.0,4819.0,5605.0,6374.0,7124.0,7802.0,8548.0,9262.0,928.0,1.31%,9.0,1.31%,10.0,1.34%,10.0,1.35%,10.0,1.36%,10.0,1.39%,10.0,1.41%,10.0,1.39%,10.0,1.39%,10.0,1.39%,9.0,1.39%,9.0,1.39%,9.0,1.39%,8.0
彰化商業銀行,593.0,1006.0,1502.0,1969.0,2484.0,2920.0,3339.0,3777.0,4255.0,4667.0,5101.0,5472.0,485.0,0.79%,16.0,0.79%,16.0,0.80%,16.0,0.82%,16.0,0.84%,15.0,0.84%,15.0,0.84%,15.0,0.83%,15.0,0.83%,15.0,0.83%,15.0,0.83%,15.0,0.82%,15.0,0.73%,18.0
上海商業儲蓄銀行,438.0,757.0,1244.0,1608.0,1912.0,2266.0,2544.0,2858.0,3145.0,3374.0,3619.0,3833.0,356.0,0.58%,22.0,0.60%,22.0,0.66%,20.0,0.67%,21.0,0.65%,21.0,0.65%,21.0,0.64%,22.0,0.63%,22.0,0.61%,22.0,0.60%,22.0,0.59%,22.0,0.57%,22.0,0.53%,20.0
台北富邦商業銀行,1669.0,2632.0,3626.0,4768.0,5805.0,6621.0,7603.0,8837.0,9868.0,10746.0,11757.0,12567.0,1689.0,2.22%,8.0,2.07%,7.0,1.94%,7.0,1.98%,7.0,1.97%,7.0,1.91%,7.0,1.91%,7.0,1.93%,7.0,1.93%,7.0,1.91%,7.0,1.91%,7.0,1.88%,7.0,2.53%,6.0
國泰世華商業銀行,2180.0,4611.0,6810.0,8539.0,10367.0,12024.0,13785.0,16187.0,18528.0,20518.0,22459.0,24369.0,2413.0,2.90%,4.0,3.63%,4.0,3.64%,4.0,3.55%,4.0,3.52%,4.0,3.46%,4.0,3.47%,4.0,3.54%,4.0,3.62%,4.0,3.65%,4.0,3.65%,4.0,3.65%,4.0,3.61%,4.0
中國輸出入銀行,8.0,14.0,22.0,30.0,39.0,47.0,55.0,64.0,71.0,79.0,87.0,92.0,9.0,0.01%,39.0,0.01%,39.0,0.01%,40.0,0.01%,39.0,0.01%,39.0,0.01%,39.0,0.01%,39.0,0.01%,39.0,0.01%,39.0,0.01%,39.0,0.01%,39.0,0.01%,39.0,0.01%,40.0
高雄銀行,60.0,101.0,174.0,249.0,318.0,382.0,434.0,492.0,554.0,608.0,672.0,727.0,64.0,0.08%,34.0,0.08%,34.0,0.09%,34.0,0.10%,34.0,0.11%,34.0,0.11%,34.0,0.11%,34.0,0.11%,34.0,0.11%,34.0,0.11%,34.0,0.11%,34.0,0.11%,34.0,0.10%,34.0
兆豐國際商業銀行,781.0,1366.0,2095.0,2755.0,3515.0,4241.0,4836.0,5537.0,6222.0,6888.0,7535.0,8208.0,625.0,1.04%,12.0,1.07%,11.0,1.12%,11.0,1.15%,11.0,1.19%,11.0,1.22%,11.0,1.22%,11.0,1.21%,11.0,1.22%,11.0,1.23%,11.0,1.22%,11.0,1.23%,12.0,0.94%,14.0
花旗(台灣)商業銀行,675.0,1251.0,2006.0,2586.0,3209.0,3862.0,4493.0,5308.0,5925.0,6577.0,7261.0,7917.0,721.0,0.90%,13.0,0.98%,13.0,1.07%,13.0,1.08%,13.0,1.09%,13.0,1.11%,13.0,1.13%,13.0,1.16%,13.0,1.16%,13.0,1.17%,13.0,1.18%,13.0,1.19%,13.0,1.08%,11.0
王道商業銀行,191.0,259.0,349.0,424.0,503.0,593.0,650.0,708.0,773.0,850.0,884.0,926.0,170.0,0.25%,28.0,0.20%,30.0,0.19%,31.0,0.18%,31.0,0.17%,31.0,0.17%,31.0,0.16%,31.0,0.15%,32.0,0.15%,32.0,0.15%,32.0,0.14%,33.0,0.14%,33.0,0.25%,28.0
臺灣中小企業銀行,489.0,912.0,1243.0,1623.0,2060.0,2293.0,2635.0,3037.0,3332.0,3796.0,4081.0,4315.0,588.0,0.65%,19.0,0.72%,17.0,0.66%,21.0,0.68%,20.0,0.70%,19.0,0.66%,20.0,0.66%,20.0,0.66%,20.0,0.65%,20.0,0.68%,19.0,0.66%,20.0,0.65%,21.0,0.88%,15.0
渣打國際商業銀行,550.0,841.0,1255.0,1624.0,1976.0,2311.0,2663.0,3082.0,3486.0,3794.0,4230.0,4548.0,368.0,0.73%,17.0,0.66%,20.0,0.67%,19.0,0.68%,19.0,0.67%,20.0,0.67%,19.0,0.67%,19.0,0.67%,19.0,0.68%,19.0,0.67%,20.0,0.69%,19.0,0.68%,19.0,0.55%,19.0
台中商業銀行,314.0,468.0,691.0,930.0,1151.0,1377.0,1600.0,1812.0,2008.0,2198.0,2385.0,2668.0,212.0,0.42%,26.0,0.37%,26.0,0.37%,26.0,0.39%,26.0,0.39%,26.0,0.40%,26.0,0.40%,26.0,0.40%,26.0,0.39%,26.0,0.39%,26.0,0.39%,26.0,0.40%,26.0,0.32%,26.0
京城商業銀行,164.0,294.0,534.0,725.0,908.0,1131.0,1226.0,1394.0,1607.0,1799.0,1976.0,2211.0,166.0,0.22%,30.0,0.23%,28.0,0.29%,28.0,0.30%,28.0,0.31%,28.0,0.33%,28.0,0.31%,28.0,0.30%,28.0,0.31%,28.0,0.32%,28.0,0.32%,28.0,0.33%,27.0,0.25%,29.0
匯豐(台灣)商業銀行,614.0,1234.0,1809.0,2267.0,2731.0,3433.0,3920.0,4479.0,5058.0,5563.0,6065.0,6591.0,692.0,0.82%,15.0,0.97%,14.0,0.97%,14.0,0.94%,14.0,0.93%,14.0,0.99%,14.0,0.99%,14.0,0.98%,14.0,0.99%,14.0,0.99%,14.0,0.99%,14.0,0.99%,14.0,1.04%,12.0
瑞興商業銀行,14.0,22.0,31.0,42.0,49.0,57.0,65.0,74.0,84.0,95.0,104.0,112.0,11.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.5
華泰商業銀行,33.0,58.0,87.0,121.0,154.0,188.0,225.0,257.0,286.0,311.0,339.0,371.0,33.0,0.04%,36.5,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.05%,36.0
臺灣新光商業銀行,443.0,758.0,1142.0,1503.0,1867.0,2207.0,2566.0,2924.0,3262.0,3594.0,3948.0,4329.0,342.0,0.59%,21.0,0.60%,21.0,0.61%,22.0,0.63%,22.0,0.63%,22.0,0.64%,22.0,0.65%,21.0,0.64%,21.0,0.64%,21.0,0.64%,21.0,0.64%,21.0,0.65%,20.0,0.51%,22.0
陽信商業銀行,165.0,279.0,426.0,532.0,634.0,740.0,857.0,968.0,1070.0,1163.0,1263.0,1370.0,137.0,0.22%,29.0,0.22%,29.0,0.23%,29.0,0.22%,29.0,0.22%,30.0,0.21%,30.0,0.22%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0
板信商業銀行,118.0,178.0,276.0,349.0,448.0,547.0,640.0,735.0,825.0,907.0,981.0,1048.0,70.0,0.16%,32.0,0.14%,33.0,0.15%,32.0,0.15%,32.0,0.15%,32.0,0.16%,32.0,0.16%,32.0,0.16%,31.0,0.16%,31.0,0.16%,31.0,0.16%,32.0,0.16%,32.0,0.10%,33.0
三信商業銀行,33.0,63.0,110.0,139.0,165.0,194.0,218.0,243.0,267.0,287.0,305.0,319.0,29.0,0.04%,36.5,0.05%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.04%,37.0
聯邦商業銀行,483.0,869.0,1327.0,1743.0,2149.0,2569.0,2998.0,3439.0,3940.0,4396.0,4871.0,5418.0,509.0,0.64%,20.0,0.68%,18.0,0.71%,17.0,0.73%,17.0,0.73%,18.0,0.74%,18.0,0.75%,17.0,0.75%,17.0,0.77%,17.0,0.78%,17.0,0.79%,17.0,0.81%,16.0,0.76%,16.0
遠東國際商業銀行,362.0,561.0,835.0,1261.0,1494.0,1801.0,2039.0,2323.0,2550.0,2768.0,3009.0,3216.0,263.0,0.48%,24.0,0.44%,25.0,0.45%,25.0,0.52%,23.0,0.51%,24.0,0.52%,24.0,0.51%,24.0,0.51%,24.0,0.50%,24.0,0.49%,24.0,0.49%,24.0,0.48%,24.0,0.39%,24.0
元大商業銀行,651.0,1034.0,1556.0,2013.0,2428.0,2863.0,3309.0,3764.0,4205.0,4618.0,5025.0,5415.0,507.0,0.87%,14.0,0.81%,15.0,0.83%,15.0,0.84%,15.0,0.82%,16.0,0.82%,16.0,0.83%,16.0,0.82%,16.0,0.82%,16.0,0.82%,16.0,0.82%,16.0,0.81%,17.0,0.76%,17.0
永豐商業銀行,1776.0,2526.0,3328.0,4094.0,4775.0,5483.0,6124.0,6805.0,7339.0,7751.0,8127.0,8464.0,784.0,2.37%,7.0,1.99%,8.0,1.78%,8.0,1.70%,8.0,1.62%,8.0,1.58%,8.0,1.54%,9.0,1.49%,9.0,1.43%,9.0,1.38%,10.0,1.32%,10.0,1.27%,10.0,1.17%,10.0
玉山商業銀行,2110.0,3688.0,5484.0,7173.0,8867.0,10401.0,12055.0,13937.0,15596.0,17356.0,19053.0,20781.0,1866.0,2.81%,5.0,2.90%,5.0,2.93%,5.0,2.99%,5.0,3.01%,5.0,3.00%,5.0,3.03%,5.0,3.05%,5.0,3.05%,5.0,3.09%,5.0,3.10%,5.0,3.11%,5.0,2.79%,5.0
凱基商業銀行,251.0,409.0,621.0,795.0,958.0,1210.0,1401.0,1578.0,1753.0,1900.0,2048.0,2193.0,185.0,0.33%,27.0,0.32%,27.0,0.33%,27.0,0.33%,27.0,0.32%,27.0,0.35%,27.0,0.35%,27.0,0.35%,27.0,0.34%,27.0,0.34%,27.0,0.33%,27.0,0.33%,28.0,0.28%,27.0
星展(台灣)商業銀行,412.0,622.0,919.0,1179.0,1395.0,1646.0,1872.0,2151.0,2428.0,2660.0,2922.0,3168.0,343.0,0.55%,23.0,0.49%,23.0,0.49%,23.0,0.49%,24.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.47%,25.0,0.51%,21.0
台新國際商業銀行,1840.0,2954.0,4300.0,5428.0,6503.0,7668.0,8843.0,10115.0,11280.0,12415.0,13531.0,14641.0,1427.0,2.45%,6.0,2.32%,6.0,2.30%,6.0,2.26%,6.0,2.21%,6.0,2.21%,6.0,2.22%,6.0,2.21%,6.0,2.21%,6.0,2.21%,6.0,2.20%,6.0,2.19%,6.0,2.14%,7.0
日盛國際商業銀行,105.0,180.0,255.0,330.0,405.0,474.0,550.0,637.0,705.0,779.0,1012.0,1082.0,103.0,0.14%,33.0,0.14%,32.0,0.14%,33.0,0.14%,33.0,0.14%,33.0,0.14%,33.0,0.14%,33.0,0.14%,33.0,0.14%,33.0,0.14%,33.0,0.16%,31.0,0.16%,31.0,0.15%,32.0
安泰商業銀行,129.0,223.0,366.0,467.0,635.0,802.0,895.0,997.0,1106.0,1223.0,1352.0,1466.0,111.0,0.17%,31.0,0.18%,31.0,0.20%,30.0,0.19%,30.0,0.22%,29.0,0.23%,29.0,0.23%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.17%,31.0
中國信託商業銀行,4662.0,7428.0,10611.0,13307.0,16119.0,18756.0,21263.0,24575.0,27425.0,30074.0,33166.0,36311.0,4691.0,6.21%,3.0,5.84%,3.0,5.67%,3.0,5.54%,3.0,5.47%,3.0,5.40%,3.0,5.35%,3.0,5.37%,3.0,5.36%,3.0,5.35%,3.0,5.39%,3.0,5.44%,3.0,7.02%,3.0
