銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,31536.0,55615.0,75971.0,114168.0,134219.0,189896.0,212504.0,246089.0,292413.0,322877.0,333339.0,374224.0,55220.0,6.03%,3.0,5.95%,3.0,4.31%,3.0,3.92%,3.0,4.26%,3.0,4.79%,3.0,4.74%,3.0,4.51%,3.0,4.20%,3.0,4.12%,3.0,4.30%,3.0,4.55%,3.0,5.46%,3.0
臺灣土地銀行,5018.0,8735.0,13533.0,19934.0,25254.0,30913.0,37435.0,44379.0,52895.0,59740.0,65034.0,71691.0,9096.0,0.96%,16.0,0.93%,16.0,0.77%,16.0,0.68%,17.0,0.80%,16.0,0.78%,16.0,0.84%,16.0,0.81%,16.0,0.76%,18.0,0.76%,18.0,0.84%,17.0,0.87%,17.0,0.90%,16.0
合作金庫銀行,6432.0,11941.0,20220.0,33001.0,35934.0,46482.0,56057.0,67582.0,85319.0,94819.0,96667.0,104107.0,14160.0,1.23%,12.0,1.28%,11.0,1.15%,14.0,1.13%,14.0,1.14%,14.0,1.17%,14.0,1.25%,13.0,1.24%,14.0,1.23%,13.0,1.21%,13.0,1.25%,14.0,1.27%,14.0,1.40%,13.0
第一商業銀行,12473.0,16379.0,46950.0,89901.0,91786.0,114275.0,128875.0,155435.0,203364.0,226476.0,224044.0,237048.0,20837.0,2.38%,5.0,1.75%,8.0,2.67%,6.0,3.09%,6.0,2.92%,5.0,2.88%,5.0,2.88%,5.0,2.85%,5.0,2.92%,6.0,2.89%,5.0,2.89%,5.0,2.88%,4.0,2.06%,7.0
華南商業銀行,6503.0,11930.0,23079.0,38399.0,39341.0,50888.0,60027.0,72806.0,91749.0,102217.0,101018.0,108432.0,19523.0,1.24%,11.0,1.28%,12.0,1.31%,12.0,1.32%,12.0,1.25%,13.0,1.28%,13.0,1.34%,11.0,1.34%,11.0,1.32%,11.0,1.31%,12.0,1.30%,12.0,1.32%,12.0,1.93%,8.0
彰化商業銀行,6103.0,11265.0,22003.0,38323.0,41467.0,51678.0,58073.0,68010.0,87814.0,92924.0,98552.0,104228.0,14041.0,1.17%,14.0,1.20%,14.0,1.25%,13.0,1.32%,13.0,1.32%,12.0,1.30%,12.0,1.30%,12.0,1.25%,13.0,1.26%,12.0,1.19%,14.0,1.27%,13.0,1.27%,13.0,1.39%,14.0
上海商業儲蓄銀行,3490.0,6365.0,10990.0,16051.0,18349.0,22565.0,27426.0,32946.0,39818.0,44401.0,46937.0,50997.0,5318.0,0.67%,18.0,0.68%,18.0,0.62%,19.0,0.55%,19.0,0.58%,20.0,0.57%,20.0,0.61%,19.0,0.60%,19.0,0.57%,20.0,0.57%,20.0,0.61%,20.0,0.62%,20.0,0.53%,19.0
台北富邦商業銀行,9323.0,19706.0,28432.0,40032.0,46531.0,54795.0,63676.0,76460.0,92229.0,109002.0,117138.0,128245.0,14524.0,1.78%,8.0,2.11%,6.0,1.61%,11.0,1.37%,11.0,1.48%,11.0,1.38%,11.0,1.42%,10.0,1.40%,10.0,1.32%,10.0,1.39%,10.0,1.51%,10.0,1.56%,9.0,1.44%,12.0
國泰世華商業銀行,12074.0,21275.0,51064.0,105026.0,100194.0,122570.0,130340.0,180621.0,273062.0,306863.0,244164.0,231446.0,28301.0,2.31%,6.0,2.28%,5.0,2.90%,4.0,3.61%,4.0,3.18%,4.0,3.09%,4.0,2.91%,4.0,3.31%,4.0,3.92%,4.0,3.92%,4.0,3.15%,4.0,2.81%,5.0,2.80%,4.0
中國輸出入銀行,298.0,495.0,737.0,957.0,1207.0,1462.0,1766.0,2071.0,2409.0,2777.0,3163.0,3595.0,653.0,0.06%,36.0,0.05%,37.0,0.04%,37.0,0.03%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.03%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.06%,35.0
高雄銀行,762.0,1023.0,1922.0,2484.0,2937.0,3504.0,4044.0,4574.0,5200.0,5837.0,6388.0,7003.0,669.0,0.15%,31.0,0.11%,32.0,0.11%,32.0,0.09%,32.0,0.09%,32.0,0.09%,32.0,0.09%,32.0,0.08%,32.0,0.07%,32.0,0.07%,32.0,0.08%,34.0,0.09%,34.0,0.07%,33.0
兆豐國際商業銀行,4920.0,9670.0,15953.0,21960.0,27402.0,34858.0,42649.0,51382.0,61086.0,70956.0,79126.0,89714.0,12701.0,0.94%,17.0,1.03%,15.0,0.91%,15.0,0.75%,15.0,0.87%,15.0,0.88%,15.0,0.95%,15.0,0.94%,15.0,0.88%,15.0,0.91%,15.0,1.02%,15.0,1.09%,15.0,1.26%,15.0
花旗(台灣)商業銀行,1979.0,4241.0,6894.0,9567.0,10598.0,12864.0,15090.0,17914.0,20627.0,23456.0,26398.0,29419.0,3779.0,0.38%,24.0,0.45%,22.0,0.39%,23.0,0.33%,22.0,0.34%,22.0,0.32%,22.0,0.34%,22.0,0.33%,22.0,0.30%,22.0,0.30%,22.0,0.34%,22.0,0.36%,22.0,0.37%,23.0
王道商業銀行,1522.0,2781.0,4711.0,7218.0,8247.0,10574.0,12395.0,14488.0,17743.0,19790.0,20476.0,25663.0,3207.0,0.29%,27.0,0.30%,27.0,0.27%,26.0,0.25%,25.0,0.26%,26.0,0.27%,26.0,0.28%,25.0,0.27%,25.0,0.25%,25.0,0.25%,25.0,0.26%,26.0,0.31%,24.0,0.32%,25.0
臺灣中小企業銀行,2982.0,5823.0,8829.0,11801.0,14793.0,18259.0,22356.0,26236.0,30514.0,35389.0,39132.0,43724.0,5279.0,0.57%,20.0,0.62%,19.0,0.50%,21.0,0.41%,21.0,0.47%,21.0,0.46%,21.0,0.50%,21.0,0.48%,21.0,0.44%,21.0,0.45%,21.0,0.50%,21.0,0.53%,21.0,0.52%,21.0
渣打國際商業銀行,2759.0,3133.0,5466.0,7695.0,8519.0,11215.0,11400.0,13953.0,15244.0,18034.0,18987.0,22078.0,3588.0,0.53%,21.0,0.34%,25.0,0.31%,24.0,0.26%,24.0,0.27%,25.0,0.28%,25.0,0.25%,27.0,0.26%,26.0,0.22%,27.0,0.23%,27.0,0.24%,27.0,0.27%,27.0,0.35%,24.0
台中商業銀行,1567.0,2895.0,4520.0,6198.0,7786.0,9576.0,11561.0,13780.0,16648.0,18661.0,20783.0,22978.0,2900.0,0.30%,26.0,0.31%,26.0,0.26%,27.0,0.21%,27.0,0.25%,27.0,0.24%,27.0,0.26%,26.0,0.25%,27.0,0.24%,26.0,0.24%,26.0,0.27%,25.0,0.28%,26.0,0.29%,26.0
京城商業銀行,744.0,1508.0,2497.0,3517.0,4450.0,5742.0,6860.0,7998.0,9161.0,10239.0,11355.0,12568.0,1312.0,0.14%,32.0,0.16%,31.0,0.14%,31.0,0.12%,31.0,0.14%,30.0,0.14%,29.0,0.15%,29.0,0.15%,29.0,0.13%,29.0,0.13%,30.0,0.15%,30.0,0.15%,30.0,0.13%,30.0
匯豐(台灣)商業銀行,6301.0,14561.0,40738.0,71760.0,74277.0,100915.0,118767.0,138273.0,195697.0,216773.0,214551.0,204525.0,18500.0,1.20%,13.0,1.56%,10.0,2.31%,8.0,2.46%,7.0,2.36%,8.0,2.54%,7.0,2.65%,6.0,2.54%,7.0,2.81%,7.0,2.77%,7.0,2.77%,6.0,2.49%,7.0,1.83%,9.0
瑞興商業銀行,137.0,259.0,405.0,551.0,688.0,827.0,998.0,1170.0,1340.0,1520.0,1655.0,1870.0,170.0,0.03%,38.0,0.03%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0,0.02%,38.0
華泰商業銀行,267.0,514.0,818.0,1149.0,1495.0,1823.0,2168.0,2533.0,2918.0,3321.0,3734.0,4135.0,400.0,0.05%,37.0,0.05%,36.0,0.05%,36.0,0.04%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.04%,36.0,0.04%,36.0,0.05%,36.0,0.05%,36.0,0.04%,37.0
臺灣新光商業銀行,2527.0,5381.0,11684.0,20841.0,23073.0,29298.0,34292.0,41038.0,53148.0,59899.0,60908.0,64949.0,5286.0,0.48%,22.0,0.58%,21.0,0.66%,18.0,0.72%,16.0,0.73%,18.0,0.74%,17.0,0.77%,17.0,0.75%,17.0,0.76%,16.0,0.76%,17.0,0.79%,18.0,0.79%,18.0,0.52%,20.0
陽信商業銀行,1076.0,2050.0,3182.0,4369.0,5578.0,6881.0,8185.0,9526.0,10880.0,12238.0,13592.0,15029.0,1563.0,0.21%,29.0,0.22%,28.0,0.18%,28.0,0.15%,28.0,0.18%,28.0,0.17%,28.0,0.18%,28.0,0.17%,28.0,0.16%,28.0,0.16%,28.0,0.18%,28.0,0.18%,28.0,0.15%,29.0
板信商業銀行,535.0,957.0,1489.0,2051.0,2548.0,3174.0,3777.0,4457.0,5148.0,5805.0,6439.0,7108.0,701.0,0.10%,33.0,0.10%,33.0,0.08%,33.0,0.07%,34.0,0.08%,34.0,0.08%,34.0,0.08%,33.0,0.08%,33.0,0.07%,33.0,0.07%,33.0,0.08%,32.0,0.09%,33.0,0.07%,32.0
三信商業銀行,328.0,642.0,998.0,1358.0,1684.0,2059.0,2434.0,2815.0,3220.0,3608.0,3948.0,4319.0,415.0,0.06%,35.0,0.07%,35.0,0.06%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.05%,35.0,0.04%,36.0
聯邦商業銀行,2241.0,4146.0,7238.0,9210.0,9507.0,11581.0,13984.0,16597.0,20025.0,21960.0,22798.0,24898.0,4024.0,0.43%,23.0,0.44%,23.0,0.41%,22.0,0.32%,23.0,0.30%,23.0,0.29%,23.0,0.31%,23.0,0.30%,23.0,0.29%,23.0,0.28%,23.0,0.29%,24.0,0.30%,25.0,0.40%,22.0
遠東國際商業銀行,1925.0,3253.0,4955.0,7011.0,9122.0,11245.0,13295.0,15400.0,18300.0,21369.0,23773.0,26800.0,2655.0,0.37%,25.0,0.35%,24.0,0.28%,25.0,0.24%,26.0,0.29%,24.0,0.28%,24.0,0.30%,24.0,0.28%,24.0,0.26%,24.0,0.27%,24.0,0.31%,23.0,0.33%,23.0,0.26%,27.0
元大商業銀行,3046.0,5435.0,10866.0,15411.0,18985.0,22684.0,27407.0,32802.0,41221.0,45754.0,47739.0,51666.0,5387.0,0.58%,19.0,0.58%,20.0,0.62%,20.0,0.53%,20.0,0.60%,19.0,0.57%,19.0,0.61%,20.0,0.60%,20.0,0.59%,19.0,0.58%,19.0,0.62%,19.0,0.63%,19.0,0.53%,18.0
永豐商業銀行,7220.0,11580.0,29903.0,51022.0,52375.0,62612.0,69516.0,85908.0,113085.0,123055.0,118494.0,119761.0,15378.0,1.38%,10.0,1.24%,13.0,1.70%,10.0,1.75%,10.0,1.66%,10.0,1.58%,9.0,1.55%,9.0,1.58%,9.0,1.62%,9.0,1.57%,9.0,1.53%,9.0,1.46%,11.0,1.52%,10.0
玉山商業銀行,7984.0,14925.0,46143.0,93985.0,84983.0,108727.0,109282.0,144512.0,206682.0,221869.0,175721.0,163223.0,25612.0,1.53%,9.0,1.60%,9.0,2.62%,7.0,3.23%,5.0,2.70%,6.0,2.74%,6.0,2.44%,8.0,2.65%,6.0,2.97%,5.0,2.83%,6.0,2.27%,8.0,1.98%,8.0,2.53%,5.0
凱基商業銀行,5344.0,7913.0,13206.0,19332.0,23252.0,29045.0,33174.0,40639.0,53014.0,64344.0,71937.0,79157.0,6885.0,1.02%,15.0,0.85%,17.0,0.75%,17.0,0.66%,18.0,0.74%,17.0,0.73%,18.0,0.74%,18.0,0.75%,18.0,0.76%,17.0,0.82%,16.0,0.93%,16.0,0.96%,16.0,0.68%,17.0
