銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,2779755.0,1827501.0,1525296.0,1311449.0,1369140.0,1323413.0,1347541.0,1486269.0,1385341.0,1404529.0,1417504.0,1524687.0,3437377.0,1.40%,12.0,1.33%,10.0,0.88%,16.0,0.81%,16.0,0.84%,16.0,0.83%,16.0,0.80%,16.0,0.85%,16.0,0.82%,16.0,0.82%,16.0,0.83%,16.0,0.86%,16.0,1.74%,8.0
臺灣土地銀行,2185165.0,1629584.0,2048169.0,1741691.0,1838284.0,1744604.0,1767367.0,1969936.0,1804606.0,1832148.0,1799801.0,1840472.0,2281050.0,1.10%,15.0,1.18%,13.0,1.19%,12.0,1.07%,13.0,1.13%,12.0,1.09%,13.0,1.04%,14.0,1.13%,12.0,1.07%,13.0,1.07%,12.0,1.05%,13.0,1.04%,13.0,1.16%,13.0
合作金庫銀行,3839627.0,3250749.0,3850491.0,3188938.0,3594081.0,3138531.0,3183499.0,3302702.0,3222002.0,3256002.0,3240587.0,3282477.0,3681965.0,1.93%,7.0,2.36%,6.0,2.23%,6.0,1.97%,7.0,2.22%,6.0,1.96%,7.0,1.88%,7.0,1.90%,7.0,1.91%,7.0,1.90%,7.0,1.89%,7.0,1.85%,7.0,1.87%,7.0
第一商業銀行,3630147.0,2295204.0,2909853.0,2842006.0,2790904.0,2775002.0,2988978.0,2955848.0,2884705.0,2917477.0,2923598.0,3061474.0,3400648.0,1.83%,8.0,1.67%,9.0,1.69%,8.0,1.75%,8.0,1.72%,8.0,1.73%,8.0,1.76%,8.0,1.70%,8.0,1.71%,8.0,1.71%,8.0,1.71%,8.0,1.72%,8.0,1.73%,9.0
華南商業銀行,2967198.0,1826369.0,2344822.0,2279616.0,2224775.0,2217705.0,2389388.0,2372602.0,2315678.0,2323937.0,2308400.0,2415917.0,2641782.0,1.49%,10.0,1.33%,11.0,1.36%,10.0,1.41%,10.0,1.37%,10.0,1.38%,10.0,1.41%,10.0,1.36%,10.0,1.37%,10.0,1.36%,10.0,1.35%,11.0,1.36%,11.0,1.34%,12.0
彰化商業銀行,2805733.0,2419495.0,2822141.0,2611192.0,2585261.0,2638688.0,2488109.0,2903134.0,2545408.0,2822198.0,2562285.0,2851829.0,2962172.0,1.41%,11.0,1.76%,8.0,1.64%,9.0,1.61%,9.0,1.60%,9.0,1.65%,9.0,1.47%,9.0,1.67%,9.0,1.51%,9.0,1.65%,9.0,1.50%,9.0,1.60%,9.0,1.50%,10.0
上海商業儲蓄銀行,626628.0,489789.0,613841.0,530769.0,560294.0,541272.0,551154.0,604772.0,564494.0,570455.0,570794.0,581411.0,664724.0,0.32%,22.0,0.36%,21.0,0.36%,21.0,0.33%,22.0,0.35%,21.0,0.34%,22.0,0.33%,22.0,0.35%,21.0,0.34%,22.0,0.33%,22.0,0.33%,21.0,0.33%,21.0,0.34%,21.0
台北富邦商業銀行,3008560.0,1796036.0,2314739.0,2221536.0,2140212.0,2180269.0,2361874.0,2363293.0,2300344.0,2317768.0,2336272.0,2447979.0,2808684.0,1.51%,9.0,1.30%,12.0,1.34%,11.0,1.37%,11.0,1.32%,11.0,1.36%,11.0,1.39%,11.0,1.36%,11.0,1.37%,11.0,1.35%,11.0,1.37%,10.0,1.38%,10.0,1.43%,11.0
國泰世華商業銀行,7289309.0,5170314.0,6515613.0,6236394.0,6107682.0,6131955.0,6588550.0,6658030.0,6520565.0,6622347.0,6725415.0,7047399.0,7210648.0,3.67%,4.0,3.75%,4.0,3.78%,4.0,3.85%,4.0,3.77%,4.0,3.83%,4.0,3.89%,4.0,3.83%,4.0,3.87%,4.0,3.87%,4.0,3.93%,4.0,3.96%,4.0,3.66%,4.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄銀行,356185.0,263931.0,328413.0,283509.0,304445.0,284186.0,288975.0,317156.0,298940.0,302671.0,299472.0,308276.0,368268.0,0.18%,25.0,0.19%,24.0,0.19%,25.0,0.17%,25.0,0.19%,25.0,0.18%,25.0,0.17%,25.0,0.18%,25.0,0.18%,25.0,0.18%,25.0,0.18%,26.0,0.17%,26.0,0.19%,24.0
兆豐國際商業銀行,2337675.0,1382222.0,1745362.0,1692465.0,1652551.0,1649310.0,1793352.0,1783582.0,1754528.0,1746938.0,1726389.0,1815524.0,2134739.0,1.18%,14.0,1.00%,14.0,1.01%,14.0,1.04%,14.0,1.02%,14.0,1.03%,14.0,1.06%,13.0,1.03%,14.0,1.04%,14.0,1.02%,14.0,1.01%,14.0,1.02%,14.0,1.08%,14.0
花旗(台灣)商業銀行,236935.0,185037.0,232872.0,196735.0,202050.0,192647.0,193654.0,80472.0,195119.0,199840.0,197203.0,200650.0,231218.0,0.12%,28.0,0.13%,27.0,0.14%,27.0,0.12%,28.0,0.12%,28.0,0.12%,28.0,0.11%,30.0,0.05%,37.0,0.12%,30.0,0.12%,30.0,0.12%,30.0,0.11%,30.0,0.12%,27.0
王道商業銀行,99632.0,83695.0,101413.0,89788.0,93830.0,89422.0,90386.0,99349.0,93972.0,97208.0,96121.0,95676.0,116154.0,0.05%,35.0,0.06%,34.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.05%,35.0,0.06%,34.0,0.06%,36.0,0.06%,35.0,0.06%,36.0,0.05%,36.0,0.06%,33.0
臺灣中小企業銀行,2371384.0,1263907.0,1852159.0,1895268.0,1740711.0,1814558.0,1945059.0,1900246.0,2008972.0,1784898.0,1888917.0,2086434.0,2059087.0,1.19%,13.0,0.92%,15.0,1.07%,13.0,1.17%,12.0,1.07%,13.0,1.13%,12.0,1.15%,12.0,1.09%,13.0,1.19%,12.0,1.04%,13.0,1.10%,12.0,1.17%,12.0,1.05%,15.0
渣打國際商業銀行,709481.0,447588.0,571197.0,561312.0,543927.0,542653.0,591514.0,581962.0,565188.0,571082.0,556663.0,576769.0,625715.0,0.36%,21.0,0.32%,22.0,0.33%,22.0,0.35%,21.0,0.34%,22.0,0.34%,21.0,0.35%,21.0,0.33%,22.0,0.34%,21.0,0.33%,21.0,0.33%,22.0,0.32%,22.0,0.32%,22.0
台中商業銀行,884635.0,687313.0,923548.0,790639.0,851944.0,800800.0,806017.0,878679.0,814359.0,819200.0,821701.0,838340.0,882697.0,0.45%,19.0,0.50%,18.0,0.54%,19.0,0.49%,19.0,0.53%,19.0,0.50%,19.0,0.48%,19.0,0.51%,19.0,0.48%,19.0,0.48%,19.0,0.48%,19.0,0.47%,19.0,0.45%,19.0
京城商業銀行,179855.0,135994.0,199802.0,187218.0,196426.0,188805.0,203461.0,200933.0,197944.0,201744.0,200339.0,206344.0,203777.0,0.09%,29.0,0.10%,29.0,0.12%,29.0,0.12%,29.0,0.12%,29.0,0.12%,29.0,0.12%,28.0,0.12%,29.0,0.12%,29.0,0.12%,29.0,0.12%,29.0,0.12%,29.0,0.10%,30.0
匯豐(台灣)商業銀行,290974.0,230230.0,312360.0,266294.0,287355.0,278462.0,277247.0,308955.0,287364.0,294437.0,302894.0,314322.0,342376.0,0.15%,26.0,0.17%,25.0,0.18%,26.0,0.16%,26.0,0.18%,26.0,0.17%,26.0,0.16%,26.0,0.18%,26.0,0.17%,26.0,0.17%,26.0,0.18%,25.0,0.18%,25.0,0.17%,26.0
瑞興商業銀行,59713.0,46638.0,58781.0,52015.0,53242.0,52251.0,52376.0,57841.0,52949.0,53163.0,52900.0,53246.0,58459.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,39.0,0.03%,39.0,0.03%,39.0,0.03%,39.0,0.03%,39.0,0.03%,39.0,0.03%,40.0,0.03%,39.0
華泰商業銀行,123338.0,80770.0,102892.0,96248.0,96998.0,96165.0,99580.0,100347.0,95799.0,95488.0,97273.0,98935.0,106518.0,0.06%,34.0,0.06%,35.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,34.0,0.06%,33.0,0.06%,35.0,0.06%,36.0,0.06%,35.0,0.06%,35.0,0.05%,35.0
臺灣新光商業銀行,993886.0,644528.0,947294.0,878293.0,882234.0,875659.0,874643.0,930751.0,904413.0,903537.0,909603.0,923201.0,951558.0,0.50%,18.0,0.47%,19.0,0.55%,18.0,0.54%,18.0,0.54%,18.0,0.55%,18.0,0.52%,18.0,0.54%,18.0,0.54%,18.0,0.53%,18.0,0.53%,18.0,0.52%,18.0,0.48%,18.0
陽信商業銀行,246271.0,156781.0,215373.0,206643.0,206126.0,202982.0,216774.0,218047.0,211108.0,215200.0,216161.0,223807.0,218245.0,0.12%,27.0,0.11%,28.0,0.12%,28.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.13%,27.0,0.11%,29.0
板信商業銀行,162134.0,100898.0,136679.0,133164.0,129797.0,129425.0,131004.0,136716.0,133373.0,135249.0,135002.0,136078.0,140033.0,0.08%,30.0,0.07%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,32.0,0.08%,31.0,0.08%,31.0,0.08%,31.0,0.08%,32.0,0.08%,32.0,0.07%,31.0
三信商業銀行,129541.0,87128.0,112124.0,108896.0,108460.0,104905.0,113082.0,112338.0,110111.0,113013.0,110747.0,116311.0,114497.0,0.07%,33.0,0.06%,33.0,0.07%,33.0,0.07%,33.0,0.07%,33.0,0.07%,33.0,0.07%,33.0,0.06%,32.0,0.07%,34.0,0.07%,34.0,0.06%,34.0,0.07%,34.0,0.06%,34.0
聯邦商業銀行,774808.0,509065.0,778492.0,665172.0,694489.0,666210.0,673647.0,742285.0,690043.0,700920.0,697427.0,699460.0,755592.0,0.39%,20.0,0.37%,20.0,0.45%,20.0,0.41%,20.0,0.43%,20.0,0.42%,20.0,0.40%,20.0,0.43%,20.0,0.41%,20.0,0.41%,20.0,0.41%,20.0,0.39%,20.0,0.38%,20.0
遠東國際商業銀行,397522.0,205924.0,397874.0,336978.0,353683.0,337923.0,338441.0,377605.0,343064.0,350909.0,345366.0,349808.0,400656.0,0.20%,24.0,0.15%,26.0,0.23%,23.0,0.21%,23.0,0.22%,23.0,0.21%,23.0,0.20%,24.0,0.22%,23.0,0.20%,23.0,0.21%,23.0,0.20%,23.0,0.20%,24.0,0.20%,23.0
元大商業銀行,1420919.0,877896.0,1167965.0,1118028.0,1081822.0,1065442.0,1163280.0,1181517.0,1140735.0,1132850.0,1139020.0,1207165.0,1233781.0,0.71%,17.0,0.64%,17.0,0.68%,17.0,0.69%,17.0,0.67%,17.0,0.66%,17.0,0.69%,17.0,0.68%,17.0,0.68%,17.0,0.66%,17.0,0.67%,17.0,0.68%,17.0,0.63%,17.0
永豐商業銀行,1640189.0,1260131.0,1638495.0,1410071.0,1513053.0,1481989.0,1497943.0,1697353.0,1547942.0,1579869.0,1580626.0,1597045.0,1857912.0,0.83%,16.0,0.91%,16.0,0.95%,15.0,0.87%,15.0,0.93%,15.0,0.92%,15.0,0.88%,15.0,0.98%,15.0,0.92%,15.0,0.92%,15.0,0.92%,15.0,0.90%,15.0,0.94%,16.0
玉山商業銀行,3877729.0,2541898.0,3265045.0,3260007.0,3213677.0,3208810.0,3445529.0,3441972.0,3360335.0,3408679.0,3411289.0,3548097.0,3745595.0,1.95%,6.0,1.84%,7.0,1.89%,7.0,2.01%,6.0,1.98%,7.0,2.00%,6.0,2.03%,6.0,1.98%,6.0,1.99%,6.0,1.99%,6.0,1.99%,6.0,2.00%,6.0,1.90%,6.0
凱基商業銀行,407715.0,271063.0,341621.0,332427.0,322561.0,324949.0,347297.0,345499.0,336750.0,341745.0,342766.0,355958.0,366756.0,0.21%,23.0,0.20%,23.0,0.20%,24.0,0.21%,24.0,0.20%,24.0,0.20%,24.0,0.21%,23.0,0.20%,24.0,0.20%,24.0,0.20%,24.0,0.20%,24.0,0.20%,23.0,0.19%,25.0
星展(台灣)商業銀行,156162.0,135587.0,172925.0,147693.0,156234.0,149425.0,147353.0,164826.0,117697.0,121279.0,120504.0,120701.0,127893.0,0.08%,31.0,0.10%,30.0,0.10%,30.0,0.09%,31.0,0.10%,31.0,0.09%,31.0,0.09%,31.0,0.09%,30.0,0.07%,32.0,0.07%,33.0,0.07%,33.0,0.07%,33.0,0.06%,32.0
台新國際商業銀行,5378142.0,3697300.0,4578840.0,4411761.0,4292051.0,4284595.0,4617911.0,4618949.0,4510122.0,4622140.0,4629886.0,4821613.0,5172180.0,2.71%,5.0,2.68%,5.0,2.66%,5.0,2.72%,5.0,2.65%,5.0,2.67%,5.0,2.73%,5.0,2.66%,5.0,2.68%,5.0,2.70%,5.0,2.71%,5.0,2.71%,5.0,2.63%,5.0
日盛國際商業銀行,82526.0,53337.0,80569.0,66854.0,64422.0,63387.0,63235.0,72352.0,64786.0,61830.0,62616.0,62859.0,61462.0,0.04%,37.0,0.04%,37.0,0.05%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,38.0,0.04%,38.0,0.04%,38.0,0.04%,38.0,0.04%,38.0,0.04%,38.0,0.03%,38.0
安泰商業銀行,85045.0,71004.0,97174.0,81392.0,87068.0,84277.0,84737.0,93302.0,81646.0,86009.0,85882.0,83390.0,93828.0,0.04%,36.0,0.05%,36.0,0.06%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,35.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.05%,37.0,0.05%,37.0
中國信託商業銀行,14624701.0,10410296.0,13003698.0,12512937.0,12407524.0,12444317.0,13420089.0,13572042.0,13325360.0,13648650.0,13731159.0,13979419.0,14946594.0,7.36%,3.0,7.56%,3.0,7.54%,3.0,7.72%,3.0,7.65%,3.0,7.76%,3.0,7.92%,3.0,7.81%,3.0,7.91%,3.0,7.98%,3.0,8.03%,3.0,7.86%,3.0,7.59%,3.0
將來商業銀行,48.0,237.0,531.0,26588.0,39455.0,56448.0,75092.0,89188.0,113240.0,134777.0,151776.0,163922.0,97789.0,0.00%,40.0,0.00%,40.0,0.00%,40.0,0.02%,40.0,0.02%,39.0,0.04%,38.0,0.04%,37.0,0.05%,36.0,0.07%,33.0,0.08%,32.0,0.09%,31.0,0.09%,31.0,0.05%,36.0
連線商業銀行,135943.0,115139.0,168271.0,177359.0,178924.0,184804.0,201679.0,204889.0,205442.0,214100.0,212901.0,222470.0,228016.0,0.07%,32.0,0.08%,31.0,0.10%,31.0,0.11%,30.0,0.11%,30.0,0.12%,30.0,0.12%,29.0,0.12%,28.0,0.12%,28.0,0.13%,28.0,0.12%,28.0,0.13%,28.0,0.12%,28.0
樂天國際商業銀行,24580.0,24103.0,27237.0,31292.0,34642.0,36202.0,35551.0,38850.0,39984.0,45806.0,51274.0,56943.0,51730.0,0.01%,39.0,0.02%,39.0,0.02%,39.0,0.02%,39.0,0.02%,40.0,0.02%,40.0,0.02%,40.0,0.02%,40.0,0.02%,40.0,0.03%,40.0,0.03%,40.0,0.03%,39.0,0.03%,40.0
中央信託局,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
中國農民銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
交通銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
澳盛(台灣)商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
中華開發工業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
第七商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
中華商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
大眾商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
慶豐商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
臺北國際商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
