銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,770943.0,776872.0,781397.0,768489.0,764055.0,776950.0,777674.0,780457.0,800086.0,795506.0,792204.0,790141.0,780917.0,2.37%,7.0,2.37%,7.0,2.38%,7.0,2.33%,8.0,2.28%,8.0,2.30%,8.0,2.28%,8.0,2.26%,8.0,2.30%,7.0,2.28%,7.0,2.26%,7.0,2.26%,9.0,2.20%,9.0
臺灣土地銀行,747631.0,748702.0,762989.0,769765.0,774348.0,791077.0,784284.0,789516.0,794676.0,793118.0,788253.0,800214.0,808718.0,2.30%,8.0,2.29%,8.0,2.32%,8.0,2.34%,7.0,2.31%,7.0,2.35%,7.0,2.30%,7.0,2.28%,7.0,2.29%,8.0,2.27%,8.0,2.25%,8.0,2.29%,8.0,2.28%,7.0
合作金庫銀行,956989.0,967721.0,978257.0,983195.0,998828.0,1006775.0,998085.0,1017096.0,1032057.0,1025576.0,1016154.0,1011779.0,1020695.0,2.94%,3.0,2.96%,3.0,2.98%,3.0,2.99%,3.0,2.98%,3.0,2.99%,3.0,2.93%,3.0,2.94%,3.0,2.97%,3.0,2.93%,3.0,2.90%,3.0,2.90%,3.0,2.87%,3.0
第一商業銀行,862227.0,863822.0,871597.0,866263.0,888670.0,907952.0,926345.0,941506.0,962092.0,959516.0,963440.0,973313.0,977828.0,2.65%,4.0,2.64%,4.0,2.65%,4.0,2.63%,4.0,2.65%,4.0,2.69%,4.0,2.72%,4.0,2.72%,4.0,2.77%,4.0,2.74%,4.0,2.75%,4.0,2.79%,4.0,2.75%,4.0
華南商業銀行,829871.0,836439.0,853999.0,853810.0,881986.0,879175.0,885813.0,893386.0,912244.0,906191.0,916201.0,930199.0,928154.0,2.55%,5.0,2.56%,5.0,2.60%,5.0,2.59%,5.0,2.63%,5.0,2.61%,5.0,2.60%,5.0,2.59%,5.0,2.63%,5.0,2.59%,5.0,2.61%,5.0,2.66%,5.0,2.61%,5.0
彰化商業銀行,706604.0,710203.0,718766.0,717562.0,737623.0,733513.0,730713.0,759261.0,763782.0,766357.0,773213.0,760603.0,774372.0,2.17%,10.0,2.17%,10.0,2.19%,10.0,2.18%,10.0,2.20%,10.0,2.18%,10.0,2.15%,10.0,2.20%,10.0,2.20%,10.0,2.19%,10.0,2.21%,10.0,2.18%,10.0,2.18%,10.0
上海商業儲蓄銀行,281836.0,280384.0,279598.0,275603.0,282158.0,283757.0,281260.0,283501.0,286112.0,290972.0,294797.0,303232.0,303521.0,0.87%,17.0,0.86%,17.0,0.85%,17.0,0.84%,17.0,0.84%,17.0,0.84%,17.0,0.83%,18.0,0.82%,18.0,0.82%,18.0,0.83%,18.0,0.84%,18.0,0.87%,18.0,0.85%,18.0
台北富邦商業銀行,378191.0,384688.0,390122.0,380704.0,394313.0,402305.0,411401.0,417377.0,436321.0,434425.0,431123.0,425895.0,454068.0,1.16%,13.0,1.18%,13.0,1.19%,12.0,1.16%,13.0,1.18%,13.0,1.19%,12.0,1.21%,13.0,1.21%,13.0,1.26%,12.0,1.24%,13.0,1.23%,13.0,1.22%,12.0,1.28%,13.0
國泰世華商業銀行,340391.0,344371.0,353755.0,351101.0,355448.0,371420.0,374000.0,376827.0,378312.0,377825.0,381167.0,386956.0,391773.0,1.05%,16.0,1.05%,16.0,1.08%,15.0,1.07%,15.0,1.06%,15.0,1.10%,15.0,1.10%,15.0,1.09%,15.0,1.09%,15.0,1.08%,15.0,1.09%,14.0,1.11%,14.0,1.10%,14.0
中國輸出入銀行,68265.0,68992.0,67114.0,65747.0,64881.0,61851.0,65893.0,68041.0,66280.0,67229.0,67125.0,66255.0,67864.0,0.21%,32.0,0.21%,32.0,0.20%,32.0,0.20%,32.0,0.19%,32.0,0.18%,33.0,0.19%,32.0,0.20%,33.0,0.19%,34.0,0.19%,33.0,0.19%,33.0,0.19%,33.0,0.19%,33.0
高雄銀行,77905.0,79456.0,78816.0,79417.0,79031.0,78213.0,79295.0,80905.0,80665.0,81683.0,80727.0,83174.0,83162.0,0.24%,28.0,0.24%,29.0,0.24%,29.0,0.24%,29.0,0.24%,29.0,0.23%,29.0,0.23%,29.0,0.23%,29.0,0.23%,29.0,0.23%,28.0,0.23%,28.0,0.24%,28.0,0.23%,28.0
兆豐國際商業銀行,774729.0,781689.0,814861.0,789385.0,806626.0,826470.0,808397.0,819079.0,842331.0,828331.0,835065.0,855941.0,850313.0,2.38%,6.0,2.39%,6.0,2.48%,6.0,2.40%,6.0,2.41%,6.0,2.45%,6.0,2.37%,6.0,2.37%,6.0,2.42%,6.0,2.37%,6.0,2.38%,6.0,2.45%,6.0,2.39%,6.0
