銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,50.31%,50.02%,49.70%,49.56%,49.07%,48.66%,48.53%,48.33%,48.11%,48.35%,48.62%,49.99%,50.30%,,25.0,,26.0,,26.0,,25.0,,26.0,,26.0,,26.0,,26.0,,26.0,,25.0,,24.0,,23.0,,23.0
臺灣土地銀行,44.20%,43.53%,43.01%,42.67%,42.27%,41.12%,40.78%,40.68%,39.73%,39.97%,40.32%,41.19%,41.48%,,30.0,,30.0,,30.0,,30.0,,29.0,,30.0,,30.0,,30.0,,30.0,,30.0,,30.0,,30.0,,29.0
合作金庫銀行,62.53%,61.98%,61.51%,61.19%,60.38%,59.27%,59.22%,58.85%,58.28%,58.58%,59.18%,60.16%,60.41%,,14.0,,14.0,,14.0,,14.0,,15.0,,17.0,,17.0,,17.0,,17.0,,16.0,,16.0,,13.0,,13.0
第一商業銀行,60.57%,60.12%,59.90%,60.08%,60.30%,60.19%,60.24%,60.24%,59.78%,59.61%,59.36%,60.03%,60.40%,,15.0,,16.0,,16.0,,16.0,,16.0,,15.5,,14.0,,13.0,,13.0,,13.0,,14.0,,14.0,,14.0
華南商業銀行,75.75%,75.72%,75.57%,75.60%,75.49%,75.07%,74.78%,74.85%,74.31%,74.89%,75.36%,75.93%,76.26%,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,1.0,,1.0,,1.0,,1.0
彰化商業銀行,42.30%,41.89%,41.78%,42.18%,42.03%,41.92%,41.75%,43.30%,43.76%,43.79%,44.56%,45.38%,44.95%,,31.0,,31.0,,31.0,,31.0,,31.0,,29.0,,29.0,,29.0,,28.0,,28.0,,28.0,,28.0,,27.0
上海商業儲蓄銀行,52.01%,51.66%,50.79%,50.66%,50.95%,50.63%,50.61%,51.97%,51.81%,51.68%,51.58%,51.85%,40.81%,,23.0,,23.0,,24.0,,24.0,,24.0,,24.0,,23.0,,21.0,,20.0,,21.0,,21.0,,20.0,,30.0
台北富邦商業銀行,66.82%,66.84%,67.15%,67.09%,66.78%,66.55%,66.74%,67.03%,66.78%,66.60%,67.09%,66.90%,67.03%,,9.0,,9.0,,8.0,,8.0,,8.0,,8.0,,8.0,,8.0,,8.0,,8.0,,7.0,,7.0,,7.0
國泰世華商業銀行,72.07%,71.92%,71.69%,71.64%,71.51%,71.06%,70.84%,70.34%,70.28%,70.36%,70.97%,71.43%,71.70%,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0,,3.0
高雄銀行,47.29%,46.17%,45.06%,43.87%,42.14%,39.87%,38.38%,37.30%,35.84%,35.66%,35.31%,35.24%,34.84%,,28.0,,28.0,,28.0,,29.0,,30.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0,,31.0
