銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,1482728.0,1464372.0,1498388.0,1436039.0,1507022.0,1492566.0,1482180.0,1468903.0,1464812.0,1487344.0,1495848.0,1478735.0,1507634.0,2.64%,4.0,2.60%,6.0,2.63%,5.0,2.50%,7.0,2.59%,6.0,2.55%,6.0,2.50%,7.0,2.45%,8.0,2.45%,7.0,2.47%,7.0,2.47%,6.0,2.39%,7.0,2.43%,8.0
臺灣土地銀行,964265.0,948466.0,948604.0,966710.0,969237.0,980889.0,987887.0,995415.0,1005625.0,1027150.0,1035650.0,1099759.0,1049656.0,1.72%,11.0,1.68%,11.0,1.67%,11.0,1.68%,11.0,1.67%,11.0,1.68%,11.0,1.67%,11.0,1.66%,11.0,1.68%,11.0,1.71%,11.0,1.71%,11.0,1.78%,9.0,1.69%,11.0
合作金庫銀行,1600784.0,1599758.0,1585894.0,1609748.0,1607656.0,1651432.0,1658528.0,1644745.0,1649698.0,1678293.0,1695453.0,1724854.0,1754239.0,2.85%,3.0,2.84%,3.0,2.79%,3.0,2.80%,3.0,2.77%,3.0,2.83%,3.0,2.80%,3.0,2.75%,3.0,2.76%,3.0,2.79%,3.0,2.80%,3.0,2.79%,3.0,2.83%,3.0
第一商業銀行,1421012.0,1428533.0,1438903.0,1453683.0,1444702.0,1467621.0,1497492.0,1513722.0,1477813.0,1497074.0,1492230.0,1519020.0,1516713.0,2.53%,7.0,2.53%,7.0,2.53%,7.0,2.53%,6.0,2.49%,7.0,2.51%,7.0,2.53%,6.0,2.53%,6.0,2.47%,6.0,2.49%,6.0,2.46%,7.0,2.46%,6.0,2.44%,7.0
華南商業銀行,1459564.0,1478253.0,1501307.0,1535526.0,1533375.0,1515289.0,1545028.0,1560403.0,1543566.0,1563762.0,1584738.0,1627399.0,1624645.0,2.60%,5.0,2.62%,4.0,2.64%,4.0,2.67%,4.0,2.64%,5.0,2.59%,5.0,2.61%,5.0,2.61%,5.0,2.58%,5.0,2.60%,5.0,2.61%,5.0,2.63%,5.0,2.62%,5.0
彰化商業銀行,1029479.0,1021972.0,1050793.0,1050622.0,1020002.0,1038491.0,1061486.0,1047201.0,1048958.0,1069276.0,1068684.0,1098355.0,1116370.0,1.83%,10.0,1.81%,9.0,1.85%,9.0,1.83%,9.0,1.75%,9.0,1.78%,9.0,1.79%,9.0,1.75%,9.0,1.75%,9.0,1.78%,9.0,1.76%,9.0,1.78%,10.0,1.80%,9.0
上海商業儲蓄銀行,320535.0,319052.0,327925.0,332890.0,335694.0,342654.0,344074.0,347757.0,354700.0,357624.0,364076.0,371118.0,372267.0,0.57%,19.0,0.57%,19.0,0.58%,19.0,0.58%,19.0,0.58%,19.0,0.59%,19.0,0.58%,19.0,0.58%,19.0,0.59%,19.0,0.59%,19.0,0.60%,19.0,0.60%,19.0,0.60%,19.0
台北富邦商業銀行,852461.0,871225.0,885549.0,860500.0,891667.0,897424.0,904152.0,926660.0,929000.0,956369.0,945862.0,946520.0,955949.0,1.52%,12.0,1.54%,12.0,1.56%,12.0,1.50%,12.0,1.53%,12.0,1.54%,12.0,1.53%,12.0,1.55%,12.0,1.55%,12.0,1.59%,12.0,1.56%,12.0,1.53%,12.0,1.54%,12.0
國泰世華商業銀行,1451164.0,1473815.0,1481861.0,1513315.0,1538096.0,1565416.0,1596079.0,1606250.0,1625305.0,1619834.0,1645253.0,1675503.0,1670150.0,2.58%,6.0,2.61%,5.0,2.60%,6.0,2.64%,5.0,2.65%,4.0,2.68%,4.0,2.69%,4.0,2.68%,4.0,2.72%,4.0,2.69%,4.0,2.71%,4.0,2.71%,4.0,2.69%,4.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
