銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,10693.0,18651.0,22004.0,35578.0,30457.0,36113.0,36665.0,44409.0,34543.0,39539.0,41789.0,50910.0,-14585.0,35.02%,2.0,31.62%,2.0,20.28%,3.0,25.28%,3.0,26.02%,3.0,23.20%,3.0,21.49%,3.0,23.15%,3.0,20.49%,3.0,21.79%,3.0,21.19%,3.0,21.97%,3.0,96.31%,1.0
臺灣土地銀行,-76.0,-156.0,505.0,86.0,324.0,712.0,844.0,590.0,767.0,219.0,590.0,314.0,374.0,-0.25%,33.0,-0.26%,34.0,0.47%,13.0,0.06%,25.0,0.28%,17.0,0.46%,12.0,0.49%,12.0,0.31%,16.0,0.46%,13.0,0.12%,23.0,0.30%,17.0,0.14%,22.0,-2.47%,32.0
合作金庫銀行,-350.0,-1397.0,2540.0,-829.0,-1971.0,-460.0,-112.0,-754.0,-171.0,-477.0,-108.0,-776.0,814.0,-1.15%,35.0,-2.37%,36.0,2.34%,4.0,-0.59%,36.0,-1.68%,37.0,-0.30%,37.0,-0.07%,36.0,-0.39%,37.0,-0.10%,36.0,-0.26%,36.0,-0.05%,35.0,-0.33%,37.0,-5.38%,35.0
第一商業銀行,44.0,193.0,584.0,647.0,738.0,1091.0,1302.0,1430.0,1586.0,1611.0,1929.0,2127.0,-47.0,0.14%,14.0,0.33%,13.0,0.54%,11.0,0.46%,10.0,0.63%,10.0,0.70%,8.0,0.76%,7.0,0.75%,7.0,0.94%,7.0,0.89%,7.0,0.98%,7.0,0.92%,7.0,0.31%,8.0
華南商業銀行,-862.0,-2163.0,2506.0,-1297.0,-2760.0,-1445.0,-901.0,-1975.0,-1626.0,-2517.0,-2632.0,-3368.0,909.0,-2.82%,37.0,-3.67%,38.0,2.31%,5.0,-0.92%,37.0,-2.36%,38.0,-0.93%,38.0,-0.53%,38.0,-1.03%,38.0,-0.96%,38.0,-1.39%,38.0,-1.33%,38.0,-1.45%,38.0,-6.00%,37.0
彰化商業銀行,63.0,101.0,259.0,423.0,501.0,640.0,723.0,787.0,854.0,905.0,1039.0,1146.0,-3.0,0.21%,13.0,0.17%,18.5,0.24%,19.0,0.30%,12.0,0.43%,12.0,0.41%,13.0,0.42%,13.0,0.41%,12.0,0.51%,12.0,0.50%,11.0,0.53%,11.0,0.49%,11.0,0.02%,15.0
上海商業儲蓄銀行,-74.0,167.0,-241.0,261.0,267.0,130.0,96.0,92.0,-21.0,-86.0,-280.0,-117.0,-243.0,-0.24%,32.0,0.28%,15.0,-0.22%,38.0,0.19%,18.0,0.23%,19.0,0.08%,23.0,0.06%,27.0,0.05%,26.0,-0.01%,34.0,-0.05%,35.0,-0.14%,36.0,-0.05%,35.0,1.60%,5.0
台北富邦商業銀行,149.0,125.0,383.0,681.0,825.0,897.0,1241.0,1337.0,1401.0,1497.0,1641.0,1984.0,-31.0,0.49%,9.0,0.21%,17.0,0.35%,14.0,0.48%,9.0,0.70%,8.0,0.58%,9.0,0.73%,9.0,0.70%,8.0,0.83%,9.0,0.82%,9.0,0.83%,9.0,0.86%,8.0,0.20%,10.0
國泰世華商業銀行,161.0,468.0,668.0,1115.0,1048.0,1252.0,1280.0,1314.0,1466.0,1567.0,1701.0,1942.0,395.0,0.53%,8.0,0.79%,7.0,0.62%,10.0,0.79%,7.0,0.90%,7.0,0.80%,7.0,0.75%,8.0,0.68%,9.0,0.87%,8.0,0.86%,8.0,0.86%,8.0,0.84%,9.0,-2.61%,33.0
中國輸出入銀行,-8.0,-18.0,-28.0,-37.0,-47.0,-57.0,-66.0,-37.0,-50.0,-38.0,-52.0,-64.0,-10.0,-0.03%,27.0,-0.03%,29.0,-0.03%,36.0,-0.03%,34.0,-0.04%,32.0,-0.04%,35.0,-0.04%,35.0,-0.02%,34.0,-0.03%,35.0,-0.02%,34.0,-0.03%,34.0,-0.03%,34.0,0.07%,13.0
高雄銀行,-56.0,-50.0,18.0,71.0,99.0,105.0,134.0,140.0,127.0,83.0,138.0,102.0,179.0,-0.18%,31.0,-0.08%,31.0,0.02%,30.0,0.05%,26.0,0.08%,22.0,0.07%,24.0,0.08%,26.0,0.07%,23.0,0.08%,26.0,0.05%,26.0,0.07%,25.0,0.04%,25.0,-1.18%,27.0
兆豐國際商業銀行,-598.0,178.0,1199.0,2827.0,1902.0,2585.0,2667.0,3258.0,3322.0,3177.0,3988.0,4904.0,-496.0,-1.96%,36.0,0.30%,14.0,1.11%,7.0,2.01%,4.0,1.62%,5.0,1.66%,5.0,1.56%,5.0,1.70%,5.0,1.97%,5.0,1.75%,5.0,2.02%,5.0,2.12%,5.0,3.28%,3.0
花旗(台灣)商業銀行,-2011.0,-1525.0,61.0,-1313.0,-1728.0,-148.0,296.0,-365.0,704.0,357.0,469.0,289.0,452.0,-6.59%,38.0,-2.59%,37.0,0.06%,26.0,-0.93%,38.0,-1.48%,36.0,-0.10%,36.0,0.17%,23.0,-0.19%,36.0,0.42%,15.0,0.20%,20.0,0.24%,18.0,0.12%,23.0,-2.98%,34.0
王道商業銀行,22.0,-179.0,57.0,-96.0,-276.0,58.0,202.0,120.0,181.0,13.0,256.0,136.0,216.0,0.07%,19.5,-0.30%,35.0,0.05%,27.0,-0.07%,35.0,-0.24%,34.0,0.04%,26.0,0.12%,24.0,0.06%,24.0,0.11%,24.0,0.01%,31.0,0.13%,23.0,0.06%,24.0,-1.43%,29.0
臺灣中小企業銀行,26.0,160.0,176.0,262.0,291.0,332.0,362.0,325.0,333.0,395.0,459.0,559.0,5.0,0.09%,18.0,0.27%,16.0,0.16%,21.0,0.19%,17.0,0.25%,18.0,0.21%,19.0,0.21%,21.0,0.17%,20.0,0.20%,20.0,0.22%,18.0,0.23%,20.0,0.24%,17.0,-0.03%,18.5
渣打國際商業銀行,425.0,390.0,354.0,637.0,798.0,780.0,976.0,1301.0,1108.0,1318.0,1402.0,1423.0,30.0,1.39%,5.0,0.66%,8.0,0.33%,15.0,0.45%,11.0,0.68%,9.0,0.50%,11.0,0.57%,10.0,0.68%,10.0,0.66%,10.0,0.73%,10.0,0.71%,10.0,0.61%,10.0,-0.20%,21.0
台中商業銀行,28.0,101.0,160.0,201.0,106.0,231.0,196.0,235.0,210.0,282.0,283.0,346.0,-46.0,0.09%,17.0,0.17%,18.5,0.15%,22.0,0.14%,19.0,0.09%,21.0,0.15%,21.0,0.11%,25.0,0.12%,22.0,0.12%,23.0,0.16%,22.0,0.14%,22.0,0.15%,21.0,0.30%,9.0
京城商業銀行,293.0,473.0,715.0,1027.0,628.0,783.0,873.0,823.0,690.0,748.0,849.0,962.0,-268.0,0.96%,6.0,0.80%,6.0,0.66%,9.0,0.73%,8.0,0.54%,11.0,0.50%,10.0,0.51%,11.0,0.43%,11.0,0.41%,16.0,0.41%,13.0,0.43%,14.0,0.42%,13.0,1.77%,4.0
匯豐(台灣)商業銀行,109.0,236.0,111.0,274.0,364.0,355.0,311.0,360.0,335.0,394.0,413.0,424.0,859.0,0.36%,11.0,0.40%,11.0,0.10%,23.0,0.19%,16.0,0.31%,16.0,0.23%,18.0,0.18%,22.0,0.19%,18.0,0.20%,19.0,0.22%,19.0,0.21%,21.0,0.18%,20.0,-5.67%,36.0
瑞興商業銀行,22.0,15.0,38.0,-4.0,3.0,20.0,11.0,10.0,28.0,12.0,18.0,21.0,5.0,0.07%,19.5,0.03%,23.0,0.04%,29.0,-0.00%,32.0,0.00%,28.5,0.01%,28.0,0.01%,32.5,0.01%,31.5,0.02%,29.0,0.01%,32.0,0.01%,29.0,0.01%,32.0,-0.03%,18.5
華泰商業銀行,0.0,36.0,49.0,45.0,33.0,42.0,45.0,40.0,37.0,39.0,40.0,42.0,-13.0,0.00%,25.5,0.06%,21.0,0.05%,28.0,0.03%,27.0,0.03%,24.5,0.03%,27.0,0.03%,28.0,0.02%,28.0,0.02%,28.0,0.02%,28.0,0.02%,27.0,0.02%,28.0,0.09%,12.0
臺灣新光商業銀行,8.0,49.0,250.0,164.0,183.0,278.0,392.0,116.0,138.0,209.0,-7.0,60.0,25.0,0.03%,23.0,0.08%,20.0,0.23%,20.0,0.12%,21.0,0.16%,20.0,0.18%,20.0,0.23%,20.0,0.06%,25.0,0.08%,25.0,0.12%,24.0,-0.00%,31.0,0.03%,27.0,-0.17%,20.0
陽信商業銀行,10.0,1.0,-13.0,21.0,33.0,13.0,33.0,41.0,8.0,42.0,45.0,69.0,-1.0,0.03%,22.0,0.00%,27.0,-0.01%,34.0,0.01%,28.0,0.03%,24.5,0.01%,31.5,0.02%,30.0,0.02%,27.0,0.00%,31.0,0.02%,27.0,0.02%,26.0,0.03%,26.0,0.01%,16.0
板信商業銀行,-15.0,-11.0,-2.0,18.0,3.0,-13.0,6.0,20.0,-9.0,22.0,-19.0,24.0,-29.0,-0.05%,28.0,-0.02%,28.0,-0.00%,33.0,0.01%,29.0,0.00%,28.5,-0.01%,34.0,0.00%,34.0,0.01%,30.0,-0.01%,33.0,0.01%,30.0,-0.01%,32.5,0.01%,31.0,0.19%,11.0
三信商業銀行,0.0,3.0,7.0,11.0,12.0,16.0,18.0,21.0,21.0,26.0,30.0,36.0,-6.0,0.00%,25.5,0.01%,26.0,0.01%,32.0,0.01%,31.0,0.01%,27.0,0.01%,29.0,0.01%,31.0,0.01%,29.0,0.01%,30.0,0.01%,29.0,0.02%,28.0,0.02%,29.0,0.04%,14.0
聯邦商業銀行,-17.0,372.0,573.0,165.0,-684.0,159.0,618.0,320.0,233.0,624.0,619.0,558.0,173.0,-0.06%,29.0,0.63%,9.0,0.53%,12.0,0.12%,20.0,-0.58%,35.0,0.10%,22.0,0.36%,15.0,0.17%,21.0,0.14%,22.0,0.34%,14.0,0.31%,16.0,0.24%,18.0,-1.14%,26.0
遠東國際商業銀行,88.0,213.0,285.0,414.0,477.0,554.0,638.0,680.0,726.0,807.0,904.0,981.0,101.0,0.29%,12.0,0.36%,12.0,0.26%,18.0,0.29%,14.0,0.41%,13.0,0.36%,14.0,0.37%,14.0,0.35%,14.0,0.43%,14.0,0.44%,12.0,0.46%,12.0,0.42%,12.0,-0.67%,23.0
元大商業銀行,34.0,-147.0,-111.0,95.0,387.0,411.0,580.0,726.0,866.0,555.0,873.0,742.0,318.0,0.11%,16.0,-0.25%,32.0,-0.10%,37.0,0.07%,23.0,0.33%,15.0,0.26%,15.0,0.34%,17.0,0.38%,13.0,0.51%,11.0,0.31%,16.0,0.44%,13.0,0.32%,14.0,-2.10%,31.0
永豐商業銀行,18.0,26.0,335.0,292.0,66.0,410.0,605.0,594.0,637.0,617.0,465.0,581.0,-128.0,0.06%,21.0,0.04%,22.0,0.31%,16.0,0.21%,15.0,0.06%,23.0,0.26%,16.0,0.35%,16.0,0.31%,15.0,0.38%,17.0,0.34%,15.0,0.24%,19.0,0.25%,16.0,0.85%,7.0
玉山商業銀行,453.0,834.0,1410.0,2217.0,2807.0,3395.0,4221.0,4709.0,4953.0,4992.0,5422.0,6341.0,238.0,1.48%,4.0,1.41%,4.0,1.30%,6.0,1.58%,5.0,2.40%,4.0,2.18%,4.0,2.47%,4.0,2.45%,4.0,2.94%,4.0,2.75%,4.0,2.75%,4.0,2.74%,4.0,-1.57%,30.0
凱基商業銀行,43.0,-149.0,95.0,90.0,-15.0,13.0,-226.0,-344.0,-386.0,-527.0,-811.0,-668.0,113.0,0.14%,15.0,-0.25%,33.0,0.09%,24.0,0.06%,24.0,-0.01%,31.0,0.01%,31.5,-0.13%,37.0,-0.18%,35.0,-0.23%,37.0,-0.29%,37.0,-0.41%,37.0,-0.29%,36.0,-0.75%,24.0
星展(台灣)商業銀行,133.0,256.0,333.0,416.0,457.0,381.0,416.0,355.0,282.0,494.0,171.0,434.0,-151.0,0.44%,10.0,0.43%,10.0,0.31%,17.0,0.30%,13.0,0.39%,14.0,0.24%,17.0,0.24%,19.0,0.19%,19.0,0.17%,21.0,0.27%,17.0,0.09%,24.0,0.19%,19.0,1.00%,6.0
台新國際商業銀行,241.0,492.0,857.0,1300.0,1355.0,1612.0,1781.0,1903.0,2013.0,2191.0,2427.0,2658.0,73.0,0.79%,7.0,0.83%,5.0,0.79%,8.0,0.92%,6.0,1.16%,6.0,1.04%,6.0,1.04%,6.0,0.99%,6.0,1.19%,6.0,1.21%,6.0,1.23%,6.0,1.15%,6.0,-0.48%,22.0
日盛國際商業銀行,5.0,7.0,10.0,13.0,13.0,14.0,11.0,10.0,4.0,0.0,-5.0,-9.0,1.0,0.02%,24.0,0.01%,24.0,0.01%,31.0,0.01%,30.0,0.01%,26.0,0.01%,30.0,0.01%,32.5,0.01%,31.5,0.00%,32.0,0.00%,33.0,-0.00%,30.0,-0.00%,33.0,-0.01%,17.0
安泰商業銀行,-48.0,-22.0,74.0,-12.0,-3.0,3.0,44.0,5.0,43.0,85.0,-19.0,32.0,168.0,-0.16%,30.0,-0.04%,30.0,0.07%,25.0,-0.01%,33.0,-0.00%,30.0,0.00%,33.0,0.03%,29.0,0.00%,33.0,0.03%,27.0,0.05%,25.0,-0.01%,32.5,0.01%,30.0,-1.11%,25.0
中國信託商業銀行,-214.0,6.0,-26.0,97.0,-176.0,94.0,528.0,406.0,340.0,348.0,623.0,704.0,209.0,-0.70%,34.0,0.01%,25.0,-0.02%,35.0,0.07%,22.0,-0.15%,33.0,0.06%,25.0,0.31%,18.0,0.21%,17.0,0.20%,18.0,0.19%,21.0,0.32%,15.0,0.30%,15.0,-1.38%,28.0
將來商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
連線商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
樂天國際商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
中央信託局,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
中國農民銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
交通銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
澳盛(台灣)商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
中華開發工業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
第七商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
中華商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
大眾商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
慶豐商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
臺北國際商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄區中小企業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
花蓮區中小企業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
臺東區中小企業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
前20,13055.0,23521.0,36096.0,48998.0,44014.0,52971.0,57023.0,65862.0,57159.0,62418.0,67885.0,80040.0,5656.0,42.76%,1.0,39.87%,1.0,33.27%,2.0,34.82%,1.0,37.60%,1.0,34.02%,1.0,33.42%,1.0,34.33%,1.0,33.91%,1.0,34.40%,1.0,34.43%,1.0,34.54%,1.0,-37.35%,38.0
總額,8739.0,17736.0,36195.0,45860.0,36517.0,51356.0,56810.0,63002.0,55693.0,59523.0,64650.0,75849.0,-10400.0,28.62%,3.0,30.06%,3.0,33.36%,1.0,32.59%,2.0,31.20%,2.0,32.99%,2.0,33.29%,2.0,32.84%,2.0,33.04%,2.0,32.80%,2.0,32.79%,2.0,32.73%,2.0,68.67%,2.0
