銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,1749.0,3234.0,4779.0,6548.0,7973.0,9553.0,10707.0,13369.0,14063.0,15101.0,16008.0,16989.0,1459.0,1.90%,7.0,1.94%,8.0,1.84%,9.0,1.89%,9.0,1.89%,9.0,1.87%,10.0,1.76%,10.0,1.89%,10.0,1.80%,10.0,1.76%,10.0,1.73%,10.0,1.73%,10.0,1.66%,12.0
臺灣土地銀行,1008.0,1944.0,3111.0,4242.0,5478.0,6877.0,8182.0,9446.0,10500.0,11778.0,12614.0,13241.0,1311.0,1.09%,15.0,1.16%,15.0,1.20%,15.0,1.22%,15.0,1.30%,15.0,1.35%,14.0,1.35%,15.0,1.33%,15.0,1.34%,14.0,1.37%,14.0,1.36%,14.0,1.35%,14.0,1.49%,13.0
合作金庫銀行,1558.0,3014.0,4652.0,6457.0,8224.0,10213.0,12719.0,15281.0,16825.0,18427.0,20006.0,21578.0,1564.0,1.69%,9.0,1.81%,10.0,1.79%,10.0,1.86%,10.0,1.95%,8.0,2.00%,8.0,2.09%,8.0,2.16%,6.0,2.15%,6.0,2.15%,6.0,2.16%,5.0,2.20%,5.0,1.78%,10.0
第一商業銀行,1552.0,3328.0,5348.0,7297.0,9264.0,11345.0,13520.0,15682.0,17420.0,18738.0,19940.0,20918.0,1805.0,1.68%,10.0,1.99%,7.0,2.06%,6.0,2.10%,7.0,2.20%,5.0,2.22%,5.0,2.22%,5.0,2.21%,5.0,2.23%,5.0,2.18%,5.0,2.15%,6.0,2.13%,7.0,2.05%,6.0
華南商業銀行,1279.0,2290.0,3929.0,5460.0,6812.0,8572.0,9883.0,11853.0,12926.0,14064.0,15242.0,16160.0,1551.0,1.39%,13.0,1.37%,14.0,1.51%,13.0,1.57%,12.0,1.62%,11.0,1.68%,11.0,1.63%,11.0,1.67%,11.0,1.65%,11.0,1.64%,11.0,1.64%,11.0,1.65%,11.0,1.76%,11.0
彰化商業銀行,881.0,1542.0,2362.0,3189.0,3949.0,4851.0,5912.0,6870.0,7752.0,8553.0,9404.0,10077.0,914.0,0.96%,16.0,0.92%,16.0,0.91%,17.0,0.92%,17.0,0.94%,18.0,0.95%,18.0,0.97%,17.0,0.97%,17.0,0.99%,17.0,1.00%,16.0,1.01%,16.0,1.03%,16.0,1.04%,16.0
上海商業儲蓄銀行,1348.0,2579.0,4079.0,5286.0,6290.0,7626.0,9260.0,10432.0,11672.0,12936.0,14019.0,15121.0,1222.0,1.46%,12.0,1.54%,12.0,1.57%,12.0,1.52%,13.0,1.49%,13.0,1.49%,12.0,1.52%,12.0,1.47%,13.0,1.49%,13.0,1.51%,13.0,1.51%,13.0,1.54%,13.0,1.39%,15.0
台北富邦商業銀行,2453.0,3828.0,5631.0,7665.0,9008.0,10629.0,12873.0,15199.0,16409.0,17965.0,19775.0,21383.0,1749.0,2.66%,5.0,2.29%,5.0,2.17%,5.0,2.21%,5.0,2.14%,6.0,2.08%,6.0,2.12%,7.0,2.14%,7.0,2.10%,7.0,2.09%,7.0,2.13%,7.0,2.18%,6.0,1.99%,7.0
國泰世華商業銀行,2897.0,4958.0,7226.0,9462.0,11661.0,13894.0,16261.0,18959.0,21285.0,23600.0,25731.0,26716.0,3182.0,3.14%,4.0,2.97%,4.0,2.79%,4.0,2.73%,4.0,2.77%,4.0,2.72%,4.0,2.67%,4.0,2.67%,4.0,2.72%,4.0,2.75%,4.0,2.77%,4.0,2.73%,4.0,3.61%,3.0
中國輸出入銀行,132.0,179.0,286.0,379.0,453.0,463.0,530.0,611.0,641.0,704.0,751.0,793.0,140.0,0.14%,32.0,0.11%,33.0,0.11%,33.0,0.11%,34.0,0.11%,33.0,0.09%,36.0,0.09%,36.0,0.09%,36.0,0.08%,36.0,0.08%,36.0,0.08%,36.0,0.08%,35.0,0.16%,33.0
