銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,4167.0,8064.0,12172.0,16201.0,20244.0,24273.0,28320.0,32305.0,36221.0,40223.0,44179.0,48289.0,4038.0,2.49%,4.0,2.49%,4.0,2.47%,4.0,2.46%,4.0,2.45%,4.0,2.45%,4.0,2.44%,4.0,2.43%,4.0,2.42%,4.0,2.41%,4.0,2.40%,4.0,2.40%,4.0,2.30%,5.0
臺灣土地銀行,3443.0,6656.0,10296.0,13624.0,17124.0,20519.0,24024.0,27490.0,30879.0,34370.0,37773.0,41288.0,3600.0,2.05%,8.0,2.06%,8.0,2.09%,7.0,2.07%,7.0,2.07%,7.0,2.07%,7.0,2.07%,7.0,2.07%,8.0,2.06%,8.0,2.06%,8.0,2.06%,8.0,2.05%,8.0,2.05%,9.0
合作金庫銀行,4026.0,7869.0,11896.0,15875.0,19921.0,23864.0,27913.0,31939.0,35889.0,39899.0,43819.0,47838.0,4069.0,2.40%,5.0,2.43%,5.0,2.41%,5.0,2.42%,5.0,2.41%,5.0,2.41%,5.0,2.40%,5.0,2.40%,5.0,2.40%,5.0,2.39%,5.0,2.39%,5.0,2.38%,5.0,2.32%,4.0
第一商業銀行,3456.0,6710.0,10162.0,13547.0,17027.0,20466.0,23987.0,27531.0,31040.0,34643.0,38578.0,42215.0,3718.0,2.06%,7.0,2.07%,7.0,2.06%,8.0,2.06%,8.0,2.06%,8.0,2.06%,8.0,2.06%,8.0,2.07%,7.0,2.07%,7.0,2.08%,7.0,2.10%,7.0,2.10%,7.0,2.12%,7.0
華南商業銀行,2913.0,5586.0,8625.0,11529.0,14531.0,17449.0,20465.0,23467.0,26401.0,29457.0,32464.0,35623.0,3179.0,1.74%,11.0,1.72%,11.0,1.75%,11.0,1.75%,11.0,1.76%,11.0,1.76%,11.0,1.76%,11.0,1.76%,11.0,1.76%,11.0,1.77%,11.0,1.77%,11.0,1.77%,11.0,1.81%,11.0
彰化商業銀行,2214.0,4271.0,6469.0,8595.0,10821.0,13002.0,15304.0,17569.0,19802.0,22108.0,24356.0,26677.0,2329.0,1.32%,15.0,1.32%,15.0,1.31%,15.0,1.31%,15.0,1.31%,15.0,1.31%,15.0,1.32%,15.0,1.32%,15.0,1.32%,15.0,1.33%,15.0,1.33%,15.0,1.33%,15.0,1.33%,15.0
上海商業儲蓄銀行,1382.0,2644.0,4090.0,5393.0,6753.0,8068.0,9415.0,10735.0,12022.0,13370.0,14663.0,16022.0,1363.0,0.82%,18.0,0.82%,18.0,0.83%,18.0,0.82%,18.0,0.82%,18.0,0.81%,19.0,0.81%,19.0,0.81%,19.0,0.80%,19.0,0.80%,19.0,0.80%,19.0,0.80%,19.0,0.78%,19.0
台北富邦商業銀行,3382.0,6479.0,9838.0,13116.0,16482.0,19791.0,23239.0,26680.0,30050.0,33577.0,36994.0,40574.0,3635.0,2.02%,9.0,2.00%,9.0,1.99%,9.0,2.00%,9.0,1.99%,9.0,2.00%,9.0,2.00%,9.0,2.00%,9.0,2.01%,9.0,2.01%,9.0,2.01%,9.0,2.02%,9.0,2.07%,8.0
國泰世華商業銀行,3554.0,6849.0,10426.0,13898.0,17504.0,21059.0,24742.0,28448.0,31966.0,35722.0,39380.0,43142.0,3779.0,2.12%,6.0,2.11%,6.0,2.11%,6.0,2.11%,6.0,2.12%,6.0,2.12%,6.0,2.13%,6.0,2.14%,6.0,2.14%,6.0,2.14%,6.0,2.14%,6.0,2.15%,6.0,2.15%,6.0
中國輸出入銀行,126.0,240.0,367.0,487.0,609.0,724.0,844.0,963.0,1083.0,1202.0,1319.0,1440.0,124.0,0.08%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0,0.07%,37.0
