銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,4158548.0,4076267.0,4136750.0,4076433.0,4180076.0,4135159.0,4183719.0,4164860.0,4190826.0,4256659.0,4224895.0,4209184.0,4215393.0,3.23%,3.0,3.15%,3.0,3.18%,3.0,3.11%,3.0,3.18%,3.0,3.12%,3.0,3.12%,3.0,3.08%,3.0,3.08%,3.0,3.11%,3.0,3.05%,3.0,3.01%,3.0,3.02%,3.0
臺灣土地銀行,2447231.0,2430482.0,2454490.0,2495697.0,2512087.0,2534612.0,2551245.0,2557904.0,2578813.0,2596568.0,2662815.0,2725700.0,2706834.0,1.90%,10.0,1.88%,10.0,1.89%,10.0,1.91%,10.0,1.91%,10.0,1.91%,10.0,1.90%,10.0,1.89%,10.0,1.90%,10.0,1.90%,10.0,1.92%,10.0,1.95%,10.0,1.94%,10.0
合作金庫銀行,3257763.0,3281637.0,3272283.0,3325202.0,3248058.0,3352468.0,3361610.0,3351610.0,3361204.0,3431358.0,3434010.0,3479943.0,3453753.0,2.53%,4.0,2.54%,4.0,2.52%,4.0,2.54%,4.0,2.47%,4.0,2.53%,4.0,2.51%,4.0,2.48%,4.0,2.47%,4.0,2.51%,4.0,2.48%,4.0,2.49%,4.0,2.47%,4.0
第一商業銀行,2734243.0,2745095.0,2758672.0,2794768.0,2753248.0,2796620.0,2852379.0,2859282.0,2836344.0,2878638.0,2926686.0,2940730.0,2964288.0,2.13%,6.0,2.12%,6.0,2.12%,6.0,2.13%,6.0,2.09%,6.0,2.11%,6.0,2.13%,6.0,2.11%,6.0,2.09%,7.0,2.10%,6.0,2.12%,6.0,2.10%,7.0,2.12%,6.0
華南商業銀行,2569058.0,2591432.0,2624515.0,2669428.0,2725856.0,2652481.0,2714641.0,2760612.0,2748948.0,2761636.0,2817222.0,2845806.0,2828722.0,2.00%,9.0,2.00%,9.0,2.02%,8.0,2.04%,8.0,2.07%,8.0,2.00%,9.0,2.03%,9.0,2.04%,8.0,2.02%,9.0,2.02%,9.0,2.04%,8.0,2.04%,8.0,2.02%,9.0
彰化商業銀行,1958566.0,1976122.0,1993716.0,1989020.0,1938546.0,2016854.0,2049217.0,2037319.0,2034767.0,2063844.0,2077611.0,2156378.0,2187738.0,1.52%,13.0,1.53%,13.0,1.53%,13.0,1.52%,13.0,1.47%,13.0,1.52%,13.0,1.53%,13.0,1.50%,13.0,1.50%,13.0,1.51%,13.0,1.50%,13.0,1.54%,13.0,1.57%,13.0
上海商業儲蓄銀行,1020338.0,1016564.0,1021463.0,1015028.0,1018201.0,1022586.0,1025444.0,1039499.0,1038820.0,1041023.0,1045351.0,1050220.0,1053254.0,0.79%,18.0,0.79%,18.0,0.79%,18.0,0.78%,18.0,0.77%,18.0,0.77%,18.0,0.76%,18.0,0.77%,18.0,0.76%,18.0,0.76%,18.0,0.76%,18.0,0.75%,18.0,0.75%,19.0
台北富邦商業銀行,2142113.0,2164367.0,2138943.0,2128586.0,2140184.0,2192556.0,2244953.0,2313343.0,2393571.0,2448461.0,2486002.0,2472085.0,2590317.0,1.67%,12.0,1.67%,12.0,1.65%,12.0,1.63%,12.0,1.63%,12.0,1.65%,12.0,1.67%,12.0,1.71%,12.0,1.76%,12.0,1.79%,12.0,1.80%,12.0,1.77%,12.0,1.85%,12.0
國泰世華商業銀行,2580246.0,2604295.0,2605376.0,2623302.0,2652290.0,2687149.0,2720483.0,2733805.0,2766622.0,2776451.0,2813553.0,2843899.0,2841037.0,2.01%,8.0,2.01%,8.0,2.00%,9.0,2.00%,9.0,2.02%,9.0,2.03%,8.0,2.03%,8.0,2.02%,9.0,2.04%,8.0,2.03%,8.0,2.03%,9.0,2.03%,9.0,2.03%,8.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
