銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,28385.0,52149.0,73247.0,103131.0,114004.0,135623.0,154699.0,187475.0,199695.0,225893.0,255009.0,298522.0,31536.0,4.81%,3.0,5.07%,3.0,4.58%,3.0,5.10%,3.0,4.87%,3.0,4.69%,3.0,4.67%,3.0,4.96%,3.0,4.72%,3.0,4.86%,3.0,5.04%,3.0,5.37%,3.0,6.03%,3.0
臺灣土地銀行,4361.0,8844.0,14083.0,18004.0,22615.0,26980.0,31587.0,35659.0,40010.0,44552.0,48399.0,52794.0,5018.0,0.74%,16.0,0.86%,16.0,0.88%,16.0,0.89%,16.0,0.97%,16.0,0.93%,16.0,0.95%,16.0,0.94%,16.0,0.95%,16.0,0.96%,16.0,0.96%,16.0,0.95%,16.0,0.96%,16.0
合作金庫銀行,6881.0,12166.0,20736.0,24673.0,30259.0,36169.0,42618.0,49357.0,54683.0,60029.0,65381.0,71535.0,6432.0,1.17%,13.0,1.18%,11.0,1.30%,12.0,1.22%,11.0,1.29%,11.0,1.25%,11.0,1.29%,11.0,1.31%,11.0,1.29%,11.0,1.29%,12.0,1.29%,12.0,1.29%,11.0,1.23%,12.0
第一商業銀行,24321.0,31077.0,55914.0,62838.0,72402.0,96812.0,110093.0,119954.0,135165.0,145167.0,152687.0,159533.0,12473.0,4.12%,4.0,3.02%,6.0,3.50%,6.0,3.11%,6.0,3.10%,5.0,3.35%,6.0,3.33%,6.0,3.17%,6.0,3.20%,6.0,3.12%,6.0,3.02%,6.0,2.87%,6.0,2.38%,5.0
華南商業銀行,6368.0,11102.0,18559.0,21800.0,26946.0,33640.0,38723.0,45164.0,51300.0,55985.0,61030.0,65775.0,6503.0,1.08%,14.0,1.08%,14.0,1.16%,13.0,1.08%,14.0,1.15%,13.0,1.16%,13.0,1.17%,12.0,1.19%,12.0,1.21%,13.0,1.20%,13.0,1.21%,13.0,1.18%,13.0,1.24%,11.0
彰化商業銀行,7797.0,11884.0,16907.0,22816.0,27797.0,30249.0,33744.0,38329.0,41623.0,45312.0,48705.0,53165.0,6103.0,1.32%,11.0,1.16%,12.0,1.06%,14.0,1.13%,13.0,1.19%,12.0,1.05%,14.0,1.02%,14.0,1.01%,15.0,0.98%,15.0,0.97%,15.0,0.96%,15.0,0.96%,15.0,1.17%,14.0
上海商業儲蓄銀行,3247.0,5916.0,9995.0,12648.0,15352.0,18626.0,22315.0,25343.0,28835.0,31893.0,35006.0,37494.0,3490.0,0.55%,19.0,0.58%,17.0,0.63%,18.0,0.63%,17.0,0.66%,18.0,0.64%,18.0,0.67%,18.0,0.67%,18.0,0.68%,17.0,0.69%,18.0,0.69%,17.0,0.67%,17.0,0.67%,18.0
台北富邦商業銀行,8560.0,16498.0,26369.0,32847.0,38491.0,45272.0,51458.0,59513.0,68468.0,75953.0,82260.0,95370.0,9323.0,1.45%,10.0,1.60%,9.0,1.65%,9.0,1.63%,8.0,1.65%,8.0,1.56%,9.0,1.55%,9.0,1.57%,8.0,1.62%,8.0,1.63%,8.0,1.63%,9.0,1.71%,7.0,1.78%,8.0
國泰世華商業銀行,20777.0,38642.0,56553.0,68374.0,65592.0,98046.0,111417.0,122784.0,139409.0,147664.0,154584.0,168278.0,12074.0,3.52%,5.0,3.76%,4.0,3.54%,5.0,3.38%,5.0,2.80%,6.0,3.39%,5.0,3.37%,5.0,3.25%,5.0,3.30%,5.0,3.18%,5.0,3.05%,5.0,3.03%,5.0,2.31%,6.0
中國輸出入銀行,301.0,464.0,652.0,823.0,988.0,1232.0,1365.0,1555.0,1723.0,1900.0,2057.0,2189.0,298.0,0.05%,36.0,0.05%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.04%,37.0,0.06%,36.0
高雄銀行,586.0,1071.0,1742.0,2237.0,2707.0,3172.0,3674.0,4151.0,4590.0,5010.0,5438.0,5924.0,762.0,0.10%,32.0,0.10%,32.0,0.11%,32.0,0.11%,32.0,0.12%,32.0,0.11%,32.0,0.11%,32.0,0.11%,32.0,0.11%,32.0,0.11%,32.0,0.11%,32.0,0.11%,32.0,0.15%,31.0
兆豐國際商業銀行,4764.0,9221.0,14762.0,19376.0,23679.0,28326.0,33507.0,39178.0,44054.0,48689.0,53130.0,57974.0,4920.0,0.81%,15.0,0.90%,15.0,0.92%,15.0,0.96%,15.0,1.01%,15.0,0.98%,15.0,1.01%,15.0,1.04%,14.0,1.04%,14.0,1.05%,14.0,1.05%,14.0,1.04%,14.0,0.94%,17.0
花旗(台灣)商業銀行,4231.0,5675.0,6483.0,9865.0,12252.0,12758.0,14292.0,17061.0,18427.0,20295.0,22054.0,23974.0,1979.0,0.72%,17.0,0.55%,18.0,0.41%,22.0,0.49%,21.0,0.52%,21.0,0.44%,21.0,0.43%,21.0,0.45%,21.0,0.44%,21.0,0.44%,21.0,0.44%,21.0,0.43%,21.0,0.38%,24.0
王道商業銀行,1238.0,2153.0,3507.0,4554.0,5727.0,6919.0,8148.0,9369.0,10393.0,11487.0,12301.0,13350.0,1522.0,0.21%,28.0,0.21%,28.0,0.22%,27.0,0.23%,27.0,0.24%,27.0,0.24%,27.0,0.25%,27.0,0.25%,27.0,0.25%,27.0,0.25%,27.0,0.24%,27.0,0.24%,27.0,0.29%,27.0
臺灣中小企業銀行,2558.0,5108.0,8090.0,10561.0,13281.0,15979.0,18833.0,21967.0,24977.0,27842.0,30503.0,33233.0,2982.0,0.43%,22.0,0.50%,21.0,0.51%,20.0,0.52%,20.0,0.57%,20.0,0.55%,19.0,0.57%,19.0,0.58%,19.0,0.59%,19.0,0.60%,19.0,0.60%,19.0,0.60%,19.0,0.57%,20.0
渣打國際商業銀行,2908.0,4419.0,7066.0,6344.0,7482.0,9526.0,11146.0,12109.0,13981.0,15270.0,16636.0,18016.0,2759.0,0.49%,20.0,0.43%,22.0,0.44%,21.0,0.31%,24.0,0.32%,24.0,0.33%,24.0,0.34%,24.0,0.32%,24.0,0.33%,24.0,0.33%,24.0,0.33%,24.0,0.32%,24.0,0.53%,21.0
台中商業銀行,1677.0,2998.0,4578.0,5831.0,7077.0,8516.0,9865.0,11225.0,12800.0,14253.0,15946.0,17389.0,1567.0,0.28%,24.0,0.29%,25.0,0.29%,25.0,0.29%,25.0,0.30%,25.0,0.29%,25.0,0.30%,25.0,0.30%,25.0,0.30%,25.0,0.31%,25.0,0.32%,25.0,0.31%,25.0,0.30%,26.0
京城商業銀行,1058.0,2022.0,3218.0,4219.0,5495.0,6632.0,7774.0,8596.0,9453.0,10372.0,11291.0,12453.0,744.0,0.18%,29.0,0.20%,29.0,0.20%,29.0,0.21%,29.0,0.23%,28.0,0.23%,28.0,0.23%,28.0,0.23%,28.0,0.22%,28.0,0.22%,28.0,0.22%,28.0,0.22%,28.0,0.14%,32.0
匯豐(台灣)商業銀行,1544.0,2709.0,4292.0,5345.0,6046.0,7391.0,8454.0,9964.0,10879.0,11910.0,12983.0,14296.0,6301.0,0.26%,26.0,0.26%,26.0,0.27%,26.0,0.26%,26.0,0.26%,26.0,0.26%,26.0,0.26%,26.0,0.26%,26.0,0.26%,26.0,0.26%,26.0,0.26%,26.0,0.26%,26.0,1.20%,13.0
瑞興商業銀行,154.0,275.0,425.0,521.0,645.0,777.0,897.0,1040.0,1195.0,1309.0,1441.0,1601.0,137.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0,0.03%,38.0
華泰商業銀行,233.0,468.0,702.0,917.0,1138.0,1374.0,1610.0,1859.0,2128.0,2367.0,2611.0,2871.0,267.0,0.04%,37.0,0.05%,36.0,0.04%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,37.0
臺灣新光商業銀行,2782.0,5227.0,8157.0,10826.0,13989.0,15678.0,18365.0,21961.0,24113.0,27029.0,30027.0,32667.0,2527.0,0.47%,21.0,0.51%,20.0,0.51%,19.0,0.54%,19.0,0.60%,19.0,0.54%,20.0,0.55%,20.0,0.58%,20.0,0.57%,20.0,0.58%,20.0,0.59%,20.0,0.59%,20.0,0.48%,22.0
陽信商業銀行,1026.0,1933.0,2951.0,3869.0,4796.0,5919.0,6930.0,7921.0,8933.0,9917.0,10916.0,11952.0,1076.0,0.17%,30.0,0.19%,30.0,0.18%,30.0,0.19%,30.0,0.21%,30.0,0.20%,30.0,0.21%,30.0,0.21%,29.0,0.21%,29.0,0.21%,29.0,0.22%,29.0,0.21%,29.0,0.21%,29.0
板信商業銀行,516.0,922.0,1424.0,1871.0,2353.0,2854.0,3320.0,3816.0,4331.0,4787.0,5294.0,5735.0,535.0,0.09%,33.0,0.09%,33.0,0.09%,33.0,0.09%,33.0,0.10%,33.0,0.10%,33.0,0.10%,33.0,0.10%,33.0,0.10%,33.0,0.10%,33.0,0.10%,33.0,0.10%,33.0,0.10%,33.0
三信商業銀行,308.0,598.0,907.0,1205.0,1509.0,1816.0,2118.0,2425.0,2733.0,3032.0,3336.0,3640.0,328.0,0.05%,35.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.06%,35.0,0.07%,35.0,0.07%,35.0,0.07%,35.0,0.06%,35.0
聯邦商業銀行,2156.0,3778.0,5559.0,7482.0,9442.0,10732.0,12014.0,14085.0,15602.0,17074.0,18957.0,20718.0,2241.0,0.37%,23.0,0.37%,23.0,0.35%,23.0,0.37%,22.0,0.40%,22.0,0.37%,22.0,0.36%,22.0,0.37%,22.0,0.37%,22.0,0.37%,22.0,0.37%,22.0,0.37%,22.0,0.43%,23.0
遠東國際商業銀行,1650.0,3314.0,5237.0,6828.0,8453.0,10129.0,11667.0,13260.0,14719.0,16241.0,17894.0,19483.0,1925.0,0.28%,25.0,0.32%,24.0,0.33%,24.0,0.34%,23.0,0.36%,23.0,0.35%,23.0,0.35%,23.0,0.35%,23.0,0.35%,23.0,0.35%,23.0,0.35%,23.0,0.35%,23.0,0.37%,25.0
元大商業銀行,3447.0,5654.0,10045.0,12429.0,16428.0,20161.0,23306.0,26509.0,28807.0,31997.0,34513.0,37441.0,3046.0,0.58%,18.0,0.55%,19.0,0.63%,17.0,0.62%,18.0,0.70%,17.0,0.70%,17.0,0.70%,17.0,0.70%,17.0,0.68%,18.0,0.69%,17.0,0.68%,18.0,0.67%,18.0,0.58%,19.0
永豐商業銀行,7435.0,11777.0,20894.0,24161.0,26694.0,37859.0,45761.0,50405.0,56615.0,60827.0,66215.0,69229.0,7220.0,1.26%,12.0,1.15%,13.0,1.31%,11.0,1.20%,12.0,1.14%,14.0,1.31%,10.0,1.38%,10.0,1.33%,10.0,1.34%,10.0,1.31%,11.0,1.31%,11.0,1.24%,12.0,1.38%,10.0
玉山商業銀行,8622.0,15687.0,26951.0,32783.0,32435.0,48612.0,59224.0,66112.0,75221.0,80566.0,86272.0,91581.0,7984.0,1.46%,9.0,1.53%,10.0,1.69%,8.0,1.62%,9.0,1.39%,10.0,1.68%,7.0,1.79%,7.0,1.75%,7.0,1.78%,7.0,1.73%,7.0,1.70%,7.0,1.65%,8.0,1.53%,9.0
凱基商業銀行,9834.0,22325.0,27976.0,29823.0,34406.0,34655.0,34439.0,41172.0,52680.0,60849.0,66270.0,79847.0,5344.0,1.67%,8.0,2.17%,7.0,1.75%,7.0,1.48%,10.0,1.47%,9.0,1.20%,12.0,1.04%,13.0,1.09%,13.0,1.25%,12.0,1.31%,10.0,1.31%,10.0,1.44%,10.0,1.02%,15.0
星展(台灣)商業銀行,1335.0,2651.0,3411.0,4418.0,5364.0,6028.0,6947.0,7850.0,8861.0,9670.0,10741.0,11401.0,1181.0,0.23%,27.0,0.26%,27.0,0.21%,28.0,0.22%,28.0,0.23%,29.0,0.21%,29.0,0.21%,29.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.23%,28.0
台新國際商業銀行,11638.0,18585.0,22809.0,35449.0,39372.0,46850.0,51460.0,59233.0,66734.0,75704.0,85578.0,90628.0,9597.0,1.97%,7.0,1.81%,8.0,1.43%,10.0,1.75%,7.0,1.68%,7.0,1.62%,8.0,1.55%,8.0,1.57%,9.0,1.58%,9.0,1.63%,9.0,1.69%,8.0,1.63%,9.0,1.83%,7.0
日盛國際商業銀行,486.0,889.0,1383.0,1832.0,2287.0,2747.0,3183.0,3606.0,4017.0,4450.0,4910.0,5329.0,528.0,0.08%,34.0,0.09%,34.0,0.09%,34.0,0.09%,34.0,0.10%,34.0,0.09%,34.0,0.10%,34.0,0.10%,34.0,0.09%,34.0,0.10%,34.0,0.10%,34.0,0.10%,34.0,0.10%,34.0
安泰商業銀行,688.0,1269.0,2003.0,2838.0,3548.0,4289.0,4910.0,5585.0,6282.0,6991.0,7789.0,8590.0,849.0,0.12%,31.0,0.12%,31.0,0.13%,31.0,0.14%,31.0,0.15%,31.0,0.15%,31.0,0.15%,31.0,0.15%,31.0,0.15%,31.0,0.15%,31.0,0.15%,31.0,0.15%,31.0,0.16%,30.0
